U	u	U
.	.	.
S	s	S
.	.	.
Rep	rep	Rep
.	.	.
Maxine	maxin	Maxine
Waters	water	Waters
attacked	attack	attacked
President	presid	President
Trump	trump	Trump
about	about	about
27	27	27
seconds	second	second
into	into	into
her	her	her
speech	speech	speech
to	to	to
homeless	homeless	homeless
LGBTQ	lgbtq	LGBTQ
youth	youth	youth
at	at	at
the	the	the
Ali	ali	Ali
Forney	forney	Forney
Center	center	Center
in	in	in
New	new	New
York	york	York
City	citi	City
earlier	earlier	earlier
this	this	this
month	month	month
.	.	.
She	she	She
began	began	began
her	her	her
speech	speech	speech
with	with	with
Wow	wow	Wow
,	,	,
what	what	what
a	a	a
moving	move	moving
evening	even	evening
this	this	this
is	is	is
.	.	.
I	i	I
m	m	m
sitting	sit	sitting
here	here	here
listening	listen	listening
,	,	,
watching	watch	watching
,	,	,
absorbing	absorb	absorbing
,	,	,
thinking	think	thinking
about	about	about
Ali	ali	Ali
even	even	even
though	though	though
I	i	I
never	never	never
met	met	met
him	him	him
.	.	.
And	and	And
with	with	with
this	this	this
kind	kind	kind
of	of	of
inspiration	inspir	inspiration
,	,	,
I	i	I
will	will	will
go	go	go
and	and	and
take	take	take
Trump	trump	Trump
out	out	out
tonight	tonight	tonight
,	,	,
she	she	she
said	said	said
,	,	,
pumping	pump	pumping
her	her	her
fist	fist	fist
as	as	a
the	the	the
crowd	crowd	crowd
roared	roar	roared
with	with	with
approval	approv	approval
.	.	.
On	on	On
Monday	monday	Monday
,	,	,
Waters	water	Waters
offered	offer	offered
no	no	no
apologies	apolog	apology
for	for	for
her	her	her
promise	promis	promise
to	to	to
take	take	take
out	out	out
Trump	trump	Trump
during	dure	during
an	an	an
interview	interview	interview
with	with	with
CNN	cnn	CNN
s	s	s
New	new	New
Day	day	Day
,	,	,
and	and	and
instead	instead	instead
doubled	doubl	doubled
down	down	down
on	on	on
her	her	her
commitment	commit	commitment
to	to	to
impeach	impeach	impeach
the	the	the
president	presid	president
.	.	.
Those	those	Those
words	word	word
have	have	have
been	been	been
interpreted	interpret	interpreted
as	as	a
an	an	an
attempt	attempt	attempt
on	on	on
the	the	the
president	presid	president
s	s	s
life	life	life
,	,	,
CNN	cnn	CNN
s	s	s
Chris	chris	Chris
Cuomo	cuomo	Cuomo
told	told	told
Waters	water	Waters
.	.	.
How	how	How
did	did	did
you	you	you
intend	intend	intend
them	them	them
?	?	?
That	that	That
s	s	s
absolutely	absolut	absolutely
ridiculous	ridicul	ridiculous
,	,	,
nobody	nobodi	nobody
believes	believ	belief
that	that	that
,	,	,
Waters	water	Waters
said	said	said
.	.	.
A	a	A
79	79	79
-year-old	-year-old	-year-old
grandmother	grandmoth	grandmother
who	who	who
is	is	is
a	a	a
congresswoman	congresswoman	congresswoman
and	and	and
who	who	who
has	has	ha
been	been	been
in	in	in
Congress	congress	Congress
and	and	and
politics	polit	politics
for	for	for
all	all	all
these	these	these
years	year	year
talking	talk	talking
about	about	about
doing	do	doing
any	ani	any
harm	harm	harm
.	.	.
The	the	The
only	onli	only
harm	harm	harm
I	i	I
may	may	may
be	be	be
doing	do	doing
to	to	to
the	the	the
president	presid	president
is	is	is
I	i	I
want	want	want
him	him	him
impeached	impeach	impeached
,	,	,
Waters	water	Waters
said	said	said
.	.	.
She	she	She
alleged	alleg	alleged
the	the	the
folks	folk	folk
who	who	who
oppose	oppos	oppose
her	her	her
efforts	effort	effort
to	to	to
unseat	unseat	unseat
the	the	the
president	presid	president
,	,	,
and	and	and
the	the	the
people	peopl	people
who	who	who
want	want	want
her	her	her
out	out	out
of	of	of
office	offic	office
,	,	,
are	are	are
racists	racist	racist
.	.	.
And	and	And
those	those	those
people	peopl	people
who	who	who
are	are	are
so	so	so
opposed	oppos	opposed
to	to	to
my	my	my
leadership	leadership	leadership
on	on	on
impeachment	impeach	impeachment
are	are	are
organizing	organ	organizing
the	the	the
right	right	right
wing	wing	wing
,	,	,
the	the	the
white	white	white
nationals	nation	national
,	,	,
the	the	the
KKK	kkk	KKK
,	,	,
they	they	they
have	have	have
organized	organ	organized
an	an	an
effort	effort	effort
to	to	to
try	tri	try
and	and	and
,	,	,
of	of	of
course	cours	course
,	,	,
defeat	defeat	defeat
me	me	me
in	in	in
my	my	my
election	elect	election
coming	come	coming
up	up	up
and	and	and
to	to	to
discredit	discredit	discredit
me	me	me
,	,	,
Waters	water	Waters
said	said	said
.	.	.
Everybody	everybodi	Everybody
knows	know	know
that	that	that
I	i	I
m	m	m
on	on	on
the	the	the
front	front	front
lines	line	line
not	not	not
talking	talk	talking
about	about	about
any	ani	any
physical	physic	physical
harm	harm	harm
to	to	to
anybody	anybodi	anybody
,	,	,
but	but	but
I	i	I
am	am	am
talking	talk	talking
about	about	about
impeachment	impeach	impeachment
and	and	and
I	i	I
m	m	m
not	not	not
going	go	going
to	to	to
stop	stop	stop
.	.	.
She	she	She
then	then	then
went	went	went
on	on	on
to	to	to
name	name	name
all	all	all
the	the	the
reasons	reason	reason
she	she	she
hates	hate	hate
Trump	trump	Trump
,	,	,
though	though	though
none	none	none
of	of	of
them	them	them
include	includ	include
a	a	a
legal	legal	legal
justification	justif	justification
for	for	for
removing	remov	removing
the	the	the
president	presid	president
.	.	.
I	i	I
believe	believ	believe
this	this	this
president	presid	president
is	is	is
not	not	not
worthy	worthi	worthy
,	,	,
she	she	she
said	said	said
.	.	.
I	i	I
believe	believ	believe
this	this	this
president	presid	president
should	should	should
not	not	not
be	be	be
representing	repres	representing
our	our	our
country	countri	country
.	.	.
He	he	He
has	has	ha
alienated	alien	alienated
our	our	our
allies	alli	ally
.	.	.
He	he	He
continues	continu	continues
to	to	to
lie	lie	lie
,	,	,
day	day	day
in	in	in
and	and	and
day	day	day
out	out	out
.	.	.
He	he	He
creates	creat	creates
controversy	controversi	controversy
.	.	.
He	he	He
can	can	can
t	t	t
get	get	get
along	along	along
with	with	with
the	the	the
members	member	member
of	of	of
Congress	congress	Congress
.	.	.
He	he	He
needs	need	need
to	to	to
be	be	be
impeached	impeach	impeached
.	.	.
I	i	I
want	want	want
him	him	him
impeached	impeach	impeached
.	.	.
And	and	And
I	i	I
m	m	m
going	go	going
to	to	to
continue	continu	continue
my	my	my
efforts	effort	effort
to	to	to
call	call	call
for	for	for
his	his	his
impeachment	impeach	impeachment
.	.	.
Cuomo	cuomo	Cuomo
pointed	point	pointed
out	out	out
that	that	that
Waters	water	Waters
comments	comment	comment
represent	repres	represent
ugly	ugli	ugly
talk	talk	talk
,	,	,
and	and	and
questioned	question	questioned
whether	whether	whether
those	those	those
who	who	who
oppose	oppos	oppose
Trump	trump	Trump
should	should	should
be	be	be
the	the	the
change	chang	change
that	that	that
you	you	you
want	want	want
to	to	to
see	see	see
and	and	and
have	have	have
a	a	a
high	high	high
level	level	level
of	of	of
