Warren	warren	Warren
Buffet	buffet	Buffet
,	,	,
one	one	one
of	of	of
the	the	the
richest	richest	richest
men	men	men
in	in	in
the	the	the
world	world	world
and	and	and
someone	someon	someone
who	who	who
actually	actual	actually
does	doe	doe
know	know	know
a	a	a
lot	lot	lot
about	about	about
money	money	money
,	,	,
has	has	ha
known	known	known
this	this	this
whole	whole	whole
time	time	time
what	what	what
drove	drove	drove
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
finances	financ	finance
into	into	into
the	the	the
ground	ground	ground
.	.	.
He	he	He
didn	didn	didn
t	t	t
say	say	say
as	as	a
much	much	much
,	,	,
because	becaus	because
at	at	at
the	the	the
time	time	time
Buffett	buffett	Buffett
revealed	reveal	revealed
this	this	this
,	,	,
it	it	it
was	was	wa
1991	1991	1991
and	and	and
he	he	he
was	was	wa
talking	talk	talking
about	about	about
Trump	trump	Trump
s	s	s
bankrupt	bankrupt	bankrupt
Taj	taj	Taj
Mahal	mahal	Mahal
.	.	.
What	what	What
he	he	he
said	said	said
then	then	then
can	can	can
apply	appli	apply
now	now	now
,	,	,
though	though	though
,	,	,
and	and	and
the	the	the
state	state	state
of	of	of
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
finances	financ	finance
backs	back	back
it	it	it
up	up	up
.	.	.
Back	back	Back
when	when	when
Trump	trump	Trump
filed	file	filed
for	for	for
bankruptcy	bankruptci	bankruptcy
on	on	on
the	the	the
Taj	taj	Taj
Mahal	mahal	Mahal
,	,	,
Buffett	buffett	Buffett
was	was	wa
giving	give	giving
speeches	speech	speech
to	to	to
undergrad	undergrad	undergrad
students	student	student
at	at	at
Notre	notr	Notre
Dame	dame	Dame
when	when	when
someone	someon	someone
asked	ask	asked
him	him	him
where	where	where
Trump	trump	Trump
went	went	went
wrong	wrong	wrong
.	.	.
Buffett	buffett	Buffett
said	said	said
He	he	He
simply	simpli	simply
got	got	got
infatuated	infatu	infatuated
with	with	with
how	how	how
much	much	much
money	money	money
he	he	he
could	could	could
borrow	borrow	borrow
,	,	,
and	and	and
he	he	he
did	did	did
not	not	not
give	give	give
enough	enough	enough
thought	thought	thought
to	to	to
how	how	how
much	much	much
money	money	money
he	he	he
could	could	could
pay	pay	pay
back	back	back
.	.	.
That	that	That
s	s	s
so	so	so
Trump	trump	Trump
,	,	,
especially	especi	especially
when	when	when
faced	face	faced
with	with	with
the	the	the
possibility	possibl	possibility
that	that	that
he	he	he
can	can	can
t	t	t
do	do	do
what	what	what
he	he	he
wants	want	want
because	becaus	because
of	of	of
consequences	consequ	consequence
.	.	.
So	so	So
is	is	is
this	this	this
The	the	The
big	big	big
problem	problem	problem
with	with	with
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
he	he	he
never	never	never
went	went	went
right	right	right
.	.	.
He	he	He
basically	basic	basically
overpaid	overpaid	overpaid
for	for	for
properties	properti	property
,	,	,
but	but	but
he	he	he
got	got	got
people	peopl	people
to	to	to
lend	lend	lend
him	him	him
the	the	the
money	money	money
.	.	.
He	he	He
was	was	wa
terrific	terrif	terrific
at	at	at
borrowing	borrow	borrowing
money	money	money
.	.	.
If	if	If
you	you	you
look	look	look
at	at	at
his	his	his
assets	asset	asset
,	,	,
and	and	and
what	what	what
he	he	he
paid	paid	paid
for	for	for
them	them	them
,	,	,
and	and	and
what	what	what
he	he	he
borrowed	borrow	borrowed
to	to	to
get	get	get
them	them	them
,	,	,
there	there	there
was	was	wa
never	never	never
any	ani	any
real	real	real
equity	equiti	equity
there	there	there
.	.	.
No	no	No
,	,	,
he	he	he
never	never	never
did	did	did
go	go	go
right	right	right
.	.	.
Trump	trump	Trump
has	has	ha
six	six	six
bankruptcies	bankruptci	bankruptcy
total	total	total
in	in	in
his	his	his
history	histori	history
,	,	,
which	which	which
is	is	is
a	a	a
lot	lot	lot
,	,	,
even	even	even
over	over	over
25	25	25
years	year	year
.	.	.
He	he	He
owes	owe	owes
at	at	at
least	least	least
100	100	100
million	million	million
to	to	to
Deutsche	deutsch	Deutsche
Bank	bank	Bank
.	.	.
One	one	One
has	has	ha
to	to	to
wonder	wonder	wonder
whether	whether	whether
he	he	he
got	got	got
over	over	over
his	his	his
infatuation	infatu	infatuation
with	with	with
borrowing	borrow	borrowing
,	,	,
or	or	or
whether	whether	whether
he	he	he
learned	learn	learned
anything	anyth	anything
from	from	from
his	his	his
bankruptcies	bankruptci	bankruptcy
.	.	.
He	he	He
certainly	certain	certainly
hasn	hasn	hasn
t	t	t
learned	learn	learned
to	to	to
think	think	think
about	about	about
the	the	the
consequences	consequ	consequence
of	of	of
anything	anyth	anything
he	he	he
does	doe	doe
.	.	.
His	his	His
campaign	campaign	campaign
is	is	is
more	more	more
than	than	than
40	40	40
million	million	million
in	in	in
the	the	the
hole	hole	hole
with	with	with
just	just	just
over	over	over
1	1	1
million	million	million
in	in	in
the	the	the
bank	bank	bank
,	,	,
and	and	and
he	he	he
