It	it	It
s	s	s
not	not	not
surprising	surpris	surprising
that	that	that
Donald	donald	Donald
Trump	trump	Trump
would	would	would
pay	pay	pay
his	his	his
female	femal	female
staffers	staffer	staffer
less	less	le
than	than	than
his	his	his
male	male	male
staffers	staffer	staffer
.	.	.

He	he	He
s	s	s
sexist	sexist	sexist
,	,	,
so	so	so
that	that	that
s	s	s
to	to	to
be	be	be
expected	expect	expected
.	.	.

What	what	What
is	is	is
surprising	surpris	surprising
,	,	,
though	though	though
,	,	,
is	is	is
just	just	just
how	how	how
bad	bad	bad
it	it	it
is	is	is
.	.	.

On	on	On
average	averag	average
,	,	,
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
,	,	,
women	women	woman
are	are	are
paid	paid	paid
about	about	about
.	.	.
79	79	79
for	for	for
every	everi	every
dollar	dollar	dollar
men	men	men
are	are	are
paid	paid	paid
,	,	,
even	even	even
for	for	for
the	the	the
same	same	same
work	work	work
.	.	.

Trump	trump	Trump
pays	pay	pay
the	the	the
women	women	woman
working	work	working
on	on	on
his	his	his
campaign	campaign	campaign
about	about	about
.	.	.
65	65	65
for	for	for
every	everi	every
dollar	dollar	dollar
his	his	his
male	male	male
staffers	staffer	staffer
make	make	make
.	.	.
Now	now	Now
,	,	,
some	some	some
will	will	will
make	make	make
the	the	the
argument	argument	argument
that	that	that
we	we	we
don	don	don
t	t	t
necessarily	necessarili	necessarily
know	know	know
what	what	what
his	his	his
female	femal	female
staffers	staffer	staffer
are	are	are
doing	do	doing
versus	versus	versus
what	what	what
his	his	his
male	male	male
staffers	staffer	staffer
are	are	are
doing	do	doing
.	.	.

There	there	There
s	s	s
a	a	a
possibility	possibl	possibility
,	,	,
those	those	those
people	peopl	people
would	would	would
say	say	say
,	,	,
that	that	that
the	the	the
men	men	men
are	are	are
getting	get	getting
paid	paid	paid
more	more	more
because	becaus	because
they	they	they
all	all	all
hold	hold	hold
higher	higher	higher
,	,	,
more	more	more
difficult	difficult	difficult
positions	posit	position
,	,	,
or	or	or
they	they	they
work	work	work
more	more	more
hours	hour	hour
,	,	,
or	or	or
they	they	they
do	do	do
better	better	better
work	work	work
in	in	in
general	general	general
,	,	,
or	or	or
all	all	all
of	of	of
the	the	the
above	abov	above
.	.	.
That	that	That
s	s	s
still	still	still
blatantly	blatant	blatantly
sexist	sexist	sexist
.	.	.
For	for	For
April	april	April
,	,	,
the	the	the
women	women	woman
on	on	on
Trump	trump	Trump
s	s	s
staff	staff	staff
earned	earn	earned
about	about	about
4	4	4
,	,	,
500	500	500
,	,	,
while	while	while
the	the	the
men	men	men
earned	earn	earned
about	about	about
6	6	6
,	,	,
100	100	100
.	.	.

That	that	That
s	s	s
a	a	a
35	35	35
percent	percent	percent
difference	differ	difference
,	,	,
which	which	which
is	is	is
egregious	egregi	egregious
,	,	,
even	even	even
for	for	for
him	him	him
.	.	.

Supposedly	suppos	Supposedly
,	,	,
he	he	he
believes	believ	belief
in	in	in
equal	equal	equal
pay	pay	pay
,	,	,
but	but	but
says	say	say
