On	on	On
February	februari	February
1	1	1
,	,	,
three	three	three
officers	offic	officer
with	with	with
the	the	the
Savannah	savannah	Savannah
-Chatham	-chatham	-Chatham
Metropolitan	metropolitan	Metropolitan
Police	polic	Police
Department	depart	Department
were	were	were
caught	caught	caught
on	on	on
camera	camera	camera
using	use	using
a	a	a
taser	taser	taser
on	on	on
an	an	an
innocent	innoc	innocent
man	man	man
.	.	.
The	the	The
officers	offic	officer
were	were	were
looking	look	looking
for	for	for
a	a	a
man	man	man
named	name	named
Michael	michael	Michael
Clay	clay	Clay
,	,	,
who	who	who
had	had	had
multiple	multipl	multiple
warrants	warrant	warrant
out	out	out
for	for	for
his	his	his
arrest	arrest	arrest
.	.	.

When	when	When
they	they	they
encountered	encount	encountered
24	24	24
-year-old	-year-old	-year-old
Patrick	patrick	Patrick
Mumford	mumford	Mumford
,	,	,
they	they	they
immediately	immedi	immediately
assumed	assum	assumed
he	he	he
was	was	wa
Clay	clay	Clay
.	.	.
The	the	The
video	video	video
shows	show	show
one	one	one
of	of	of
the	the	the
officers	offic	officer
approaching	approach	approaching
Mumford	mumford	Mumford
,	,	,
who	who	who
was	was	wa
sitting	sit	sitting
in	in	in
his	his	his
car	car	car
,	,	,
minding	mind	minding
his	his	his
own	own	own
business	busi	business
.	.	.
One	one	One
officer	offic	officer
asked	ask	asked
Mumford	mumford	Mumford
his	his	his
name	name	name
.	.	.

Patrick	patrick	Patrick
,	,	,
he	he	he
responded	respond	responded
.	.	.
A	a	A
moment	moment	moment
later	later	later
the	the	the
officer	offic	officer
says	say	say
,	,	,
What	what	What
s	s	s
your	your	your
name	name	name
?	?	?

I	i	I
m	m	m
going	go	going
to	to	to
ask	ask	ask
you	you	you
one	one	one
more	more	more
time	time	time
.	.	.

O	o	O
.	.	.
K	k	K
Patrick	patrick	Patrick
,	,	,
Mumford	mumford	Mumford
responds	respond	responds
.	.	.

We	we	We
probably	probabl	probably
need	need	need
to	to	to
talk	talk	talk
to	to	to
you	you	you
,	,	,
the	the	the
cop	cop	cop
tells	tell	tell
him	him	him
.	.	.

So	so	So
,	,	,
what	what	what
s	s	s
your	your	your
name	name	name
?	?	?

Uh	uh	Uh
Patrick	patrick	Patrick
?	?	?

Mumford	mumford	Mumford
responds	respond	responds
.	.	.
The	the	The
officer	offic	officer
orders	order	order
Mumford	mumford	Mumford
to	to	to
get	get	get
out	out	out
of	of	of
the	the	the
car	car	car
.	.	.

Mumford	mumford	Mumford
,	,	,
who	who	who
is	is	is
clearly	clear	clearly
worried	worri	worried
,	,	,
asks	ask	asks
,	,	,
What	what	What
happened	happen	happened
?	?	?

What	what	What
did	did	did
I	i	I
do	do	do
?	?	?

You	you	You
got	got	got
a	a	a
warrant	warrant	warrant
,	,	,
the	the	the
cop	cop	cop
says	say	say
.	.	.

I	i	I
just	just	just
came	came	came
back	back	back
from	from	from
my	my	my
probation	probat	probation
officer	offic	officer
,	,	,
Mumford	mumford	Mumford
tells	tell	tell
him	him	him
.	.	.
At	at	At
this	this	this
point	point	point
the	the	the
officer	offic	officer
directs	direct	directs
another	anoth	another
cop	cop	cop
to	to	to
use	use	use
a	a	a
taser	taser	taser
on	on	on
him	him	him
.	.	.
Mumford	mumford	Mumford
refuses	refus	refuse
to	to	to
get	get	get
out	out	out
of	of	of
the	the	the
vehicle	vehicl	vehicle
and	and	and
