For	for	For
anyone	anyon	anyone
who	who	who
s	s	s
not	not	not
paying	pay	paying
attention	attent	attention
to	to	to
what	what	what
s	s	s
happening	happen	happening
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
,	,	,
she	she	she
s	s	s
talking	talk	talking
about	about	about
the	the	the
reckless	reckless	reckless
actions	action	action
of	of	of
the	the	the
most	most	most
dangerous	danger	dangerous
man	man	man
in	in	in
the	the	the
world	world	world
Bill	bill	Bill
Maher	maher	Maher
tonight	tonight	tonight
spoke	spoke	spoke
with	with	with
Democratic	democrat	Democratic
Congresswoman	congresswoman	Congresswoman
Tulsi	tulsi	Tulsi
Gabbard	gabbard	Gabbard
about	about	about
an	an	an
issue	issu	issue
they	they	they
agree	agre	agree
on	on	on
the	the	the
frustrating	frustrat	frustrating
refusal	refus	refusal
of	of	of
President	presid	President
Obama	obama	Obama
to	to	to
accept	accept	accept
Islamic	islam	Islamic
extremism	extrem	extremism
as	as	a
a	a	a
global	global	global
threat	threat	threat
.	.	.
Gabbard	gabbard	Gabbard
said	said	said
it	it	it
s	s	s
crazy	crazi	crazy
because	becaus	because
it	it	it
s	s	s
important	import	important
to	to	to
identify	identifi	identify
our	our	our
enemy	enemi	enemy
so	so	so
that	that	that
we	we	we
can	can	can
defeat	defeat	defeat
them	them	them
.	.	.
She	she	She
said	said	said
it	it	it
s	s	s
ridiculous	ridicul	ridiculous
to	to	to
blame	blame	blame
poverty	poverti	poverty
or	or	or
thrill	thrill	thrill
-seeking	-seek	-seeking
because	becaus	because
just	just	just
giving	give	giving
someone	someon	someone
a	a	a
house	hous	house
won	won	won
t	t	t
solve	solv	solve
the	the	the
problem	problem	problem
.	.	.
Maher	maher	Maher
brought	brought	brought
up	up	up
how	how	how
sensitive	sensit	sensitive
liberals	liber	liberal
are	are	are
about	about	about
the	the	the
mere	mere	mere
suggestion	suggest	suggestion
that	that	that
certain	certain	certain
Islamic	islam	Islamic
beliefs	belief	belief
are	are	are
considered	consid	considered
barbaric	barbar	barbaric
in	in	in
the	the	the
Western	western	Western
world	world	world
.	.	.
Gabbard	gabbard	Gabbard
agreed	agre	agreed
that	that	that
this	this	this
kind	kind	kind
of	of	of
liberal	liber	liberal
philosophy	philosophi	philosophy
gets	get	get
in	in	in
the	the	the
way	way	way
of	of	of
being	be	being
able	abl	able
to	to	to
address	address	address
serious	serious	serious
matters	matter	matter
.	.	.
https://youtu.be/yaGKCKPuEEYBill	https://youtu.be/yagkckpueeybil	https://youtu.be/yaGKCKPuEEYBill
Maher	maher	Maher
tonight	tonight	tonight
spoke	spoke	spoke
with	with	with
Democratic	democrat	Democratic
Congresswoman	congresswoman	Congresswoman
Tulsi	tulsi	Tulsi
Gabbard	gabbard	Gabbard
about	about	about
an	an	an
issue	issu	issue
they	they	they
agree	agre	agree
on	on	on
the	the	the
frustrating	frustrat	frustrating
refusal	refus	refusal
of	of	of
President	presid	President
Obama	obama	Obama
to	to	to
accept	accept	accept
Islamic	islam	Islamic
extremism	extrem	extremism
as	as	a
a	a	a
global	global	global
threat	threat	threat
.	.	.
Gabbard	gabbard	Gabbard
said	said	said
it	it	it
s	s	s
crazy	crazi	crazy
because	becaus	because
it	it	it
s	s	s
important	import	important
to	to	to
identify	identifi	identify
our	our	our
enemy	enemi	enemy
so	so	so
that	that	that
we	we	we
can	can	can
defeat	defeat	defeat
them	them	them
.	.	.
She	she	She
said	said	said
it	it	it
s	s	s
ridiculous	ridicul	ridiculous
to	to	to
blame	blame	blame
poverty	poverti	poverty
or	or	or
thrill	thrill	thrill
-seeking	-seek	-seeking
because	becaus	because
just	just	just
giving	give	giving
someone	someon	someone
a	a	a
house	hous	house
won	won	won
t	t	t
solve	solv	solve
the	the	the
problem	problem	problem
.	.	.
Maher	maher	Maher
brought	brought	brought
up	up	up
how	how	how
sensitive	sensit	sensitive
liberals	liber	liberal
are	are	are
about	about	about
the	the	the
mere	mere	mere
suggestion	suggest	suggestion
that	that	that
certain	certain	certain
Islamic	islam	Islamic
beliefs	belief	belief
are	are	are
considered	consid	considered
barbaric	barbar	barbaric
in	in	in
the	the	the
Western	western	Western
world	world	world
.	.	.
Gabbard	gabbard	Gabbard
agreed	agre	agreed
that	that	that
this	this	this
kind	kind	kind
of	of	of
liberal	liber	liberal
philosophy	philosophi	philosophy
gets	get	get
in	in	in
the	the	the
way	way	way
of	of	of
being	be	being
able	abl	able
to	to	to
address	address	address
serious	serious	serious
matters	matter	matter
.	.	.
Bill	bill	Bill
Maher	maher	Maher
Goes	goe	Goes
Off	off	Off
,	,	,
Asks	ask	Asks
Dem	dem	Dem
Rep	rep	Rep
.	.	.
Why	whi	Why
Obama	obama	Obama
Won	won	Won
t	t	t
Say	say	Say
Islamic	islam	Islamic
Extremism	extrem	Extremism
Gabbard	gabbard	Gabbard
recalled	recal	recalled
how	how	how
she	she	she
was	was	wa
treated	treat	treated
,	,	,
as	as	a
a	a	a
woman	woman	woman
,	,	,
when	when	when
she	she	she
went	went	went
to	to	to
Iraq	iraq	Iraq
,	,	,
by	by	by
soldiers	soldier	soldier
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
was	was	wa
trying	tri	trying
to	to	to
train	train	train
,	,	,
though	though	though
it	it	it
did	did	did
have	have	have
a	a	a
happy	happi	happy
ending	end	ending
.	.	.
Via	via	Via
Mediaite	mediait	Mediaite
