Now	now	Now
that	that	that
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
completed	complet	completed
his	his	his
disastrous	disastr	disastrous
first	first	first
overseas	oversea	overseas
trip	trip	trip
,	,	,
White	white	White
House	hous	House
Press	press	Press
Secretary	secretari	Secretary
Sean	sean	Sean
Spicer	spicer	Spicer
must	must	must
once	onc	once
again	again	again
answer	answer	answer
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
media	media	medium
as	as	a
Trump	trump	Trump
continues	continu	continues
to	to	to
disgrace	disgrac	disgrace
the	the	the
country	countri	country
on	on	on
its	it	it
own	own	own
soil	soil	soil
.	.	.
Following	follow	Following
the	the	the
Memorial	memori	Memorial
Day	day	Day
holiday	holiday	holiday
,	,	,
it	it	it
was	was	wa
back	back	back
to	to	to
business	busi	business
as	as	a
usual	usual	usual
with	with	with
Spicer	spicer	Spicer
nearly	near	nearly
losing	lose	losing
his	his	his
mind	mind	mind
at	at	at
a	a	a
press	press	press
briefing	brief	briefing
earlier	earlier	earlier
today	today	today
.	.	.
When	when	When
reporters	report	reporter
asked	ask	asked
Spicer	spicer	Spicer
about	about	about
Trump	trump	Trump
s	s	s
claims	claim	claim
about	about	about
fake	fake	fake
news	news	news
,	,	,
Spicer	spicer	Spicer
pretty	pretti	pretty
much	much	much
imploded	implod	imploded
as	as	a
he	he	he
sparred	spar	sparred
with	with	with
reporters	report	reporter
.	.	.
Spicer	spicer	Spicer
tried	tri	tried
to	to	to
defend	defend	defend
his	his	his
mentally	mental	mentally
incompetent	incompet	incompetent
boss	boss	bos
by	by	by
pointing	point	pointing
out	out	out
a	a	a
tweet	tweet	tweet
in	in	in
which	which	which
a	a	a
BBC	bbc	BBC
reported	report	reported
had	had	had
made	made	made
a	a	a
mistake	mistak	mistake
,	,	,
claiming	claim	claiming
that	that	that
Trump	trump	Trump
had	had	had
not	not	not
been	been	been
wearing	wear	wearing
a	a	a
translation	translat	translation
earpiece	earpiec	earpiece
when	when	when
he	he	he
met	met	met
with	with	with
foreign	foreign	foreign
leaders	leader	leader
.	.	.
This	this	This
mistake	mistak	mistake
was	was	wa
quickly	quick	quickly
and	and	and
publicly	public	publicly
corrected	correct	corrected
by	by	by
the	the	the
reporter	report	reporter
as	as	a
