OUR	our	OUR
GOVERNMENT	govern	GOVERNMENT
IS	is	IS
GIVING	give	GIVING
OUT	out	OUT
GREEN	green	GREEN
CARDS	card	CARDS
LIKE	like	LIKE
CANDY	candi	CANDY
at	at	at
double	doubl	double
the	the	the
rate	rate	rate
to	to	to
Muslims	muslim	Muslims
over	over	over
everyone	everyon	everyone
else	els	else
.	.	.

A	a	A
green	green	green
card	card	card
is	is	is
a	a	a
path	path	path
to	to	to
American	american	American
citizenship	citizenship	citizenship
so	so	so
this	this	this
is	is	is
very	veri	very
important	import	important
.	.	.

Besides	besid	Besides
the	the	the
security	secur	security
risk	risk	risk
,	,	,
this	this	this
is	is	is
an	an	an
attempt	attempt	attempt
to	to	to
change	chang	change
the	the	the
nation	nation	nation
forever	forev	forever
.	.	.

Look	look	Look
at	at	at
Europe	europ	Europe
!	!	!

The	the	The
citizens	citizen	citizen
of	of	of
Europe	europ	Europe
are	are	are
screaming	scream	screaming
to	to	to
get	get	get
their	their	their
sovereignty	sovereignti	sovereignty
back	back	back
after	after	after
basically	basic	basically
being	be	being
invaded	invad	invaded
by	by	by
thousands	thousand	thousand
and	and	and
thousands	thousand	thousand
of	of	of
Muslims	muslim	Muslims
.	.	.

This	this	This
is	is	is
a	a	a
quiet	quiet	quiet
invasion	invas	invasion
but	but	but
is	is	is
still	still	still
very	veri	very
serious	serious	serious
and	and	and
wrong	wrong	wrong
National	nation	National
security	secur	security
has	has	ha
never	never	never
appeared	appear	appeared
to	to	to
be	be	be
a	a	a
priority	prioriti	priority
for	for	for
the	the	the
Obama	obama	Obama
administration	administr	administration
,	,	,
but	but	but
this	this	this
is	is	is
downright	downright	downright
alarming	alarm	alarming
as	as	a
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
encounters	encount	encounter
burgeoning	burgeon	burgeoning
threats	threat	threat
from	from	from
radical	radic	radical
Islamists	islamist	Islamists
.	.	.

With	with	With
Islamic	islam	Islamic
terrorism	terror	terrorism
on	on	on
