Lou	lou	Lou
Hobbs	hobb	Hobbs
praised	prais	praised
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
for	for	for
his	his	his
historic	histor	historic
first	first	first
100	100	100
days	day	day
in	in	in
office	offic	office
,	,	,
including	includ	including
being	be	being
the	the	the
first	first	first
president	presid	president
to	to	to
have	have	have
a	a	a
nominated	nomin	nominated
US	us	US
Supreme	suprem	Supreme
Court	court	Court
Justice	justic	Justice
take	take	take
his	his	his
seat	seat	seat
on	on	on
the	the	the
high	high	high
court	court	court
in	in	in
a	a	a
president	presid	president
s	s	s
first	first	first
100	100	100
days	day	day
since	sinc	since
1881	1881	1881
.	.	.

He	he	He
then	then	then
went	went	went
on	on	on
a	a	a
punishing	punish	punishing
rant	rant	rant
against	against	against
Republican	republican	Republican
Speaker	speaker	Speaker
of	of	of
the	the	the
House	hous	House
Paul	paul	Paul
Ryan	ryan	Ryan
,	,	,
who	who	who
he	he	he
blames	blame	blame
for	for	for
holding	hold	holding
Trump	trump	Trump
back	back	back
from	from	from
any	ani	any
major	major	major
legislative	legisl	legislative
accomplishments	accomplish	accomplishment
.	.	.

Dodd	dodd	Dodd
explained	explain	explained
how	how	how
Trump	trump	Trump
has	has	ha
been	been	been
denied	deni	denied
success	success	success
by	by	by
his	his	his
very	veri	very
own	own	own
party	parti	party
to	to	to
his	his	his
viewers	viewer	viewer
The	the	The
President	presid	President
however	howev	however
,	,	,
has	has	ha
been	been	been
denied	deni	denied
a	a	a
significant	signific	significant
legislative	legisl	legislative
accomplishment	accomplish	accomplishment
on	on	on
the	the	the
big	big	big
issues	issu	issue
because	becaus	because
of	of	of
uh	uh	uh
Not	not	Not
because	becaus	because
of	of	of
the	the	the
opposition	opposit	opposition
of	of	of
the	the	the
Dems	dem	Dems
,	,	,
but	but	but
rather	rather	rather
because	becaus	because
of	of	of
a	a	a
Speaker	speaker	Speaker
of	of	of
the	the	the
House	hous	House
of	of	of
the	the	the
same	same	same
Republican	republican	Republican
Party	parti	Party
who	who	who
has	has	ha
been	been	been
woefully	woefulli	woefully
inadequate	inadequ	inadequate
to	to	to
the	the	the
responsibilities	respons	responsibility
and	and	and
demands	demand	demand
of	of	of
his	his	his
office	offic	office
.	.	.

Speaker	speaker	Speaker
Ryan	ryan	Ryan
,	,	,
working	work	working
against	against	against
the	the	the
President	presid	President
and	and	and
his	his	his
agenda	agenda	agenda
at	at	at
every	everi	every
turn	turn	turn
,	,	,
frustrating	frustrat	frustrating
the	the	the
entire	entir	entire
GOP	gop	GOP
conference	confer	conference
Congress	congress	Congress
and	and	and
indeed	inde	indeed
the	the	the
American	american	American
people	peopl	people
.	.	.

President	presid	President
Trump	trump	Trump
has	has	ha
been	been	been
gracious	gracious	gracious
,	,	,
he	he	he
s	s	s
been	been	been
generous	generous	generous
even	even	even
with	with	with
the	the	the
inept	inept	inept
Ryan	ryan	Ryan
,	,	,
but	but	but
the	the	the
President	presid	President
today	today	today
acknowledging	acknowledg	acknowledging
that	that	that
he	he	he
is	is	is
disappointed	disappoint	disappointed
.	.	.

Hobbs	hobb	Hobbs
went	went	went
on	on	on
to	to	to
rave	rave	rave
about	about	about
President	presid	President
Trump	trump	Trump
and	and	and
his	his	his
accomplishments	accomplish	accomplishment
over	over	over
his	his	his
first	first	first
100	100	100
days	day	day
in	in	in
office	offic	office
.	.	.

He	he	He
even	even	even
went	went	went
as	as	a
far	far	far
as	as	a
to	to	to
compare	compar	compare
Trump	trump	Trump
s	s	s
accomplishments	accomplish	accomplishment
to	to	to
those	those	those
of	of	of
FDR	fdr	FDR
.	.	.

Dobbs	dobb	Dobbs
again	again	again
went	went	went
on	on	on
to	to	to
remind	remind	remind
his	his	his
viewers	viewer	viewer
that	that	that
President	presid	President
Trump	trump	Trump
will	will	will
need	need	need
the	the	the
full	full	full
support	support	support
of	of	of
the	the	the
elected	elect	elected
Republican	republican	Republican
leaders	leader	leader
in	in	in
Congress	congress	Congress
if	if	if
he	he	he
is	is	is
to	to	to
accomplish	accomplish	accomplish
all	all	all
that	that	that
he	he	he
promised	promis	promised
the	the	the
voters	voter	voter
he	he	he
would	would	would
do	do	do
if	if	if
elected	elect	elected
If	if	If
Speaker	speaker	Speaker
Ryan	ryan	Ryan
and	and	and
the	the	the
Republican	republican	Republican
leaders	leader	leader
in	in	in
Congress	congress	Congress
were	were	were
for	for	for
whatever	whatev	whatever
reason	reason	reason
,	,	,
to	to	to
turn	turn	turn
their	their	their
full	full	full
support	support	support
for	for	for
this	this	this
President	presid	President
and	and	and
his	his	his
agenda	agenda	agenda
,	,	,
the	the	the
next	next	next
100	100	100
days	day	day
of	of	of
his	his	his
term	term	term
would	would	would
be	be	be
even	even	even
more	more	more
remarkable	remark	remarkable
than	than	than
his	his	his
first	first	first
.	.	.

On	on	On
this	this	this
never	never	never
-before-released	-before-releas	-before-released
private	privat	private
October	octob	October
conference	confer	conference
call	call	call
with	with	with
House	hous	House
Republican	republican	Republican
members	member	member
,	,	,
House	hous	House
Speaker	speaker	Speaker
Paul	paul	Paul
Ryan	ryan	Ryan
told	told	told
his	his	his
members	member	member
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
he	he	he
was	was	wa
abandoning	abandon	abandoning
then	then	then
-GOP	-gop	-GOP
presidential	presidenti	presidential
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
forever	forev	forever
and	and	and
would	would	would
never	never	never
defend	defend	defend
him	him	him
ever	ever	ever
again	again	again
.	.	.
Listen	listen	Listen
to	to	to
the	the	the
call	call	call
that	that	that
was	was	wa
obtained	obtain	obtained
by	by	by
Breitbart	breitbart	Breitbart
News	news	News
reporter	report	reporter
Matthew	matthew	Matthew
Boyle	boyl	Boyle

