Our	our	Our
military	militari	military
men	men	men
and	and	and
women	women	woman
never	never	never
had	had	had
to	to	to
wonder	wonder	wonder
if	if	if
President	presid	President
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
cared	care	cared
about	about	about
them	them	them
Former	former	Former
Press	press	Press
Secretary	secretari	Secretary
for	for	for
George	georg	George
W	w	W
.	.	.
Bush	bush	Bush
,	,	,
Dana	dana	Dana
Perino	perino	Perino
,	,	,
has	has	ha
a	a	a
new	new	new
book	book	book
out	out	out
about	about	about
her	her	her
tenure	tenur	tenure
during	dure	during
the	the	the
Bush	bush	Bush
Administration	administr	Administration
entitled	entitl	entitled
,	,	,
And	and	And
the	the	the
Good	good	Good
News	news	News
Is	is	Is
Lessons	lesson	Lessons
and	and	and
Advice	advic	Advice
from	from	from
the	the	the
Bright	bright	Bright
Side	side	Side
.	.	.
One	one	One
of	of	of
the	the	the
stories	stori	story
from	from	from
the	the	the
book	book	book
is	is	is
certainly	certain	certainly
raising	rais	raising
some	some	some
eyebrows	eyebrow	eyebrow
about	about	about
the	the	the
former	former	former
president	presid	president
.	.	.
She	she	She
describes	describ	describes
a	a	a
visit	visit	visit
to	to	to
Walter	walter	Walter
Reed	reed	Reed
military	militari	military
hospital	hospit	hospital
by	by	by
the	the	the
then	then	then
president	presid	president
during	dure	during
2005	2005	2005
.	.	.
One	one	One
of	of	of
the	the	the
men	men	men
the	the	the
president	presid	president
was	was	wa
visiting	visit	visiting
was	was	wa
a	a	a
Marine	marin	Marine
who	who	who
was	was	wa
in	in	in
intensive	intens	intensive
care	care	care
.	.	.
What	what	What
s	s	s
his	his	his
prognosis	prognosi	prognosis
?	?	?
the	the	the
president	presid	president
asked	ask	asked
.	.	.
Well	well	Well
,	,	,
we	we	we
don	don	don
t	t	t
know	know	know
sir	sir	sir
,	,	,
because	becaus	because
he	he	he
s	s	s
not	not	not
opened	open	opened
his	his	his
eyes	eye	eye
since	sinc	since
he	he	he
arrived	arriv	arrived
,	,	,
so	so	so
we	we	we
haven	haven	haven
t	t	t
been	been	been
able	abl	able
to	to	to
communicate	communic	communicate
with	with	with
him	him	him
.	.	.
But	but	But
no	no	no
matter	matter	matter
what	what	what
,	,	,
Mr	mr	Mr
.	.	.
President	presid	President
,	,	,
he	he	he
has	has	ha
a	a	a
long	long	long
road	road	road
ahead	ahead	ahead
of	of	of
him	him	him
,	,	,
said	said	said
the	the	the
CNO	cno	CNO
.	.	.
The	the	The
president	presid	president
and	and	and
his	his	his
aides	aid	aide
then	then	then
proceeded	proceed	proceeded
to	to	to
carry	carri	carry
out	out	out
the	the	the
purple	purpl	purple
heart	heart	heart
ceremony	ceremoni	ceremony
for	for	for
the	the	the
young	young	young
,	,	,
unconscious	unconsci	unconscious
marine	marin	marine
.	.	.
The	the	The
Marine	marin	Marine
had	had	had
just	just	just
opened	open	opened
his	his	his
eyes	eye	eye
.	.	.
I	i	I
could	could	could
see	see	see
him	him	him
from	from	from
where	where	where
I	i	I
stood	stood	stood
.	.	.
The	the	The
CNO	cno	CNO
held	held	held
the	the	the
medical	medic	medical
team	team	team
back	back	back
and	and	and
said	said	said
,	,	,
Hold	hold	Hold
on	on	on
,	,	,
guys	guy	guy
.	.	.
I	i	I
think	think	think
he	he	he
wants	want	want
the	the	the
president	presid	president
.	.	.
The	the	The
president	presid	president
jumped	jump	jumped
up	up	up
and	and	and
rushed	rush	rushed
over	over	over
to	to	to
the	the	the
side	side	side
of	of	of
the	the	the
bed	bed	bed
.	.	.
He	he	He
cupped	cup	cupped
the	the	the
Marine	marin	Marine
s	s	s
face	face	face
in	in	in
his	his	his
hands	hand	hand
.	.	.
They	they	They
locked	lock	locked
eyes	eye	eye
,	,	,
and	and	and
after	after	after
a	a	a
couple	coupl	couple
of	of	of
moments	moment	moment
the	the	the
president	presid	president
,	,	,
without	without	without
breaking	break	breaking
eye	eye	eye
contact	contact	contact
,	,	,
said	said	said
to	to	to
the	the	the
military	militari	military
aide	aid	aide
,	,	,
Read	read	Read
it	it	it
again	again	again
.	.	.
So	so	So
we	we	we
stood	stood	stood
silently	silent	silently
as	as	a
the	the	the
military	militari	military
aide	aid	aide
presented	present	presented
the	the	the
Marine	marin	Marine
with	with	with
the	the	the
award	award	award
for	for	for
a	a	a
second	second	second
time	time	time
.	.	.
The	the	The
president	presid	president
had	had	had
tears	tear	tear
dripping	drip	dripping
from	from	from
his	his	his
eyes	eye	eye
onto	onto	onto
the	the	the
Marine	marin	Marine
s	s	s
face	face	face
.	.	.
As	as	As
the	the	the
presentation	present	presentation
ended	end	ended
,	,	,
the	the	the
president	presid	president
rested	rest	rested
his	his	his
forehead	forehead	forehead
on	on	on
the	the	the
Marine	marin	Marine
s	s	s
for	for	for
a	a	a
moment	moment	moment
.	.	.
Now	now	Now
everyone	everyon	everyone
was	was	wa
crying	cri	cry
,	,	,
and	and	and
for	for	for
so	so	so
many	mani	many
reasons	reason	reason
the	the	the
sacrifice	sacrific	sacrifice
;	;	;
the	the	the
pain	pain	pain
and	and	and
suffering	suffer	suffering
;	;	;
the	the	the
love	love	love
of	of	of
country	countri	country
;	;	;
the	the	the
belief	belief	belief
in	in	in
the	the	the
mission	mission	mission
;	;	;
and	and	and
the	the	the
witnessing	wit	witnessing
of	of	of
a	a	a
relationship	relationship	relationship
between	between	between
a	a	a
soldier	soldier	soldier
and	and	and
his	his	his
Commander	command	Commander
in	in	in
Chief	chief	Chief
that	that	that
the	the	the
rest	rest	rest
of	of	of
us	us	u
could	could	could
never	never	never
fully	fulli	fully
grasp	grasp	grasp
.	.	.
In	in	In
writing	write	writing
this	this	this
book	book	book
,	,	,
I	i	I
contacted	contact	contacted
several	sever	several
military	militari	military
aides	aid	aide
who	who	who
helped	help	helped
me	me	me
track	track	track
down	down	down
the	the	the
name	name	name
of	of	of
the	the	the
Marine	marin	Marine
.	.	.
I	i	I
hoped	hope	hoped
for	for	for
news	news	news
that	that	that
he	he	he
had	had	had
survived	surviv	survived
.	.	.
He	he	He
did	did	did
not	not	not
.	.	.
He	he	He
died	die	died
during	dure	during
surgery	surgeri	surgery
six	six	six
days	day	day
after	after	after
the	the	the
president	presid	president
s	s	s
visit	visit	visit
.	.	.
He	he	He
is	is	is
buried	buri	buried
at	at	at
Arlington	arlington	Arlington
Cemetery	cemeteri	Cemetery
and	and	and
is	is	is
survived	surviv	survived
by	by	by
his	his	his
wife	wife	wife
and	and	and
their	their	their
three	three	three
children	children	child
.	.	.
Via	via	Via
Controversial	controversi	Controversial
Times	time	Times
