Katrina	katrina	Katrina
Campins	campin	Campins
gave	gave	gave
an	an	an
excellent	excel	excellent
explanation	explan	explanation
of	of	of
Trump	trump	Trump
s	s	s
position	posit	position
on	on	on
immigration	immigr	immigration
and	and	and
the	the	the
press	press	press
As	as	As
an	an	an
American	american	American
I	i	I
feel	feel	feel
frustrated	frustrat	frustrated
because	becaus	because
people	peopl	people
are	are	are
losing	lose	losing
sight	sight	sight
of	of	of
what	what	what
Donald	donald	Donald
Trump	trump	Trump
is	is	is
trying	tri	trying
to	to	to
say	say	say
.	.	.
What	what	What
he	he	he
s	s	s
saying	say	saying
is	is	is
,	,	,
people	peopl	people
should	should	should
come	come	come
to	to	to
this	this	this
country	countri	country
legally	legal	legally
.	.	.
And	and	And
I	i	I
know	know	know
about	about	about
that	that	that
process	process	process
very	veri	very
well	well	well
because	becaus	because
my	my	my
husband	husband	husband
is	is	is
going	go	going
through	through	through
it	it	it
right	right	right
now	now	now
and	and	and
it	it	it
s	s	s
extremely	extrem	extremely
expensive	expens	expensive
.	.	.
So	so	So
there	there	there
s	s	s
more	more	more
incentive	incent	incentive
for	for	for
people	peopl	people
to	to	to
come	come	come
over	over	over
to	to	to
this	this	this
country	countri	country
illegally	illeg	illegally
.	.	.
So	so	So
all	all	all
he	he	he
s	s	s
saying	say	saying
is	is	is
,	,	,
let	let	let
s	s	s
make	make	make
the	the	the
process	process	process
to	to	to
come	come	come
here	here	here
easier	easier	easier
and	and	and
less	less	le
expensive	expens	expensive
so	so	so
there	there	there
s	s	s
more	more	more
incentive	incent	incentive
to	to	to
do	do	do
that	that	that
.	.	.
When	when	When
people	peopl	people
cross	cross	cross
the	the	the
border	border	border
who	who	who
are	are	are
not	not	not
supposed	suppos	supposed
to	to	to
be	be	be
here	here	here
,	,	,
let	let	let
s	s	s
make	make	make
sure	sure	sure
they	they	they
are	are	are
sent	sent	sent
back	back	back
.	.	.
But	but	But
what	what	what
the	the	the
media	media	medium
is	is	is
doing	do	doing
is	is	is
twisting	twist	twisting
and	and	and
turning	turn	turning
everything	everyth	everything
that	that	that
he	he	he
s	s	s
saying	say	saying
and	and	and
what	what	what
s	s	s
so	so	so
frustrating	frustrat	frustrating
as	as	a
an	an	an
American	american	American
is	is	is
that	that	that
the	the	the
point	point	point
is	is	is
not	not	not
getting	get	getting
across	across	across
.	.	.
We	we	We
re	re	re
so	so	so
worried	worri	worried
about	about	about
his	his	his
fights	fight	fight
with	with	with
Megyn	megyn	Megyn
Kelly	kelli	Kelly
and	and	and
Jorge	jorg	Jorge
Ramos	ramo	Ramos
now	now	now
,	,	,
let	let	let
s	s	s
talk	talk	talk
about	about	about
the	the	the
real	real	real
issues	issu	issue
I	i	I
don	don	don
t	t	t
think	think	think
it	it	it
s	s	s
his	his	his
fault	fault	fault
.	.	.
I	i	I
think	think	think
it	it	it
s	s	s
the	the	the
fact	fact	fact
that	that	that
everything	everyth	everything
he	he	he
says	say	say
gets	get	get
misconstrued	misconstru	misconstrued
.	.	.
Like	like	Like
this	this	this
immigration	immigr	immigration
thing	thing	thing
I	i	I
m	m	m
a	a	a
Hispanic	hispan	Hispanic
woman	woman	woman
and	and	and
I	i	I
m	m	m
not	not	not
offended	offend	offended
for	for	for
what	what	what
he	he	he
s	s	s
saying	say	saying
.	.	.
I	i	I
understood	understood	understood
exactly	exact	exactly
what	what	what
he	he	he
is	is	is
saying	say	saying
.	.	.
No	no	No
.	.	.
And	and	And
I	i	I
don	don	don
t	t	t
agree	agre	agree
that	that	that
I	i	I
m	m	m
in	in	in
the	the	the
minority	minor	minority
because	becaus	because
the	the	the
last	last	last
time	time	time
I	i	I
was	was	wa
on	on	on
CNN	cnn	CNN
speaking	speak	speaking
about	about	about
this	this	this
as	as	a
a	a	a
Hispanic	hispan	Hispanic
woman	woman	woman
,	,	,
so	so	so
many	mani	many
Hispanic	hispan	Hispanic
women	women	woman
tweeted	tweet	tweeted
me	me	me
and	and	and
said	said	said
,	,	,
Thank	thank	Thank
you	you	you
for	for	for
speaking	speak	speaking
for	for	for
the	the	the
real	real	real
Hispanic	hispan	Hispanic
woman	woman	woman
.	.	.
