Ever	ever	Ever
since	sinc	since
the	the	the
Supreme	suprem	Supreme
Court	court	Court
effectively	effect	effectively
legalized	legal	legalized
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
nationwide	nationwid	nationwide
,	,	,
a	a	a
few	few	few
things	thing	thing
have	have	have
happened	happen	happened
.	.	.
The	the	The
number	number	number
of	of	of
anti	anti	anti
-LGBT	-lgbt	-LGBT
hate	hate	hate
crimes	crime	crime
has	has	ha
seemed	seem	seemed
to	to	to
rise	rise	rise
,	,	,
the	the	the
Christian	christian	Christian
Right	right	Right
has	has	ha
gone	gone	gone
on	on	on
the	the	the
offensive	offens	offensive
and	and	and
,	,	,
in	in	in
the	the	the
process	process	process
,	,	,
has	has	ha
been	been	been
very	veri	very
offensive	offens	offensive
,	,	,
and	and	and
Republicans	republican	Republicans
just	just	just
can	can	can
t	t	t
stop	stop	stop
talking	talk	talking
about	about	about
men	men	men
kissing	kiss	kissing
and	and	and
the	the	the
possibility	possibl	possibility
of	of	of
penises	penis	penis
in	in	in
women	women	woman
s	s	s
restrooms	restroom	restroom
.	.	.
A	a	A
Kentucky	kentucki	Kentucky
woman	woman	woman
was	was	wa
a	a	a
victim	victim	victim
of	of	of
one	one	one
of	of	of
the	the	the
aforementioned	aforement	aforementioned
hate	hate	hate
crimes	crime	crime
on	on	on
Thursday	thursday	Thursday
simply	simpli	simply
because	becaus	because
a	a	a
man	man	man
thought	thought	thought
she	she	she
looked	look	looked
too	too	too
masculine	masculin	masculine
and	and	and
that	that	that
s	s	s
not	not	not
even	even	even
the	the	the
worst	worst	worst
part	part	part
.	.	.
Brittany	brittani	Brittany
Nicole	nicol	Nicole
Wallace	wallac	Wallace
wrote	wrote	wrote
on	on	on
her	her	her
Facebook	facebook	Facebook
timeline	timelin	timeline
that	that	that
a	a	a
man	man	man
assaulted	assault	assaulted
her	her	her
because	becaus	because
she	she	she
looks	look	look
like	like	like
a	a	a
dike	dike	dike
.	.	.
She	she	She
recounted	recount	recounted
the	the	the
horrifying	horrifi	horrifying
experience	experi	experience
He	he	He
told	told	told
me	me	me
that	that	that
he	he	he
would	would	would
beat	beat	beat
me	me	me
like	like	like
the	the	the
man	man	man
I	i	I
want	want	want
to	to	to
be	be	be
.	.	.
He	he	He
said	said	said
,	,	,
people	peopl	people
like	like	like
me	me	me
make	make	make
him	him	him
hate	hate	hate
the	the	the
world	world	world
.	.	.
He	he	He
started	start	started
by	by	by
hitting	hit	hitting
me	me	me
over	over	over
and	and	and
over	over	over
in	in	in
the	the	the
face	face	face
until	until	until
he	he	he
got	got	got
me	me	me
down	down	down
.	.	.
After	after	After
I	i	I
was	was	wa
down	down	down
he	he	he
began	began	began
to	to	to
kick	kick	kick
me	me	me
in	in	in
the	the	the
stomach	stomach	stomach
,	,	,
side	side	side
,	,	,
and	and	and
face	face	face
.	.	.
Anyone	anyon	Anyone
that	that	that
knows	know	know
me	me	me
knows	know	know
that	that	that
I	i	I
tried	tri	tried
my	my	my
best	best	best
to	to	to
fight	fight	fight
back	back	back
.	.	.
The	the	The
truth	truth	truth
is	is	is
he	he	he
was	was	wa
bigger	bigger	bigger
and	and	and
stronger	stronger	stronger
than	than	than
me	me	me
.	.	.
Then	then	Then
it	it	it
gets	get	get
heartbreaking	heartbreak	heartbreaking
.	.	.
Despite	despit	Despite
a	a	a
number	number	number
of	of	of
onlookers	onlook	onlooker
,	,	,
not	not	not
a	a	a
single	singl	single
person	person	person
stepped	step	stepped
in	in	in
to	to	to
help	help	help
.	.	.
Not	not	Not
a	a	a
single	singl	single
person	person	person
had	had	had
the	the	the
decency	decenc	decency
to	to	to
recognize	recogn	recognize
that	that	that
a	a	a
man	man	man
beating	beat	beating
a	a	a
woman	woman	woman
even	even	even
after	after	after
she	she	she
was	was	wa
on	on	on
the	the	the
ground	ground	ground
is	is	is
wrong	wrong	wrong
I	i	I
believe	believ	believe
that	that	that
if	if	if
I	i	I
had	had	had
long	long	long
hair	hair	hair
and	and	and
dressed	dress	dressed
more	more	more
feminine	feminin	feminine
this	this	this
would	would	would
not	not	not
have	have	have
happened	happen	happened
to	to	to
me	me	me
.	.	.
The	the	The
sad	sad	sad
part	part	part
is	is	is
that	that	that
no	no	no
one	one	one
would	would	would
come	come	come
help	help	help
me	me	me
either	either	either
.	.	.
Several	sever	Several
people	peopl	people
stood	stood	stood
around	around	around
and	and	and
watched	watch	watched
this	this	this
happen	happen	happen
to	to	to
me	me	me
.	.	.
Again	again	Again
,	,	,
I	i	I
truly	truli	truly
believe	believ	believe
that	that	that
if	if	if
I	i	I
had	had	had
a	a	a
more	more	more
feminine	feminin	feminine
appearance	appear	appearance
someone	someon	someone
would	would	would
have	have	have
helped	help	helped
.	.	.
Despite	despit	Despite
the	the	the
attack	attack	attack
,	,	,
Wallace	wallac	Wallace
says	say	say
that	that	that
it	it	it
has	has	ha
strengthened	strengthen	strengthened
her	her	her
resolve	resolv	resolve
to	to	to
fight	fight	fight
against	against	against
this	this	this
kind	kind	kind
of	of	of
hatred	hatr	hatred
This	this	This
has	has	ha
not	not	not
only	onli	only
physically	physic	physically
but	but	but
mentally	mental	mentally
and	and	and
emotionally	emot	emotionally
damaged	damag	damaged
me	me	me
.	.	.
I	i	I
will	will	will
do	do	do
everything	everyth	everything
I	i	I
can	can	can
to	to	to
try	tri	try
to	to	to
put	put	put
a	a	a
stop	stop	stop
to	to	to
this	this	this
hate	hate	hate
and	and	and
violence	violenc	violence
.	.	.
I	i	I
love	love	love
people	peopl	people
and	and	and
try	tri	try
to	to	to
help	help	help
people	peopl	people
all	all	all
the	the	the
time	time	time
.	.	.
All	all	All
I	i	I
ask	ask	ask
if	if	if
you	you	you
read	read	read
this	this	this
is	is	is
to	to	to
please	pleas	please
stop	stop	stop
the	the	the
hate	hate	hate
,	,	,
and	and	and
help	help	help
people	peopl	people
when	when	when
you	you	you
see	see	see
them	them	them
getting	get	getting
hurt	hurt	hurt
verbally	verbal	verbally
,	,	,
emotionally	emot	emotionally
and	and	and
physically	physic	physically
!	!	!
She	she	She
