New	new	New
US	us	US
Ambassador	ambassador	Ambassador
Nikki	nikki	Nikki
Haley	haley	Haley
strutted	strut	strutted
into	into	into
the	the	the
UN	un	UN
on	on	on
Friday	friday	Friday
with	with	with
a	a	a
blunt	blunt	blunt
message	messag	message
to	to	to
American	american	American
allies	alli	ally
For	for	For
those	those	those
who	who	who
don	don	don
t	t	t
have	have	have
our	our	our
backs	back	back
,	,	,
we	we	we
re	re	re
taking	take	taking
names	name	name
.	.	.

The	the	The
former	former	former
South	south	South
Carolina	carolina	Carolina
governor	governor	governor
made	made	made
the	the	the
remark	remark	remark
to	to	to
reporters	report	reporter
as	as	a
she	she	she
arrived	arriv	arrived
at	at	at
the	the	the
world	world	world
body	bodi	body
s	s	s
headquarters	headquart	headquarters
in	in	in
Manhattan	manhattan	Manhattan
to	to	to
present	present	present
her	her	her
credentials	credenti	credential
to	to	to
UN	un	UN
Secretary	secretari	Secretary
-General	-gener	-General
Antonio	antonio	Antonio
Guterres	guterr	Guterres
.	.	.

Our	our	Our
goal	goal	goal
with	with	with
the	the	the
administration	administr	administration
is	is	is
to	to	to
show	show	show
value	valu	value
at	at	at
the	the	the
UN	un	UN
and	and	and
the	the	the
way	way	way
that	that	that
we	we	we
ll	ll	ll
show	show	show
value	valu	value
is	is	is
to	to	to
show	show	show
our	our	our
strength	strength	strength
,	,	,
show	show	show
our	our	our
voice	voic	voice
,	,	,
have	have	have
the	the	the
backs	back	back
of	of	of
our	our	our
allies	alli	ally
and	and	and
make	make	make
sure	sure	sure
that	that	that
our	our	our
allies	alli	ally
have	have	have
our	our	our
back	back	back
as	as	a
well	well	well
,	,	,
she	she	she
said	said	said
.	.	.

For	for	For
those	those	those
that	that	that
don	don	don
t	t	t
have	have	have
our	our	our
back	back	back
,	,	,
we	we	we
re	re	re
taking	take	taking
names	name	name
,	,	,
we	we	we
will	will	will
make	make	make
points	point	point
to	to	to
respond	respond	respond
to	to	to
that	that	that
accordingly	accord	accordingly
,	,	,
President	presid	President
Trump	trump	Trump
s	s	s
envoy	envoy	envoy
said	said	said
.	.	.
She	she	She
said	said	said
Trump	trump	Trump
wants	want	want
her	her	her
to	to	to
put	put	put
fresh	fresh	fresh
eyes	eye	eye
on	on	on
the	the	the
UN	un	UN
.	.	.

Everything	everyth	Everything
that	that	that
s	s	s
working	work	working
,	,	,
we	we	we
re	re	re
going	go	going
to	to	to
make	make	make
it	it	it
better	better	better
,	,	,
she	she	she
said	said	said
.	.	.

Everything	everyth	Everything
that	that	that
s	s	s
not	not	not
working	work	working
we	we	we
re	re	re
going	go	going
to	to	to
try	tri	try
to	to	to
fix	fix	fix
,	,	,
and	and	and
anything	anyth	anything
that	that	that
seems	seem	seems
to	to	to
be	be	be
obsolete	obsolet	obsolete
and	and	and
not	not	not
necessary	necessari	necessary
we	we	we
re	re	re
going	go	going
to	to	to
do	do	do
away	away	away
with	with	with
.	.	.

She	she	She
then	then	then
hopped	hop	hopped
on	on	on
an	an	an
elevator	elev	elevator
and	and	and
went	went	went
to	to	to
the	the	the
38th	38th	38th
floor	floor	floor
to	to	to
meet	meet	meet
Guterres	guterr	Guterres
,	,	,
who	who	who
became	becam	became
UN	un	UN
chief	chief	chief
on	on	on
Jan	jan	Jan
.	.	.

1	1	1
.	.	.

They	they	They
then	then	then
went	went	went
into	into	into
his	his	his
office	offic	office
for	for	for
a	a	a
private	privat	private
sit	sit	sit
-down	-down	-down
.	.	.

There	there	There
have	have	have
been	been	been
reports	report	report
that	that	that
the	the	the
White	white	White
House	hous	House
is	is	is
poised	pois	poised
to	to	to
demand	demand	demand
major	major	major
cutbacks	cutback	cutback
in	in	in
UN	un	UN
agencies	agenc	agency
and	and	and
personnel	personnel	personnel
in	in	in
slashing	slash	slashing
Washington	washington	Washington
s	s	s
financial	financi	financial
contributions	contribut	contribution
to	to	to
the	the	the
organization	organ	organization
.	.	.

NYP	nyp	NYP

