As	as	As
Election	elect	Election
Day	day	Day
approaches	approach	approach
,	,	,
the	the	the
threat	threat	threat
of	of	of
violence	violenc	violence
and	and	and
bloodshed	bloodsh	bloodshed
is	is	is
becoming	becom	becoming
more	more	more
and	and	and
more	more	more
likely	like	likely
.	.	.
So	so	So
far	far	far
,	,	,
the	the	the
threats	threat	threat
of	of	of
a	a	a
violent	violent	violent
coup	coup	coup
against	against	against
the	the	the
federal	feder	federal
government	govern	government
had	had	had
only	onli	only
been	been	been
coming	come	coming
from	from	from
a	a	a
few	few	few
deplorable	deplor	deplorable
Trump	trump	Trump
supporters	support	supporter
like	like	like
Dan	dan	Dan
Bowman	bowman	Bowman
who	who	who
told	told	told
the	the	the
Boston	boston	Boston
Globe	globe	Globe
last	last	last
month	month	month
that	that	that
he	he	he
is	is	is
literally	liter	literally
hoping	hope	hoping
that	that	that
conservatives	conserv	conservative
overthrow	overthrow	overthrow
the	the	the
federal	feder	federal
government	govern	government
in	in	in
the	the	the
event	event	event
that	that	that
Trump	trump	Trump
loses	lose	loses
to	to	to
Hillary	hillari	Hillary
Clinton	clinton	Clinton
on	on	on
November	novemb	November
8th	8th	8th
.	.	.
If	if	If
she	she	she
s	s	s
in	in	in
office	offic	office
,	,	,
I	i	I
hope	hope	hope
we	we	we
can	can	can
start	start	start
a	a	a
coup	coup	coup
,	,	,
he	he	he
said	said	said
.	.	.
She	she	She
should	should	should
be	be	be
in	in	in
prison	prison	prison
or	or	or
shot	shot	shot
.	.	.
That	that	That
s	s	s
how	how	how
I	i	I
feel	feel	feel
about	about	about
it	it	it
.	.	.
We	we	We
re	re	re
going	go	going
to	to	to
have	have	have
a	a	a
revolution	revolut	revolution
and	and	and
take	take	take
them	them	them
out	out	out
of	of	of
office	offic	office
if	if	if
that	that	that
s	s	s
what	what	what
it	it	it
takes	take	take
.	.	.
There	there	There
s	s	s
going	go	going
to	to	to
be	be	be
a	a	a
lot	lot	lot
of	of	of
bloodshed	bloodsh	bloodshed
.	.	.
But	but	But
that	that	that
s	s	s
what	what	what
it	it	it
s	s	s
going	go	going
to	to	to
take	take	take
I	i	I
would	would	would
do	do	do
whatever	whatev	whatever
I	i	I
can	can	can
for	for	for
my	my	my
country	countri	country
.	.	.
Many	mani	Many
Trump	trump	Trump
supporters	support	supporter
have	have	have
echoed	echo	echoed
Bowman	bowman	Bowman
in	in	in
one	one	one
way	way	way
or	or	or
another	anoth	another
in	in	in
response	respons	response
to	to	to
Trump	trump	Trump
s	s	s
dubious	dubious	dubious
claims	claim	claim
that	that	that
the	the	the
election	elect	election
is	is	is
rigged	rig	rigged
against	against	against
him	him	him
.	.	.
And	and	And
now	now	now
things	thing	thing
just	just	just
escalated	escal	escalated
because	becaus	because
right	right	right
-wing	-wing	-wing
militias	militia	militia
are	are	are
actively	activ	actively
preparing	prepar	preparing
to	to	to
join	join	join
such	such	such
a	a	a
movement	movement	movement
should	should	should
their	their	their
fellow	fellow	fellow
Trump	trump	Trump
supporters	support	supporter
follow	follow	follow
through	through	through
on	on	on
their	their	their
threats	threat	threat
.	.	.
The	the	The
Oathkeepers	oathkeep	Oathkeepers
and	and	and
Three	three	Three
Percent	percent	Percent
Security	secur	Security
Force	forc	Force
are	are	are
right	right	right
-wing	-wing	-wing
militia	militia	militia
groups	group	group
that	that	that
have	have	have
been	been	been
conducting	conduct	conducting
training	train	training
sessions	session	session
in	in	in
recent	recent	recent
weeks	week	week
in	in	in
preparation	prepar	preparation
for	for	for
a	a	a
violent	violent	violent
rebellion	rebellion	rebellion
if	if	if
Donald	donald	Donald
Trump	trump	Trump
loses	lose	loses
the	the	the
election	elect	election
.	.	.
Right	right	Right
-wing	-wing	-wing
terrorist	terrorist	terrorist
wannabe	wannab	wannabe
Chris	chris	Chris
Hill	hill	Hill
told	told	told
Reuters	reuter	Reuters
that	that	that
his	his	his
militia	militia	militia
group	group	group
is	is	is
training	train	training
to	to	to
save	save	save
America	america	America
.	.	.
This	this	This
is	is	is
the	the	the
last	last	last
chance	chanc	chance
to	to	to
save	save	save
America	america	America
from	from	from
ruin	ruin	ruin
,	,	,
Hill	hill	Hill
said	said	said
.	.	.
I	i	I
m	m	m
surprised	surpris	surprised
I	i	I
was	was	wa
able	abl	able
to	to	to
survive	surviv	survive
or	or	or
suffer	suffer	suffer
through	through	through
eight	eight	eight
years	year	year
of	of	of
Obama	obama	Obama
without	without	without
literally	liter	literally
going	go	going
insane	insan	insane
,	,	,
but	but	but
Hillary	hillari	Hillary
is	is	is
going	go	going
to	to	to
be	be	be
more	more	more
of	of	of
the	the	the
same	same	same
.	.	.
Hill	hill	Hill
further	further	further
implied	impli	implied
that	that	that
his	his	his
group	group	group
will	will	will
act	act	act
to	to	to
protect	protect	protect
any	ani	any
so	so	so
-called	-call	-called
protesters	protest	protester
who	who	who
try	tri	try
to	to	to
overthrow	overthrow	overthrow
the	the	the
government	govern	government
,	,	,
which	which	which
means	mean	mean
shooting	shoot	shooting
federal	feder	federal
authorities	author	authority
who	who	who
try	tri	try
to	to	to
disarm	disarm	disarm
them	them	them
.	.	.
I	i	I
will	will	will
be	be	be
there	there	there
to	to	to
render	render	render
assistance	assist	assistance
to	to	to
my	my	my
fellow	fellow	fellow
countrymen	countrymen	countryman
,	,	,
and	and	and
prevent	prevent	prevent
them	them	them
from	from	from
being	be	being
disarmed	disarm	disarmed
,	,	,
and	and	and
I	i	I
will	will	will
fight	fight	fight
and	and	and
I	i	I
will	will	will
kill	kill	kill
and	and	and
I	i	I
may	may	may
die	die	die
in	in	in
the	the	the
process	process	process
,	,	,
Hill	hill	Hill
said	said	said
.	.	.
We	we	We
ve	ve	ve
been	been	been
building	build	building
up	up	up
for	for	for
this	this	this
,	,	,
just	just	just
like	like	like
the	the	the
Marines	marin	Marines
,	,	,
he	he	he
continued	continu	continued
.	.	.
We	we	We
are	are	are
going	go	going
to	to	to
really	realli	really
train	train	train
harder	harder	harder
and	and	and
try	tri	try
to	to	to
increase	increas	increase
our	our	our
operational	oper	operational
capabilities	capabl	capability
in	in	in
the	the	the
event	event	event
that	that	that
this	this	this
is	is	is
the	the	the
day	day	day
that	that	that
we	we	we
hoped	hope	hoped
would	would	would
never	never	never
come	come	come
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
these	these	these
Trump	trump	Trump
supporting	support	supporting
militias	militia	militia
are	are	are
have	have	have
literally	liter	literally
been	been	been
preparing	prepar	preparing
to	to	to
launch	launch	launch
a	a	a
terrorist	terrorist	terrorist
attack	attack	attack
against	against	against
the	the	the
United	unit	United
States	state	States
if	if	if
the	the	the
election	elect	election
does	doe	doe
not	not	not
go	go	go
their	their	their
way	way	way
.	.	.
And	and	And
it	it	it
s	s	s
even	even	even
scarier	scarier	scarier
because	becaus	because
these	these	these
gun	gun	gun
nuts	nut	nut
don	don	don
t	t	t
think	think	think
they	they	they
can	can	can
be	be	be
punished	punish	punished
for	for	for
their	their	their
actions	action	action
since	sinc	since
the	the	the
Bundy	bundi	Bundy
brothers	brother	brother
and	and	and
their	their	their
fellow	fellow	fellow
terrorists	terrorist	terrorist
were	were	were
acquitted	acquit	acquitted
by	by	by
a	a	a
jury	juri	jury
in	in	in
what	what	what
is	is	is
one	one	one
of	of	of
the	the	the
worst	worst	worst
miscarriages	miscarriag	miscarriage
of	of	of
justice	justic	justice
in	in	in
American	american	American
history	histori	history
.	.	.
Now	now	Now
right	right	right
-wing	-wing	-wing
militias	militia	militia
are	are	are
only	onli	only
emboldened	embolden	emboldened
.	.	.
If	if	If
the	the	the
Bundys	bundi	Bundys
can	can	can
seize	seiz	seize
a	a	a
federal	feder	federal
building	build	building
and	and	and
get	get	get
away	away	away
with	with	with
it	it	it
,	,	,
maybe	mayb	maybe
they	they	they
think	think	think
they	they	they
can	can	can
get	get	get
away	away	away
with	with	with
overthrowing	overthrow	overthrowing
the	the	the
federal	feder	federal
government	govern	government
.	.	.
These	these	These
people	peopl	people
are	are	are
a	a	a
threat	threat	threat
to	to	to
our	our	our
democracy	democraci	democracy
and	and	and
our	our	our
institutions	institut	institution
and	and	and
they	they	they
should	should	should
be	be	be
arrested	arrest	arrested
before	befor	before
Election	elect	Election
Day	day	Day
to	to	to
ensure	ensur	ensure
public	public	public
safety	safeti	safety
.	.	.
If	if	If
Trump	trump	Trump
loses	lose	loses
he	he	he
needs	need	need
to	to	to
grow	grow	grow
a	a	a
pair	pair	pair
and	and	and
concede	conced	concede
,	,	,
because	becaus	because
if	if	if
he	he	he
doesn	doesn	doesn
t	t	t
he	he	he
should	should	should
be	be	be
charged	charg	charged
and	and	and
imprisoned	imprison	imprisoned
for	for	for
any	ani	any
blood	blood	blood
that	that	that
is	is	is
spilled	spill	spilled
as	as	a
a	a	a
result	result	result
of	of	of
his	his	his
refusal	refus	refusal
to	to	to
do	do	do
what	what	what
every	everi	every
other	other	other
losing	lose	losing
presidential	presidenti	presidential
contender	contend	contender
has	has	ha
done	done	done
throughout	throughout	throughout
American	american	American
history	histori	history
.	.	.
Featured	featur	Featured
Image	imag	Image
Spencer	spencer	Spencer
Platt	platt	Platt
Getty	getti	Getty
Images	imag	Images
