D	d	D
Ann	ann	Ann
Loop	loop	Loop
of	of	of
Brownsville	brownsvill	Brownsville
,	,	,
Texas	texa	Texas
lost	lost	lost
much	much	much
of	of	of
her	her	her
land	land	land
ten	ten	ten
years	year	year
ago	ago	ago
when	when	when
the	the	the
Bush	bush	Bush
administration	administr	administration
decided	decid	decided
to	to	to
put	put	put
up	up	up
a	a	a
border	border	border
fence	fenc	fence
that	that	that
stretched	stretch	stretched
across	across	across
what	what	what
used	use	used
to	to	to
be	be	be
much	much	much
of	of	of
her	her	her
property	properti	property
.	.	.
Loop	loop	Loop
and	and	and
her	her	her
husband	husband	husband
found	found	found
themselves	themselv	themselves
effectively	effect	effectively
locked	lock	locked
out	out	out
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
as	as	a
even	even	even
their	their	their
home	home	home
ended	end	ended
up	up	up
on	on	on
the	the	the
Mexico	mexico	Mexico
side	side	side
of	of	of
the	the	the
fence	fenc	fence
.	.	.

Their	their	Their
only	onli	only
access	access	access
is	is	is
a	a	a
locked	lock	locked
gate	gate	gate
.	.	.
The	the	The
couple	coupl	couple
fought	fought	fought
to	to	to
keep	keep	keep
their	their	their
land	land	land
and	and	and
lost	lost	lost
in	in	in
court	court	court
,	,	,
placing	place	placing
all	all	all
of	of	of
their	their	their
property	properti	property
on	on	on
the	the	the
southern	southern	southern
side	side	side
of	of	of
the	the	the
fence	fenc	fence
and	and	and
their	their	their
nightmare	nightmar	nightmare
is	is	is
about	about	about
to	to	to
become	becom	become
very	veri	very
real	real	real
for	for	for
potentially	potenti	potentially
thousands	thousand	thousand
of	of	of
people	peopl	people
.	.	.
You	you	You
see	see	see
,	,	,
recently	recent	recently
Texans	texan	Texans
along	along	along
the	the	the
border	border	border
learned	learn	learned
that	that	that
The	the	The
Donald	donald	Donald
was	was	wa
forcing	forc	forcing
them	them	them
out	out	out
of	of	of
their	their	their
homes	home	home
for	for	for
much	much	much
less	less	le
than	than	than
they	they	they
are	are	are
worth	worth	worth
.	.	.

If	if	If
they	they	they
choose	choos	choose
to	to	to
stay	stay	stay
in	in	in
their	their	their
homes	home	home
,	,	,
some	some	some
of	of	of
them	them	them
have	have	have
discovered	discov	discovered
they	they	they
will	will	will
soon	soon	soon
be	be	be
living	live	living
among	among	among
the	the	the
criminal	crimin	criminal
hordes	hord	horde
down	down	down
south	south	south
.	.	.

I	i	I
was	was	wa
very	veri	very
angry	angri	angry
,	,	,
I	i	I
just	just	just
kept	kept	kept
saying	say	saying
,	,	,
how	how	how
can	can	can
they	they	they
do	do	do
that	that	that
?	?	?

How	how	How
is	is	is
that	that	that
possible	possibl	possible
in	in	in
the	the	the
United	unit	United
States	state	States
that	that	that
they	they	they
can	can	can
do	do	do
this	this	this
?	?	?

Loop	loop	Loop
says	say	say
.	.	.

They	they	They
put	put	put
up	up	up
a	a	a
fence	fenc	fence
in	in	in
front	front	front
of	of	of
our	our	our
land	land	land
and	and	and
then	then	then
keep	keep	keep
us	us	u
in	in	in
here	here	here
lock	lock	lock
us	us	u
in	in	in
.	.	.

I	i	I
didn	didn	didn
t	t	t
understand	understand	understand
.	.	.

I	i	I
was	was	wa
very	veri	very
I	i	I
was	was	wa
floored	floor	floored
and	and	and
flabbergasted	flabbergast	flabbergasted
.	.	.

You	you	You
hear	hear	hear
that	that	that
,	,	,
folks	folk	folk
?	?	?

Floored	floor	Floored
and	and	and
flabbergasted	flabbergast	flabbergasted
.	.	.

It	it	It
left	left	left
us	us	u
no	no	no
property	properti	property
on	on	on
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
side	side	side
of	of	of
the	the	the
border	border	border
wall	wall	wall
,	,	,
including	includ	including
my	my	my
house	hous	house
,	,	,
she	she	she
says	say	say
.	.	.

Everything	everyth	Everything
was	was	wa
behind	behind	behind
on	on	on
the	the	the
Mexican	mexican	Mexican
side	side	side
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
border	border	border
fence	fenc	fence
.	.	.

You	you	You
punch	punch	punch
your	your	your
code	code	code
in	in	in
or	or	or
you	you	you
come	come	come
behind	behind	behind
the	the	the
border	border	border
wall	wall	wall
,	,	,
there	there	there
is	is	is
a	a	a
feeling	feel	feeling
of	of	of
isolation	isol	isolation
,	,	,
her	her	her
husband	husband	husband
,	,	,
Ray	ray	Ray
Loop	loop	Loop
,	,	,
added	ad	added
.	.	.
Thousands	thousand	Thousands
of	of	of
land	land	land
owners	owner	owner
Trump	trump	Trump
voters	voter	voter
and	and	and
otherwise	otherwis	otherwise
along	along	along
the	the	the
Texas	texa	Texas
border	border	border
will	will	will
soon	soon	soon
find	find	find
themselves	themselv	themselves
suffering	suffer	suffering
buyer	buyer	buyer
s	s	s
remorse	remors	remorse
for	for	for
the	the	the
snake	snake	snake
oil	oil	oil
they	they	they
purchased	purchas	purchased
from	from	from
our	our	our
huckster	huckster	huckster
-in-chief	-in-chief	-in-chief
.	.	.
Trump	trump	Trump
voter	voter	voter
Pat	pat	Pat
Bell	bell	Bell
was	was	wa
fine	fine	fine
with	with	with
The	the	The
Donald	donald	Donald
until	until	until
she	she	she
learned	learn	learned
that	that	that
his	his	his
stupid	stupid	stupid
wall	wall	wall
placed	place	placed
her	her	her
in	in	in
danger	danger	danger
of	of	of
living	live	living
like	like	like
the	the	the
Loops	loop	Loops
.	.	.

While	while	While
she	she	she
opposed	oppos	opposed
the	the	the
wall	wall	wall
because	becaus	because
fences	fenc	fence
and	and	and
walls	wall	wall
don	don	don
t	t	t
work	work	work
she	she	she
was	was	wa
fine	fine	fine
with	with	with
the	the	the
other	other	other
hatred	hatr	hatred
espoused	espous	espoused
by	by	by
Trump	trump	Trump
and	and	and
his	his	his
supporters	support	supporter
,	,	,
of	of	of
course	cours	course
,	,	,
she	she	she
is	is	is
finding	find	finding
herself	herself	herself
negatively	negat	negatively
impacted	impact	impacted
by	by	by
Mr	mr	Mr
.	.	.
45	45	45
s	s	s
policies	polici	policy
.	.	.

Absolutely	absolut	Absolutely
I	i	I
would	would	would
go	go	go
to	to	to
the	the	the
people	peopl	people
who	who	who
are	are	are
in	in	in
charge	charg	charge
and	and	and
,	,	,
you	you	you
hate	hate	hate
to	to	to
say	say	say
I	i	I
would	would	would
get	get	get
a	a	a
lawyer	lawyer	lawyer
,	,	,
but	but	but
if	if	if
it	it	it
comes	come	come
to	to	to
that	that	that
issue	issu	issue
,	,	,
you	you	you
would	would	would
,	,	,
she	she	she
says	say	say
.	.	.
Trump	trump	Trump
voters	voter	voter
are	are	are
perfectly	perfect	perfectly
fine	fine	fine
with	with	with
banning	ban	banning
an	an	an
entire	entir	entire
religion	religion	religion
from	from	from
entering	enter	entering
the	the	the
country	countri	country
and	and	and
building	build	building
a	a	a
wall	wall	wall
to	to	to
keep	keep	keep
all	all	all
those	those	those
dirty	dirti	dirty
brown	brown	brown
rapists	rapist	rapist
to	to	to
the	the	the
south	south	south
from	from	from
entering	enter	entering
the	the	the
country	countri	country
even	even	even
gutting	gut	gutting
social	social	social
programs	program	program
but	but	but
the	the	the
second	second	second
Trump	trump	Trump
s	s	s
terrible	terribl	terrible
policies	polici	policy
begin	begin	begin
to	to	to
affect	affect	affect
them	them	them
,	,	,
they	they	they
will	will	will
cry	cri	cry
about	about	about
how	how	how
unfair	unfair	unfair
their	their	their
lives	live	life
are	are	are
.	.	.
Watch	watch	Watch
a	a	a
report	report	report
on	on	on
the	the	the
Loops	loop	Loops
predicament	predica	predicament
below	below	below
Featured	featur	Featured
image	imag	image
via	via	via
screengrab	screengrab	screengrab

