Hillary	hillari	Hillary
Clinton	clinton	Clinton
is	is	is
far	far	far
from	from	from
the	the	the
perfect	perfect	perfect
politician	politician	politician
.	.	.

She	she	She
sometimes	sometim	sometimes
comes	come	come
across	across	across
as	as	a
cold	cold	cold
,	,	,
as	as	a
unemotional	unemot	unemotional
.	.	.

She	she	She
,	,	,
unlike	unlik	unlike
her	her	her
opponent	oppon	opponent
,	,	,
though	though	though
,	,	,
is	is	is
perfectly	perfect	perfectly
aware	awar	aware
of	of	of
her	her	her
flaws	flaw	flaw
and	and	and
in	in	in
a	a	a
deeply	deepli	deeply
moving	move	moving
op	op	op
-ed	-ed	-ed
in	in	in
the	the	the
Humans	human	Humans
of	of	of
New	new	New
York	york	York
blog	blog	blog
,	,	,
Clinton	clinton	Clinton
opens	open	open
up	up	up
about	about	about
her	her	her
flaws	flaw	flaw
and	and	and
about	about	about
being	be	being
a	a	a
woman	woman	woman
in	in	in
what	what	what
s	s	s
still	still	still
a	a	a
man	man	man
s	s	s
world	world	world
.	.	.
If	if	If
anyone	anyon	anyone
is	is	is
demonstrating	demonstr	demonstrating
the	the	the
double	doubl	double
standard	standard	standard
between	between	between
women	women	woman
and	and	and
men	men	men
,	,	,
it	it	it
s	s	s
Clinton	clinton	Clinton
s	s	s
opponent	oppon	opponent
,	,	,
Donald	donald	Donald
Trump	trump	Trump
,	,	,
who	who	who
just	just	just
this	this	this
week	week	week
said	said	said
that	that	that
Clinton	clinton	Clinton
doesn	doesn	doesn
t	t	t
have	have	have
a	a	a
presidential	presidenti	presidential
look	look	look
.	.	.

Yeah	yeah	Yeah
,	,	,
we	we	we
know	know	know
what	what	what
that	that	that
means	mean	mean
.	.	.

Or	or	Or
how	how	how
about	about	about
the	the	the
people	peopl	people
who	who	who
are	are	are
criticizing	critic	criticizing
Clinton	clinton	Clinton
for	for	for
not	not	not
smiling	smile	smiling
enough	enough	enough
?	?	?

Could	could	Could
you	you	you
imagine	imagin	imagine
that	that	that
happening	happen	happening
with	with	with
a	a	a
man	man	man
?	?	?
By	by	By
this	this	this
time	time	time
,	,	,
Clinton	clinton	Clinton
is	is	is
used	use	used
to	to	to
the	the	the
double	doubl	double
standard	standard	standard
,	,	,
but	but	but
it	it	it
does	doe	doe
make	make	make
it	it	it
