Anyone	anyon	Anyone
with	with	with
any	ani	any
sense	sens	sense
of	of	of
history	histori	history
realizes	realiz	realizes
that	that	that
the	the	the
Confederate	confeder	Confederate
States	state	States
of	of	of
America	america	America
and	and	and
those	those	those
who	who	who
supported	support	supported
them	them	them
were	were	were
traitors	traitor	traitor
who	who	who
should	should	should
have	have	have
been	been	been
in	in	in
jail	jail	jail
for	for	for
treason	treason	treason
.	.	.
Educated	educ	Educated
people	peopl	people
also	also	also
know	know	know
that	that	that
the	the	the
Confederate	confeder	Confederate
flag	flag	flag
,	,	,
and	and	and
honoring	honor	honoring
events	event	event
from	from	from
the	the	the
Confederacy	confederaci	Confederacy
is	is	is
largely	larg	largely
seen	seen	seen
as	as	a
racist	racist	racist
,	,	,
and	and	and
with	with	with
good	good	good
reason	reason	reason
.	.	.
However	howev	However
,	,	,
none	none	none
of	of	of
this	this	this
has	has	ha
stopped	stop	stopped
Mississippi	mississippi	Mississippi
Governor	governor	Governor
Phil	phil	Phil
Bryant	bryant	Bryant
R	r	R
-Of	-of	-Of
course	cours	course
from	from	from
declaring	declar	declaring
,	,	,
through	through	through
an	an	an
official	offici	official
proclamation	proclam	proclamation
,	,	,
that	that	that
the	the	the
month	month	month
of	of	of
April	april	April
is	is	is
now	now	now
Confederate	confeder	Confederate
Heritage	heritag	Heritage
Month	month	Month
.	.	.
He	he	He
chose	chose	chose
the	the	the
month	month	month
of	of	of
April	april	April
,	,	,
because	becaus	because
,	,	,
according	accord	according
to	to	to
him	him	him
,	,	,
it	it	it
is	is	is
the	the	the
time	time	time
of	of	of
year	year	year
in	in	in
which	which	which
the	the	the
Confederate	confeder	Confederate
States	state	States
began	began	began
and	and	and
ended	end	ended
a	a	a
four	four	four
-year	-year	-year
struggle	struggl	struggle
.	.	.
Bryant	bryant	Bryant
says	say	say
in	in	in
his	his	his
official	offici	official
proclamation	proclam	proclamation
It	it	It
is	is	is
important	import	important
for	for	for
all	all	all
Americans	american	Americans
to	to	to
reflect	reflect	reflect
open	open	open
our	our	our
nation	nation	nation
s	s	s
past	past	past
,	,	,
to	to	to
gain	gain	gain
insight	insight	insight
from	from	from
our	our	our
mistakes	mistak	mistake
and	and	and
successes	success	success
,	,	,
and	and	and
to	to	to
come	come	come
to	to	to
a	a	a
full	full	full
understanding	understand	understanding
that	that	that
the	the	the
lessons	lesson	lesson
learned	learn	learned
yesterday	yesterday	yesterday
and	and	and
today	today	today
will	will	will
carry	carri	carry
us	us	u
through	through	through
tomorrow	tomorrow	tomorrow
if	if	if
we	we	we
carefully	care	carefully
and	and	and
earnestly	earnest	earnestly
strive	strive	strive
to	to	to
understand	understand	understand
and	and	and
appreciate	appreci	appreciate
our	our	our
heritage	heritag	heritage
and	and	and
our	our	our
opportunities	opportun	opportunity
which	which	which
lie	lie	lie
before	befor	before
us	us	u
.	.	.
Here	here	Here
is	is	is
an	an	an
image	imag	image
of	of	of
the	the	the
proclamation	proclam	proclamation
,	,	,
courtesy	courtesi	courtesy
of	of	of
NY	ny	NY
Daily	daili	Daily
News	news	News
Facebook	facebook	Facebook
Yes	yes	Yes
,	,	,
reflection	reflect	reflection
is	is	is
important	import	important
Governor	governor	Governor
Bryant	bryant	Bryant
.	.	.
However	howev	However
,	,	,
what	what	what
you	you	you
are	are	are
doing	do	doing
is	is	is
not	not	not
reflecting	reflect	reflecting
.	.	.
You	you	You
are	are	are
celebrating	celebr	celebrating
treasonous	treason	treasonous
slave	slave	slave
owners	owner	owner
,	,	,
celebrating	celebr	celebrating
what	what	what
is	is	is
arguably	arguabl	arguably
the	the	the
darkest	darkest	darkest
time	time	time
in	in	in
American	american	American
history	histori	history
.	.	.
That	that	That
is	is	is
nothing	noth	nothing
to	to	to
be	be	be
celebrated	celebr	celebrated
.	.	.
You	you	You
can	can	can
teach	teach	teach
history	histori	history
,	,	,
even	even	even
ugly	ugli	ugly
history	histori	history
,	,	,
without	without	without
celebrating	celebr	celebrating
it	it	it
with	with	with
nostalgia	nostalgia	nostalgia
and	and	and
making	make	making
it	it	it
out	out	out
to	to	to
be	be	be
something	someth	something
good	good	good
.	.	.
Then	then	Then
again	again	again
,	,	,
Gov	gov	Gov
.	.	.
Bryant	bryant	Bryant
likely	like	likely
does	doe	doe
not	not	not
understand	understand	understand
any	ani	any
of	of	of
this	this	this
,	,	,
seeing	see	seeing
as	as	a
this	this	this
proclamation	proclam	proclamation
,	,	,
inspired	inspir	inspired
by	by	by
the	the	the
very	veri	very
racist	racist	racist
,	,	,
pro	pro	pro
-Confederacy	-confederaci	-Confederacy
group	group	group
Sons	son	Sons
of	of	of
Confederate	confeder	Confederate
Veterans	veteran	Veterans
.	.	.
Bryant	bryant	Bryant
also	also	also
said	said	said
if	if	if
those	those	those
who	who	who
fought	fought	fought
for	for	for
the	the	the
south	south	south
during	dure	during
the	the	the
Civil	civil	Civil
War	war	War
The	the	The
citizen	citizen	citizen
-soldiers	-soldier	-soldiers
who	who	who
fought	fought	fought
for	for	for
the	the	the
Confederacy	confederaci	Confederacy
personified	personifi	personified
the	the	the
best	best	best
qualities	qualiti	quality
of	of	of
America	america	America
.	.	.
The	the	The
preservation	preserv	preservation
of	of	of
liberty	liberti	liberty
and	and	and
freedom	freedom	freedom
was	was	wa
the	the	the
motivating	motiv	motivating
factor	factor	factor
in	in	in
the	the	the
South	south	South
s	s	s
decision	decis	decision
to	to	to
fight	fight	fight
the	the	the
Second	second	Second
American	american	American
Revolution	revolut	Revolution
.	.	.
Calling	call	Calling
the	the	the
Civil	civil	Civil
War	war	War
the	the	the
Second	second	Second
American	american	American
Revolution	revolut	Revolution
is	is	is
problematic	problemat	problematic
enough	enough	enough
in	in	in
and	and	and
of	of	of
itself	itself	itself
,	,	,
but	but	but
to	to	to
refer	refer	refer
to	to	to
Confederate	confeder	Confederate
traitors	traitor	traitor
as	as	a
people	peopl	people
who	who	who
personified	personifi	personified
the	the	the
best	best	best
qualities	qualiti	quality
of	of	of
America	america	America
is	is	is
truly	truli	truly
beyond	beyond	beyond
the	the	the
pale	pale	pale
.	.	.
This	this	This
man	man	man
has	has	ha
no	no	no
business	busi	business
running	run	running
a	a	a
state	state	state
,	,	,
or	or	or
being	be	being
in	in	in
any	ani	any
position	posit	position
of	of	of
power	power	power
whatsoever	whatsoev	whatsoever
.	.	.
Time	time	Time
to	to	to
step	step	step
down	down	down
,	,	,
Governor	governor	Governor
Bryant	bryant	Bryant
.	.	.
You	you	You
are	are	are
a	a	a
disgrace	disgrac	disgrace
to	to	to
this	this	this
country	countri	country
and	and	and
to	to	to
the	the	the
office	offic	office
you	you	you
hold	hold	hold
.	.	.
Featured	featur	Featured
image	imag	image
via	via	via
Phil	phil	Phil
Bryant	bryant	Bryant
Facebook	facebook	Facebook
