Did	did	Did
you	you	you
know	know	know
that	that	that
only	onli	only
3	3	3
of	of	of
the	the	the
125	125	125
,	,	,
000	000	000
illegal	illeg	illegal
minors	minor	minor
have	have	have
been	been	been
deported	deport	deported
?	?	?
Thomas	thoma	Thomas
Homan	homan	Homan
,	,	,
the	the	the
head	head	head
of	of	of
deportation	deport	deportation
operations	oper	operation
at	at	at
ICE	ice	ICE
,	,	,
told	told	told
the	the	the
Senate	senat	Senate
Judiciary	judiciari	Judiciary
Committee	committe	Committee
says	say	say
that	that	that
the	the	the
Spanish	spanish	Spanish
-language	-languag	-language
media	media	medium
is	is	is
giving	give	giving
instructions	instruct	instruction
on	on	on
how	how	how
to	to	to
avoid	avoid	avoid
ICE	ice	ICE
agents	agent	agent
and	and	and
foil	foil	foil
deportation	deport	deportation
orders	order	order
.	.	.
The	the	The
pitiful	piti	pitiful
effort	effort	effort
to	to	to
apprehend	apprehend	apprehend
and	and	and
deport	deport	deport
illegals	illeg	illegals
only	onli	only
fuels	fuel	fuel
the	the	the
desire	desir	desire
for	for	for
more	more	more
and	and	and
more	more	more
illegals	illeg	illegals
to	to	to
try	tri	try
and	and	and
cross	cross	cross
into	into	into
America	america	America
.	.	.
In	in	In
fact	fact	fact
,	,	,
the	the	the
numbers	number	number
are	are	are
expected	expect	expected
to	to	to
increase	increas	increase
for	for	for
2016	2016	2016
!	!	!
Spanish	spanish	Spanish
-language	-languag	-language
media	media	medium
and	and	and
human	human	human
rights	right	right
activists	activist	activist
are	are	are
actively	activ	actively
educating	educ	educating
illegal	illeg	illegal
immigrants	immigr	immigrant
on	on	on
how	how	how
to	to	to
break	break	break
the	the	the
law	law	law
,	,	,
avoid	avoid	avoid
immigration	immigr	immigration
agents	agent	agent
and	and	and
remain	remain	remain
in	in	in
the	the	the
country	countri	country
even	even	even
after	after	after
a	a	a
judge	judg	judge
has	has	ha
ordered	order	ordered
them	them	them
to	to	to
be	be	be
kicked	kick	kicked
out	out	out
,	,	,
a	a	a
top	top	top
Obama	obama	Obama
administration	administr	administration
official	offici	official
testified	testifi	testified
to	to	to
Congress	congress	Congress
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
Sometimes	sometim	Sometimes
families	famili	family
shield	shield	shield
the	the	the
children	children	child
by	by	by
refusing	refus	refusing
to	to	to
open	open	open
the	the	the
door	door	door
to	to	to
Immigration	immigr	Immigration
and	and	and
Customs	custom	Customs
Enforcement	enforc	Enforcement
ICE	ice	ICE
agents	agent	agent
,	,	,
and	and	and
other	other	other
times	time	time
they	they	they
move	move	move
the	the	the
children	children	child
to	to	to
other	other	other
locations	locat	location
,	,	,
breaking	break	breaking
their	their	their
agreement	agreement	agreement
with	with	with
the	the	the
Obama	obama	Obama
administration	administr	administration
to	to	to
notify	notifi	notify
the	the	the
government	govern	government
of	of	of
the	the	the
children	children	child
s	s	s
whereabouts	whereabout	whereabouts
.	.	.
HERE	here	HERE
S	s	S
THOMAS	thoma	THOMAS
HOMAN	homan	HOMAN
S	s	S
TESTIMONY	testimoni	TESTIMONY
FROM	from	FROM
2014	2014	2014
In	in	In
as	as	a
many	mani	many
as	as	a
75	75	75
percent	percent	percent
of	of	of
cases	case	case
,	,	,
the	the	the
children	children	child
are	are	are
actively	activ	actively
hidden	hidden	hidden
from	from	from
agents	agent	agent
sent	sent	sent
out	out	out
to	to	to
try	tri	try
to	to	to
deport	deport	deport
them	them	them
,	,	,
Thomas	thoma	Thomas
Homan	homan	Homan
,	,	,
the	the	the
head	head	head
of	of	of
deportation	deport	deportation
operations	oper	operation
at	at	at
ICE	ice	ICE
,	,	,
told	told	told
the	the	the
Senate	senat	Senate
Judiciary	judiciari	Judiciary
Committee	committe	Committee
.	.	.
Even	even	Even
though	though	though
we	we	we
re	re	re
out	out	out
looking	look	looking
for	for	for
them	them	them
,	,	,
it	it	it
s	s	s
getting	get	getting
more	more	more
difficult	difficult	difficult
,	,	,
based	base	based
on	on	on
everything	everyth	everything
I	i	I
just	just	just
told	told	told
you	you	you
,	,	,
to	to	to
actually	actual	actually
apprehend	apprehend	apprehend
these	these	these
people	peopl	people
and	and	and
remove	remov	remove
them	them	them
,	,	,
he	he	he
said	said	said
.	.	.
Overall	overal	Overall
,	,	,
only	onli	only
about	about	about
3	3	3
percent	percent	percent
of	of	of
the	the	the
more	more	more
than	than	than
125	125	125
,	,	,
000	000	000
unaccompanied	unaccompani	unaccompanied
alien	alien	alien
children	children	child
UAC	uac	UAC
who	who	who
surged	surg	surged
across	across	across
the	the	the
border	border	border
in	in	in
the	the	the
last	last	last
30	30	30
months	month	month
have	have	have
been	been	been
deported	deport	deported
,	,	,
as	as	a
Mr	mr	Mr
.	.	.
Homan	homan	Homan
and	and	and
his	his	his
agents	agent	agent
struggle	struggl	struggle
with	with	with
the	the	the
sheer	sheer	sheer
size	size	size
of	of	of
