Pew	pew	Pew
Research	research	Research
Center	center	Center
,	,	,
which	which	which
conducts	conduct	conduct
not	not	not
just	just	just
domestic	domest	domestic
but	but	but
also	also	also
international	intern	international
polls	poll	poll
,	,	,
released	releas	released
their	their	their
newest	newest	newest
findings	find	finding
with	with	with
regards	regard	regard
to	to	to
President	presid	President
Obama	obama	Obama
and	and	and
how	how	how
the	the	the
world	world	world
sees	see	see
him	him	him
more	more	more
specifically	specif	specifically
,	,	,
their	their	their
confidence	confid	confidence
in	in	in
him	him	him
that	that	that
he	he	he
will	will	will
do	do	do
the	the	the
right	right	right
thing	thing	thing
.	.	.
Not	not	Not
surprisingly	surpris	surprisingly
,	,	,
it	it	it
turns	turn	turn
out	out	out
that	that	that
most	most	most
of	of	of
the	the	the
world	world	world
loves	love	love
our	our	our
president	presid	president
and	and	and
has	has	ha
the	the	the
utmost	utmost	utmost
confidence	confid	confidence
in	in	in
him	him	him
.	.	.

Take	take	Take
that	that	that
,	,	,
Republicans	republican	Republicans
who	who	who
call	call	call
him	him	him
weak	weak	weak
in	in	in
the	the	the
eyes	eye	eye
of	of	of
the	the	the
world	world	world
.	.	.
After	after	After
gathering	gather	gathering
information	inform	information
from	from	from
40	40	40
states	state	state
across	across	across
six	six	six
continents	contin	continent
,	,	,
a	a	a
median	median	median
of	of	of
65	65	65
percent	percent	percent
say	say	say
they	they	they
have	have	have
confidence	confid	confidence
in	in	in
Obama	obama	Obama
to	to	to
do	do	do
the	the	the
right	right	right
thing	thing	thing
and	and	and
27	27	27
percent	percent	percent
do	do	do
not	not	not
.	.	.
These	these	These
are	are	are
the	the	the
top	top	top
10	10	10
countries	countri	country
that	that	that
have	have	have
the	the	the
highest	highest	highest
rating	rate	rating
for	for	for
President	presid	President
Obama	obama	Obama
The	the	The
president	presid	president
s	s	s
approval	approv	approval
rating	rate	rating
has	has	ha
also	also	also
skyrocketed	skyrocket	skyrocketed
in	in	in
India	india	India
,	,	,
from	from	from
a	a	a
dismal	dismal	dismal
48	48	48
percent	percent	percent
in	in	in
2014	2014	2014
to	to	to
74	74	74
percent	percent	percent
now	now	now
.	.	.

The	the	The
lowest	lowest	lowest
approval	approv	approval
rating	rate	rating
Obama	obama	Obama
has	has	ha
in	in	in
Africa	africa	Africa
is	is	is
65	65	65
percent	percent	percent
,	,	,
but	but	but
it	it	it
is	is	is
important	import	important
to	to	to
remember	rememb	remember
African	african	African
citizens	citizen	citizen
loved	love	loved
President	presid	President
Bush	bush	Bush
as	as	a
well	well	well
.	.	.
When	when	When
President	presid	President
Bush	bush	Bush
left	left	left
the	the	the
White	white	White
House	hous	House
in	in	in
January	januari	January
2009	2009	2009
,	,	,
western	western	western
European	european	European
confidence	confid	confidence
in	in	in
America	america	America
s	s	s
president	presid	president
reached	reach	reached
an	an	an
all	all	all
-time	-time	-time
low	low	low
,	,	,
with	with	with
some	some	some
countries	countri	country
giving	give	giving
W	w	W
.	.	.

less	less	le
than	than	than
10	10	10
percent	percent	percent
approval	approv	approval
.	.	.

Today	today	Today
,	,	,
western	western	western
Europe	europ	Europe
remains	remain	remains
inspired	inspir	inspired
by	by	by
our	our	our
nation	nation	nation
s	s	s
president	presid	president
unless	unless	unless
you	you	you
count	count	count
Russia	russia	Russia
,	,	,
where	where	where
only	onli	only
11	11	11
percent	percent	percent
approve	approv	approve
of	of	of
him	him	him
.	.	.
Although	although	Although
the	the	the
president	presid	president
has	has	ha
seen	seen	seen
a	a	a
slightly	slight	slightly
lower	lower	lower
approval	approv	approval
rating	rate	rating
recently	recent	recently
than	than	than
when	when	when
he	he	he
entered	enter	entered
the	the	the
presidency	presid	presidency
in	in	in
2009	2009	2009
,	,	,
it	it	it
should	should	should
be	be	be
noted	note	noted
that	that	that
besides	besid	besides
his	his	his
sharp	sharp	sharp
decline	declin	decline
with	with	with
Russia	russia	Russia
,	,	,
he	he	he
also	also	also
has	has	ha
drastically	drastic	drastically
declined	declin	declined
in	in	in
Israel	israel	Israel
.	.	.

Just	just	Just
last	last	last
year	year	year
,	,	,
his	his	his
approval	approv	approval
rating	rate	rating
was	was	wa
a	a	a
soaring	soar	soaring
71	71	71
percent	percent	percent
Republicans	republican	Republicans
ignored	ignor	ignored
this	this	this
while	while	while
