Clearly	clear	Clearly
,	,	,
Fox	fox	Fox
host	host	host
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
wasn	wasn	wasn
t	t	t
paying	pay	paying
attention	attent	attention
over	over	over
the	the	the
last	last	last
eight	eight	eight
years	year	year
.	.	.
Because	becaus	Because
if	if	if
he	he	he
had	had	had
been	been	been
paying	pay	paying
attention	attent	attention
,	,	,
he	he	he
would	would	would
know	know	know
that	that	that
conservatives	conserv	conservative
sought	sought	sought
to	to	to
delegitimize	delegitim	delegitimize
President	presid	President
Obama	obama	Obama
repeatedly	repeat	repeatedly
.	.	.
The	the	The
principle	principl	principle
claim	claim	claim
,	,	,
of	of	of
course	cours	course
,	,	,
was	was	wa
that	that	that
President	presid	President
Obama	obama	Obama
was	was	wa
not	not	not
born	born	born
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
a	a	a
conspiracy	conspiraci	conspiracy
theory	theori	theory
that	that	that
Donald	donald	Donald
Trump	trump	Trump
adopted	adopt	adopted
for	for	for
his	his	his
own	own	own
gain	gain	gain
and	and	and
continued	continu	continued
to	to	to
repeat	repeat	repeat
during	dure	during
the	the	the
campaign	campaign	campaign
.	.	.
Republicans	republican	Republicans
in	in	in
Congress	congress	Congress
also	also	also
repeatedly	repeat	repeatedly
attempted	attempt	attempted
to	to	to
sabotage	sabotag	sabotage
the	the	the
country	countri	country
in	in	in
order	order	order
to	to	to
make	make	make
Obama	obama	Obama
a	a	a
one	one	one
-term	-term	-term
president	presid	president
and	and	and
even	even	even
after	after	after
winning	win	winning
a	a	a
second	second	second
term	term	term
Republicans	republican	Republicans
continued	continu	continued
to	to	to
refuse	refus	refuse
to	to	to
work	work	work
with	with	with
him	him	him
.	.	.
In	in	In
fact	fact	fact
,	,	,
Republicans	republican	Republicans
went	went	went
so	so	so
far	far	far
as	as	a
to	to	to
pledge	pledg	pledge
allegiance	allegi	allegiance
to	to	to
foreign	foreign	foreign
leaders	leader	leader
like	like	like
Vladimir	vladimir	Vladimir
Putin	putin	Putin
and	and	and
Benjamin	benjamin	Benjamin
Netanyahu	netanyahu	Netanyahu
rather	rather	rather
than	than	than
acknowledge	acknowledg	acknowledge
Obama	obama	Obama
as	as	a
their	their	their
president	presid	president
.	.	.
