Let	let	Let
s	s	s
face	face	face
it	it	it
,	,	,
Obamacare	obamacar	Obamacare
had	had	had
been	been	been
a	a	a
nightmare	nightmar	nightmare
since	sinc	since
it	it	it
began	began	began
.	.	.

We	we	We
have	have	have
the	the	the
website	websit	website
failure	failur	failure
and	and	and
then	then	then
the	the	the
corruption	corrupt	corruption
with	with	with
the	the	the
state	state	state
set	set	set
ups	up	ups
where	where	where
millions	million	million
went	went	went
unaccounted	unaccount	unaccounted
for	for	for
.	.	.

Yes	yes	Yes
,	,	,
we	we	we
have	have	have
the	the	the
Gruber	gruber	Gruber
episode	episod	episode
that	that	that
should	should	should
have	have	have
buried	buri	buried
the	the	the
whole	whole	whole
damn	damn	damn
Obamacare	obamacar	Obamacare
debacle	debacl	debacle
.	.	.

So	so	So
now	now	now
we	we	we
have	have	have
a	a	a
HUGE	huge	HUGE
miscalculation	miscalcul	miscalculation
on	on	on
the	the	the
part	part	part
of	of	of
the	the	the
Congressional	congression	Congressional
Budget	budget	Budget
Office	offic	Office
this	this	this
is	is	is
big	big	big
What	what	What
does	doe	doe
the	the	the
future	futur	future
of	of	of
Obamacare	obamacar	Obamacare
hold	hold	hold
now	now	now
that	that	that
its	it	it
total	total	total
cost	cost	cost
is	is	is
expected	expect	expected
to	to	to
be	be	be
11	11	11
higher	higher	higher
between	between	between
2016	2016	2016
and	and	and
2025	2025	2025
than	than	than
initially	initi	initially
expected	expect	expected
?	?	?
There	there	There
are	are	are
mistakes	mistak	mistake
,	,	,
and	and	and
then	then	then
there	there	there
are	are	are
big	big	big
mistakes	mistak	mistake
.	.	.

What	what	What
the	the	the
Congressional	congression	Congressional
Budget	budget	Budget
Office	offic	Office
s	s	s
latest	latest	latest
report	report	report
on	on	on
federal	feder	federal
subsidies	subsidi	subsidy
revealed	reveal	revealed
was	was	wa
a	a	a
mistake	mistak	mistake
of	of	of
monstrous	monstrous	monstrous
proportions	proport	proportion
on	on	on
the	the	the
part	part	part
of	of	of
the	the	the
federal	feder	federal
government	govern	government
.	.	.
Here	here	Here
s	s	s
what	what	what
a	a	a
forecasting	forecast	forecasting
error	error	error
looks	look	look
like	like	like
The	the	The
Congressional	congression	Congressional
Budget	budget	Budget
Office	offic	Office
,	,	,
or	or	or
CBO	cbo	CBO
,	,	,
has	has	ha
been	been	been
making	make	making
projections	project	projection
on	on	on
the	the	the
future	futur	future
of	of	of
Obamacare	obamacar	Obamacare
,	,	,
and	and	and
healthcare	healthcar	healthcare
in	in	in
general	general	general
,	,	,
for	for	for
years	year	year
.	.	.

Initially	initi	Initially
,	,	,
the	the	the
CBO	cbo	CBO
had	had	had
projected	project	projected
that	that	that
up	up	up
to	to	to
21	21	21
million	million	million
people	peopl	people
would	would	would
sign	sign	sign
up	up	up
for	for	for
private	privat	private
health	health	health
insurance	insur	insurance
using	use	using
Obamacare	obamacar	Obamacare
s	s	s
transparent	transpar	transparent
marketplace	marketplac	marketplace
exchanges	exchang	exchange
by	by	by
2016	2016	2016
.	.	.

However	howev	However
,	,	,
that	that	that
estimate	estim	estimate
has	has	ha
been	been	been
substantially	substanti	substantially
reduced	reduc	reduced
to	to	to
just	just	just
12	12	12
million	million	million
.	.	.

According	accord	According
to	to	to
the	the	the
Department	depart	Department
of	of	of
Health	health	Health
and	and	and
Human	human	Human
Services	servic	Services
,	,	,
Obamacare	obamacar	Obamacare
enrollment	enrol	enrollment
totaled	total	totaled
about	about	about
12	12	12
.	.	.
7	7	7
million	million	million
as	as	a
of	of	of
the	the	the
end	end	end
of	of	of
third	third	third
enrollment	enrol	enrollment
period	period	period
Jan	jan	Jan
.	.	.

31	31	31
,	,	,
2016	2016	2016
.	.	.

Ultimately	ultim	Ultimately
,	,	,
the	the	the
CBO	cbo	CBO
foresees	forese	foresees
private	privat	private
health	health	health
enrollment	enrol	enrollment
via	via	via
Obamacare	obamacar	Obamacare
topping	top	topping
out	out	out
at	at	at
between	between	between
18	18	18
million	million	million
and	and	and
19	19	19
million	million	million
people	peopl	people
between	between	between
2018	2018	2018
and	and	and
2026	2026	2026
.	.	.
Why	whi	Why
such	such	such
a	a	a
huge	huge	huge
difference	differ	difference
in	in	in
actual	actual	actual
enrollment	enrol	enrollment
versus	versus	versus
initial	initi	initial
projections	project	projection
?	?	?

To	to	To
begin	begin	begin
with	with	with
,	,	,
the	the	the
government	govern	government
appears	appear	appears
to	to	to
have	have	have
overestimated	overestim	overestimated
just	just	just
how	how	how
many	mani	many
people	peopl	people
would	would	would
sign	sign	sign
up	up	up
on	on	on
private	privat	private
exchanges	exchang	exchange
versus	versus	versus
being	be	being
enrolled	enrol	enrolled
via	via	via
their	their	their
employer	employ	employer
.	.	.

The	the	The
data	data	data
has	has	ha
thus	thus	thus
far	far	far
shown	shown	shown
that	that	that
nowhere	nowher	nowhere
near	near	near
as	as	a
many	mani	many
people	peopl	people
as	as	a
expected	expect	expected
dropped	drop	dropped
out	out	out
of	of	of
employer	employ	employer
-sponsored	-sponsor	-sponsored
insurance	insur	insurance
to	to	to
sign	sign	sign
up	up	up
on	on	on
Obamacare	obamacar	Obamacare
s	s	s
marketplace	marketplac	marketplace
exchanges	exchang	exchange
,	,	,
meaning	mean	meaning
there	there	there
was	was	wa
a	a	a
considerably	consider	considerably
smaller	smaller	smaller
uninsured	uninsur	uninsured
