Wednesday	wednesday	Wednesday
,	,	,
January	januari	January
22	22	22
was	was	wa
the	the	the
day	day	day
of	of	of
the	the	the
world	world	world
s	s	s
largest	largest	largest
gun	gun	gun
show	show	show
.	.	.

Held	held	Held
in	in	in
Las	las	Las
Vegas	vega	Vegas
,	,	,
Nevada	nevada	Nevada
,	,	,
the	the	the
SHOT	shot	SHOT
show	show	show
Shooting	shoot	Shooting
,	,	,
Hunting	hunt	Hunting
,	,	,
and	and	and
Outdoor	outdoor	Outdoor
Trade	trade	Trade
is	is	is
where	where	where
arms	arm	arm
dealers	dealer	dealer
gather	gather	gather
to	to	to
show	show	show
off	off	off
their	their	their
best	best	best
and	and	and
newest	newest	newest
instruments	instrument	instrument
of	of	of
death	death	death
.	.	.

Understandably	understand	Understandably
,	,	,
the	the	the
event	event	event
sponsors	sponsor	sponsor
have	have	have
to	to	to
keep	keep	keep
a	a	a
tight	tight	tight
grip	grip	grip
on	on	on
media	media	medium
at	at	at
the	the	the
event	event	event
,	,	,
lest	lest	lest
journalists	journalist	journalist
ask	ask	ask
questions	question	question
that	that	that
might	might	might
make	make	make
people	peopl	people
think	think	think
just	just	just
a	a	a
little	littl	little
bit	bit	bit
.	.	.
That	that	That
s	s	s
why	whi	why
when	when	when
The	the	The
Guardian	guardian	Guardian
s	s	s
Rupert	rupert	Rupert
Neat	neat	Neat
went	went	went
to	to	to
the	the	the
show	show	show
to	to	to
ask	ask	ask
people	peopl	people
questions	question	question
that	that	that
are	are	are
indirectly	indirect	indirectly
related	relat	related
to	to	to
gun	gun	gun
control	control	control
,	,	,
he	he	he
must	must	must
have	have	have
known	known	known
it	it	it
would	would	would
be	be	be
only	onli	only
a	a	a
matter	matter	matter
of	of	of
time	time	time
before	befor	before
he	he	he
would	would	would
be	be	be
thrown	thrown	thrown
out	out	out
of	of	of
the	the	the
event	event	event
.	.	.

Neat	neat	Neat
s	s	s
experiences	experi	experience
were	were	were
documented	document	documented
on	on	on
video	video	video
,	,	,
and	and	and
then	then	then
posted	post	posted
online	onlin	online
.	.	.
In	in	In
the	the	the
beginning	begin	beginning
of	of	of
the	the	the
video	video	video
,	,	,
Neat	neat	Neat
says	say	say
that	that	that
he	he	he
was	was	wa
specifically	specif	specifically
asked	ask	asked
not	not	not
to	to	to
talk	talk	talk
about	about	about
gun	gun	gun
control	control	control
with	with	with
any	ani	any
of	of	of
the	the	the
more	more	more
than	than	than
1	1	1
,	,	,
600	600	600
hundred	hundr	hundred
exhibitors	exhibitor	exhibitor
at	at	at
the	the	the
event	event	event
.	.	.

Despite	despit	Despite
this	this	this
warning	warn	warning
,	,	,
Neat	neat	Neat
actually	actual	actually
talked	talk	talked
to	to	to
many	mani	many
of	of	of
the	the	the
exhibitors	exhibitor	exhibitor
and	and	and
attendees	attende	attendee
of	of	of
the	the	the
event	event	event
about	about	about
questions	question	question
