Economists	economist	Economists
,	,	,
even	even	even
conservative	conserv	conservative
ones	one	one
,	,	,
have	have	have
severe	sever	severe
problems	problem	problem
with	with	with
Trump	trump	Trump
s	s	s
economic	econom	economic
policies	polici	policy
.	.	.

They	they	They
re	re	re
unrealistic	unrealist	unrealistic
,	,	,
and	and	and
he	he	he
doesn	doesn	doesn
t	t	t
know	know	know
what	what	what
he	he	he
s	s	s
talking	talk	talking
about	about	about
according	accord	according
to	to	to
both	both	both
liberal	liber	liberal
and	and	and
conservative	conserv	conservative
economists	economist	economist
.	.	.

Trump	trump	Trump
has	has	ha
made	made	made
a	a	a
point	point	point
of	of	of
not	not	not
listening	listen	listening
to	to	to
the	the	the
experts	expert	expert
,	,	,
but	but	but
the	the	the
experts	expert	expert
know	know	know
what	what	what
they	they	they
re	re	re
talking	talk	talking
about	about	about
far	far	far
better	better	better
than	than	than
Trump	trump	Trump
ever	ever	ever
will	will	will
.	.	.
Stan	stan	Stan
Veuger	veuger	Veuger
,	,	,
from	from	from
the	the	the
conservative	conserv	conservative
American	american	American
Enterprise	enterpris	Enterprise
Institute	institut	Institute
,	,	,
was	was	wa
very	veri	very
forthright	forthright	forthright
in	in	in
his	his	his
opinion	opinion	opinion
of	of	of
Trump	trump	Trump
s	s	s
ahem	ahem	ahem
economic	econom	economic
policy	polici	policy
He	he	He
doesn	doesn	doesn
t	t	t
really	realli	really
know	know	know
what	what	what
he	he	he
s	s	s
talking	talk	talking
about	about	about
,	,	,
and	and	and
his	his	his
policy	polici	policy
platform	platform	platform
is	is	is
so	so	so
incoherent	incoher	incoherent
that	that	that
he	he	he
has	has	ha
to	to	to
make	make	make
claims	claim	claim
like	like	like
that	that	that
.	.	.

It	it	It
sounds	sound	sound
like	like	like
Veuger	veuger	Veuger
thinks	think	think
Trump	trump	Trump
is	is	is
making	make	making
grandiose	grandios	grandiose
promises	promis	promise
specifically	specif	specifically
to	to	to
cover	cover	cover
up	up	up
the	the	the
fact	fact	fact
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
have	have	have
a	a	a
sane	sane	sane
economic	econom	economic
plan	plan	plan
.	.	.

Knowing	know	Knowing
Trump	trump	Trump
,	,	,
that	that	that
s	s	s
exactly	exact	exactly
what	what	what
he	he	he
s	s	s
doing	do	doing
.	.	.

It	it	It
also	also	also
sounds	sound	sound
like	like	like
Veuger	veuger	Veuger
finds	find	find
it	it	it
frustrating	frustrat	frustrating
that	that	that
Trump	trump	Trump
won	won	won
t	t	t
listen	listen	listen
to	to	to
any	ani	any
experts	expert	expert
.	.	.
Mark	mark	Mark
Zandi	zandi	Zandi
,	,	,
chief	chief	chief
economist	economist	economist
at	at	at
Moody	moodi	Moody
s	s	s
Analytics	analyt	Analytics
,	,	,
and	and	and
someone	someon	someone
both	both	both
Trump	trump	Trump
and	and	and
Hillary	hillari	Hillary
have	have	have
claimed	claim	claimed
is	is	is
batting	bat	batting
for	for	for
the	the	the
other	other	other
team	team	team
,	,	,
gave	gave	gave
The	the	The
Hill	hill	Hill
his	his	his
own	own	own
summary	summari	summary
of	of	of
his	his	his
analysis	analysi	analysis
of	of	of
Trump	trump	Trump
s	s	s
plan	plan	plan
,	,	,
saying	say	saying
His	his	His
growth	growth	growth
expectations	expect	expectation
are	are	are
not	not	not
realistic	realist	realistic
.	.	.

The	the	The
economy	economi	economy
s	s	s
potential	potenti	potential
growth	growth	growth
is	is	is
2	2	2
percent	percent	percent
,	,	,
and	and	and
to	to	to
get	get	get
stronger	stronger	stronger
growth	growth	growth
will	will	will
require	requir	require
immigration	immigr	immigration
reform	reform	reform
that	that	that
provides	provid	provides
a	a	a
path	path	path
to	to	to
legalization	legal	legalization
for	for	for
the	the	the
undocumented	undocu	undocumented
and	and	and
a	a	a
significant	signific	significant
increase	increas	increase
in	in	in
skilled	skill	skilled
legal	legal	legal
immigration	immigr	immigration
.	.	.

He	he	He
is	is	is
strongly	strong	strongly
opposed	oppos	opposed
to	to	to
this	this	this
.	.	.

Trump	trump	Trump
has	has	ha
bragged	brag	bragged
that	that	that
he	he	he
can	can	can
increase	increas	increase
our	our	our
GDP	gdp	GDP
from	from	from
its	it	it
current	current	current
1	1	1
.	.	.
4	4	4
percent	percent	percent
to	to	to
4	4	4
,	,	,
5	5	5
or	or	or
even	even	even
6	6	6
percent	percent	percent
,	,	,
which	which	which
is	is	is
just	just	just
flat	flat	flat
ridiculous	ridicul	ridiculous
.	.	.

He	he	He
s	s	s
also	also	also
adamantly	adam	adamantly
opposed	oppos	opposed
to	to	to
giving	give	giving
undocumented	undocu	undocumented
immigrants	immigr	immigrant
a	a	a
path	path	path
to	to	to
citizenship	citizenship	citizenship
and	and	and
,	,	,
in	in	in
fact	fact	fact
,	,	,
wants	want	want
to	to	to
create	creat	create
a	a	a
deportation	deport	deportation
force	forc	force
to	to	to
get	get	get
rid	rid	rid
of	of	of
them	them	them
.	.	.

He	he	He
thinks	think	think
that	that	that
will	will	will
open	open	open
up	up	up
jobs	job	job
for	for	for
Americans	american	Americans
and	and	and
get	get	get
our	our	our
economy	economi	economy
booming	boom	booming
again	again	again
,	,	,
but	but	but
that	that	that
s	s	s
a	a	a
pipe	pipe	pipe
dream	dream	dream
.	.	.
His	his	His
strong	strong	strong
nationalism	nation	nationalism
has	has	ha
made	made	made
him	him	him
opposed	oppos	opposed
to	to	to
allowing	allow	allowing
more	more	more
immigrants	immigr	immigrant
in	in	in
,	,	,
even	even	even
legally	legal	legally
.	.	.

He	he	He
believes	believ	belief
they	they	they
ll	ll	ll
take	take	take
Americans	american	Americans
jobs	job	job
,	,	,
and	and	and
he	he	he
s	s	s
afraid	afraid	afraid
they	they	they
could	could	could
be	be	be
dangerous	danger	dangerous
,	,	,
too	too	too
.	.	.
Trump	trump	Trump
believes	believ	belief
that	that	that
the	the	the
economic	econom	economic
growth	growth	growth
he	he	he
s	s	s
promising	promis	promising
will	will	will
pay	pay	pay
for	for	for
the	the	the
tax	tax	tax
cuts	cut	cut
he	he	he
s	s	s
promising	promis	promising
,	,	,
but	but	but
it	it	it
won	won	won
t	t	t
happen	happen	happen
that	that	that
way	way	way
.	.	.

Zandi	zandi	Zandi
says	say	say
that	that	that
these	these	these
plans	plan	plan
will	will	will
cripple	crippl	cripple
the	the	the
economy	economi	economy
and	and	and
federal	feder	federal
revenue	revenu	revenue
.	.	.

Of	of	Of
course	cours	course
,	,	,
Trump	trump	Trump
won	won	won
t	t	t
listen	listen	listen
,	,	,
because	becaus	because
reasons	reason	reason
.	.	.

What	what	What
s	s	s
clear	clear	clear
,	,	,
though	though	though
,	,	,
is	is	is
that	that	that
the	the	the
experts	expert	expert
who	who	who
know	know	know
better	better	better
than	than	than
Trump	trump	Trump
are	are	are
growing	grow	growing
bolder	bolder	bolder
in	in	in
trashing	trash	trashing
his	his	his
concept	concept	concept
of	of	of
economics	econom	economics
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Spencer	spencer	Spencer
Platt	platt	Platt
via	via	via
Getty	getti	Getty
Images	imag	Images

