Trump	trump	Trump
cannot	cannot	cannot
handle	handl	handle
dissent	dissent	dissent
.	.	.

He	he	He
cannot	cannot	cannot
handle	handl	handle
people	peopl	people
who	who	who
don	don	don
t	t	t
like	like	like
him	him	him
and	and	and
won	won	won
t	t	t
kiss	kiss	kiss
his	his	his
rings	ring	ring
and	and	and
his	his	his
boots	boot	boot
.	.	.

He	he	He
cannot	cannot	cannot
handle	handl	handle
protests	protest	protest
,	,	,
as	as	a
he	he	he
proved	prove	proved
during	dure	during
his	his	his
campaign	campaign	campaign
when	when	when
he	he	he
had	had	had
protesters	protest	protester
hauled	haul	hauled
out	out	out
of	of	of
his	his	his
venues	venu	venue
,	,	,
sometimes	sometim	sometimes
forcibly	forcibl	forcibly
.	.	.

The	the	The
Women	women	Women
s	s	s
March	march	March
on	on	on
Washington	washington	Washington
had	had	had
been	been	been
organized	organ	organized
for	for	for
the	the	the
Lincoln	lincoln	Lincoln
Memorial	memori	Memorial
for	for	for
the	the	the
day	day	day
after	after	after
the	the	the
inauguration	inaugur	inauguration
Jan	jan	Jan
.	.	.

21	21	21
and	and	and
they	they	they
ve	ve	ve
been	been	been
denied	deni	denied
the	the	the
permit	permit	permit
to	to	to
do	do	do
it	it	it
.	.	.

The	the	The
Presidential	presidenti	Presidential
Inauguration	inaugur	Inauguration
Committee	committe	Committee
filed	file	filed
what	what	what
s	s	s
being	be	being
called	call	called
a	a	a
massive	massiv	massive
omnibus	omnibus	omnibus
blocking	block	blocking
permit	permit	permit
for	for	for
the	the	the
area	area	area
for	for	for
many	mani	many
days	day	day
before	befor	before
and	and	and
after	after	after
the	the	the
event	event	event
.	.	.
It	it	It
s	s	s
extremely	extrem	extremely
unusual	unusu	unusual
for	for	for
the	the	the
inauguration	inaugur	inauguration
permit	permit	permit
to	to	to
block	block	block
other	other	other
events	event	event
for	for	for
several	sever	several
days	day	day
after	after	after
the	the	the
inauguration	inaugur	inauguration
.	.	.

Before	befor	Before
and	and	and
during	dure	during
,	,	,
sure	sure	sure
.	.	.

After	after	After
,	,	,
though	though	though
?	?	?

Mara	mara	Mara
Veyrheyden	veyrheyden	Veyrheyden
-Lilliard	-lilliard	-Lilliard
has	has	ha
filed	file	filed
lawsuits	lawsuit	lawsuit
to	to	to
get	get	get
protesters	protest	protester
access	access	access
to	to	to
the	the	the
Lincoln	lincoln	Lincoln
Memorial	memori	Memorial
on	on	on
Inauguration	inaugur	Inauguration
Day	day	Day
.	.	.

Since	sinc	Since
the	the	the
Women	women	Women
s	s	s
March	march	March
was	was	wa
scheduled	schedul	scheduled
for	for	for
the	the	the
day	day	day
afterward	afterward	afterward
,	,	,
she	she	she
doesn	doesn	doesn
t	t	t
understand	understand	understand
what	what	what
s	s	s
going	go	going
on	on	on
It	it	It
hasn	hasn	hasn
t	t	t
come	come	come
up	up	up
in	in	in
any	ani	any
way	way	way
previously	previous	previously
,	,	,
where	where	where
you	you	you
ve	ve	ve
had	had	had
a	a	a
groundswell	groundswel	groundswell
of	of	of
people	peopl	people
trying	tri	trying
to	to	to
have	have	have
access	access	access
on	on	on
the	the	the
Saturday	saturday	Saturday
,	,	,
January	januari	January
21	21	21
,	,	,
and	and	and
thousands	thousand	thousand
of	of	of
people	peopl	people
want	want	want
to	to	to
come	come	come
,	,	,
and	and	and
the	the	the
government	govern	government
is	is	is
saying	say	saying
we	we	we
won	won	won
t	t	t
give	give	give
you	you	you
a	a	a
permit	permit	permit
.	.	.

It	it	It
hasn	hasn	hasn
t	t	t
come	come	come
up	up	up
in	in	in
any	ani	any
way	way	way
previously	previous	previously
,	,	,
where	where	where
you	you	you
ve	ve	ve
had	had	had
a	a	a
groundswell	groundswel	groundswell
of	of	of
people	peopl	people
trying	tri	trying
to	to	to
have	have	have
access	access	access
on	on	on
the	the	the
Saturday	saturday	Saturday
,	,	,
January	januari	January
21	21	21
,	,	,
and	and	and
thousands	thousand	thousand
of	of	of
people	peopl	people
want	want	want
to	to	to
come	come	come
,	,	,
and	and	and
the	the	the
government	govern	government
is	is	is
saying	say	saying
we	we	we
won	won	won
t	t	t
give	give	give
you	you	you
a	a	a
permit	permit	permit
.	.	.

She	she	She
went	went	went
on	on	on
to	to	to
say	say	say
We	we	We
ve	ve	ve
issued	issu	issued
the	the	the
demand	demand	demand
to	to	to
the	the	the
parks	park	park
service	servic	service
because	becaus	because
this	this	this
is	is	is
an	an	an
illegal	illeg	illegal
abridgment	abridg	abridgment
of	of	of
first	first	first
amendment	amend	amendment
rights	right	right
We	we	We
expect	expect	expect
they	they	they
ll	ll	ll
conform	conform	conform
to	to	to
the	the	the
constitution	constitut	constitution
and	and	and
make	make	make
permits	permit	permit
available	avail	available
.	.	.

It	it	It
s	s	s
true	true	true
that	that	that
the	the	the
Presidential	presidenti	Presidential
Inauguration	inaugur	Inauguration
Committee	committe	Committee
filed	file	filed
for	for	for
their	their	their
permit	permit	permit
ten	ten	ten
months	month	month
before	befor	before
the	the	the
Women	women	Women
s	s	s
March	march	March
on	on	on
Washington	washington	Washington
filed	file	filed
for	for	for
theirs	their	theirs
,	,	,
and	and	and
that	that	that
there	there	there
are	are	are
a	a	a
limited	limit	limited
number	number	number
of	of	of
permits	permit	permit
to	to	to
go	go	go
around	around	around
so	so	so
it	it	it
s	s	s
first	first	first
come	come	come
,	,	,
first	first	first
serve	serv	serve
.	.	.

Mike	mike	Mike
Litterst	litterst	Litterst
,	,	,
of	of	of
the	the	the
National	nation	National
Park	park	Park
Service	servic	Service
,	,	,
which	which	which
is	is	is
the	the	the
agency	agenc	agency
that	that	that
issues	issu	issue
these	these	these
permits	permit	permit
,	,	,
said	said	said
that	that	that
the	the	the
Lincoln	lincoln	Lincoln
Memorial	memori	Memorial
and	and	and
the	the	the
rest	rest	rest
of	of	of
the	the	the
National	nation	National
Mall	mall	Mall
will	will	will
be	be	be
available	avail	available
to	to	to
the	the	the
public	public	public
during	dure	during
all	all	all
these	these	these
events	event	event
just	just	just
not	not	not
for	for	for
organized	organ	organized
events	event	event
needing	need	needing
a	a	a
permit	permit	permit
.	.	.

These	these	These
sites	site	site
are	are	are
essentially	essenti	essentially
construction	construct	construction
sites	site	site
,	,	,
he	he	he
says	say	say
,	,	,
and	and	and
thus	thus	thus
,	,	,
not	not	not
suitable	suitabl	suitable
for	for	for
other	other	other
organized	organ	organized
events	event	event
.	.	.

The	the	The
Women	women	Women
s	s	s
March	march	March
is	is	is
expected	expect	expected
to	to	to
have	have	have
well	well	well
over	over	over
100	100	100
,	,	,
000	000	000
attendees	attende	attendee
and	and	and
so	so	so
of	of	of
course	cours	course
it	it	it
requires	requir	requires
a	a	a
permit	permit	permit
from	from	from
the	the	the
National	nation	National
Park	park	Park
Service	servic	Service
.	.	.
Come	come	Come
on	on	on
,	,	,
though	though	though
.	.	.

The	the	The
inauguration	inaugur	inauguration
is	is	is
on	on	on
the	the	the
20th	20th	20th
,	,	,
the	the	the
Women	women	Women
s	s	s
March	march	March
is	is	is
on	on	on
the	the	the
21st	21st	21st
.	.	.

They	they	They
seriously	serious	seriously
can	can	can
t	t	t
get	get	get
a	a	a
permit	permit	permit
for	for	for
that	that	that
day	day	day
?	?	?

Now	now	Now
the	the	the
options	option	option
for	for	for
public	public	public
protests	protest	protest
along	along	along
the	the	the
National	nation	National
Mall	mall	Mall
are	are	are
extremely	extrem	extremely
limited	limit	limited
,	,	,
possibly	possibl	possibly
until	until	until
March	march	March
1	1	1
,	,	,
which	which	which
is	is	is
when	when	when
deconstruction	deconstruct	deconstruction
of	of	of
the	the	the
inauguration	inaugur	inauguration
venue	venu	venue
is	is	is
supposed	suppos	supposed
to	to	to
be	be	be
complete	complet	complete
.	.	.
Since	sinc	Since
the	the	the
Lincoln	lincoln	Lincoln
Memorial	memori	Memorial
is	is	is
the	the	the
site	site	site
of	of	of
many	mani	many
historic	histor	historic
protests	protest	protest
,	,	,
including	includ	including
the	the	the
1995	1995	1995
