Note	note	Note
Readers	reader	Readers
might	might	might
find	find	find
some	some	some
language	languag	language
offensive	offens	offensive
in	in	in
paragraph	paragraph	paragraph
2	2	2
LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
British	british	British
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
has	has	ha
ordered	order	ordered
an	an	an
investigation	investig	investigation
into	into	into
a	a	a
report	report	report
that	that	that
one	one	one
of	of	of
her	her	her
ministers	minist	minister
asked	ask	asked
a	a	a
female	femal	female
secretary	secretari	secretary
to	to	to
buy	buy	buy
sex	sex	sex
toys	toy	toy
for	for	for
him	him	him
,	,	,
as	as	a
she	she	she
tries	tri	try
to	to	to
tackle	tackl	tackle
a	a	a
culture	cultur	culture
of	of	of
sexual	sexual	sexual
harassment	harass	harassment
in	in	in
politics	polit	politics
.	.	.
Mark	mark	Mark
Garnier	garnier	Garnier
,	,	,
a	a	a
junior	junior	junior
international	intern	international
trade	trade	trade
minister	minist	minister
,	,	,
asked	ask	asked
secretary	secretari	secretary
Caroline	carolin	Caroline
Edmondson	edmondson	Edmondson
to	to	to
buy	buy	buy
two	two	two
sex	sex	sex
toys	toy	toy
and	and	and
he	he	he
also	also	also
called	call	called
her	her	her
sugar	sugar	sugar
tits	tit	tit
,	,	,
the	the	the
Mail	mail	Mail
on	on	on
Sunday	sunday	Sunday
reported	report	reported
.	.	.
Garnier	garnier	Garnier
told	told	told
the	the	the
paper	paper	paper
that	that	that
the	the	the
comment	comment	comment
was	was	wa
part	part	part
of	of	of
an	an	an
amusing	amus	amusing
conversation	convers	conversation
about	about	about
a	a	a
television	televis	television
show	show	show
,	,	,
and	and	and
that	that	that
asking	ask	asking
her	her	her
to	to	to
buy	buy	buy
the	the	the
toys	toy	toy
was	was	wa
good	good	good
humored	humor	humored
high	high	high
jinks	jink	jinks
.	.	.
Edmondson	edmondson	Edmondson
,	,	,
in	in	in
comments	comment	comment
to	to	to
the	the	the
paper	paper	paper
,	,	,
disputed	disput	disputed
Garnier	garnier	Garnier
s	s	s
recollection	recollect	recollection
of	of	of
the	the	the
incidents	incid	incident
,	,	,
including	includ	including
his	his	his
assertion	assert	assertion
that	that	that
