BUCHAREST	bucharest	BUCHAREST
Reuters	reuter	Reuters
-	-	-
Justice	justic	Justice
reform	reform	reform
has	has	ha
stagnated	stagnat	stagnated
in	in	in
Romania	romania	Romania
this	this	this
year	year	year
,	,	,
and	and	and
challenges	challeng	challenge
to	to	to
judicial	judici	judicial
independence	independ	independence
remain	remain	remain
a	a	a
persistent	persist	persistent
source	sourc	source
of	of	of
concern	concern	concern
,	,	,
the	the	the
European	european	European
Commission	commiss	Commission
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
The	the	The
European	european	European
Union	union	Union
has	has	ha
monitored	monitor	monitored
the	the	the
justice	justic	justice
systems	system	system
of	of	of
Romania	romania	Romania
and	and	and
its	it	it
neighbor	neighbor	neighbor
Bulgaria	bulgaria	Bulgaria
since	sinc	since
they	they	they
joined	join	joined
the	the	the
bloc	bloc	bloc
a	a	a
decade	decad	decade
ago	ago	ago
.	.	.
It	it	It
has	has	ha
backed	back	backed
an	an	an
unprecedented	unpreced	unprecedented
crackdown	crackdown	crackdown
on	on	on
high	high	high
-level	-level	-level
graft	graft	graft
in	in	in
Romania	romania	Romania
,	,	,
which	which	which
Transparency	transpar	Transparency
International	intern	International
ranks	rank	rank
among	among	among
the	the	the
bloc	bloc	bloc
s	s	s
most	most	most
corrupt	corrupt	corrupt
states	state	state
.	.	.
Romanian	romanian	Romanian
prosecutors	prosecutor	prosecutor
have	have	have
investigated	investig	investigated
hundreds	hundr	hundred
of	of	of
public	public	public
officials	offici	official
,	,	,
including	includ	including
a	a	a
former	former	former
prime	prime	prime
minister	minist	minister
.	.	.
This	this	This
week	week	week
,	,	,
anti	anti	anti
-corruption	-corrupt	-corruption
prosecutors	prosecutor	prosecutor
opened	open	opened
an	an	an
investigation	investig	investigation
into	into	into
the	the	the
leader	leader	leader
of	of	of
the	the	the
ruling	rule	ruling
Social	social	Social
Democrat	democrat	Democrat
Party	parti	Party
on	on	on
suspicion	suspicion	suspicion
of	of	of
forming	form	forming
a	a	a
criminal	crimin	criminal
group	group	group
to	to	to
siphon	siphon	siphon
off	off	off
cash	cash	cash
from	from	from
state	state	state
projects	project	project
,	,	,
some	some	some
of	of	of
them	them	them
EU	eu	EU
-funded	-fund	-funded
.	.	.
While	while	While
progress	progress	progress
in	in	in
meeting	meet	meeting
some	some	some
recommendations	recommend	recommendation
was	was	wa
advancing	advanc	advancing
well	well	well
.	.	.
.	.	.
.	.	.
the	the	the
reform	reform	reform
momentum	momentum	momentum
in	in	in
2017	2017	2017
was	was	wa
lost	lost	lost
overall	overal	overall
,	,	,
said	said	said
the	the	the
Commission	commiss	Commission
s	s	s
latest	latest	latest
justice	justic	justice
monitoring	monitor	monitoring
report	report	report
,	,	,
released	releas	released
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Challenges	challeng	Challenges
to	to	to
and	and	and
questioning	question	questioning
judicial	judici	judicial
independence	independ	independence
have	have	have
also	also	also
been	been	been
a	a	a
persistent	persist	persistent
source	sourc	source
of	of	of
concern	concern	concern
.	.	.
The	the	The
ruling	rule	ruling
Social	social	Social
Democrats	democrat	Democrats
are	are	are
preparing	prepar	preparing
a	a	a
judicial	judici	judicial
overhaul	overhaul	overhaul
that	that	that
the	the	the
Commission	commiss	Commission
,	,	,
foreign	foreign	foreign
diplomats	diplomat	diplomat
,	,	,
thousands	thousand	thousand
of	of	of
magistrates	magistr	magistrate
and	and	and
Romania	romania	Romania
s	s	s
president	presid	president
have	have	have
criticized	critic	criticized
as	as	a
placing	place	placing
the	the	the
justice	justic	justice
system	system	system
under	under	under
political	polit	political
control	control	control
.	.	.
Thousands	thousand	Thousands
of	of	of
Romanians	romanian	Romanians
protested	protest	protested
against	against	against
the	the	the
measures	measur	measure
this	this	this
month	month	month
.	.	.
The	the	The
overhaul	overhaul	overhaul
,	,	,
announced	announc	announced
by	by	by
the	the	the
justice	justic	justice
minister	minist	minister
in	in	in
August	august	August
,	,	,
is	is	is
under	under	under
debate	debat	debate
in	in	in
parliament	parliament	parliament
and	and	and
the	the	the
Social	social	Social
Democrat	democrat	Democrat
Party	parti	Party
has	has	ha
said	said	said
it	it	it
aims	aim	aim
to	to	to
approve	approv	approve
it	it	it
by	by	by
the	the	the
end	end	end
of	of	of
this	this	this
parliamentary	parliamentari	parliamentary
session	session	session
.	.	.
The	the	The
most	most	most
contested	contest	contested
changes	chang	change
include	includ	include
those	those	those
to	to	to
a	a	a
judicial	judici	judicial
inspection	inspect	inspection
unit	unit	unit
which	which	which
oversees	overse	oversees
magistrates	magistr	magistrate
conduct	conduct	conduct
,	,	,
and	and	and
the	the	the
way	way	way
in	in	in
which	which	which
chief	chief	chief
prosecutors	prosecutor	prosecutor
are	are	are
appointed	appoint	appointed
.	.	.
Justice	justic	Justice
Minister	minist	Minister
Tudorel	tudorel	Tudorel
Toader	toader	Toader
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
of	of	of
the	the	the
Commission	commiss	Commission
report	report	report
The	the	The
report	report	report
refers	refer	refers
to	to	to
legal	legal	legal
solutions	solut	solution
that	that	that
are	are	are
still	still	still
at	at	at
the	the	the
start	start	start
of	of	of
parliamentary	parliamentari	parliamentary
debate	debat	debate
,	,	,
that	that	that
are	are	are
not	not	not
finalised	finalis	finalised
.	.	.
President	presid	President
Klaus	klaus	Klaus
Iohannis	iohanni	Iohannis
said	said	said
in	in	in
a	a	a
statement	statement	statement
he	he	he
thought	thought	thought
the	the	the
report	report	report
was	was	wa
a	a	a
serious	serious	serious
warning	warn	warning
signal	signal	signal
the	the	the
ruling	rule	ruling
coalition	coalit	coalition
must	must	must
take	take	take
into	into	into
account	account	account
.	.	.
Affecting	affect	Affecting
the	the	the
independence	independ	independence
of	of	of
the	the	the
judicial	judici	judicial
system	system	system
and	and	and
,	,	,
in	in	in
general	general	general
,	,	,
any	ani	any
pressure	pressur	pressure
or	or	or
attempt	attempt	attempt
to	to	to
politically	polit	politically
control	control	control
the	the	the
judiciary	judiciari	judiciary
will	will	will
only	onli	only
return	return	return
Romania	romania	Romania
to	to	to
the	the	the
past	past	past
,	,	,
he	he	he
said	said	said
.	.	.
This	this	This
spring	spring	spring
,	,	,
Romania	romania	Romania
saw	saw	saw
its	it	it
largest	largest	largest
street	street	street
protests	protest	protest
in	in	in
decades	decad	decade
,	,	,
against	against	against
what	what	what
demonstrators	demonstr	demonstrator
saw	saw	saw
as	as	a
attempts	attempt	attempt
by	by	by
the	the	the
ruling	rule	ruling
coalition	coalit	coalition
to	to	to
weaken	weaken	weaken
the	the	the
crackdown	crackdown	crackdown
on	on	on
high	high	high
-level	-level	-level
corruption	corrupt	corruption
.	.	.
In	in	In
May	may	May
,	,	,
European	european	European
Commission	commiss	Commission
President	presid	President
Jean	jean	Jean
-Claude	-claud	-Claude
Juncker	juncker	Juncker
said	said	said
Romania	romania	Romania
should	should	should
be	be	be
able	abl	able
to	to	to
persuade	persuad	persuade
the	the	the
EU	eu	EU
to	to	to
lift	lift	lift
special	special	special
monitoring	monitor	monitoring
of	of	of
its	it	it
justice	justic	justice
system	system	system
by	by	by
the	the	the
time	time	time
it	it	it
takes	take	take
over	over	over
the	the	the
presidency	presid	presidency
of	of	of
the	the	the
EU	eu	EU
Council	council	Council
in	in	in
2019	2019	2019
.	.	.
