GENEVA	geneva	GENEVA
Reuters	reuter	Reuters
-	-	-
A	a	A
United	unit	United
Nations	nation	Nations
human	human	human
rights	right	right
panel	panel	panel
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
it	it	it
had	had	had
credible	credibl	credible
allegations	alleg	allegation
that	that	that
North	north	North
Korean	korean	Korean
authorities	author	authority
had	had	had
tortured	tortur	tortured
or	or	or
mistreated	mistreat	mistreated
children	children	child
forced	forc	forced
to	to	to
return	return	return
from	from	from
abroad	abroad	abroad
or	or	or
held	held	held
in	in	in
detention	detent	detention
.	.	.
It	it	It
also	also	also
called	call	called
on	on	on
Pyongyang	pyongyang	Pyongyang
to	to	to
halt	halt	halt
child	child	child
labor	labor	labor
in	in	in
farming	farm	farming
,	,	,
mining	mine	mining
and	and	and
construction	construct	construction
,	,	,
as	as	a
well	well	well
as	as	a
discrimination	discrimin	discrimination
against	against	against
youth	youth	youth
for	for	for
the	the	the
crimes	crime	crime
of	of	of
their	their	their
parents	parent	parent
.	.	.
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
Committee	committe	Committee
on	on	on
the	the	the
Rights	right	Rights
of	of	of
the	the	the
Child	child	Child
,	,	,
which	which	which
reviewed	review	reviewed
Pyongyang	pyongyang	Pyongyang
s	s	s
record	record	record
last	last	last
month	month	month
,	,	,
voiced	voic	voiced
deep	deep	deep
concern	concern	concern
at	at	at
what	what	what
it	it	it
called	call	called
the	the	the
ideological	ideolog	ideological
indoctrination	indoctrin	indoctrination
in	in	in
its	it	it
education	educ	education
system	system	system
and	and	and
malnutrition	malnutrit	malnutrition
among	among	among
North	north	North
Korean	korean	Korean
children	children	child
.	.	.
We	we	We
do	do	do
have	have	have
reports	report	report
which	which	which
are	are	are
credible	credibl	credible
that	that	that
children	children	child
are	are	are
at	at	at
least	least	least
to	to	to
a	a	a
certain	certain	certain
extent	extent	extent
tortured	tortur	tortured
or	or	or
exposed	expos	exposed
to	to	to
violent	violent	violent
treatment	treatment	treatment
by	by	by
the	the	the
authorities	author	authority
in	in	in
various	various	various
circumstances	circumst	circumstance
,	,	,
panel	panel	panel
member	member	member
Kirsten	kirsten	Kirsten
Sandberg	sandberg	Sandberg
told	told	told
a	a	a
news	news	news
briefing	brief	briefing
.	.	.
This	this	This
might	might	might
be	be	be
when	when	when
they	they	they
return	return	return
to	to	to
the	the	the
country	countri	country
after	after	after
having	have	having
tried	tri	tried
to	to	to
stay	stay	stay
abroad	abroad	abroad
and	and	and
then	then	then
are	are	are
being	be	being
forcibly	forcibl	forcibly
returned	return	returned
.	.	.
It	it	It
happens	happen	happens
on	on	on
the	the	the
border	border	border
,	,	,
we	we	we
ve	ve	ve
heard	heard	heard
reports	report	report
about	about	about
violent	violent	violent
treatment	treatment	treatment
,	,	,
she	she	she
said	said	said
.	.	.
This	this	This
involved	involv	involved
mainly	main	mainly
North	north	North
Korean	korean	Korean
children	children	child
returning	return	returning
from	from	from
China	china	China
,	,	,
Sandberg	sandberg	Sandberg
said	said	said
,	,	,
adding	ad	adding
We	we	We
also	also	also
have	have	have
reports	report	report
of	of	of
pregnant	pregnant	pregnant
mothers	mother	mother
coming	come	coming
back	back	back
or	or	or
being	be	being
forcibly	forcibl	forcibly
returned	return	returned
who	who	who
are	are	are
not	not	not
to	to	to
allowed	allow	allowed
to	to	to
keep	keep	keep
their	their	their
babies	babi	baby
.	.	.
We	we	We
also	also	also
have	have	have
reports	report	report
of	of	of
violence	violenc	violence
against	against	against
children	children	child
in	in	in
detention	detent	detention
,	,	,
she	she	she
said	said	said
.	.	.
Tensions	tension	Tensions
in	in	in
the	the	the
region	region	region
and	and	and
beyond	beyond	beyond
,	,	,
especially	especi	especially
with	with	with
the	the	the
United	unit	United
States	state	States
,	,	,
have	have	have
risen	risen	risen
considerably	consider	considerably
in	in	in
recent	recent	recent
months	month	month
as	as	a
North	north	North
Korea	korea	Korea
conducted	conduct	conducted
a	a	a
series	seri	series
of	of	of
tests	test	test
of	of	of
its	it	it
medium	medium	medium
-	-	-
and	and	and
long	long	long
-range	-rang	-range
ballistic	ballist	ballistic
missiles	missil	missile
,	,	,
some	some	some
of	of	of
which	which	which
flew	flew	flew
over	over	over
Japan	japan	Japan
,	,	,
as	as	a
well	well	well
as	as	a
its	it	it
sixth	sixth	sixth
nuclear	nuclear	nuclear
test	test	test
on	on	on
Sept	sept	Sept
.	.	.
3	3	3
.	.	.
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
panel	panel	panel
,	,	,
in	in	in
a	a	a
session	session	session
on	on	on
Sept	sept	Sept
.	.	.
21	21	21
,	,	,
asked	ask	asked
the	the	the
North	north	North
Korean	korean	Korean
delegation	deleg	delegation
how	how	how
songbun	songbun	songbun
,	,	,
a	a	a
system	system	system
ranking	rank	ranking
citizens	citizen	citizen
based	base	based
on	on	on
family	famili	family
loyalty	loyalti	loyalty
to	to	to
the	the	the
ruling	rule	ruling
dynasty	dynasti	dynasty
,	,	,
affected	affect	affected
children	children	child
s	s	s
access	access	access
to	to	to
education	educ	education
,	,	,
health	health	health
and	and	and
food	food	food
.	.	.
The	the	The
North	north	North
Korean	korean	Korean
delegation	deleg	delegation
replied	repli	replied
that	that	that
this	this	this
was	was	wa
an	an	an
imaginary	imaginari	imaginary
concept	concept	concept
invented	invent	invented
by	by	by
hostile	hostil	hostile
forces	forc	force
.	.	.
In	in	In
its	it	it
findings	find	finding
,	,	,
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
panel	panel	panel
said	said	said
it	it	it
had	had	had
reports	report	report
of	of	of
discrimination	discrimin	discrimination
against	against	against
students	student	student
based	base	based
on	on	on
their	their	their
social	social	social
status	status	status
and	and	and
political	polit	political
views	view	view
of	of	of
their	their	their
parents	parent	parent
.	.	.
North	north	North
Korea	korea	Korea
has	has	ha
a	a	a
serious	serious	serious
nutrition	nutrit	nutrition
problem	problem	problem
,	,	,
Sandberg	sandberg	Sandberg
said	said	said
.	.	.
There	there	There
is	is	is
still	still	still
an	an	an
over	over	over
40	40	40
percent	percent	percent
rate	rate	rate
of	of	of
under	under	under
-nourishment	-nourish	-nourishment
.	.	.
This	this	This
also	also	also
a	a	a
serious	serious	serious
underlying	under	underlying
cause	caus	cause
for	for	for
child	child	child
mortality	mortal	mortality
,	,	,
also	also	also
mortality	mortal	mortality
of	of	of
their	their	their
mothers	mother	mother
.	.	.
And	and	And
children	children	child
under	under	under
five	five	five
years	year	year
continue	continu	continue
to	to	to
suffer	suffer	suffer
from	from	from
high	high	high
rates	rate	rate
of	of	of
stunting	stunt	stunting
and	and	and
wasting	wast	wasting
,	,	,
she	she	she
said	said	said
.	.	.
Children	children	Children
are	are	are
told	told	told
to	to	to
volunteer	volunt	volunteer
extensive	extens	extensive
periods	period	period
of	of	of
their	their	their
day	day	day
to	to	to
work	work	work
on	on	on
farms	farm	farm
and	and	and
mines	mine	mine
,	,	,
collect	collect	collect
wood	wood	wood
in	in	in
the	the	the
forests	forest	forest
,	,	,
repair	repair	repair
railroads	railroad	railroad
,	,	,
clean	clean	clean
statues	statu	statue
and	and	and
participate	particip	participate
in	in	in
forestation	forest	forestation
initiatives	initi	initiative
and	and	and
construction	construct	construction
projects	project	project
,	,	,
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
panel	panel	panel
said	said	said
,	,	,
noting	note	noting
these	these	these
were	were	were
referred	refer	referred
to	to	to
as	as	a
economic	econom	economic
assignments	assign	assignment
.	.	.
The	the	The
watchdog	watchdog	watchdog
,	,	,
composed	compos	composed
of	of	of
18	18	18
independent	independ	independent
experts	expert	expert
,	,	,
also	also	also
called	call	called
on	on	on
North	north	North
Korea	korea	Korea
to	to	to
allow	allow	allow
children	children	child
freedom	freedom	freedom
of	of	of
expression	express	expression
,	,	,
including	includ	including
access	access	access
to	to	to
the	the	the
Internet	internet	Internet
.	.	.
North	north	North
Korea	korea	Korea
told	told	told
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
panel	panel	panel
last	last	last
month	month	month
that	that	that
international	intern	international
sanctions	sanction	sanction
imposed	impos	imposed
on	on	on
it	it	it
over	over	over
its	it	it
nuclear	nuclear	nuclear
and	and	and
ballistic	ballist	ballistic
missile	missil	missile
programs	program	program
would	would	would
endanger	endang	endanger
the	the	the
survival	surviv	survival
of	of	of
North	north	North
Korean	korean	Korean
children	children	child
.	.	.
There	there	There
was	was	wa
no	no	no
immediate	immedi	immediate
reaction	reaction	reaction
from	from	from
Pyongyang	pyongyang	Pyongyang
to	to	to
the	the	the
findings	find	finding
,	,	,
but	but	but
a	a	a
North	north	North
Korean	korean	Korean
diplomat	diplomat	diplomat
in	in	in
Geneva	geneva	Geneva
told	told	told
Reuters	reuter	Reuters
just	just	just
before	befor	before
they	they	they
were	were	were
released	releas	released
We	we	We
are	are	are
committed	commit	committed
to	to	to
dialogue	dialogu	dialogue
.	.	.
