HOUSTON	houston	HOUSTON
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
,	,	,
while	while	while
chief	chief	chief
executive	execut	executive
of	of	of
Exxon	exxon	Exxon
Mobil	mobil	Mobil
Corp	corp	Corp
XOM	xom	XOM
.	.	.
N	n	N
,	,	,
used	use	used
an	an	an
alias	alia	alias
for	for	for
emails	email	email
with	with	with
employees	employe	employee
and	and	and
board	board	board
members	member	member
because	becaus	because
his	his	his
primary	primari	primary
account	account	account
was	was	wa
jammed	jam	jammed
with	with	with
too	too	too
many	mani	many
messages	messag	message
,	,	,
the	the	the
oil	oil	oil
company	compani	company
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
New	new	New
York	york	York
Attorney	attorney	Attorney
General	general	General
Eric	eric	Eric
Schneiderman	schneiderman	Schneiderman
,	,	,
who	who	who
is	is	is
investigating	investig	investigating
whether	whether	whether
Exxon	exxon	Exxon
misled	misl	misled
shareholders	sharehold	shareholder
and	and	and
the	the	the
public	public	public
about	about	about
climate	climat	climate
change	chang	change
,	,	,
wrote	wrote	wrote
to	to	to
a	a	a
judge	judg	judge
on	on	on
Monday	monday	Monday
accusing	accus	accusing
Exxon	exxon	Exxon
of	of	of
not	not	not
previously	previous	previously
disclosing	disclos	disclosing
the	the	the
alias	alia	alias
and	and	and
Tillerson	tillerson	Tillerson
s	s	s
climate	climat	climate
-change	-chang	-change
communications	communic	communication
through	through	through
it	it	it
.	.	.
Exxon	exxon	Exxon
denied	deni	denied
trying	tri	trying
to	to	to
hide	hide	hide
anything	anyth	anything
.	.	.
This	this	This
was	was	wa
not	not	not
an	an	an
alias	alia	alias
used	use	used
to	to	to
discuss	discuss	discus
only	onli	only
climate	climat	climate
change	chang	change
,	,	,
Exxon	exxon	Exxon
spokesman	spokesman	spokesman
Alan	alan	Alan
Jeffers	jeffer	Jeffers
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
It	it	It
was	was	wa
an	an	an
account	account	account
used	use	used
for	for	for
everyday	everyday	everyday
business	busi	business
by	by	by
senior	senior	senior
executives	execut	executive
who	who	who
needed	need	needed
to	to	to
reach	reach	reach
Tillerson	tillerson	Tillerson
,	,	,
who	who	who
left	left	left
the	the	the
company	compani	company
at	at	at
the	the	the
end	end	end
of	of	of
2016	2016	2016
to	to	to
become	becom	become
secretary	secretari	secretary
of	of	of
state	state	state
.	.	.
Tillerson	tillerson	Tillerson
received	receiv	received
thousands	thousand	thousand
of	of	of
emails	email	email
a	a	a
day	day	day
from	from	from
climate	climat	climate
change	chang	change
activists	activist	activist
and	and	and
others	other	others
at	at	at
his	his	his
regular	regular	regular
address	address	address
-	-	-
Rex	rex	Rex
.	.	.
W	w	W
.	.	.
Tillerson	tillerson	Tillerson
@ExxonMobil	@exxonmobil	@ExxonMobil
.	.	.
com	com	com
-	-	-
and	and	and
that	that	that
made	made	made
it	it	it
difficult	difficult	difficult
to	to	to
parse	pars	parse
which	which	which
messages	messag	message
were	were	were
important	import	important
to	to	to
promptly	prompt	promptly
address	address	address
Exxon	exxon	Exxon
s	s	s
business	busi	business
operations	oper	operation
,	,	,
Jeffers	jeffer	Jeffers
said	said	said
.	.	.
Tillerson	tillerson	Tillerson
used	use	used
the	the	the
email	email	email
alias	alia	alias
for	for	for
eight	eight	eight
years	year	year
and	and	and
sent	sent	sent
thousands	thousand	thousand
of	of	of
messages	messag	message
.	.	.
Sixty	sixti	Sixty
-four	-four	-four
of	of	of
those	those	those
sent	sent	sent
and	and	and
received	receiv	received
met	met	met
the	the	the
parameters	paramet	parameter
for	for	for
Schneiderman	schneiderman	Schneiderman
s	s	s
climate	climat	climate
change	chang	change
subpoena	subpoena	subpoena
and	and	and
were	were	were
turned	turn	turned
over	over	over
to	to	to
New	new	New
York	york	York
officials	offici	official
,	,	,
Jeffers	jeffer	Jeffers
said	said	said
.	.	.
The	the	The
email	email	email
alias	alia	alias
was	was	wa
Wayne	wayn	Wayne
.	.	.
Tracker	tracker	Tracker
@ExxonMobil	@exxonmobil	@ExxonMobil
.	.	.
com	com	com
.	.	.
Wayne	wayn	Wayne
is	is	is
Tillerson	tillerson	Tillerson
s	s	s
middle	middl	middle
name	name	name
and	and	and
Tracker	tracker	Tracker
is	is	is
likely	like	likely
a	a	a
reference	refer	reference
to	to	to
his	his	his
past	past	past
involvement	involv	involvement
in	in	in
the	the	the
Boy	boy	Boy
Scouts	scout	Scouts
of	of	of
America	america	America
.	.	.
Although	although	Although
Trump	trump	Trump
has	has	ha
vowed	vow	vowed
to	to	to
reverse	revers	reverse
climate	climat	climate
-change	-chang	-change
steps	step	step
taken	taken	taken
by	by	by
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
,	,	,
Exxon	exxon	Exxon
has	has	ha
said	said	said
it	it	it
believes	believ	belief
it	it	it
must	must	must
address	address	address
climate	climat	climate
change	chang	change
.	.	.
On	on	On
Monday	monday	Monday
,	,	,
it	it	it
said	said	said
ExxonMobil	exxonmobil	ExxonMobil
believes	believ	belief
the	the	the
risk	risk	risk
of	of	of
climate	climat	climate
change	chang	change
is	is	is
clear	clear	clear
and	and	and
warrants	warrant	warrant
action	action	action
.	.	.
Darren	darren	Darren
Woods	wood	Woods
,	,	,
who	who	who
succeeded	succeed	succeeded
Tillerson	tillerson	Tillerson
as	as	a
Exxon	exxon	Exxon
s	s	s
CEO	ceo	CEO
in	in	in
January	januari	January
,	,	,
does	doe	doe
not	not	not
use	use	use
an	an	an
email	email	email
alias	alia	alias
,	,	,
nor	nor	nor
does	doe	doe
any	ani	any
other	other	other
Exxon	exxon	Exxon
employee	employe	employee
,	,	,
Jeffers	jeffer	Jeffers
said	said	said
.	.	.
Use	use	Use
of	of	of
the	the	the
email	email	email
alias	alia	alias
was	was	wa
seized	seiz	seized
upon	upon	upon
by	by	by
environmentalists	environmentalist	environmentalist
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
who	who	who
said	said	said
it	it	it
revealed	reveal	revealed
a	a	a
pattern	pattern	pattern
of	of	of
deception	decept	deception
.	.	.
If	if	If
they	they	they
had	had	had
nothing	noth	nothing
to	to	to
hide	hide	hide
,	,	,
than	than	than
why	whi	why
the	the	the
secret	secret	secret
email	email	email
account	account	account
?	?	?
said	said	said
Jamie	jami	Jamie
Henn	henn	Henn
of	of	of
350	350	350
.	.	.
org	org	org
,	,	,
an	an	an
environmental	environment	environmental
group	group	group
.	.	.
Exxon	exxon	Exxon
plans	plan	plan
to	to	to
respond	respond	respond
to	to	to
Schneiderman	schneiderman	Schneiderman
in	in	in
a	a	a
court	court	court
filing	file	filing
within	within	within
the	the	the
next	next	next
several	sever	several
days	day	day
,	,	,
Jeffers	jeffer	Jeffers
said	said	said
.	.	.
The	the	The
case	case	case
is	is	is
People	peopl	People
of	of	of
the	the	the
State	state	State
of	of	of
New	new	New
York	york	York
v	v	v
PricewaterhouseCoopers	pricewaterhousecoop	PricewaterhouseCoopers
and	and	and
Exxon	exxon	Exxon
Mobil	mobil	Mobil
Corporation	corpor	Corporation
,	,	,
New	new	New
York	york	York
State	state	State
Supreme	suprem	Supreme
Court	court	Court
,	,	,
New	new	New
York	york	York
County	counti	County
,	,	,
No	no	No
.	.	.
451962	451962	451962
2016	2016	2016
.	.	.
