DANANG	danang	DANANG
,	,	,
Vietnam	vietnam	Vietnam
Reuters	reuter	Reuters
-	-	-
Russian	russian	Russian
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
said	said	said
on	on	on
Saturday	saturday	Saturday
that	that	that
Russia	russia	Russia
would	would	would
respond	respond	respond
in	in	in
kind	kind	kind
to	to	to
what	what	what
he	he	he
said	said	said
were	were	were
Washington	washington	Washington
s	s	s
measures	measur	measure
to	to	to
restrict	restrict	restrict
the	the	the
freedom	freedom	freedom
of	of	of
speech	speech	speech
of	of	of
Russian	russian	Russian
media	media	medium
organizations	organ	organization
operating	oper	operating
on	on	on
U	u	U
.	.	.
S	s	S
.	.	.
soil	soil	soil
.	.	.
Putin	putin	Putin
said	said	said
however	howev	however
that	that	that
possible	possibl	possible
plans	plan	plan
to	to	to
retaliate	retali	retaliate
by	by	by
declaring	declar	declaring
U	u	U
.	.	.
S	s	S
.	.	.
media	media	medium
operating	oper	operating
in	in	in
Russia	russia	Russia
as	as	a
foreign	foreign	foreign
agents	agent	agent
may	may	may
be	be	be
a	a	a
little	littl	little
too	too	too
harsh	harsh	harsh
,	,	,
and	and	and
that	that	that
the	the	the
Kremlin	kremlin	Kremlin
was	was	wa
still	still	still
formulating	formul	formulating
its	it	it
exact	exact	exact
response	respons	response
.	.	.
Kremlin	kremlin	Kremlin
-backed	-back	-backed
broadcaster	broadcast	broadcaster
Russia	russia	Russia
Today	today	Today
has	has	ha
been	been	been
told	told	told
to	to	to
register	regist	register
in	in	in
the	the	the
United	unit	United
States	state	States
as	as	a
a	a	a
foreign	foreign	foreign
agent	agent	agent
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
intelligence	intellig	intelligence
officials	offici	official
say	say	say
the	the	the
broadcaster	broadcast	broadcaster
tried	tri	tried
to	to	to
influence	influenc	influence
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
on	on	on
the	the	the
Kremlin	kremlin	Kremlin
s	s	s
behalf	behalf	behalf
,	,	,
an	an	an
allegation	alleg	allegation
the	the	the
broadcaster	broadcast	broadcaster
and	and	and
the	the	the
Kremlin	kremlin	Kremlin
deny	deni	deny
.	.	.
On	on	On
Friday	friday	Friday
,	,	,
the	the	the
pro	pro	pro
-Kremlin	-kremlin	-Kremlin
speaker	speaker	speaker
of	of	of
the	the	the
lower	lower	lower
house	hous	house
of	of	of
Russia	russia	Russia
s	s	s
parliament	parliament	parliament
,	,	,
Vyacheslav	vyacheslav	Vyacheslav
Volodin	volodin	Volodin
,	,	,
said	said	said
legislation	legisl	legislation
could	could	could
be	be	be
introduced	introduc	introduced
next	next	next
week	week	week
designating	design	designating
U	u	U
.	.	.
S	s	S
.	.	.
and	and	and
some	some	some
other	other	other
foreign	foreign	foreign
media	media	medium
operating	oper	operating
in	in	in
Russia	russia	Russia
as	as	a
foreign	foreign	foreign
agents	agent	agent
.	.	.
Speaking	speak	Speaking
to	to	to
reporters	report	reporter
at	at	at
the	the	the
end	end	end
of	of	of
an	an	an
Asia	asia	Asia
Pacific	pacif	Pacific
Economic	econom	Economic
Cooperation	cooper	Cooperation
Summit	summit	Summit
in	in	in
Vietnam	vietnam	Vietnam
,	,	,
Putin	putin	Putin
said	said	said
An	an	An
attack	attack	attack
on	on	on
our	our	our
media	media	medium
in	in	in
the	the	the
United	unit	United
States	state	States
is	is	is
an	an	an
attack	attack	attack
on	on	on
freedom	freedom	freedom
of	of	of
speech	speech	speech
,	,	,
without	without	without
a	a	a
doubt	doubt	doubt
.	.	.
We	we	We
re	re	re
disappointed	disappoint	disappointed
.	.	.
What	what	What
is	is	is
being	be	being
discussed	discuss	discussed
in	in	in
the	the	the
State	state	State
Duma	duma	Duma
lower	lower	lower
house	hous	house
of	of	of
parliament	parliament	parliament
,	,	,
I	i	I
saw	saw	saw
it	it	it
yesterday	yesterday	yesterday
,	,	,
it	it	it
might	might	might
be	be	be
a	a	a
little	littl	little
too	too	too
harsh	harsh	harsh
but	but	but
it	it	it
s	s	s
natural	natur	natural
because	becaus	because
at	at	at
the	the	the
level	level	level
of	of	of
the	the	the
legislative	legisl	legislative
arm	arm	arm
you	you	you
often	often	often
hear	hear	hear
extreme	extrem	extreme
views	view	view
,	,	,
harsh	harsh	harsh
judgment	judgment	judgment
and	and	and
tough	tough	tough
proposals	propos	proposal
.	.	.
But	but	But
we	we	we
will	will	will
have	have	have
to	to	to
formulate	formul	formulate
some	some	some
kind	kind	kind
of	of	of
response	respons	response
and	and	and
it	it	it
will	will	will
mirror	mirror	mirror
,	,	,
the	the	the
measures	measur	measure
adopted	adopt	adopted
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
authorities	author	authority
towards	toward	towards
Russian	russian	Russian
media	media	medium
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
Putin	putin	Putin
said	said	said
.	.	.
I	i	I
want	want	want
to	to	to
draw	draw	draw
your	your	your
attention	attent	attention
to	to	to
the	the	the
fact	fact	fact
that	that	that
there	there	there
is	is	is
no	no	no
and	and	and
there	there	there
can	can	can
t	t	t
be	be	be
confirmation	confirm	confirmation
that	that	that
Russian	russian	Russian
media	media	medium
meddled	meddl	meddled
in	in	in
election	elect	election
campaigns	campaign	campaign
,	,	,
Putin	putin	Putin
said	said	said
.	.	.
Being	be	Being
designated	design	designated
as	as	a
foreign	foreign	foreign
agents	agent	agent
in	in	in
Russia	russia	Russia
would	would	would
oblige	oblig	oblige
foreign	foreign	foreign
media	media	medium
to	to	to
submit	submit	submit
regular	regular	regular
reports	report	report
to	to	to
the	the	the
authorities	author	authority
about	about	about
their	their	their
staffing	staf	staffing
and	and	and
their	their	their
sources	sourc	source
of	of	of
funding	fund	funding
.	.	.
