ANKARA	ankara	ANKARA
BAGHDAD	baghdad	BAGHDAD
ERBIL	erbil	ERBIL
,	,	,
Iraq	iraq	Iraq
Reuters	reuter	Reuters
-	-	-
Iraqi	iraqi	Iraqi
troops	troop	troop
deployed	deploy	deployed
on	on	on
Tuesday	tuesday	Tuesday
at	at	at
one	one	one
of	of	of
the	the	the
main	main	main
land	land	land
crossings	cross	crossing
with	with	with
Turkey	turkey	Turkey
,	,	,
gaining	gain	gaining
a	a	a
foothold	foothold	foothold
at	at	at
the	the	the
Kurdish	kurdish	Kurdish
-held	-held	-held
frontier	frontier	frontier
for	for	for
the	the	the
first	first	first
time	time	time
in	in	in
decades	decad	decade
and	and	and
imposing	impos	imposing
one	one	one
of	of	of
Baghdad	baghdad	Baghdad
s	s	s
central	central	central
demands	demand	demand
on	on	on
the	the	the
Kurds	kurd	Kurds
.	.	.
Iraq	iraq	Iraq
s	s	s
entire	entir	entire
land	land	land
border	border	border
with	with	with
Turkey	turkey	Turkey
is	is	is
located	locat	located
inside	insid	inside
the	the	the
Kurdish	kurdish	Kurdish
autonomous	autonom	autonomous
region	region	region
,	,	,
and	and	and
has	has	ha
been	been	been
controlled	control	controlled
by	by	by
the	the	the
Kurds	kurd	Kurds
since	sinc	since
before	befor	before
the	the	the
fall	fall	fall
of	of	of
Saddam	saddam	Saddam
Hussein	hussein	Hussein
in	in	in
2003	2003	2003
.	.	.
But	but	But
since	sinc	since
the	the	the
Kurds	kurd	Kurds
staged	stage	staged
a	a	a
referendum	referendum	referendum
on	on	on
independence	independ	independence
last	last	last
month	month	month
that	that	that
Baghdad	baghdad	Baghdad
considers	consid	considers
illegal	illeg	illegal
,	,	,
the	the	the
central	central	central
government	govern	government
has	has	ha
demanded	demand	demanded
a	a	a
presence	presenc	presence
at	at	at
all	all	all
border	border	border
crossing	cross	crossing
points	point	point
.	.	.
The	the	The
Iraqis	iraqi	Iraqis
set	set	set
up	up	up
positions	posit	position
between	between	between
the	the	the
Turkish	turkish	Turkish
and	and	and
the	the	the
Iraqi	iraqi	Iraqi
Kurdish	kurdish	Kurdish
checkpoints	checkpoint	checkpoint
at	at	at
the	the	the
Habur	habur	Habur
border	border	border
crossing	cross	crossing
between	between	between
the	the	the
Turkish	turkish	Turkish
town	town	town
of	of	of
Silopi	silopi	Silopi
and	and	and
the	the	the
Iraqi	iraqi	Iraqi
town	town	town
of	of	of
Zakho	zakho	Zakho
,	,	,
a	a	a
security	secur	security
source	sourc	source
in	in	in
Baghdad	baghdad	Baghdad
said	said	said
.	.	.
Vehicles	vehicl	Vehicles
crossing	cross	crossing
the	the	the
border	border	border
would	would	would
now	now	now
be	be	be
subject	subject	subject
to	to	to
three	three	three
checks	check	check
by	by	by
Turks	turk	Turks
,	,	,
Iraqi	iraqi	Iraqi
forces	forc	force
and	and	and
the	the	the
Kurds	kurd	Kurds
.	.	.
Habur	habur	Habur
border	border	border
gate	gate	gate
has	has	ha
been	been	been
handed	hand	handed
over	over	over
to	to	to
the	the	the
central	central	central
Iraqi	iraqi	Iraqi
government	govern	government
as	as	a
of	of	of
this	this	this
morning	morn	morning
,	,	,
Turkish	turkish	Turkish
Prime	prime	Prime
Minister	minist	Minister
Binali	binali	Binali
Yildirim	yildirim	Yildirim
told	told	told
members	member	member
of	of	of
his	his	his
ruling	rule	ruling
AK	ak	AK
Party	parti	Party
in	in	in
parliament	parliament	parliament
in	in	in
Ankara	ankara	Ankara
.	.	.
Officials	offici	Officials
from	from	from
the	the	the
Kurdistan	kurdistan	Kurdistan
Regional	region	Regional
Government	govern	Government
KRG	krg	KRG
said	said	said
they	they	they
had	had	had
not	not	not
relinquished	relinquish	relinquished
control	control	control
of	of	of
the	the	the
crossing	cross	crossing
.	.	.
Discussions	discuss	Discussions
were	were	were
ongoing	ongo	ongoing
to	to	to
allow	allow	allow
Iraqi	iraqi	Iraqi
oversight	oversight	oversight
at	at	at
the	the	the
border	border	border
,	,	,
Hoshyar	hoshyar	Hoshyar
Zebari	zebari	Zebari
,	,	,
a	a	a
former	former	former
Iraqi	iraqi	Iraqi
foreign	foreign	foreign
minister	minist	minister
now	now	now
working	work	working
as	as	a
an	an	an
adviser	advis	adviser
to	to	to
the	the	the
KRG	krg	KRG
,	,	,
told	told	told
Reuters	reuter	Reuters
.	.	.
An	an	An
Iraqi	iraqi	Iraqi
official	offici	official
showed	show	showed
Reuters	reuter	Reuters
pictures	pictur	picture
of	of	of
the	the	the
Iraqi	iraqi	Iraqi
flag	flag	flag
being	be	being
raised	rais	raised
at	at	at
the	the	the
border	border	border
gate	gate	gate
,	,	,
where	where	where
Iraqi	iraqi	Iraqi
and	and	and
Turkish	turkish	Turkish
soldiers	soldier	soldier
were	were	were
deployed	deploy	deployed
and	and	and
Turkish	turkish	Turkish
flags	flag	flag
also	also	also
hoisted	hoist	hoisted
.	.	.
Control	control	Control
of	of	of
