ZAGREB	zagreb	ZAGREB
Reuters	reuter	Reuters
-	-	-
Croatia	croatia	Croatia
and	and	and
Slovenia	slovenia	Slovenia
failed	fail	failed
to	to	to
reach	reach	reach
a	a	a
compromise	compromis	compromise
solution	solut	solution
for	for	for
their	their	their
border	border	border
dispute	disput	dispute
in	in	in
talks	talk	talk
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
with	with	with
Slovenia	slovenia	Slovenia
gearing	gear	gearing
up	up	up
to	to	to
implement	implement	implement
an	an	an
international	intern	international
court	court	court
ruling	rule	ruling
which	which	which
Croatia	croatia	Croatia
dismisses	dismiss	dismisses
as	as	a
invalid	invalid	invalid
.	.	.

The	the	The
Permanent	perman	Permanent
Court	court	Court
of	of	of
Arbitration	arbitr	Arbitration
in	in	in
June	june	June
ruled	rule	ruled
that	that	that
most	most	most
of	of	of
the	the	the
Piran	piran	Piran
Bay	bay	Bay
area	area	area
shared	share	shared
between	between	between
the	the	the
two	two	two
neighbors	neighbor	neighbor
was	was	wa
Slovenia	slovenia	Slovenia
s	s	s
territorial	territori	territorial
waters	water	water
,	,	,
and	and	and
that	that	that
Slovenia	slovenia	Slovenia
should	should	should
have	have	have
a	a	a
sea	sea	sea
corridor	corridor	corridor
through	through	through
Croatian	croatian	Croatian
waters	water	water
to	to	to
international	intern	international
waters	water	water
.	.	.

The	the	The
Hague	hagu	Hague
-based	-base	-based
court	court	court
s	s	s
six	six	six
-month	-month	-month
deadline	deadlin	deadline
for	for	for
the	the	the
states	state	state
to	to	to
implement	implement	implement
the	the	the
ruling	rule	ruling
expires	expir	expires
on	on	on
Dec	dec	Dec
.	.	.

29	29	29
.	.	.

Croatia	croatia	Croatia
rejects	reject	reject
the	the	the
ruling	rule	ruling
,	,	,
saying	say	saying
it	it	it
withdrew	withdrew	withdrew
from	from	from
the	the	the
process	process	process
in	in	in
2015	2015	2015
because	becaus	because
of	of	of
Slovenia	slovenia	Slovenia
s	s	s
violation	violat	violation
of	of	of
the	the	the
arbitration	arbitr	arbitration
procedure	procedur	procedure
.	.	.

We	we	We
intend	intend	intend
to	to	to
implement	implement	implement
the	the	the
ruling	rule	ruling
and	and	and
expect	expect	expect
Croatia	croatia	Croatia
to	to	to
do	do	do
the	the	the
same	same	same
,	,	,
Slovenian	slovenian	Slovenian
Prime	prime	Prime
Minister	minist	Minister
Miro	miro	Miro
Cerar	cerar	Cerar
said	said	said
at	at	at
a	a	a
news	news	news
conference	confer	conference
following	follow	following
talks	talk	talk
in	in	in
Zagreb	zagreb	Zagreb
on	on	on
Tuesday	tuesday	Tuesday
with	with	with
his	his	his
Croatian	croatian	Croatian
counterpart	counterpart	counterpart
Andrej	andrej	Andrej
Plenkovic	plenkov	Plenkovic
.	.	.

Slovenia	slovenia	Slovenia
will	will	will
start	start	start
the	the	the
implementation	implement	implementation
where	where	where
it	it	it
can	can	can
do	do	do
it	it	it
alone	alon	alone
,	,	,
and	and	and
it	it	it
will	will	will
seek	seek	seek
dialogue	dialogu	dialogue
and	and	and
cooperation	cooper	cooperation
from	from	from
Croatia	croatia	Croatia
where	where	where
it	it	it
cannot	cannot	cannot
act	act	act
alone	alon	alone
.	.	.

Plenkovic	plenkov	Plenkovic
said	said	said
the	the	the
ruling	rule	ruling
was	was	wa
not	not	not
obligatory	obligatori	obligatory
for	for	for
Croatia	croatia	Croatia
,	,	,
which	which	which
had	had	had
withdrawn	withdrawn	withdrawn
from	from	from
the	the	the
arbitration	arbitr	arbitration
process	process	process
after	after	after
a	a	a
leaked	leak	leaked
tape	tape	tape
showed	show	showed
that	that	that
a	a	a
Slovenian	slovenian	Slovenian
judge	judg	judge
on	on	on
the	the	the
arbitration	arbitr	arbitration
panel	panel	panel
had	had	had
improperly	improp	improperly
exchanged	exchang	exchanged
confidential	confidenti	confidential
information	inform	information
with	with	with
the	the	the
Ljubljana	ljubljana	Ljubljana
government	govern	government
.	.	.

The	the	The
court	court	court
acknowledged	acknowledg	acknowledged
the	the	the
arbitration	arbitr	arbitration
violation	violat	violation
but	but	but
concluded	conclud	concluded
that	that	that
it	it	it
was	was	wa
not	not	not
serious	serious	serious
enough	enough	enough
to	to	to
halt	halt	halt
the	the	the
case	case	case
.	.	.

The	the	The
issue	issu	issue
of	of	of
borders	border	border
is	is	is
an	an	an
open	open	open
issue	issu	issue
for	for	for
Croatia	croatia	Croatia
,	,	,
Plenkovic	plenkov	Plenkovic
said	said	said
,	,	,
adding	ad	adding
that	that	that
Croatia	croatia	Croatia
had	had	had
proposed	propos	proposed
to	to	to
Slovenia	slovenia	Slovenia
a	a	a
legal	legal	legal
framework	framework	framework
for	for	for
new	new	new
talks	talk	talk
on	on	on
the	the	the
borders	border	border
.	.	.

Cerar	cerar	Cerar
dismissed	dismiss	dismissed
the	the	the
idea	idea	idea
,	,	,
saying	say	saying
the	the	the
arbitration	arbitr	arbitration
ruling	rule	ruling
was	was	wa
final	final	final
for	for	for
Slovenia	slovenia	Slovenia
.	.	.

Plenkovic	plenkov	Plenkovic
warned	warn	warned
against	against	against
unilateral	unilater	unilateral
acts	act	act
that	that	that
could	could	could
cause	caus	cause
incidents	incid	incident
on	on	on
the	the	the
borders	border	border
.	.	.

The	the	The
two	two	two
countries	countri	country
have	have	have
been	been	been
arguing	argu	arguing
over	over	over
their	their	their
sea	sea	sea
and	and	and
land	land	land
borders	border	border
since	sinc	since
both	both	both
declared	declar	declared
independence	independ	independence
from	from	from
former	former	former
Yugoslavia	yugoslavia	Yugoslavia
in	in	in
1991	1991	1991
as	as	a
it	it	it
disintegrated	disintegr	disintegrated
and	and	and
slid	slid	slid
into	into	into
war	war	war
.	.	.

The	the	The
dispute	disput	dispute
held	held	held
up	up	up
Croatian	croatian	Croatian
accession	access	accession
to	to	to
the	the	the
EU	eu	EU
for	for	for
many	mani	many
years	year	year
.	.	.

Only	onli	Only
after	after	after
both	both	both
parties	parti	party
agreed	agre	agreed
to	to	to
arbitration	arbitr	arbitration
was	was	wa
Zagreb	zagreb	Zagreb
granted	grant	granted
entry	entri	entry
to	to	to
the	the	the
bloc	bloc	bloc
in	in	in
2013	2013	2013
.	.	.

The	the	The
court	court	court
ruled	rule	ruled
that	that	that
Slovenia	slovenia	Slovenia
should	should	should
have	have	have
most	most	most
of	of	of
the	the	the
Piran	piran	Piran
Bay	bay	Bay
area	area	area
recognized	recogn	recognized
as	as	a
its	it	it
territorial	territori	territorial
waters	water	water
.	.	.

In	in	In
addition	addit	addition
,	,	,
the	the	the
tribunal	tribun	tribunal
established	establish	established
a	a	a
2	2	2
.	.	.
5	5	5
nautical	nautic	nautical
mile	mile	mile
-wide	-wide	-wide
and	and	and
some	some	some
10	10	10
nautical	nautic	nautical
mile	mile	mile
-long	-long	-long
corridor	corridor	corridor
through	through	through
Croatian	croatian	Croatian
waters	water	water
to	to	to
give	give	give
Slovenia	slovenia	Slovenia
much	much	much
-coveted	-covet	-coveted
direct	direct	direct
access	access	access
to	to	to
international	intern	international
waters	water	water
.	.	.

