BELFAST	belfast	BELFAST
Reuters	reuter	Reuters
-	-	-
The	the	The
head	head	head
of	of	of
the	the	the
Democratic	democrat	Democratic
Unionist	unionist	Unionist
Party	parti	Party
said	said	said
on	on	on
Monday	monday	Monday
Northern	northern	Northern
Ireland	ireland	Ireland
would	would	would
leave	leav	leave
the	the	the
EU	eu	EU
on	on	on
the	the	the
same	same	same
terms	term	term
as	as	a
the	the	the
rest	rest	rest
of	of	of
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
,	,	,
rebuffing	rebuf	rebuffing
a	a	a
suggestion	suggest	suggestion
from	from	from
the	the	the
bloc	bloc	bloc
that	that	that
the	the	the
region	region	region
remain	remain	remain
subject	subject	subject
to	to	to
some	some	some
of	of	of
its	it	it
rules	rule	rule
.	.	.

Brussels	brussel	Brussels
has	has	ha
said	said	said
it	it	it
will	will	will
not	not	not
move	move	move
to	to	to
the	the	the
second	second	second
phase	phase	phase
of	of	of
Brexit	brexit	Brexit
talks	talk	talk
with	with	with
Britain	britain	Britain
until	until	until
London	london	London
provides	provid	provides
additional	addit	additional
detail	detail	detail
of	of	of
how	how	how
it	it	it
will	will	will
guarantee	guarante	guarantee
that	that	that
there	there	there
be	be	be
no	no	no
hard	hard	hard
border	border	border
between	between	between
Ireland	ireland	Ireland
and	and	and
Northern	northern	Northern
Ireland	ireland	Ireland
.	.	.

Chief	chief	Chief
EU	eu	EU
Brexit	brexit	Brexit
negotiator	negoti	negotiator
Michel	michel	Michel
Barnier	barnier	Barnier
on	on	on
Monday	monday	Monday
asked	ask	asked
the	the	the
British	british	British
government	govern	government
to	to	to
detail	detail	detail
what	what	what
specific	specif	specific
EU	eu	EU
rules	rule	rule
it	it	it
would	would	would
retain	retain	retain
in	in	in
Northern	northern	Northern
Ireland	ireland	Ireland
to	to	to
ensure	ensur	ensure
regulatory	regulatori	regulatory
equivalence	equival	equivalence
between	between	between
the	the	the
region	region	region
and	and	and
the	the	the
Irish	irish	Irish
Republic	republ	Republic
and	and	and
thus	thus	thus
avoid	avoid	avoid
the	the	the
need	need	need
for	for	for
a	a	a
hard	hard	hard
border	border	border
.	.	.

But	but	But
the	the	the
head	head	head
of	of	of
the	the	the
DUP	dup	DUP
,	,	,
whose	whose	whose
votes	vote	vote
the	the	the
government	govern	government
of	of	of
British	british	British
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
is	is	is
dependent	depend	dependent
on	on	on
to	to	to
pass	pass	pas
legislation	legisl	legislation
,	,	,
repeated	repeat	repeated
her	her	her
rejection	reject	rejection
of	of	of
the	the	the
suggestion	suggest	suggestion
on	on	on
Monday	monday	Monday
,	,	,
saying	say	saying
she	she	she
would	would	would
not	not	not
create	creat	create
barriers	barrier	barrier
to	to	to
business	busi	business
with	with	with
the	the	the
rest	rest	rest
of	of	of
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
to	to	to
allow	allow	allow
smooth	smooth	smooth
trade	trade	trade
with	with	with
Ireland	ireland	Ireland
.	.	.

Northern	northern	Northern
Ireland	ireland	Ireland
will	will	will
exit	exit	exit
the	the	the
EU	eu	EU
on	on	on
the	the	the
same	same	same
terms	term	term
as	as	a
the	the	the
rest	rest	rest
of	of	of
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
,	,	,
Arlene	arlen	Arlene
Foster	foster	Foster
said	said	said
in	in	in
a	a	a
statement	statement	statement
ahead	ahead	ahead
of	of	of
a	a	a
meeting	meet	meeting
with	with	with
May	may	May
on	on	on
Tuesday	tuesday	Tuesday
morning	morn	morning
.	.	.

We	we	We
will	will	will
not	not	not
countenance	counten	countenance
a	a	a
border	border	border
in	in	in
the	the	the
Irish	irish	Irish
Sea	sea	Sea
.	.	.

I	i	I
welcome	welcom	welcome
the	the	the
Prime	prime	Prime
Minister	minist	Minister
s	s	s
commitment	commit	commitment
on	on	on
this	this	this
.	.	.

The	the	The
EU	eu	EU
has	has	ha
said	said	said
the	the	the
UK	uk	UK
needs	need	need
to	to	to
come	come	come
forward	forward	forward
with	with	with
concrete	concret	concrete
proposals	propos	proposal
on	on	on
the	the	the
Irish	irish	Irish
border	border	border
and	and	and
on	on	on
what	what	what
past	past	past
financial	financi	financial
commitments	commit	commitment
it	it	it
will	will	will
honor	honor	honor
by	by	by
early	earli	early
December	decemb	December
if	if	if
EU	eu	EU
leaders	leader	leader
are	are	are
to	to	to
declare	declar	declare
at	at	at
their	their	their
Dec	dec	Dec
.	.	.

14	14	14
-15	-15	-15
summit	summit	summit
that	that	that
enough	enough	enough
has	has	ha
been	been	been
achieved	achiev	achieved
to	to	to
start	start	start
talks	talk	talk
on	on	on
a	a	a
transition	transit	transition
period	period	period
and	and	and
a	a	a
trade	trade	trade
deal	deal	deal
.	.	.

Britain	britain	Britain
is	is	is
scheduled	schedul	scheduled
to	to	to
leave	leav	leave
the	the	the
bloc	bloc	bloc
in	in	in
March	march	March
2019	2019	2019
.	.	.

Foster	foster	Foster
said	said	said
the	the	the
EU	eu	EU
s	s	s
stance	stanc	stance
on	on	on
Northern	northern	Northern
Ireland	ireland	Ireland
amounted	amount	amounted
to	to	to
blackmail	blackmail	blackmail
.	.	.

Those	those	Those
in	in	in
Dublin	dublin	Dublin
and	and	and
Brussels	brussel	Brussels
,	,	,
recklessly	reckless	recklessly
trying	tri	trying
to	to	to
use	use	use
Northern	northern	Northern
Ireland	ireland	Ireland
for	for	for
their	their	their
own	own	own
objectives	object	objective
,	,	,
should	should	should
cease	ceas	cease
,	,	,
she	she	she
said	said	said
in	in	in
the	the	the
statement	statement	statement
.	.	.

The	the	The
Prime	prime	Prime
Minister	minist	Minister
should	should	should
warn	warn	warn
Brussels	brussel	Brussels
that	that	that
Northern	northern	Northern
Ireland	ireland	Ireland
must	must	must
not	not	not
be	be	be
used	use	used
as	as	a
blackmail	blackmail	blackmail
.	.	.

