BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
The	the	The
Syrian	syrian	Syrian
Observatory	observatori	Observatory
for	for	for
Human	human	Human
Rights	right	Rights
said	said	said
an	an	an
Islamic	islam	Islamic
State	state	State
attack	attack	attack
on	on	on
Thursday	thursday	Thursday
cut	cut	cut
off	off	off
the	the	the
main	main	main
road	road	road
between	between	between
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
city	citi	city
and	and	and
Palmyra	palmyra	Palmyra
,	,	,
but	but	but
a	a	a
Syrian	syrian	Syrian
military	militari	military
source	sourc	source
denied	deni	denied
this	this	this
.	.	.
The	the	The
Observatory	observatori	Observatory
,	,	,
a	a	a
Britain	britain	Britain
-based	-base	-based
war	war	war
monitor	monitor	monitor
,	,	,
said	said	said
Islamic	islam	Islamic
State	state	State
seized	seiz	seized
the	the	the
town	town	town
of	of	of
al	al	al
-Shoula	-shoula	-Shoula
on	on	on
the	the	the
road	road	road
,	,	,
as	as	a
Syrian	syrian	Syrian
troops	troop	troop
and	and	and
their	their	their
allies	alli	ally
battled	battl	battled
around	around	around
it	it	it
with	with	with
heavy	heavi	heavy
air	air	air
cover	cover	cover
.	.	.
But	but	But
the	the	the
Syrian	syrian	Syrian
military	militari	military
source	sourc	source
said	said	said
the	the	the
army	armi	army
thwarted	thwart	thwarted
the	the	the
attack	attack	attack
and	and	and
denied	deni	denied
that	that	that
Islamic	islam	Islamic
State	state	State
fighters	fighter	fighter
had	had	had
taken	taken	taken
the	the	the
town	town	town
and	and	and
cut	cut	cut
off	off	off
the	the	the
route	rout	route
.	.	.
The	the	The
militants	milit	militant
tried	tri	tried
to	to	to
mount	mount	mount
an	an	an
attack	attack	attack
from	from	from
territory	territori	territory
they	they	they
control	control	control
southeast	southeast	southeast
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
city	citi	city
,	,	,
near	near	near
the	the	the
border	border	border
with	with	with
Iraq	iraq	Iraq
,	,	,
the	the	the
source	sourc	source
added	ad	added
.	.	.
They	they	They
received	receiv	received
a	a	a
blow	blow	blow
and	and	and
did	did	did
not	not	not
succeed	succeed	succeed
,	,	,
the	the	the
source	sourc	source
said	said	said
.	.	.
The	the	The
road	road	road
,	,	,
which	which	which
the	the	the
army	armi	army
and	and	and
its	it	it
allies	alli	ally
seized	seiz	seized
in	in	in
recent	recent	recent
weeks	week	week
,	,	,
serves	serv	serf
as	as	a
a	a	a
major	major	major
supply	suppli	supply
route	rout	route
from	from	from
government	govern	government
territory	territori	territory
into	into	into
the	the	the
eastern	eastern	eastern
city	citi	city
.	.	.
With	with	With
Russian	russian	Russian
air	air	air
power	power	power
and	and	and
Iran	iran	Iran
-backed	-back	-backed
militias	militia	militia
,	,	,
the	the	the
Syrian	syrian	Syrian
army	armi	army
reached	reach	reached
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
city	citi	city
last	last	last
month	month	month
,	,	,
breaking	break	breaking
an	an	an
Islamic	islam	Islamic
State	state	State
siege	sieg	siege
of	of	of
an	an	an
enclave	enclav	enclave
there	there	there
that	that	that
had	had	had
lasted	last	lasted
three	three	three
years	year	year
.	.	.
The	the	The
towns	town	town
along	along	along
the	the	the
Euphrates	euphrat	Euphrates
river	river	river
,	,	,
downstream	downstream	downstream
of	of	of
the	the	the
city	citi	city
,	,	,
have	have	have
fast	fast	fast
become	becom	become
the	the	the
last	last	last
major	major	major
IS	is	IS
footholds	foothold	foothold
in	in	in
Syria	syria	Syria
and	and	and
a	a	a
focus	focus	focus
of	of	of
the	the	the
multi	multi	multi
-sided	-side	-sided
war	war	war
.	.	.
Islamic	islam	Islamic
State	state	State
militants	milit	militant
have	have	have
been	been	been
on	on	on
the	the	the
back	back	back
foot	foot	foot
in	in	in
both	both	both
Iraq	iraq	Iraq
and	and	and
Syria	syria	Syria
,	,	,
where	where	where
they	they	they
have	have	have
lost	lost	lost
vast	vast	vast
territory	territori	territory
to	to	to
different	differ	different
enemies	enemi	enemy
this	this	this
year	year	year
.	.	.
With	with	With
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
jets	jet	jet
and	and	and
special	special	special
forces	forc	force
,	,	,
an	an	an
alliance	allianc	alliance
of	of	of
Kurdish	kurdish	Kurdish
and	and	and
Arab	arab	Arab
militias	militia	militia
is	is	is
also	also	also
battling	battl	battling
Islamic	islam	Islamic
State	state	State
on	on	on
the	the	the
river	river	river
s	s	s
eastern	eastern	eastern
bank	bank	bank
.	.	.
The	the	The
separate	separ	separate
offensives	offens	offensive
have	have	have
both	both	both
advanced	advanc	advanced
as	as	a
they	they	they
race	race	race
to	to	to
capture	captur	capture
swathes	swath	swathe
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
.	.	.
IS	is	IS
media	media	medium
unit	unit	unit
Amaq	amaq	Amaq
said	said	said
on	on	on
Thursday	thursday	Thursday
that	that	that
the	the	the
militants	milit	militant
took	took	took
al	al	al
-Shoula	-shoula	-Shoula
and	and	and
a	a	a
nearby	nearbi	nearby
village	villag	village
as	as	a
they	they	they
waged	wage	waged
an	an	an
attack	attack	attack
that	that	that
included	includ	included
suicide	suicid	suicide
bombers	bomber	bomber
,	,	,
capturing	captur	capturing
two	two	two
Russian	russian	Russian
forces	forc	force
.	.	.
The	the	The
Russian	russian	Russian
defense	defens	defense
ministry	ministri	ministry
denied	deni	denied
any	ani	any
military	militari	military
personnel	personnel	personnel
were	were	were
taken	taken	taken
hostage	hostag	hostage
,	,	,
RIA	ria	RIA
news	news	news
agency	agenc	agency
said	said	said
citing	cite	citing
a	a	a
Russian	russian	Russian
military	militari	military
official	offici	official
at	at	at
the	the	the
Hmeimim	hmeimim	Hmeimim
air	air	air
base	base	base
in	in	in
Syria	syria	Syria
.	.	.
There	there	There
were	were	were
no	no	no
incidents	incid	incident
with	with	with
capturing	captur	capturing
or	or	or
losing	lose	losing
Russian	russian	Russian
servicemen	servicemen	serviceman
in	in	in
Deir	deir	Deir
Al	al	Al
-Zor	-zor	-Zor
province	provinc	province
and	and	and
other	other	other
Syrian	syrian	Syrian
provinces	provinc	province
,	,	,
the	the	the
official	offici	official
said	said	said
.	.	.
Islamic	islam	Islamic
State	state	State
leader	leader	leader
Abu	abu	Abu
Bakr	bakr	Bakr
Al	al	Al
-Baghdadi	-baghdadi	-Baghdadi
exhorted	exhort	exhorted
his	his	his
followers	follow	follower
on	on	on
Thursday	thursday	Thursday
to	to	to
stand	stand	stand
fast	fast	fast
and	and	and
keep	keep	keep
fighting	fight	fighting
,	,	,
in	in	in
his	his	his
first	first	first
purported	purport	purported
audio	audio	audio
communication	communic	communication
in	in	in
almost	almost	almost
a	a	a
year	year	year
.	.	.
