Please	pleas	Please
note	note	note
Story	stori	Story
contains	contain	contains
strong	strong	strong
language	languag	language
in	in	in
final	final	final
paragraph	paragraph	paragraph
Reuters	reuter	Reuters
-	-	-
Republican	republican	Republican
Maine	main	Maine
Governor	governor	Governor
Paul	paul	Paul
LePage	lepag	LePage
on	on	on
Monday	monday	Monday
sued	su	sued
the	the	the
state	state	state
s	s	s
Democratic	democrat	Democratic
attorney	attorney	attorney
general	general	general
,	,	,
contending	contend	contending
she	she	she
had	had	had
abused	abus	abused
her	her	her
power	power	power
by	by	by
joining	join	joining
legal	legal	legal
opposition	opposit	opposition
to	to	to
early	earli	early
moves	move	move
by	by	by
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
that	that	that
LePage	lepag	LePage
s	s	s
office	offic	office
supported	support	supported
.	.	.

LePage	lepag	LePage
,	,	,
a	a	a
fiery	fieri	fiery
conservative	conserv	conservative
now	now	now
in	in	in
his	his	his
second	second	second
term	term	term
,	,	,
challenged	challeng	challenged
Attorney	attorney	Attorney
General	general	General
Janet	janet	Janet
Mills	mill	Mills
for	for	for
joining	join	joining
a	a	a
legal	legal	legal
brief	brief	brief
opposing	oppos	opposing
Trump	trump	Trump
s	s	s
executive	execut	executive
order	order	order
banning	ban	banning
immigration	immigr	immigration
from	from	from
a	a	a
half	half	half
-dozen	-dozen	-dozen
majority	major	majority
Muslim	muslim	Muslim
countries	countri	country
.	.	.

The	the	The
governor	governor	governor
said	said	said
he	he	he
supported	support	supported
Trump	trump	Trump
s	s	s
order	order	order
,	,	,
which	which	which
has	has	ha
been	been	been
blocked	block	blocked
by	by	by
courts	court	court
and	and	and
which	which	which
the	the	the
White	white	White
House	hous	House
says	say	say
is	is	is
necessary	necessari	necessary
to	to	to
protect	protect	protect
national	nation	national
security	secur	security
.	.	.

It	it	It
is	is	is
no	no	no
secret	secret	secret
that	that	that
Attorney	attorney	Attorney
General	general	General
Mills	mill	Mills
and	and	and
I	i	I
have	have	have
differing	differ	differing
political	polit	political
views	view	view
,	,	,
but	but	but
that	that	that
is	is	is
not	not	not
the	the	the
issue	issu	issue
,	,	,
LePage	lepag	LePage
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

The	the	The
problem	problem	problem
is	is	is
she	she	she
has	has	ha
publicly	public	publicly
denounced	denounc	denounced
court	court	court
cases	case	case
which	which	which
the	the	the
executive	execut	executive
branch	branch	branch
has	has	ha
requested	request	requested
to	to	to
join	join	join
and	and	and
subsequently	subsequ	subsequently
refuses	refus	refuse
to	to	to
provide	provid	provide
legal	legal	legal
representation	represent	representation
for	for	for
the	the	the
state	state	state
.	.	.
He	he	He
said	said	said
Mills	mill	Mills
had	had	had
refused	refus	refused
to	to	to
represent	repres	represent
the	the	the
state	state	state
in	in	in
other	other	other
cases	case	case
where	where	where
she	she	she
disagreed	disagre	disagreed
with	with	with
LePage	lepag	LePage
s	s	s
political	polit	political
position	posit	position
and	and	and
prevented	prevent	prevented
his	his	his
office	offic	office
from	from	from
filing	file	filing
