BAGHDAD	baghdad	BAGHDAD
Reuters	reuter	Reuters
-	-	-
Three	three	Three
suicide	suicid	suicide
attacks	attack	attack
claimed	claim	claimed
by	by	by
Islamic	islam	Islamic
State	state	State
killed	kill	killed
at	at	at
least	least	least
60	60	60
people	peopl	people
in	in	in
southern	southern	southern
Iraq	iraq	Iraq
on	on	on
Thursday	thursday	Thursday
,	,	,
a	a	a
health	health	health
official	offici	official
and	and	and
police	polic	police
sources	sourc	source
said	said	said
,	,	,
suggesting	suggest	suggesting
a	a	a
shift	shift	shift
in	in	in
the	the	the
ultra	ultra	ultra
-hardline	-hardlin	-hardline
group	group	group
s	s	s
tactics	tactic	tactic
since	sinc	since
it	it	it
lost	lost	lost
control	control	control
of	of	of
its	it	it
stronghold	stronghold	stronghold
in	in	in
Mosul	mosul	Mosul
.	.	.
Iraqi	iraqi	Iraqi
and	and	and
Kurdish	kurdish	Kurdish
security	secur	security
officials	offici	official
say	say	say
the	the	the
Sunni	sunni	Sunni
militants	milit	militant
are	are	are
likely	like	likely
to	to	to
wage	wage	wage
a	a	a
guerrilla	guerrilla	guerrilla
war	war	war
in	in	in
Iraq	iraq	Iraq
after	after	after
their	their	their
self	self	self
-proclaimed	-proclaim	-proclaimed
caliphate	caliph	caliphate
in	in	in
Mosul	mosul	Mosul
collapsed	collaps	collapsed
.	.	.
Islamic	islam	Islamic
State	state	State
is	is	is
also	also	also
under	under	under
siege	sieg	siege
in	in	in
the	the	the
Syrian	syrian	Syrian
city	citi	city
of	of	of
Raqqa	raqqa	Raqqa
,	,	,
its	it	it
operational	oper	operational
base	base	base
for	for	for
attacks	attack	attack
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
and	and	and
the	the	the
West	west	West
.	.	.
Security	secur	Security
officials	offici	official
described	describ	described
Thursday	thursday	Thursday
s	s	s
attacks	attack	attack
as	as	a
an	an	an
attempt	attempt	attempt
to	to	to
send	send	send
a	a	a
message	messag	message
to	to	to
Islamic	islam	Islamic
State	state	State
followers	follow	follower
that	that	that
the	the	the
group	group	group
is	is	is
still	still	still
strong	strong	strong
and	and	and
can	can	can
operate	oper	operate
in	in	in
other	other	other
parts	part	part
of	of	of
Iraq	iraq	Iraq
following	follow	following
its	it	it
territorial	territori	territorial
losses	loss	loss
.	.	.
After	after	After
losing	lose	losing
the	the	the
war	war	war
in	in	in
Iraq	iraq	Iraq
and	and	and
the	the	the
shrinking	shrink	shrinking
of	of	of
its	it	it
power	power	power
,	,	,
Daesh	daesh	Daesh
returned	return	returned
back	back	back
to	to	to
its	it	it
old	old	old
style	style	style
of	of	of
an	an	an
insurgency	insurg	insurgency
,	,	,
by	by	by
carrying	carri	carrying
out	out	out
suicide	suicid	suicide
attacks	attack	attack
,	,	,
which	which	which
is	is	is
a	a	a
clear	clear	clear
sign	sign	sign
that	that	that
the	the	the
terrorist	terrorist	terrorist
group	group	group
is	is	is
retreating	retreat	retreating
,	,	,
said	said	said
police	polic	police
intelligence	intellig	intelligence
colonel	colonel	colonel
Murtatha	murtatha	Murtatha
al	al	al
-Yassiri	-yassiri	-Yassiri
.	.	.
IS	is	IS
activity	activ	activity
is	is	is
usually	usual	usually
concentrated	concentr	concentrated
in	in	in
western	western	western
and	and	and
northern	northern	northern
Iraq	iraq	Iraq
.	.	.
Bomb	bomb	Bomb
attacks	attack	attack
in	in	in
the	the	the
mostly	most	mostly
Shi	shi	Shi
ite	ite	ite
south	south	south
,	,	,
where	where	where
the	the	the
bulk	bulk	bulk
of	of	of
the	the	the
country	countri	country
s	s	s
oil	oil	oil
is	is	is
produced	produc	produced
and	and	and
security	secur	security
forces	forc	force
hold	hold	hold
a	a	a
tighter	tighter	tighter
grip	grip	grip
,	,	,
have	have	have
so	so	so
far	far	far
been	been	been
relatively	relat	relatively
rare	rare	rare
.	.	.
Like	like	Like
its	it	it
predecessor	predecessor	predecessor
in	in	in
Iraq	iraq	Iraq
,	,	,
al	al	al
Qaeda	qaeda	Qaeda
,	,	,
Islamic	islam	Islamic
State	state	State
seeks	seek	seek
to	to	to
create	creat	create
sectarian	sectarian	sectarian
tensions	tension	tension
as	as	a
a	a	a
way	way	way
to	to	to
destabilize	destabil	destabilize
the	the	the
OPEC	opec	OPEC
oil	oil	oil
producer	produc	producer
.	.	.
We	we	We
expect	expect	expect
more	more	more
alike	alik	alike
terrorist	terrorist	terrorist
operations	oper	operation
in	in	in
future	futur	future
.	.	.
Daesh	daesh	Daesh
is	is	is
trying	tri	trying
to	to	to
desperately	desper	desperately
pretend	pretend	pretend
among	among	among
followers	follow	follower
that	that	that
it	it	it
s	s	s
still	still	still
strong	strong	strong
,	,	,
al	al	al
-Yassiri	-yassiri	-Yassiri
said	said	said
.	.	.
Daesh	daesh	Daesh
is	is	is
an	an	an
Arabic	arab	Arabic
acronym	acronym	acronym
for	for	for
Islamic	islam	Islamic
State	state	State
,	,	,
which	which	which
is	is	is
also	also	also
known	known	known
as	as	a
ISIS	isi	ISIS
.	.	.
Wearing	wear	Wearing
security	secur	security
force	forc	force
uniforms	uniform	uniform
and	and	and
driving	drive	driving
stolen	stolen	stolen
army	armi	army
vehicles	vehicl	vehicle
,	,	,
the	the	the
attackers	attack	attacker
targeted	target	targeted
a	a	a
police	polic	police
checkpoint	checkpoint	checkpoint
and	and	and
two	two	two
restaurants	restaur	restaurant
on	on	on
a	a	a
highway	highway	highway
near	near	near
the	the	the
city	citi	city
of	of	of
Nassiriya	nassiriya	Nassiriya
,	,	,
using	use	using
car	car	car
bombs	bomb	bomb
and	and	and
suicide	suicid	suicide
vests	vest	vest
,	,	,
the	the	the
sources	sourc	source
said	said	said
.	.	.
At	at	At
least	least	least
100	100	100
people	peopl	people
were	were	were
injured	injur	injured
,	,	,
the	the	the
police	polic	police
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Islamic	islam	Islamic
State	state	State
claimed	claim	claimed
responsibility	respons	responsibility
in	in	in
a	a	a
statement	statement	statement
on	on	on
its	it	it
Amaq	amaq	Amaq
news	news	news
agency	agenc	agency
.	.	.
The	the	The
group	group	group
said	said	said
it	it	it
had	had	had
killed	kill	killed
dozens	dozen	dozen
of	of	of
Shi	shi	Shi
ites	ite	ites
.	.	.
The	the	The
head	head	head
of	of	of
Nassiriya	nassiriya	Nassiriya
s	s	s
health	health	health
directorate	director	directorate
,	,	,
Jassim	jassim	Jassim
al	al	al
-Khalidi	-khalidi	-Khalidi
,	,	,
said	said	said
the	the	the
city	citi	city
s	s	s
hospital	hospit	hospital
had	had	had
received	receiv	received
50	50	50
bodies	bodi	body
and	and	and
the	the	the
death	death	death
toll	toll	toll
could	could	could
rise	rise	rise
because	becaus	because
some	some	some
of	of	of
the	the	the
wounded	wound	wounded
were	were	were
in	in	in
critical	critic	critical
condition	condit	condition
.	.	.
Hospital	hospit	Hospital
sources	sourc	source
said	said	said
at	at	at
least	least	least
10	10	10
Iranian	iranian	Iranian
pilgrims	pilgrim	pilgrim
,	,	,
who	who	who
were	were	were
visiting	visit	visiting
holy	holi	holy
Shi	shi	Shi
ite	ite	ite
shrines	shrine	shrine
,	,	,
were	were	were
among	among	among
the	the	the
dead	dead	dead
.	.	.
The	the	The
deadliest	deadliest	deadliest
attack	attack	attack
was	was	wa
at	at	at
a	a	a
restaurant	restaur	restaurant
west	west	west
of	of	of
Nassiriya	nassiriya	Nassiriya
.	.	.
One	one	One
attacker	attack	attacker
blew	blew	blew
up	up	up
his	his	his
suicide	suicid	suicide
vest	vest	vest
inside	insid	inside
the	the	the
crowded	crowd	crowded
restaurant	restaur	restaurant
while	while	while
a	a	a
group	group	group
of	of	of
other	other	other
gunmen	gunmen	gunman
started	start	started
to	to	to
throw	throw	throw
grenades	grenad	grenade
and	and	and
fire	fire	fire
at	at	at
diners	diner	diner
,	,	,
said	said	said
police	polic	police
colonel	colonel	colonel
Ali	ali	Ali
Abdul	abdul	Abdul
Hussain	hussain	Hussain
.	.	.
Police	polic	Police
sources	sourc	source
said	said	said
some	some	some
police	polic	police
officers	offic	officer
had	had	had
died	die	died
in	in	in
the	the	the
checkpoint	checkpoint	checkpoint
attack	attack	attack
,	,	,
but	but	but
the	the	the
toll	toll	toll
from	from	from
that	that	that
incident	incid	incident
remained	remain	remained
unclear	unclear	unclear
.	.	.
Security	secur	Security
sources	sourc	source
said	said	said
forces	forc	force
were	were	were
placed	place	placed
on	on	on
alert	alert	alert
in	in	in
most	most	most
of	of	of
the	the	the
southern	southern	southern
provinces	provinc	province
,	,	,
including	includ	including
the	the	the
oil	oil	oil
city	citi	city
of	of	of
Basra	basra	Basra
,	,	,
in	in	in
case	case	case
of	of	of
similar	similar	similar
attacks	attack	attack
.	.	.
