BEREA	berea	BEREA
,	,	,
Ohio	ohio	Ohio
Reuters	reuter	Reuters
-	-	-
After	after	After
a	a	a
critical	critic	critical
win	win	win
on	on	on
his	his	his
home	home	home
turf	turf	turf
,	,	,
Ohio	ohio	Ohio
Governor	governor	Governor
John	john	John
Kasich	kasich	Kasich
begins	begin	begin
a	a	a
new	new	new
phase	phase	phase
of	of	of
his	his	his
long	long	long
-shot	-shot	-shot
presidential	presidenti	presidential
campaign	campaign	campaign
that	that	that
his	his	his
aides	aid	aide
hope	hope	hope
will	will	will
ultimately	ultim	ultimately
propel	propel	propel
him	him	him
past	past	past
Republican	republican	Republican
front	front	front
-runner	-runner	-runner
Donald	donald	Donald
Trump	trump	Trump
by	by	by
triggering	trigger	triggering
a	a	a
rare	rare	rare
contested	contest	contested
convention	convent	convention
.	.	.
Kasich	kasich	Kasich
s	s	s
victory	victori	victory
in	in	in
Ohio	ohio	Ohio
s	s	s
primary	primari	primary
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
along	along	along
with	with	with
the	the	the
departure	departur	departure
from	from	from
the	the	the
race	race	race
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Marco	marco	Marco
Rubio	rubio	Rubio
,	,	,
makes	make	make
him	him	him
the	the	the
party	parti	party
establishment	establish	establishment
s	s	s
last	last	last
hope	hope	hope
of	of	of
stopping	stop	stopping
the	the	the
New	new	New
York	york	York
billionaire	billionair	billionaire
businessman	businessman	businessman
from	from	from
winning	win	winning
the	the	the
Republican	republican	Republican
nomination	nomin	nomination
for	for	for
the	the	the
Nov	nov	Nov
.	.	.
8	8	8
election	elect	election
.	.	.
Trump	trump	Trump
and	and	and
his	his	his
closest	closest	closest
rival	rival	rival
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
Ted	ted	Ted
Cruz	cruz	Cruz
of	of	of
Texas	texa	Texas
,	,	,
are	are	are
deeply	deepli	deeply
unpopular	unpopular	unpopular
among	among	among
Republican	republican	Republican
insiders	insid	insider
.	.	.
I	i	I
want	want	want
you	you	you
to	to	to
know	know	know
,	,	,
the	the	the
campaign	campaign	campaign
goes	goe	go
on	on	on
,	,	,
Kasich	kasich	Kasich
,	,	,
63	63	63
,	,	,
told	told	told
a	a	a
victory	victori	victory
rally	ralli	rally
near	near	near
Cleveland	cleveland	Cleveland
.	.	.
In	in	In
a	a	a
reference	refer	reference
to	to	to
Trump	trump	Trump
s	s	s
fiery	fieri	fiery
campaign	campaign	campaign
rhetoric	rhetor	rhetoric
