ABOARD	aboard	ABOARD
AIR	air	AIR
FORCE	forc	FORCE
ONE	one	ONE
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
is	is	is
considering	consid	considering
several	sever	several
more	more	more
executive	execut	executive
orders	order	order
concerning	concern	concerning
national	nation	national
security	secur	security
that	that	that
could	could	could
be	be	be
issued	issu	issued
as	as	a
early	earli	early
as	as	a
Friday	friday	Friday
but	but	but
has	has	ha
not	not	not
yet	yet	yet
made	made	made
decisions	decis	decision
on	on	on
their	their	their
scope	scope	scope
or	or	or
sequencing	sequenc	sequencing
,	,	,
the	the	the
White	white	White
House	hous	House
said	said	said
on	on	on
Thursday	thursday	Thursday
.	.	.
Drafts	draft	Drafts
of	of	of
executive	execut	executive
orders	order	order
on	on	on
a	a	a
series	seri	series
of	of	of
issues	issu	issue
have	have	have
leaked	leak	leaked
recently	recent	recently
,	,	,
but	but	but
White	white	White
House	hous	House
spokesman	spokesman	spokesman
Sean	sean	Sean
Spicer	spicer	Spicer
declined	declin	declined
to	to	to
comment	comment	comment
specifically	specif	specifically
on	on	on
what	what	what
was	was	wa
under	under	under
consideration	consider	consideration
.	.	.
I	i	I
think	think	think
the	the	the
president	presid	president
sometime	sometim	sometime
later	later	later
today	today	today
will	will	will
be	be	be
presented	present	presented
with	with	with
some	some	some
options	option	option
by	by	by
his	his	his
senior	senior	senior
team	team	team
and	and	and
decide	decid	decide
whether	whether	whether
or	or	or
not	not	not
they	they	they
meet	meet	meet
his	his	his
intent	intent	intent
and	and	and
whether	whether	whether
or	or	or
not	not	not
all	all	all
of	of	of
them	them	them
are	are	are
ones	one	one
that	that	that
he	he	he
wants	want	want
to	to	to
go	go	go
either	either	either
by	by	by
the	the	the
end	end	end
of	of	of
this	this	this
week	week	week
or	or	or
into	into	into
next	next	next
week	week	week
,	,	,
Spicer	spicer	Spicer
told	told	told
reporters	report	reporter
traveling	travel	traveling
with	with	with
Trump	trump	Trump
to	to	to
Philadelphia	philadelphia	Philadelphia
,	,	,
where	where	where
the	the	the
president	presid	president
will	will	will
meet	meet	meet
with	with	with
Republican	republican	Republican
lawmakers	lawmak	lawmaker
.	.	.
Responding	respond	Responding
to	to	to
questions	question	question
about	about	about
reports	report	report
that	that	that
Trump	trump	Trump
was	was	wa
looking	look	looking
at	at	at
reducing	reduc	reducing
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
role	role	role
in	in	in
the	the	the
United	unit	United
Nations	nation	Nations
and	and	and
other	other	other
international	intern	international
institutions	institut	institution
,	,	,
Spicer	spicer	Spicer
said	said	said
Trump	trump	Trump
was	was	wa
reviewing	review	reviewing
all	all	all
federal	feder	federal
government	govern	government
spending	spend	spending
,	,	,
in	in	in
the	the	the
United	unit	United
States	state	States
and	and	and
abroad	abroad	abroad
.	.	.
I	i	I
m	m	m
not	not	not
ready	readi	ready
to	to	to
make	make	make
any	ani	any
announcements	announc	announcement
on	on	on
funding	fund	funding
or	or	or
action	action	action
on	on	on
any	ani	any
of	of	of
those	those	those
institutions	institut	institution
,	,	,
Spicer	spicer	Spicer
said	said	said
.	.	.
Asked	ask	Asked
whether	whether	whether
Trump	trump	Trump
was	was	wa
considering	consid	considering
executive	execut	executive
action	action	action
to	to	to
bring	bring	bring
back	back	back
a	a	a
program	program	program
to	to	to
hold	hold	hold
terrorism	terror	terrorism
suspects	suspect	suspect
in	in	in
secret	secret	secret
overseas	oversea	overseas
black	black	black
site	site	site
prisons	prison	prison
,	,	,
Spicer	spicer	Spicer
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.
There	there	There
is	is	is
a	a	a
question	question	question
of	of	of
what	what	what
he	he	he
wants	want	want
and	and	and
whether	whether	whether
or	or	or
not	not	not
those	those	those
documents	document	document
represent	repres	represent
his	his	his
current	current	current
thinking	think	thinking
,	,	,
what	what	what
his	his	his
desires	desir	desire
are	are	are
.	.	.
There	there	There
s	s	s
inputs	input	input
that	that	that
can	can	can
be	be	be
shared	share	shared
with	with	with
individuals	individu	individual
or	or	or
with	with	with
the	the	the
White	white	White
House	hous	House
or	or	or
with	with	with
staff	staff	staff
,	,	,
it	it	it
doesn	doesn	doesn
t	t	t
necessarily	necessarili	necessarily
reflect	reflect	reflect
the	the	the
president	presid	president
s	s	s
current	current	current
thinking	think	thinking
,	,	,
he	he	he
said	said	said
.	.	.
Trump	trump	Trump
plans	plan	plan
to	to	to
sign	sign	sign
an	an	an
executive	execut	executive
order	order	order
later	later	later
on	on	on
Thursday	thursday	Thursday
ordering	order	ordering
an	an	an
investigation	investig	investigation
into	into	into
U	u	U
.	.	.
S	s	S
.	.	.
voter	voter	voter
fraud	fraud	fraud
,	,	,
which	which	which
repeated	repeat	repeated
studies	studi	study
have	have	have
shown	shown	shown
is	is	is
rare	rare	rare
and	and	and
isolated	isol	isolated
.	.	.
On	on	On
Friday	friday	Friday
,	,	,
he	he	he
intends	intend	intends
to	to	to
visit	visit	visit
the	the	the
Pentagon	pentagon	Pentagon
where	where	where
he	he	he
will	will	will
participate	particip	participate
in	in	in
a	a	a
ceremonial	ceremoni	ceremonial
swearing	swear	swearing
-in	-in	-in
of	of	of
new	new	new
Defense	defens	Defense
Secretary	secretari	Secretary
James	jame	James
Mattis	matti	Mattis
,	,	,
and	and	and
meet	meet	meet
with	with	with
the	the	the
Joint	joint	Joint
Chiefs	chief	Chiefs
of	of	of
Staff	staff	Staff
and	and	and
others	other	others
to	to	to
get	get	get
assessments	assess	assessment
on	on	on
a	a	a
broad	broad	broad
range	rang	range
of	of	of
national	nation	national
security	secur	security
issues	issu	issue
.	.	.
There	there	There
s	s	s
a	a	a
lot	lot	lot
of	of	of
issues	issu	issue
that	that	that
he	he	he
continues	continu	continues
to	to	to
be	be	be
updated	updat	updated
on	on	on
on	on	on
a	a	a
daily	daili	daily
basis	basi	basis
,	,	,
from	from	from
a	a	a
national	nation	national
security	secur	security
standpoint	standpoint	standpoint
,	,	,
from	from	from
military	militari	military
hot	hot	hot
spots	spot	spot
,	,	,
whether	whether	whether
it	it	it
s	s	s
Syria	syria	Syria
,	,	,
our	our	our
efforts	effort	effort
there	there	there
or	or	or
our	our	our
efforts	effort	effort
to	to	to
fight	fight	fight
ISIS	isi	ISIS
-	-	-
other	other	other
threats	threat	threat
that	that	that
we	we	we
face	face	face
,	,	,
whether	whether	whether
it	it	it
s	s	s
the	the	the
Middle	middl	Middle
East	east	East
or	or	or
South	south	South
China	china	China
Sea	sea	Sea
,	,	,
Spicer	spicer	Spicer
said	said	said
.	.	.
But	but	But
he	he	he
s	s	s
going	go	going
to	to	to
continue	continu	continue
to	to	to
get	get	get
briefed	brief	briefed
and	and	and
have	have	have
a	a	a
discussion	discuss	discussion
on	on	on
their	their	their
assessment	assess	assessment
of	of	of
the	the	the
current	current	current
national	nation	national
security	secur	security
situation	situat	situation
.	.	.
Trump	trump	Trump
will	will	will
also	also	also
hold	hold	hold
a	a	a
press	press	press
conference	confer	conference
on	on	on
Friday	friday	Friday
with	with	with
British	british	British
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
,	,	,
his	his	his
first	first	first
meeting	meet	meeting
with	with	with
a	a	a
foreign	foreign	foreign
