SINGAPORE	singapor	SINGAPORE
Reuters	reuter	Reuters
-	-	-
Indonesian	indonesian	Indonesian
business	busi	business
tycoon	tycoon	tycoon
Hary	hari	Hary
Tanoesoedibjo	tanoesoedibjo	Tanoesoedibjo
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
he	he	he
was	was	wa
not	not	not
planning	plan	planning
to	to	to
stand	stand	stand
in	in	in
the	the	the
country	countri	country
s	s	s
2019	2019	2019
presidential	presidenti	presidential
election	elect	election
,	,	,
and	and	and
that	that	that
he	he	he
would	would	would
support	support	support
current	current	current
President	presid	President
Joko	joko	Joko
Widodo	widodo	Widodo
if	if	if
he	he	he
chose	chose	chose
to	to	to
run	run	run
again	again	again
.	.	.
Tanoesoedibjo	tanoesoedibjo	Tanoesoedibjo
,	,	,
a	a	a
business	busi	business
partner	partner	partner
of	of	of
Donald	donald	Donald
Trump	trump	Trump
whose	whose	whose
political	polit	political
ambitions	ambit	ambition
have	have	have
led	led	led
to	to	to
similarities	similar	similarity
with	with	with
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
being	be	being
drawn	drawn	drawn
,	,	,
said	said	said
in	in	in
January	januari	January
he	he	he
would	would	would
decide	decid	decide
before	befor	before
the	the	the
end	end	end
of	of	of
next	next	next
year	year	year
whether	whether	whether
to	to	to
run	run	run
in	in	in
the	the	the
ballot	ballot	ballot
.	.	.
He	he	He
previously	previous	previously
stood	stood	stood
as	as	a
a	a	a
candidate	candid	candidate
for	for	for
vice	vice	vice
president	presid	president
in	in	in
the	the	the
2014	2014	2014
election	elect	election
and	and	and
subsequently	subsequ	subsequently
founded	found	founded
his	his	his
own	own	own
political	polit	political
party	parti	party
,	,	,
which	which	which
will	will	will
contest	contest	contest
Indonesia	indonesia	Indonesia
s	s	s
general	general	general
elections	elect	election
in	in	in
2019	2019	2019
.	.	.
Looking	look	Looking
at	at	at
the	the	the
constellation	constel	constellation
today	today	today
,	,	,
I	i	I
think	think	think
President	presid	President
Jokowi	jokowi	Jokowi
will	will	will
run	run	run
again	again	again
and	and	and
I	i	I
am	am	am
in	in	in
the	the	the
position	posit	position
to	to	to
support	support	support
him	him	him
,	,	,
he	he	he
told	told	told
Reuters	reuter	Reuters
at	at	at
the	the	the
Asia	asia	Asia
TV	tv	TV
Forum	forum	Forum
and	and	and
Market	market	Market
in	in	in
Singapore	singapor	Singapore
.	.	.
Asked	ask	Asked
if	if	if
he	he	he
would	would	would
stand	stand	stand
,	,	,
he	he	he
replied	repli	replied
No	no	No
,	,	,
I	i	I
don	don	don
t	t	t
think	think	think
so	so	so
.	.	.
Widodo	widodo	Widodo
is	is	is
expected	expect	expected
to	to	to
stand	stand	stand
for	for	for
a	a	a
second	second	second
term	term	term
against	against	against
Prabowo	prabowo	Prabowo
Subianto	subianto	Subianto
,	,	,
who	who	who
also	also	also
rang	rang	rang
against	against	against
him	him	him
in	in	in
2014	2014	2014
.	.	.
Religious	religi	Religious
and	and	and
political	polit	political
tension	tension	tension
in	in	in
Indonesia	indonesia	Indonesia
,	,	,
which	which	which
has	has	ha
the	the	the
world	world	world
s	s	s
largest	largest	largest
Muslim	muslim	Muslim
population	popul	population
,	,	,
escalated	escal	escalated
to	to	to
its	it	it
highest	highest	highest
level	level	level
during	dure	during
a	a	a
divisive	divis	divisive
election	elect	election
for	for	for
Jakarta	jakarta	Jakarta
governor	governor	governor
earlier	earlier	earlier
this	this	this
year	year	year
.	.	.
Tanoesoedibjo	tanoesoedibjo	Tanoesoedibjo
said	said	said
the	the	the
political	polit	political
climate	climat	climate
in	in	in
Indonesia	indonesia	Indonesia
remained	remain	remained
stable	stabl	stable
but	but	but
that	that	that
the	the	the
country	countri	country
needed	need	needed
a	a	a
president	presid	president
that	that	that
stands	stand	stand
in	in	in
the	the	the
middle	middl	middle
of	of	of
everyone	everyon	everyone
.	.	.
He	he	He
Widodo	widodo	Widodo
is	is	is
the	the	the
strongest	strongest	strongest
candidate	candid	candidate
.	.	.
He	he	He
is	is	is
very	veri	very
moderate	moder	moderate
and	and	and
he	he	he
is	is	is
very	veri	very
nationalist	nationalist	nationalist
,	,	,
added	ad	added
Tanoesoedibjo	tanoesoedibjo	Tanoesoedibjo
.	.	.
As	as	As
a	a	a
business	busi	business
partner	partner	partner
of	of	of
Trump	trump	Trump
,	,	,
Tanoesoedibjo	tanoesoedibjo	Tanoesoedibjo
believes	believ	belief
his	his	his
relationship	relationship	relationship
with	with	with
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
could	could	could
help	help	help
ties	tie	tie
between	between	between
the	the	the
nations	nation	nation
and	and	and
he	he	he
is	is	is
not	not	not
worried	worri	worried
about	about	about
the	the	the
impact	impact	impact
U	u	U
.	.	.
S	s	S
.	.	.
trade	trade	trade
protectionism	protection	protectionism
may	may	may
have	have	have
on	on	on
the	the	the
Southeast	southeast	Southeast
Asia	asia	Asia
s	s	s
biggest	biggest	biggest
economy	economi	economy
.	.	.
At	at	At
least	least	least
Mr	mr	Mr
Trump	trump	Trump
knows	know	know
Indonesia	indonesia	Indonesia
better	better	better
because	becaus	because
of	of	of
the	the	the
relationship	relationship	relationship
we	we	we
have	have	have
between	between	between
our	our	our
group	group	group
and	and	and
the	the	the
Trump	trump	Trump
organization	organ	organization
,	,	,
he	he	he
said	said	said
.	.	.
But	but	But
what	what	what
he	he	he
is	is	is
doing	do	doing
about	about	about
reviewing	review	reviewing
the	the	the
trade	trade	trade
relationship	relationship	relationship
with	with	with
other	other	other
countries	countri	country
I	i	I
think	think	think
is	is	is
right	right	right
.	.	.
.	.	.
.	.	.
.	.	.
but	but	but
Indonesia	indonesia	Indonesia
is	is	is
too	too	too
small	small	small
.	.	.
.	.	.
.	.	.
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
in	in	in
terms	term	term
of	of	of
the	the	the
amount	amount	amount
of	of	of
trade	trade	trade
between	between	between
the	the	the
two	two	two
countries	countri	country
and	and	and
I	i	I
don	don	don
t	t	t
think	think	think
that	that	that
would	would	would
have	have	have
any	ani	any
impact	impact	impact
at	at	at
all	all	all
.	.	.
Tanoesoedibjo	tanoesoedibjo	Tanoesoedibjo
is	is	is
Trump	trump	Trump
s	s	s
business	busi	business
partner	partner	partner
in	in	in
two	two	two
resort	resort	resort
developments	develop	development
in	in	in
Indonesia	indonesia	Indonesia
-	-	-
on	on	on
the	the	the
island	island	island
of	of	of
Bali	bali	Bali
and	and	and
in	in	in
West	west	West
Java	java	Java
.	.	.
Turning	turn	Turning
to	to	to
his	his	his
other	other	other
business	busi	business
interests	interest	interest
Tanoesoedibjo	tanoesoedibjo	Tanoesoedibjo
said	said	said
he	he	he
had	had	had
plans	plan	plan
to	to	to
list	list	list
a	a	a
division	divis	division
of	of	of
his	his	his
company	compani	company
-	-	-
MNC	mnc	MNC
Studios	studio	Studios
International	intern	International
-	-	-
on	on	on
the	the	the
Jakarta	jakarta	Jakarta
stock	stock	stock
exchange	exchang	exchange
next	next	next
year	year	year
.	.	.
We	we	We
have	have	have
seen	seen	seen
many	mani	many
interests	interest	interest
by	by	by
investors	investor	investor
because	becaus	because
it	it	it
s	s	s
the	the	the
largest	largest	largest
production	product	production
company	compani	company
in	in	in
the	the	the
country	countri	country
,	,	,
he	he	he
said	said	said
.	.	.
