Reuters	reuter	Reuters
-	-	-
The	the	The
head	head	head
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
Armed	arm	Armed
Services	servic	Services
Committee	committe	Committee
introduced	introduc	introduced
legislation	legisl	legislation
on	on	on
Thursday	thursday	Thursday
to	to	to
cut	cut	cut
cost	cost	cost
overruns	overrun	overrun
at	at	at
the	the	the
Pentagon	pentagon	Pentagon
by	by	by
overhauling	overhaul	overhauling
the	the	the
way	way	way
it	it	it
buys	buy	buy
everything	everyth	everything
from	from	from
common	common	common
off	off	off
-the-shelf	-the-shelf	-the-shelf
goods	good	good
to	to	to
services	servic	service
and	and	and
intellectual	intellectu	intellectual
property	properti	property
.	.	.
Representative	repres	Representative
Mac	mac	Mac
Thornberry	thornberri	Thornberry
,	,	,
a	a	a
Texas	texa	Texas
Republican	republican	Republican
,	,	,
told	told	told
reporters	report	reporter
,	,	,
if	if	if
you	you	you
re	re	re
buying	buy	buying
office	offic	office
supplies	suppli	supply
,	,	,
you	you	you
ought	ought	ought
to	to	to
be	be	be
able	abl	able
to	to	to
go	go	go
on	on	on
Amazon	amazon	Amazon
and	and	and
do	do	do
it	it	it
.	.	.
The	the	The
current	current	current
acquisition	acquisit	acquisition
process	process	process
prohibits	prohibit	prohibits
rapid	rapid	rapid
purchases	purchas	purchase
of	of	of
goods	good	good
at	at	at
the	the	the
best	best	best
prices	price	price
because	becaus	because
the	the	the
Department	depart	Department
of	of	of
Defense	defens	Defense
is	is	is
restricted	restrict	restricted
to	to	to
using	use	using
expensive	expens	expensive
and	and	and
onerous	oner	onerous
contracting	contract	contracting
processes	process	process
,	,	,
committee	committe	committee
aides	aid	aide
said	said	said
in	in	in
a	a	a
statement	statement	statement
about	about	about
the	the	the
bill	bill	bill
.	.	.
Thornberry	thornberri	Thornberry
hopes	hope	hope
to	to	to
spark	spark	spark
debate	debat	debate
about	about	about
the	the	the
initiative	initi	initiative
and	and	and
then	then	then
wrap	wrap	wrap
it	it	it
into	into	into
the	the	the
annual	annual	annual
National	nation	National
Defense	defens	Defense
Authorization	author	Authorization
Act	act	Act
,	,	,
a	a	a
broader	broader	broader
bill	bill	bill
that	that	that
sets	set	set
policy	polici	policy
for	for	for
the	the	the
Defense	defens	Defense
Department	depart	Department
each	each	each
year	year	year
,	,	,
committee	committe	committee
aides	aid	aide
told	told	told
reporters	report	reporter
.	.	.
Thornberry	thornberri	Thornberry
and	and	and
the	the	the
committee	committe	committee
drafted	draft	drafted
the	the	the
legislation	legisl	legislation
after	after	after
more	more	more
than	than	than
a	a	a
year	year	year
of	of	of
examining	examin	examining
billions	billion	billion
of	of	of
dollars	dollar	dollar
in	in	in
cost	cost	cost
overruns	overrun	overrun
,	,	,
schedule	schedul	schedule
delays	delay	delay
and	and	and
other	other	other
problems	problem	problem
that	that	that
have	have	have
plagued	plagu	plagued
defense	defens	defense
procurement	procur	procurement
programs	program	program
.	.	.
The	the	The
legislation	legisl	legislation
includes	includ	includes
measures	measur	measure
that	that	that
would	would	would
allow	allow	allow
existing	exist	existing
business	busi	business
to	to	to
business	busi	business
e	e	e
-commerce	-commerc	-commerce
markets	market	market
,	,	,
such	such	such
as	as	a
Amazon	amazon	Amazon
.	.	.
com	com	com
Inc	inc	Inc
or	or	or
W	w	W
W	w	W
Grainger	grainger	Grainger
Inc	inc	Inc
,	,	,
to	to	to
sell	sell	sell
the	the	the
military	militari	military
commercial	commerci	commercial
off	off	off
-the-shelf	-the-shelf	-the-shelf
products	product	product
such	such	such
as	as	a
staplers	stapler	stapler
or	or	or
forklifts	forklift	forklift
.	.	.
This	this	This
would	would	would
expand	expand	expand
procurement	procur	procurement
options	option	option
beyond	beyond	beyond
the	the	the
Pentagon	pentagon	Pentagon
s	s	s
current	current	current
e	e	e
-commerce	-commerc	-commerce
program	program	program
,	,	,
EMall	emal	EMall
.	.	.
The	the	The
legislation	legisl	legislation
also	also	also
aims	aim	aim
to	to	to
make	make	make
the	the	the
Defense	defens	Defense
Department	depart	Department
s	s	s
acquisition	acquisit	acquisition
system	system	system
more	more	more
proactive	proactiv	proactive
,	,	,
agile	agil	agile
,	,	,
transparent	transpar	transparent
and	and	and
innovative	innov	innovative
,	,	,
committee	committe	committee
aides	aid	aide
said	said	said
,	,	,
noting	note	noting
that	that	that
further	further	further
measures	measur	measure
would	would	would
be	be	be
proposed	propos	proposed
in	in	in
coming	come	coming
years	year	year
.	.	.
This	this	This
bill	bill	bill
would	would	would
consolidate	consolid	consolidate
reporting	report	reporting
for	for	for
services	servic	service
contracts	contract	contract
and	and	and
allow	allow	allow
for	for	for
more	more	more
transparency	transpar	transparency
and	and	and
accountability	account	accountability
for	for	for
program	program	program
managers	manag	manager
,	,	,
committee	committe	committee
aids	aid	aid
said	said	said
.	.	.
In	in	In
2015	2015	2015
,	,	,
the	the	the
Pentagon	pentagon	Pentagon
spent	spent	spent
274	274	274
billion	billion	billion
on	on	on
contracts	contract	contract
of	of	of
which	which	which
144	144	144
billion	billion	billion
,	,	,
about	about	about
53	53	53
percent	percent	percent
,	,	,
was	was	wa
spent	spent	spent
on	on	on
contracted	contract	contracted
services	servic	service
.	.	.
The	the	The
bill	bill	bill
also	also	also
incentivizes	incentiv	incentivizes
the	the	the
Pentagon	pentagon	Pentagon
to	to	to
consider	consid	consider
purchasing	purchas	purchasing
intellectual	intellectu	intellectual
property	properti	property
earlier	earlier	earlier
in	in	in
the	the	the
acquisition	acquisit	acquisition
cycle	cycl	cycle
.	.	.
It	it	It
was	was	wa
hoped	hope	hoped
that	that	that
purchasing	purchas	purchasing
intellectual	intellectu	intellectual
property	properti	property
,	,	,
such	such	such
as	as	a
technical	technic	technical
data	data	data
for	for	for
missiles	missil	missile
,	,	,
while	while	while
an	an	an
acquisition	acquisit	acquisition
process	process	process
is	is	is
still	still	still
competitive	competit	competitive
would	would	would
lead	lead	lead
to	to	to
lower	lower	lower
overall	overal	overall
costs	cost	cost
.	.	.
Committee	committe	Committee
aides	aid	aide
said	said	said
the	the	the
legislation	legisl	legislation
was	was	wa
crafted	craft	crafted
with	with	with
input	input	input
from	from	from
acquisition	acquisit	acquisition
officials	offici	official
,	,	,
industry	industri	industry
and	and	and
outside	outsid	outside
experts	expert	expert
.	.	.
It	it	It
is	is	is
essential	essenti	essential
to	to	to
be	be	be
more	more	more
agile	agil	agile
in	in	in
the	the	the
face	face	face
of	of	of
technology	technolog	technology
that	that	that
changes	chang	change
to	to	to
fast	fast	fast
and	and	and
threats	threat	threat
that	that	that
change	chang	change
so	so	so
fast	fast	fast
,	,	,
Thornberry	thornberri	Thornberry
told	told	told
reporters	report	reporter
.	.	.
