RAMALLAH	ramallah	RAMALLAH
,	,	,
West	west	West
Bank	bank	Bank
Reuters	reuter	Reuters
-	-	-
Palestinian	palestinian	Palestinian
President	presid	President
Mahmoud	mahmoud	Mahmoud
Abbas	abba	Abbas
on	on	on
Wednesday	wednesday	Wednesday
demanded	demand	demanded
a	a	a
halt	halt	halt
to	to	to
Israeli	isra	Israeli
settlement	settlement	settlement
expansion	expans	expansion
in	in	in
occupied	occupi	occupied
territory	territori	territory
and	and	and
said	said	said
he	he	he
was	was	wa
committed	commit	committed
to	to	to
a	a	a
two	two	two
-state	-state	-state
solution	solut	solution
to	to	to
the	the	the
conflict	conflict	conflict
with	with	with
Israel	israel	Israel
after	after	after
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
suggested	suggest	suggested
he	he	he
could	could	could
be	be	be
open	open	open
to	to	to
alternatives	altern	alternative
.	.	.
Abbas	abba	Abbas
s	s	s
office	offic	office
issued	issu	issued
a	a	a
statement	statement	statement
after	after	after
Trump	trump	Trump
and	and	and
Israeli	isra	Israeli
Prime	prime	Prime
Minister	minist	Minister
Benjamin	benjamin	Benjamin
Netanyahu	netanyahu	Netanyahu
spoke	spoke	spoke
at	at	at
a	a	a
news	news	news
conference	confer	conference
in	in	in
Washington	washington	Washington
before	befor	before
a	a	a
meeting	meet	meeting
.	.	.
At	at	At
the	the	the
news	news	news
conference	confer	conference
,	,	,
Trump	trump	Trump
said	said	said
to	to	to
Netanyahu	netanyahu	Netanyahu
I	i	I
d	d	d
like	like	like
to	to	to
see	see	see
you	you	you
pull	pull	pull
back	back	back
on	on	on
settlements	settlement	settlement
for	for	for
a	a	a
little	littl	little
bit	bit	bit
.	.	.
But	but	But
Trump	trump	Trump
also	also	also
dropped	drop	dropped
U	u	U
.	.	.
S	s	S
.	.	.
insistence	insist	insistence
on	on	on
a	a	a
two	two	two
-state	-state	-state
solution	solut	solution
,	,	,
a	a	a
longstanding	longstand	longstanding
bedrock	bedrock	bedrock
of	of	of
Middle	middl	Middle
East	east	East
policy	polici	policy
,	,	,
upending	upend	upending
a	a	a
position	posit	position
embraced	embrac	embraced
by	by	by
successive	success	successive
administrations	administr	administration
and	and	and
the	the	the
international	intern	international
community	communiti	community
and	and	and
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
commitment	commit	commitment
to	to	to
the	the	the
eventual	eventu	eventual
creation	creation	creation
of	of	of
a	a	a
Palestinian	palestinian	Palestinian
state	state	state
.	.	.
Abbas	abba	Abbas
said	said	said
he	he	he
agreed	agre	agreed
with	with	with
Trump	trump	Trump
s	s	s
call	call	call
for	for	for
Israel	israel	Israel
to	to	to
refrain	refrain	refrain
from	from	from
settlement	settlement	settlement
building	build	building
in	in	in
the	the	the
occupied	occupi	occupied
West	west	West
Bank	bank	Bank
and	and	and
East	east	East
Jerusalem	jerusalem	Jerusalem
.	.	.
The	the	The
presidency	presid	presidency
