JOHANNESBURG	johannesburg	JOHANNESBURG
Reuters	reuter	Reuters
-	-	-
South	south	South
Africa	africa	Africa
s	s	s
Deputy	deputi	Deputy
President	presid	President
Cyril	cyril	Cyril
Ramaphosa	ramaphosa	Ramaphosa
has	has	ha
taken	taken	taken
a	a	a
lead	lead	lead
in	in	in
party	parti	party
nominations	nomin	nomination
for	for	for
the	the	the
next	next	next
leader	leader	leader
of	of	of
the	the	the
ruling	rule	ruling
African	african	African
National	nation	National
Congress	congress	Congress
ANC	anc	ANC
,	,	,
securing	secur	securing
the	the	the
support	support	support
of	of	of
65	65	65
percent	percent	percent
of	of	of
branches	branch	branch
tallied	talli	tallied
so	so	so
far	far	far
,	,	,
a	a	a
poll	poll	poll
showed	show	showed
.	.	.

Hundreds	hundr	Hundreds
of	of	of
ANC	anc	ANC
branches	branch	branch
across	across	across
South	south	South
Africa	africa	Africa
are	are	are
nominating	nomin	nominating
their	their	their
choice	choic	choice
for	for	for
party	parti	party
president	presid	president
and	and	and
other	other	other
senior	senior	senior
positions	posit	position
ahead	ahead	ahead
of	of	of
a	a	a
December	decemb	December
conference	confer	conference
where	where	where
about	about	about
5	5	5
,	,	,
000	000	000
delegates	deleg	delegate
sent	sent	sent
by	by	by
the	the	the
branches	branch	branch
will	will	will
cast	cast	cast
their	their	their
votes	vote	vote
.	.	.

The	the	The
ANC	anc	ANC
s	s	s
next	next	next
leader	leader	leader
will	will	will
probably	probabl	probably
become	becom	become
president	presid	president
of	of	of
the	the	the
country	countri	country
at	at	at
a	a	a
national	nation	national
election	elect	election
in	in	in
2019	2019	2019
given	given	given
the	the	the
party	parti	party
s	s	s
electoral	elector	electoral
dominance	domin	dominance
.	.	.

Early	earli	Early
indications	indic	indication
are	are	are
that	that	that
party	parti	party
members	member	member
are	are	are
split	split	split
between	between	between
Ramaphosa	ramaphosa	Ramaphosa
,	,	,
a	a	a
former	former	former
union	union	union
leader	leader	leader
and	and	and
one	one	one
of	of	of
the	the	the
country	countri	country
s	s	s
richest	richest	richest
people	peopl	people
,	,	,
and	and	and
Nkosazana	nkosazana	Nkosazana
Dlamini	dlamini	Dlamini
-Zuma	-zuma	-Zuma
,	,	,
a	a	a
former	former	former
minister	minist	minister
and	and	and
ex	ex	ex
-wife	-wife	-wife
of	of	of
President	presid	President
Jacob	jacob	Jacob
Zuma	zuma	Zuma
,	,	,
for	for	for
the	the	the
party	parti	party
s	s	s
top	top	top
job	job	job
.	.	.

The	the	The
poll	poll	poll
by	by	by
the	the	the
Institute	institut	Institute
of	of	of
Race	race	Race
Relations	relat	Relations
IRR	irr	IRR
found	found	found
that	that	that
Dlamini	dlamini	Dlamini
-Zuma	-zuma	-Zuma
had	had	had
secured	secur	secured
30	30	30
percent	percent	percent
of	of	of
nominations	nomin	nomination
and	and	and
that	that	that
ANC	anc	ANC
Treasurer	treasur	Treasurer
General	general	General
Zweli	zweli	Zweli
Mkhize	mkhize	Mkhize
received	receiv	received
most	most	most
of	of	of
the	the	the
remaining	remain	remaining
5	5	5
percent	percent	percent
of	of	of
nominations	nomin	nomination
.	.	.

The	the	The
IRR	irr	IRR
said	said	said
its	it	it
data	data	data
suggested	suggest	suggested
74	74	74
percent	percent	percent
of	of	of
ANC	anc	ANC
branches	branch	branch
had	had	had
made	made	made
nominations	nomin	nomination
and	and	and
cautioned	caution	cautioned
that	that	that
it	it	it
had	had	had
not	not	not
been	been	been
able	abl	able
to	to	to
corroborate	corrobor	corroborate
its	it	it
findings	find	finding
.	.	.

The	the	The
ANC	anc	ANC
does	doe	doe
not	not	not
make	make	make
the	the	the
nomination	nomin	nomination
tallies	talli	tally
public	public	public
.	.	.

A	a	A
Ramaphosa	ramaphosa	Ramaphosa
win	win	win
in	in	in
December	decemb	December
has	has	ha
tended	tend	tended
to	to	to
be	be	be
viewed	view	viewed
as	as	a
the	the	the
more	more	more
positive	posit	positive
outcome	outcom	outcome
by	by	by
investors	investor	investor
,	,	,
some	some	some
of	of	of
whom	whom	whom
have	have	have
been	been	been
spooked	spook	spooked
by	by	by
Dlamini	dlamini	Dlamini
-Zuma	-zuma	-Zuma
s	s	s
campaign	campaign	campaign
message	messag	message
of	of	of
radical	radic	radical
wealth	wealth	wealth
redistribution	redistribut	redistribution
.	.	.

Nominations	nomin	Nominations
do	do	do
not	not	not
necessarily	necessarili	necessarily
translate	translat	translate
into	into	into
votes	vote	vote
at	at	at
the	the	the
ANC	anc	ANC
s	s	s
elective	elect	elective
conference	confer	conference
because	becaus	because
delegates	deleg	delegate
could	could	could
vote	vote	vote
for	for	for
a	a	a
different	differ	different
candidate	candid	candidate
than	than	than
the	the	the
one	one	one
nominated	nomin	nominated
by	by	by
their	their	their
branch	branch	branch
.	.	.

Dlamini	dlamini	Dlamini
-Zuma	-zuma	-Zuma
s	s	s
campaign	campaign	campaign
says	say	say
that	that	that
many	mani	many
branches	branch	branch
sympathetic	sympathet	sympathetic
to	to	to
her	her	her
are	are	are
yet	yet	yet
to	to	to
submit	submit	submit
their	their	their
nominations	nomin	nomination
,	,	,
which	which	which
could	could	could
reduce	reduc	reduce
Ramaphosa	ramaphosa	Ramaphosa
s	s	s
lead	lead	lead
or	or	or
swing	swing	swing
the	the	the
outcome	outcom	outcome
in	in	in
December	decemb	December
in	in	in
her	her	her
favor	favor	favor
.	.	.

Dlamini	dlamini	Dlamini
-Zuma	-zuma	-Zuma
is	is	is
backed	back	backed
by	by	by
the	the	the
ANC	anc	ANC
s	s	s
women	women	woman
s	s	s
and	and	and
youth	youth	youth
leagues	leagu	league
,	,	,
which	which	which
also	also	also
vote	vote	vote
in	in	in
December	decemb	December
.	.	.

