LAS	las	LAS
VEGAS	vega	VEGAS
Reuters	reuter	Reuters
-	-	-
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
congressional	congression	congressional
panel	panel	panel
this	this	this
week	week	week
asked	ask	asked
22	22	22
government	govern	government
agencies	agenc	agency
to	to	to
share	share	share
documents	document	document
on	on	on
Moscow	moscow	Moscow
-based	-base	-based
cyber	cyber	cyber
firm	firm	firm
Kaspersky	kasperski	Kaspersky
Lab	lab	Lab
,	,	,
saying	say	saying
its	it	it
products	product	product
could	could	could
be	be	be
used	use	used
to	to	to
carry	carri	carry
out	out	out
nefarious	nefari	nefarious
activities	activ	activity
against	against	against
the	the	the
United	unit	United
States	state	States
,	,	,
according	accord	according
to	to	to
letters	letter	letter
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
.	.	.
The	the	The
requests	request	request
made	made	made
on	on	on
Thursday	thursday	Thursday
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
Committee	committe	Committee
on	on	on
Science	scienc	Science
,	,	,
Space	space	Space
and	and	and
Technology	technolog	Technology
are	are	are
the	the	the
latest	latest	latest
blow	blow	blow
to	to	to
the	the	the
antivirus	antivirus	antivirus
company	compani	company
,	,	,
which	which	which
has	has	ha
been	been	been
countering	counter	countering
accusations	accus	accusation
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
that	that	that
it	it	it
may	may	may
be	be	be
vulnerable	vulner	vulnerable
to	to	to
Russian	russian	Russian
government	govern	government
influence	influenc	influence
.	.	.
The	the	The
committee	committe	committee
asked	ask	asked
the	the	the
agencies	agenc	agency
for	for	for
all	all	all
documents	document	document
and	and	and
communications	communic	communication
about	about	about
Kaspersky	kasperski	Kaspersky
Lab	lab	Lab
products	product	product
dating	date	dating
back	back	back
to	to	to
Jan	jan	Jan
.	.	.
1	1	1
,	,	,
2013	2013	2013
,	,	,
including	includ	including
any	ani	any
internal	intern	internal
risk	risk	risk
assessments	assess	assessment
.	.	.
It	it	It
also	also	also
requested	request	requested
lists	list	list
of	of	of
any	ani	any
systems	system	system
that	that	that
use	use	use
Kaspersky	kasperski	Kaspersky
products	product	product
and	and	and
the	the	the
names	name	name
of	of	of
any	ani	any
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
contractors	contractor	contractor
or	or	or
subcontractors	subcontractor	subcontractor
that	that	that
do	do	do
so	so	so
.	.	.
Kaspersky	kasperski	Kaspersky
has	has	ha
repeatedly	repeat	repeatedly
denied	deni	denied
that	that	that
it	it	it
has	has	ha
ties	tie	tie
to	to	to
any	ani	any
government	govern	government
and	and	and
said	said	said
it	it	it
would	would	would
