ROME	rome	ROME
Reuters	reuter	Reuters
-	-	-
Italian	italian	Italian
Prime	prime	Prime
Minister	minist	Minister
Paolo	paolo	Paolo
Gentiloni	gentiloni	Gentiloni
s	s	s
government	govern	government
on	on	on
Tuesday	tuesday	Tuesday
called	call	called
a	a	a
series	seri	series
of	of	of
confidence	confid	confidence
votes	vote	vote
to	to	to
pass	pass	pas
a	a	a
new	new	new
electoral	elector	electoral
law	law	law
as	as	a
the	the	the
anti	anti	anti
-establishment	-establish	-establishment
5	5	5
-Star	-star	-Star
Movement	movement	Movement
,	,	,
which	which	which
is	is	is
likely	like	likely
to	to	to
be	be	be
hurt	hurt	hurt
by	by	by
the	the	the
new	new	new
legislation	legisl	legislation
,	,	,
pledged	pledg	pledged
to	to	to
protest	protest	protest
on	on	on
the	the	the
streets	street	street
.	.	.
The	the	The
government	govern	government
is	is	is
resorting	resort	resorting
to	to	to
the	the	the
confidence	confid	confidence
votes	vote	vote
to	to	to
avoid	avoid	avoid
secret	secret	secret
voting	vote	voting
in	in	in
the	the	the
Senate	senat	Senate
,	,	,
where	where	where
it	it	it
has	has	ha
a	a	a
narrow	narrow	narrow
majority	major	majority
and	and	and
at	at	at
least	least	least
four	four	four
members	member	member
of	of	of
the	the	the
ruling	rule	ruling
Democratic	democrat	Democratic
Party	parti	Party
have	have	have
said	said	said
they	they	they
will	will	will
not	not	not
cast	cast	cast
a	a	a
ballot	ballot	ballot
.	.	.
The	the	The
confidence	confid	confidence
votes	vote	vote
will	will	will
be	be	be
held	held	held
by	by	by
open	open	open
ballot	ballot	ballot
starting	start	starting
on	on	on
Wednesday	wednesday	Wednesday
afternoon	afternoon	afternoon
,	,	,
with	with	with
the	the	the
final	final	final
confidence	confid	confidence
vote	vote	vote
to	to	to
be	be	be
held	held	held
on	on	on
Thursday	thursday	Thursday
.	.	.
The	the	The
government	govern	government
is	is	is
forced	forc	forced
to	to	to
resign	resign	resign
if	if	if
it	it	it
loses	lose	loses
such	such	such
a	a	a
vote	vote	vote
.	.	.
A	a	A
centrist	centrist	centrist
group	group	group
that	that	that
is	is	is
not	not	not
formally	formal	formally
part	part	part
of	of	of
the	the	the
government	govern	government
s	s	s
majority	major	majority
has	has	ha
said	said	said
it	it	it
will	will	will
provide	provid	provide
up	up	up
to	to	to
10	10	10
votes	vote	vote
to	to	to
help	help	help
pass	pass	pas
the	the	the
law	law	law
if	if	if
needed	need	needed
.	.	.
The	the	The
bill	bill	bill
,	,	,
dubbed	dub	dubbed
the	the	the
Rosatellum	rosatellum	Rosatellum
,	,	,
is	is	is
supported	support	supported
by	by	by
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
PD	pd	PD
and	and	and
mainstream	mainstream	mainstream
center	center	center
-right	-right	-right
opposition	opposit	opposition
parties	parti	party
.	.	.
It	it	It
favors	favor	favor
parties	parti	party
which	which	which
group	group	group
together	togeth	together
ahead	ahead	ahead
of	of	of
the	the	the
election	elect	election
.	.	.
It	it	It
is	is	is
likely	like	likely
to	to	to
hurt	hurt	hurt
5	5	5
-Star	-star	-Star
,	,	,
which	which	which
refuses	refus	refuse
to	to	to
join	join	join
any	ani	any
alliance	allianc	alliance
,	,	,
and	and	and
left	left	left
-wing	-wing	-wing
parties	parti	party
that	that	that
do	do	do
not	not	not
want	want	want
to	to	to
join	join	join
a	a	a
coalition	coalit	coalition
with	with	with
the	the	the
PD	pd	PD
.	.	.
The	the	The
5	5	5
-Star	-star	-Star
Movement	movement	Movement
,	,	,
which	which	which
tops	top	top
many	mani	many
opinion	opinion	opinion
polls	poll	poll
,	,	,
has	has	ha
called	call	called
a	a	a
street	street	street
protest	protest	protest
in	in	in
front	front	front
of	of	of
the	the	the
Senate	senat	Senate
for	for	for
Wednesday	wednesday	Wednesday
afternoon	afternoon	afternoon
,	,	,
against	against	against
what	what	what
it	it	it
sees	see	see
as	as	a
an	an	an
attempt	attempt	attempt
by	by	by
its	it	it
mainstream	mainstream	mainstream
rivals	rival	rival
to	to	to
scupper	scupper	scupper
its	it	it
chances	chanc	chance
at	at	at
the	the	the
election	elect	election
.	.	.
It	it	It
will	will	will
be	be	be
joined	join	joined
by	by	by
the	the	the
leftist	leftist	leftist
Democratic	democrat	Democratic
and	and	and
Progressive	progress	Progressive
Movement	movement	Movement
MDP	mdp	MDP
,	,	,
which	which	which
split	split	split
from	from	from
the	the	the
PD	pd	PD
this	this	this
year	year	year
,	,	,
and	and	and
other	other	other
small	small	small
left	left	left
-wing	-wing	-wing
groups	group	group
.	.	.
Apart	apart	Apart
from	from	from
the	the	the
PD	pd	PD
,	,	,
the	the	the
legislation	legisl	legislation
is	is	is
supported	support	supported
by	by	by
Silvio	silvio	Silvio
Berlusconi	berlusconi	Berlusconi
s	s	s
center	center	center
-right	-right	-right
Forza	forza	Forza
Italia	italia	Italia
Go	go	Go
Italy	itali	Italy
!	!	!
and	and	and
the	the	the
right	right	right
-wing	-wing	-wing
Northern	northern	Northern
League	leagu	League
.	.	.
The	the	The
Rosatellum	rosatellum	Rosatellum
is	is	is
the	the	the
best	best	best
compromise	compromis	compromise
possible	possibl	possible
among	among	among
political	polit	political
adversaries	adversari	adversary
,	,	,
according	accord	according
to	to	to
the	the	the
PD	pd	PD
parliamentary	parliamentari	parliamentary
party	parti	party
leader	leader	leader
,	,	,
Ettore	ettor	Ettore
Rosato	rosato	Rosato
,	,	,
after	after	after
whom	whom	whom
the	the	the
reform	reform	reform
has	has	ha
been	been	been
named	name	named
.	.	.
In	in	In
two	two	two
separate	separ	separate
rulings	rule	ruling
,	,	,
the	the	the
Constitutional	constitut	Constitutional
Court	court	Court
struck	struck	struck
down	down	down
previous	previous	previous
laws	law	law
,	,	,
leaving	leav	leaving
the	the	the
upper	upper	upper
and	and	and
lower	lower	lower
houses	hous	house
with	with	with
different	differ	different
rules	rule	rule
.	.	.
President	presid	President
Sergio	sergio	Sergio
Mattarella	mattarella	Mattarella
has	has	ha
called	call	called
on	on	on
parliament	parliament	parliament
to	to	to
come	come	come
up	up	up
with	with	with
a	a	a
mew	mew	mew
electoral	elector	electoral
law	law	law
that	that	that
applies	appli	applies
equally	equal	equally
to	to	to
both	both	both
houses	hous	house
before	befor	before
a	a	a
national	nation	national
vote	vote	vote
,	,	,
due	due	due
by	by	by
May	may	May
of	of	of
next	next	next
year	year	year
.	.	.
All	all	All
previous	previous	previous
attempts	attempt	attempt
to	to	to
harmonize	harmon	harmonize
the	the	the
rules	rule	rule
have	have	have
failed	fail	failed
,	,	,
most	most	most
recently	recent	recently
in	in	in
June	june	June
when	when	when
dissident	dissid	dissident
deputies	deputi	deputy
used	use	used
a	a	a
secret	secret	secret
vote	vote	vote
to	to	to
up	up	up
-end	-end	-end
part	part	part
of	of	of
the	the	the
proposed	propos	proposed
legislation	legisl	legislation
.	.	.
While	while	While
the	the	the
current	current	current
law	law	law
would	would	would
harmonize	harmon	harmonize
rules	rule	rule
for	for	for
both	both	both
houses	hous	house
,	,	,
polls	poll	poll
suggest	suggest	suggest
it	it	it
will	will	will
not	not	not
hand	hand	hand
any	ani	any
coalition	coalit	coalition
or	or	or
party	parti	party
a	a	a
clear	clear	clear
mandate	mandat	mandate
to	to	to
govern	govern	govern
.	.	.
The	the	The
proposed	propos	proposed
election	elect	election
law	law	law
would	would	would
distribute	distribut	distribute
almost	almost	almost
two	two	two
-thirds	-third	-thirds
of	of	of
the	the	the
seats	seat	seat
in	in	in
parliament	parliament	parliament
on	on	on
a	a	a
proportional	proport	proportional
basis	basi	basis
,	,	,
while	while	while
a	a	a
third	third	third
would	would	would
be	be	be
decided	decid	decided
in	in	in
a	a	a
first	first	first
-past-the-post	-past-the-post	-past-the-post
vote	vote	vote
on	on	on
specific	specif	specific
candidates	candid	candidate
.	.	.
Coalitions	coalit	Coalitions
would	would	would
need	need	need
to	to	to
get	get	get
10	10	10
percent	percent	percent
of	of	of
the	the	the
national	nation	national
vote	vote	vote
to	to	to
get	get	get
into	into	into
parliament	parliament	parliament
,	,	,
while	while	while
parties	parti	party
running	run	running
alone	alon	alone
would	would	would
need	need	need
only	onli	only
3	3	3
percent	percent	percent
.	.	.
Candidates	candid	Candidates
would	would	would
be	be	be
chosen	chosen	chosen
by	by	by
party	parti	party
chiefs	chief	chief
.	.	.
