ISLAMABAD	islamabad	ISLAMABAD
Reuters	reuter	Reuters
-	-	-
Pakistan	pakistan	Pakistan
has	has	ha
told	told	told
at	at	at
least	least	least
10	10	10
foreign	foreign	foreign
-funded	-fund	-funded
aid	aid	aid
groups	group	group
to	to	to
close	close	close
,	,	,
an	an	an
umbrella	umbrella	umbrella
agency	agenc	agency
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
including	includ	including
a	a	a
charity	chariti	charity
founded	found	founded
by	by	by
hedge	hedg	hedge
fund	fund	fund
billionaire	billionair	billionaire
and	and	and
philanthropist	philanthropist	philanthropist
George	georg	George
Soros	soro	Soros
,	,	,
the	the	the
group	group	group
said	said	said
.	.	.

Pakistan	pakistan	Pakistan
has	has	ha
toughened	toughen	toughened
its	it	it
stance	stanc	stance
towards	toward	towards
domestic	domest	domestic
and	and	and
international	intern	international
non	non	non
-governmental	-government	-governmental
groups	group	group
in	in	in
recent	recent	recent
years	year	year
,	,	,
accusing	accus	accusing
some	some	some
of	of	of
using	use	using
their	their	their
work	work	work
as	as	a
a	a	a
cover	cover	cover
for	for	for
espionage	espionag	espionage
.	.	.

In	in	In
January	januari	January
,	,	,
it	it	it
ordered	order	ordered
about	about	about
a	a	a
dozen	dozen	dozen
groups	group	group
working	work	working
on	on	on
women	women	woman
s	s	s
issues	issu	issue
and	and	and
human	human	human
rights	right	right
to	to	to
halt	halt	halt
their	their	their
operations	oper	operation
.	.	.

A	a	A
representative	repres	representative
of	of	of
the	the	the
Pakistan	pakistan	Pakistan
Humanitarian	humanitarian	Humanitarian
Forum	forum	Forum
PHF	phf	PHF
,	,	,
which	which	which
represents	repres	represents
63	63	63
international	intern	international
aid	aid	aid
groups	group	group
,	,	,
said	said	said
the	the	the
Ministry	ministri	Ministry
of	of	of
Interior	interior	Interior
had	had	had
issued	issu	issued
10	10	10
of	of	of
its	it	it
members	member	member
letters	letter	letter
of	of	of
rejection	reject	rejection
,	,	,
meaning	mean	meaning
their	their	their
applications	applic	application
to	to	to
register	regist	register
had	had	had
been	been	been
rejected	reject	rejected
.	.	.

The	the	The
forum	forum	forum
did	did	did
not	not	not
identify	identifi	identify
the	the	the
10	10	10
groups	group	group
but	but	but
two	two	two
international	intern	international
groups	group	group
,	,	,
the	the	the
Pakistani	pakistani	Pakistani
branch	branch	branch
of	of	of
the	the	the
Soros	soro	Soros
charity	chariti	charity
the	the	the
Open	open	Open
Society	societi	Society
Foundations	foundat	Foundations
,	,	,
and	and	and
ActionAid	actionaid	ActionAid
,	,	,
said	said	said
they	they	they
had	had	had
been	been	been
told	told	told
they	they	they
had	had	had
to	to	to
close	close	close
.	.	.

We	we	We
obviously	obvious	obviously
find	find	find
what	what	what
has	has	ha
happened	happen	happened
both	both	both
disappointing	disappoint	disappointing
and	and	and
surprising	surpris	surprising
,	,	,
and	and	and
are	are	are
urgently	urgent	urgently
seeking	seek	seeking
clarification	clarif	clarification
,	,	,
the	the	the
executive	execut	executive
director	director	director
of	of	of
the	the	the
Open	open	Open
Society	societi	Society
s	s	s
Pakistani	pakistani	Pakistani
office	offic	office
,	,	,
Saba	saba	Saba
Khattak	khattak	Khattak
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

The	the	The
group	group	group
had	had	had
spent	spent	spent
37	37	37
million	million	million
on	on	on
grants	grant	grant
and	and	and
relief	relief	relief
assistance	assist	assistance
in	in	in
Pakistan	pakistan	Pakistan
since	sinc	since
2005	2005	2005
,	,	,
she	she	she
said	said	said
.	.	.

The	the	The
interior	interior	interior
ministry	ministri	ministry
did	did	did
not	not	not
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
.	.	.

However	howev	However
,	,	,
the	the	the
ministry	ministri	ministry
,	,	,
in	in	in
a	a	a
letter	letter	letter
to	to	to
one	one	one
of	of	of
the	the	the
10	10	10
groups	group	group
and	and	and
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
,	,	,
said	said	said
its	it	it
registration	registr	registration
application	applic	application
had	had	had
been	been	been
denied	deni	denied
.	.	.

Wind	wind	Wind
up	up	up
operations	oper	operation
activities	activ	activity
of	of	of
above	abov	above
said	said	said
INGO	ingo	INGO
within	within	within
60	60	60
days	day	day
,	,	,
the	the	the
ministry	ministri	ministry
said	said	said
in	in	in
the	the	the
letter	letter	letter
.	.	.

It	it	It
did	did	did
give	give	give
a	a	a
reason	reason	reason
why	whi	why
the	the	the
group	group	group
had	had	had
to	to	to
stop	stop	stop
its	it	it
work	work	work
.	.	.

The	the	The
ministry	ministri	ministry
lists	list	list
139	139	139
international	intern	international
non	non	non
-governmental	-government	-governmental
organizations	organ	organization
INGO	ingo	INGO
on	on	on
its	it	it
website	websit	website
that	that	that
have	have	have
submitted	submit	submitted
registration	registr	registration
applications	applic	application
,	,	,
of	of	of
which	which	which
72	72	72
are	are	are
still	still	still
being	be	being
processed	process	processed
.	.	.

There	there	There
is	is	is
no	no	no
list	list	list
of	of	of
those	those	those
whose	whose	whose
applications	applic	application
have	have	have
been	been	been
denied	deni	denied
.	.	.

During	dure	During
the	the	the
lengthy	lengthi	lengthy
INGO	ingo	INGO
registration	registr	registration
process	process	process
we	we	we
provided	provid	provided
all	all	all
the	the	the
information	inform	information
and	and	and
documents	document	document
required	requir	required
and	and	and
are	are	are
confident	confid	confident
we	we	we
comply	compli	comply
with	with	with
all	all	all
necessary	necessari	necessary
rules	rule	rule
and	and	and
regulations	regul	regulation
,	,	,
ActionAid	actionaid	ActionAid
country	countri	country
director	director	director
Iftikhar	iftikhar	Iftikhar
Nizami	nizami	Nizami
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

This	this	This
year	year	year
,	,	,
medical	medic	medical
charity	chariti	charity
Medecins	medecin	Medecins
Sans	san	Sans
Frontieres	frontier	Frontieres
was	was	wa
ordered	order	ordered
to	to	to
stop	stop	stop
work	work	work
at	at	at
three	three	three
facilities	facil	facility
in	in	in
violence	violenc	violence
-plagued	-plagu	-plagued
ethnic	ethnic	ethnic
Pashtun	pashtun	Pashtun
areas	area	area
bordering	border	bordering
Afghanistan	afghanistan	Afghanistan
,	,	,
although	although	although
the	the	the
interior	interior	interior
ministry	ministri	ministry
lists	list	list
the	the	the
group	group	group
as	as	a
an	an	an
approved	approv	approved
INGO	ingo	INGO
.	.	.

The	the	The
Save	save	Save
the	the	the
Children	children	Children
aid	aid	aid
group	group	group
fell	fell	fell
afoul	afoul	afoul
of	of	of
the	the	the
government	govern	government
in	in	in
2011	2011	2011
,	,	,
when	when	when
it	it	it
was	was	wa
linked	link	linked
to	to	to
a	a	a
Pakistani	pakistani	Pakistani
doctor	doctor	doctor
recruited	recruit	recruited
by	by	by
the	the	the
CIA	cia	CIA
to	to	to
help	help	help
in	in	in
the	the	the
hunt	hunt	hunt
that	that	that
led	led	led
to	to	to
the	the	the
killing	kill	killing
of	of	of
al	al	al
Qaeda	qaeda	Qaeda
militant	milit	militant
leader	leader	leader
Osama	osama	Osama
bin	bin	bin
Laden	laden	Laden
in	in	in
the	the	the
town	town	town
of	of	of
Abbottabad	abbottabad	Abbottabad
.	.	.

Save	save	Save
the	the	the
Children	children	Children
s	s	s
foreign	foreign	foreign
staff	staff	staff
were	were	were
expelled	expel	expelled
from	from	from
Pakistan	pakistan	Pakistan
soon	soon	soon
after	after	after
the	the	the
accusations	accus	accusation
surfaced	surfac	surfaced
,	,	,
but	but	but
more	more	more
than	than	than
1	1	1
,	,	,
000	000	000
local	local	local
staff	staff	staff
continued	continu	continued
to	to	to
operate	oper	operate
.	.	.

The	the	The
charity	chariti	charity
denied	deni	denied
any	ani	any
links	link	link
with	with	with
the	the	the
doctor	doctor	doctor
or	or	or
the	the	the
CIA	cia	CIA
.	.	.

