LOS	los	LOS
ANGELES	angel	ANGELES
Reuters	reuter	Reuters
-	-	-
A	a	A
federal	feder	federal
appeals	appeal	appeal
court	court	court
on	on	on
Monday	monday	Monday
revived	reviv	revived
a	a	a
lawsuit	lawsuit	lawsuit
by	by	by
prospective	prospect	prospective
gun	gun	gun
shop	shop	shop
owners	owner	owner
who	who	who
were	were	were
banned	ban	banned
by	by	by
Alameda	alameda	Alameda
County	counti	County
,	,	,
California	california	California
,	,	,
from	from	from
opening	open	opening
within	within	within
500	500	500
feet	feet	foot
of	of	of
a	a	a
residential	residenti	residential
district	district	district
,	,	,
ruling	rule	ruling
that	that	that
local	local	local
officials	offici	official
had	had	had
failed	fail	failed
to	to	to
justify	justifi	justify
their	their	their
law	law	law
in	in	in
the	the	the
face	face	face
of	of	of
a	a	a
constitutional	constitut	constitutional
right	right	right
to	to	to
bear	bear	bear
arms	arm	arm
.	.	.
A	a	A
three	three	three
-member	-member	-member
panel	panel	panel
of	of	of
the	the	the
Ninth	ninth	Ninth
U	u	U
.	.	.
S	s	S
.	.	.
Circuit	circuit	Circuit
Court	court	Court
of	of	of
Appeals	appeal	Appeals
did	did	did
not	not	not
strike	strike	strike
down	down	down
the	the	the
local	local	local
ordinance	ordin	ordinance
,	,	,
but	but	but
voted	vote	voted
2	2	2
-1	-1	-1
to	to	to
overturn	overturn	overturn
a	a	a
federal	feder	federal
judge	judg	judge
who	who	who
threw	threw	threw
the	the	the
gun	gun	gun
store	store	store
owners	owner	owner
lawsuit	lawsuit	lawsuit
out	out	out
of	of	of
court	court	court
.	.	.
Gun	gun	Gun
rights	right	right
groups	group	group
quickly	quick	quickly
hailed	hail	hailed
the	the	the
decision	decis	decision
as	as	a
an	an	an
important	import	important
protection	protect	protection
of	of	of
the	the	the
Second	second	Second
Amendment	amend	Amendment
.	.	.
We	we	We
re	re	re
very	veri	very
happy	happi	happy
to	to	to
see	see	see
the	the	the
Court	court	Court
take	take	take
a	a	a
very	veri	very
principled	principl	principled
and	and	and
reasoned	reason	reasoned
approach	approach	approach
to	to	to
protecting	protect	protecting
the	the	the
fundamental	fundament	fundamental
,	,	,
individual	individu	individual
right	right	right
to	to	to
keep	keep	keep
and	and	and
bear	bear	bear
arms	arm	arm
,	,	,
Brandon	brandon	Brandon
Combs	comb	Combs
,	,	,
executive	execut	executive
director	director	director
of	of	of
the	the	the
Calguns	calgun	Calguns
Foundation	foundat	Foundation
,	,	,
said	said	said
in	in	in
a	a	a
written	written	written
statement	statement	statement
.	.	.
The	the	The
Ninth	ninth	Ninth
Circuit	circuit	Circuit
panel	panel	panel
ordered	order	ordered
that	that	that
judge	judg	judge
to	to	to
take	take	take
up	up	up
the	the	the
case	case	case
again	again	again
and	and	and
said	said	said
that	that	that
if	if	if
Alameda	alameda	Alameda
County	counti	County
wanted	want	wanted
to	to	to
enforce	enforc	enforce
the	the	the
gun	gun	gun
-control	-control	-control
ordinance	ordin	ordinance
,	,	,
officials	offici	official
there	there	there
would	would	would
have	have	have
to	to	to
prove	prove	prove
that	that	that
there	there	there
was	was	wa
a	a	a
basis	basi	basis
for	for	for
the	the	the
restrictions	restrict	restriction
.	.	.
Alameda	alameda	Alameda
County	counti	County
s	s	s
ordinance	ordin	ordinance
may	may	may
very	veri	very
well	well	well
be	be	be
permissible	permiss	permissible
.	.	.
Thus	thus	Thus
far	far	far
,	,	,
however	howev	however
,	,	,
