AMMAN	amman	AMMAN
Reuters	reuter	Reuters
-	-	-
The	the	The
Turkish	turkish	Turkish
army	armi	army
is	is	is
expanding	expand	expanding
its	it	it
deployment	deploy	deployment
in	in	in
northwest	northwest	northwest
Syria	syria	Syria
with	with	with
the	the	the
goal	goal	goal
of	of	of
encircling	encircl	encircling
a	a	a
Kurdish	kurdish	Kurdish
enclave	enclav	enclave
and	and	and
reining	rein	reining
in	in	in
Russian	russian	Russian
strikes	strike	strike
in	in	in
the	the	the
Idlib	idlib	Idlib
border	border	border
province	provinc	province
under	under	under
a	a	a
deal	deal	deal
to	to	to
reduce	reduc	reduce
clashes	clash	clash
,	,	,
rebels	rebel	rebel
and	and	and
witnesses	wit	witness
said	said	said
on	on	on
Sunday	sunday	Sunday
.	.	.

A	a	A
convoy	convoy	convoy
of	of	of
Turkish	turkish	Turkish
army	armi	army
troops	troop	troop
entered	enter	entered
Syria	syria	Syria
near	near	near
the	the	the
Bab	bab	Bab
al	al	al
-Hawa	-hawa	-Hawa
border	border	border
crossing	cross	crossing
on	on	on
Thursday	thursday	Thursday
in	in	in
the	the	the
first	first	first
such	such	such
deployment	deploy	deployment
since	sinc	since
last	last	last
year	year	year
when	when	when
Ankara	ankara	Ankara
launched	launch	launched
a	a	a
major	major	major
ground	ground	ground
and	and	and
air	air	air
offensive	offens	offensive
to	to	to
clear	clear	clear
Islamic	islam	Islamic
State	state	State
militants	milit	militant
from	from	from
its	it	it
last	last	last
stretch	stretch	stretch
of	of	of
border	border	border
with	with	with
Turkey	turkey	Turkey
.	.	.

At	at	At
least	least	least
four	four	four
convoys	convoy	convoy
carrying	carri	carrying
scores	score	score
of	of	of
armored	armor	armored
vehicles	vehicl	vehicle
and	and	and
equipment	equip	equipment
have	have	have
been	been	been
stationed	station	stationed
in	in	in
several	sever	several
locations	locat	location
in	in	in
the	the	the
first	first	first
phase	phase	phase
of	of	of
a	a	a
deployment	deploy	deployment
that	that	that
is	is	is
expected	expect	expected
to	to	to
deepen	deepen	deepen
inside	insid	inside
rebel	rebel	rebel
-held	-held	-held
Idlib	idlib	Idlib
,	,	,
opposition	opposit	opposition
sources	sourc	source
said	said	said
.	.	.

Nearly	near	Nearly
200	200	200
troops	troop	troop
are	are	are
now	now	now
stationed	station	stationed
in	in	in
areas	area	area
that	that	that
separate	separ	separate
territory	territori	territory
under	under	under
control	control	control
of	of	of
Kurdish	kurdish	Kurdish
groups	group	group
and	and	and
opposition	opposit	opposition
groups	group	group
,	,	,
said	said	said
Ibrahim	ibrahim	Ibrahim
al	al	al
Idlibi	idlibi	Idlibi
,	,	,
a	a	a
military	militari	military
adviser	advis	adviser
in	in	in
the	the	the
opposition	opposit	opposition
s	s	s
Free	free	Free
Syrian	syrian	Syrian
Army	armi	Army
FSA	fsa	FSA
.	.	.

Witnesses	wit	Witnesses
said	said	said
Turkish	turkish	Turkish
bulldozers	bulldoz	bulldozer
were	were	were
working	work	working
around	around	around
the	the	the
clock	clock	clock
,	,	,
digging	dig	digging
fortifications	fortif	fortification
and	and	and
setting	set	setting
up	up	up
observation	observ	observation
posts	post	post
.	.	.

A	a	A
new	new	new
deployment	deploy	deployment
of	of	of
Turkish	turkish	Turkish
armored	armor	armored
vehicles	vehicl	vehicle
and	and	and
personnel	personnel	personnel
arrived	arriv	arrived
along	along	along
the	the	the
Syrian	syrian	Syrian
border	border	border
on	on	on
Saturday	saturday	Saturday
,	,	,
positioned	posit	positioned
on	on	on
the	the	the
Turkish	turkish	Turkish
side	side	side
,	,	,
witnesses	wit	witness
said	said	said
.	.	.

Turkey	turkey	Turkey
was	was	wa
expanding	expand	expanding
its	it	it
presence	presenc	presence
in	in	in
an	an	an
area	area	area
where	where	where
it	it	it
hopes	hope	hope
to	to	to
act	act	act
as	as	a
a	a	a
barrier	barrier	barrier
to	to	to
Kurdish	kurdish	Kurdish
ambitions	ambit	ambition
of	of	of
uniting	unit	uniting
the	the	the
isolated	isol	isolated
Afrin	afrin	Afrin
region	region	region
,	,	,
north	north	north
of	of	of
Idlib	idlib	Idlib
,	,	,
with	with	with
the	the	the
rest	rest	rest
of	of	of
a	a	a
self	self	self
-declared	-declar	-declared
autonomous	autonom	autonomous
Kurdish	kurdish	Kurdish
zone	zone	zone
in	in	in
the	the	the
country	countri	country
s	s	s
north	north	north
.	.	.

Turkish	turkish	Turkish
positions	posit	position
near	near	near
Samaan	samaan	Samaan
castle	castl	castle
in	in	in
the	the	the
Sheikh	sheikh	Sheikh
Barakat	barakat	Barakat
mountains	mountain	mountain
of	of	of
the	the	the
fertile	fertil	fertile
,	,	,
olive	oliv	olive
-growing	-grow	-growing
province	provinc	province
put	put	put
them	them	them
just	just	just
a	a	a
few	few	few
kilometers	kilomet	kilometer
from	from	from
Kurdish	kurdish	Kurdish
militia	militia	militia
forces	forc	force
based	base	based
in	in	in
Jendaris	jendari	Jendaris
.	.	.

Turkish	turkish	Turkish
forces	forc	force
are	are	are
still	still	still
in	in	in
a	a	a
state	state	state
of	of	of
advancing	advanc	advancing
and	and	and
expanding	expand	expanding
,	,	,
said	said	said
Mustafa	mustafa	Mustafa
al	al	al
Sejari	sejari	Sejari
,	,	,
a	a	a
Free	free	Free
Syrian	syrian	Syrian
Army	armi	Army
official	offici	official
.	.	.

Turkey	turkey	Turkey
says	say	say
its	it	it
operations	oper	operation
there	there	there
,	,	,
along	along	along
with	with	with
the	the	the
Syrian	syrian	Syrian
rebel	rebel	rebel
groups	group	group
it	it	it
backs	back	back
,	,	,
is	is	is
part	part	part
of	of	of
a	a	a
deal	deal	deal
it	it	it
reached	reach	reached
last	last	last
month	month	month
with	with	with
Russia	russia	Russia
and	and	and
Iran	iran	Iran
in	in	in
Kazakhstan	kazakhstan	Kazakhstan
to	to	to
reduce	reduc	reduce
fighting	fight	fighting
between	between	between
insurgents	insurg	insurgent
and	and	and
the	the	the
Syrian	syrian	Syrian
government	govern	government
.	.	.

Syria	syria	Syria
on	on	on
Saturday	saturday	Saturday
denounced	denounc	denounced
the	the	the
Turkish	turkish	Turkish
incursion	incurs	incursion
saying	say	saying
it	it	it
was	was	wa
a	a	a
flagrant	flagrant	flagrant
violation	violat	violation
of	of	of
its	it	it
sovereignty	sovereignti	sovereignty
and	and	and
demanded	demand	demanded
Ankara	ankara	Ankara
pull	pull	pull
its	it	it
troops	troop	troop
.	.	.
L8N1MP0EN	l8n1mp0en	L8N1MP0EN
The	the	The
Turkish	turkish	Turkish
incursion	incurs	incursion
into	into	into
the	the	the
province	provinc	province
dominated	domin	dominated
by	by	by
the	the	the
jihadist	jihadist	jihadist
group	group	group
Tahrir	tahrir	Tahrir
al	al	al
Sham	sham	Sham
,	,	,
whose	whose	whose
backbone	backbon	backbone
is	is	is
ex	ex	ex
-Nusra	-nusra	-Nusra
Front	front	Front
,	,	,
Syria	syria	Syria
s	s	s
former	former	former
al	al	al
Qaeda	qaeda	Qaeda
offshoot	offshoot	offshoot
,	,	,
has	has	ha
run	run	run
smoothly	smooth	smoothly
.	.	.

Rebel	rebel	Rebel
sources	sourc	source
familiar	familiar	familiar
with	with	with
the	the	the
deployment	deploy	deployment
said	said	said
the	the	the
operation	oper	operation
was	was	wa
preceded	preced	preceded
by	by	by
weeks	week	week
of	of	of
coordination	coordin	coordination
between	between	between
Tahrir	tahrir	Tahrir
al	al	al
Sham	sham	Sham
with	with	with
Turkish	turkish	Turkish
intelligence	intellig	intelligence
officers	offic	officer
to	to	to
ensure	ensur	ensure
no	no	no
clashes	clash	clash
happened	happen	happened
.	.	.

Free	free	Free
Syrian	syrian	Syrian
Army	armi	Army
rebel	rebel	rebel
groups	group	group
said	said	said
the	the	the
goal	goal	goal
of	of	of
the	the	the
campaign	campaign	campaign
was	was	wa
to	to	to
push	push	push
deeper	deeper	deeper
into	into	into
the	the	the
province	provinc	province
,	,	,
with	with	with
the	the	the
expansion	expans	expansion
of	of	of
supply	suppli	supply
lines	line	line
and	and	and
observation	observ	observation
posts	post	post
.	.	.

The	the	The
jihadists	jihadist	jihadist
would	would	would
be	be	be
retreating	retreat	retreating
further	further	further
south	south	south
in	in	in
a	a	a
phased	phase	phased
withdrawal	withdraw	withdrawal
.	.	.

The	the	The
Turks	turk	Turks
will	will	will
be	be	be
taking	take	taking
up	up	up
positions	posit	position
40	40	40
km	km	km
deep	deep	deep
inside	insid	inside
Idlib	idlib	Idlib
as	as	a
agreed	agre	agreed
,	,	,
Idlibi	idlibi	Idlibi
said	said	said
.	.	.

The	the	The
goal	goal	goal
was	was	wa
ultimately	ultim	ultimately
to	to	to
create	creat	create
a	a	a
contiguous	contigu	contiguous
stretch	stretch	stretch
that	that	that
goes	goe	go
from	from	from
Bab	bab	Bab
al	al	al
-Hawa	-hawa	-Hawa
all	all	all
the	the	the
way	way	way
to	to	to
Jarablus	jarablus	Jarablus
city	citi	city
,	,	,
west	west	west
of	of	of
Euphrates	euphrat	Euphrates
River	river	River
and	and	and
as	as	a
far	far	far
south	south	south
as	as	a
the	the	the
city	citi	city
of	of	of
Bab	bab	Bab
,	,	,
widening	widen	widening
a	a	a
pocket	pocket	pocket
of	of	of
the	the	the
northern	northern	northern
border	border	border
under	under	under
the	the	the
control	control	control
of	of	of
Turkey	turkey	Turkey
-backed	-back	-backed
rebels	rebel	rebel
.	.	.

Many	mani	Many
residents	resid	resident
in	in	in
the	the	the
towns	town	town
of	of	of
Idlib	idlib	Idlib
province	provinc	province
,	,	,
where	where	where
more	more	more
than	than	than
two	two	two
million	million	million
people	peopl	people
live	live	live
,	,	,
have	have	have
welcomed	welcom	welcomed
the	the	the
arrival	arriv	arrival
of	of	of
Turkish	turkish	Turkish
troops	troop	troop
.	.	.

They	they	They
are	are	are
seen	seen	seen
as	as	a
a	a	a
bulwark	bulwark	bulwark
against	against	against
heavy	heavi	heavy
Russian	russian	Russian
and	and	and
Syrian	syrian	Syrian
army	armi	army
bombardment	bombard	bombardment
to	to	to
crush	crush	crush
the	the	the
rebel	rebel	rebel
province	provinc	province
that	that	that
would	would	would
cause	caus	cause
massive	massiv	massive
devastation	devast	devastation
and	and	and
high	high	high
civilian	civilian	civilian
casualties	casualti	casualty
.	.	.

The	the	The
Turks	turk	Turks
presented	present	presented
the	the	the
factions	faction	faction
of	of	of
the	the	the
FSA	fsa	FSA
the	the	the
military	militari	military
and	and	and
logistical	logist	logistical
support	support	support
so	so	so
that	that	that
Idlib	idlib	Idlib
escapes	escap	escape
the	the	the
fate	fate	fate
of	of	of
Deir	deir	Deir
Zor	zor	Zor
or	or	or
Raqqa	raqqa	Raqqa
,	,	,
said	said	said
Colonel	colonel	Colonel
Abdul	abdul	Abdul
Jabar	jabar	Jabar
Akaidi	akaidi	Akaidi
,	,	,
a	a	a
senior	senior	senior
commander	command	commander
in	in	in
the	the	the
FSA	fsa	FSA
in	in	in
the	the	the
north	north	north
.	.	.

Heavily	heavili	Heavily
populated	popul	populated
Idlib	idlib	Idlib
has	has	ha
been	been	been
the	the	the
target	target	target
of	of	of
hundreds	hundr	hundred
of	of	of
strikes	strike	strike
by	by	by
the	the	the
Russia	russia	Russia
and	and	and
Syrian	syrian	Syrian
air	air	air
forces	forc	force
in	in	in
the	the	the
past	past	past
year	year	year
that	that	that
has	has	ha
killed	kill	killed
hundreds	hundr	hundred
of	of	of
civilians	civilian	civilian
and	and	and
destroyed	destroy	destroyed
hospitals	hospit	hospital
and	and	and
civil	civil	civil
defense	defens	defense
centers	center	center
.	.	.

Six	six	Six
months	month	month
of	of	of
relative	relat	relative
peace	peac	peace
under	under	under
a	a	a
Turkish	turkish	Turkish
-Russian	-russian	-Russian
understanding	understand	understanding
that	that	that
gave	gave	gave
a	a	a
temporary	temporari	temporary
reprieve	repriev	reprieve
to	to	to
thousands	thousand	thousand
of	of	of
people	peopl	people
was	was	wa
shattered	shatter	shattered
when	when	when
Russia	russia	Russia
resumed	resum	resumed
an	an	an
intensive	intens	intensive
bombing	bomb	bombing
campaign	campaign	campaign
last	last	last
month	month	month
when	when	when
jihadists	jihadist	jihadist
launched	launch	launched
an	an	an
offensive	offens	offensive
against	against	against
Syrian	syrian	Syrian
army	armi	army
positions	posit	position
.	.	.
L5N1M508R	l5n1m508r	L5N1M508R
On	on	On
Saturday	saturday	Saturday
in	in	in
southern	southern	southern
Idlib	idlib	Idlib
,	,	,
jets	jet	jet
believed	believ	believed
to	to	to
be	be	be
Russian	russian	Russian
killed	kill	killed
at	at	at
least	least	least
three	three	three
civilians	civilian	civilian
and	and	and
injured	injur	injured
scores	score	score
when	when	when
bombs	bomb	bomb
struck	struck	struck
the	the	the
outskirts	outskirt	outskirt
of	of	of
Maarat	maarat	Maarat
al	al	al
Numan	numan	Numan
.	.	.

The	the	The
air	air	air
raids	raid	raid
also	also	also
targeted	target	targeted
a	a	a
camp	camp	camp
run	run	run
by	by	by
Failaq	failaq	Failaq
al	al	al
Sham	sham	Sham
,	,	,
a	a	a
Turkey	turkey	Turkey
-backed	-back	-backed
FSA	fsa	FSA
group	group	group
in	in	in
Kafr	kafr	Kafr
Ruma	ruma	Ruma
village	villag	village
where	where	where
a	a	a
strike	strike	strike
last	last	last
month	month	month
killed	kill	killed
dozens	dozen	dozen
of	of	of
its	it	it
fighters	fighter	fighter
.	.	.

