VILNIUS	vilnius	VILNIUS
Reuters	reuter	Reuters
-	-	-
The	the	The
Lithuanian	lithuanian	Lithuanian
government	govern	government
got	got	got
some	some	some
much	much	much
-needed	-need	-needed
support	support	support
on	on	on
Monday	monday	Monday
when	when	when
members	member	member
of	of	of
parliament	parliament	parliament
from	from	from
a	a	a
junior	junior	junior
coalition	coalit	coalition
partner	partner	partner
surprisingly	surpris	surprisingly
disavowed	disavow	disavowed
their	their	their
own	own	own
party	parti	party
s	s	s
decision	decis	decision
to	to	to
withdraw	withdraw	withdraw
from	from	from
the	the	the
coalition	coalit	coalition
.	.	.
The	the	The
Social	social	Social
Democratic	democrat	Democratic
hierarchy	hierarchi	hierarchy
voted	vote	voted
on	on	on
Saturday	saturday	Saturday
to	to	to
leave	leav	leave
the	the	the
government	govern	government
coalition	coalit	coalition
with	with	with
the	the	the
Lithuanian	lithuanian	Lithuanian
Farmers	farmer	Farmers
and	and	and
Greens	green	Greens
Party	parti	Party
.	.	.
Their	their	Their
coalition	coalit	coalition
has	has	ha
held	held	held
a	a	a
slim	slim	slim
majority	major	majority
in	in	in
Lithuania	lithuania	Lithuania
s	s	s
parliament	parliament	parliament
since	sinc	since
last	last	last
year	year	year
s	s	s
election	elect	election
.	.	.
However	howev	However
,	,	,
the	the	the
19	19	19
-member	-member	-member
Social	social	Social
Democratic	democrat	Democratic
block	block	block
in	in	in
parliament	parliament	parliament
decided	decid	decided
to	to	to
remain	remain	remain
in	in	in
the	the	the
government	govern	government
after	after	after
a	a	a
vote	vote	vote
on	on	on
Monday	monday	Monday
,	,	,
disobeying	disobey	disobeying
the	the	the
party	parti	party
s	s	s
recently	recent	recently
elected	elect	elected
chairman	chairman	chairman
,	,	,
Gintautas	gintauta	Gintautas
Paluckas	palucka	Paluckas
.	.	.
A	a	A
majority	major	majority
of	of	of
the	the	the
members	member	member
of	of	of
parliament	parliament	parliament
think	think	think
that	that	that
decision	decis	decision
to	to	to
withdraw	withdraw	withdraw
from	from	from
the	the	the
coalition	coalit	coalition
was	was	wa
rushed	rush	rushed
and	and	and
was	was	wa
based	base	based
on	on	on
emotions	emot	emotion
,	,	,
not	not	not
on	on	on
arguments	argument	argument
,	,	,
the	the	the
party	parti	party
said	said	said
in	in	in
a	a	a
press	press	press
release	releas	release
.	.	.
The	the	The
rank	rank	rank
and	and	and
file	file	file
of	of	of
the	the	the
Social	social	Social
Democrats	democrat	Democrats
overwhelmingly	overwhelm	overwhelmingly
supported	support	supported
leaving	leav	leaving
the	the	the
government	govern	government
in	in	in
a	a	a
recent	recent	recent
poll	poll	poll
,	,	,
and	and	and
the	the	the
party	parti	party
council	council	council
on	on	on
Saturday	saturday	Saturday
voted	vote	voted
by	by	by
a	a	a
large	larg	large
margin	margin	margin
to	to	to
quit	quit	quit
.	.	.
Members	member	Members
of	of	of
parliament	parliament	parliament
and	and	and
are	are	are
not	not	not
legally	legal	legally
obliged	oblig	obliged
to	to	to
follow	follow	follow
party	parti	party
orders	order	order
.	.	.
However	howev	However
,	,	,
Paluckas	palucka	Paluckas
told	told	told
reporters	report	reporter
the	the	the
disobedient	disobedi	disobedient
members	member	member
of	of	of
parliament	parliament	parliament
could	could	could
be	be	be
thrown	thrown	thrown
out	out	out
of	of	of
the	the	the
party	parti	party
after	after	after
upcoming	upcom	upcoming
reviews	review	review
,	,	,
the	the	the
news	news	news
agency	agenc	agency
BNS	bns	BNS
reported	report	reported
.	.	.
