BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
Top	top	Top
German	german	German
intelligence	intellig	intelligence
officials	offici	official
on	on	on
Thursday	thursday	Thursday
urged	urg	urged
lawmakers	lawmak	lawmaker
to	to	to
give	give	give
them	them	them
greater	greater	greater
legal	legal	legal
authority	author	authority
to	to	to
hack	hack	hack
back	back	back
in	in	in
the	the	the
event	event	event
of	of	of
cyber	cyber	cyber
attacks	attack	attack
from	from	from
foreign	foreign	foreign
powers	power	power
.	.	.

Hans	han	Hans
-Georg	-georg	-Georg
Maassen	maassen	Maassen
,	,	,
head	head	head
of	of	of
the	the	the
BfV	bfv	BfV
domestic	domest	domestic
intelligence	intellig	intelligence
agency	agenc	agency
,	,	,
told	told	told
the	the	the
parliamentary	parliamentari	parliamentary
oversight	oversight	oversight
committee	committe	committee
it	it	it
should	should	should
be	be	be
possible	possibl	possible
to	to	to
destroy	destroy	destroy
data	data	data
stolen	stolen	stolen
from	from	from
German	german	German
servers	server	server
and	and	and
moved	move	moved
to	to	to
foreign	foreign	foreign
servers	server	server
to	to	to
prevent	prevent	prevent
it	it	it
from	from	from
being	be	being
misused	misus	misused
.	.	.

He	he	He
said	said	said
it	it	it
would	would	would
also	also	also
make	make	make
sense	sens	sense
to	to	to
infect	infect	infect
foreign	foreign	foreign
servers	server	server
with	with	with
software	softwar	software
that	that	that
would	would	would
enable	enabl	enable
greater	greater	greater
surveillance	surveil	surveillance
of	of	of
any	ani	any
operations	oper	operation
directed	direct	directed
against	against	against
German	german	German
cyber	cyber	cyber
targets	target	target
,	,	,
or	or	or
to	to	to
extract	extract	extract
data	data	data
,	,	,
much	much	much
as	as	a
human	human	human
agents	agent	agent
are	are	are
recruited	recruit	recruited
for	for	for
counter	counter	counter
-espionage	-espionag	-espionage
.	.	.

In	in	In
the	the	the
real	real	real
world	world	world
,	,	,
it	it	it
would	would	would
be	be	be
like	like	like
turning	turn	turning
a	a	a
foreign	foreign	foreign
intelligence	intellig	intelligence
agent	agent	agent
and	and	and
getting	get	getting
them	them	them
to	to	to
work	work	work
for	for	for
us	us	u
.	.	.
.	.	.
.	.	.

Something	someth	Something
like	like	like
this	this	this
should	should	should
be	be	be
possible	possibl	possible
in	in	in
the	the	the
cyber	cyber	cyber
world	world	world
too	too	too
,	,	,
Maassen	maassen	Maassen
told	told	told
the	the	the
committee	committe	committee
in	in	in
its	it	it
first	first	first
public	public	public
hearing	hear	hearing
.	.	.

These	these	These
are	are	are
hack	hack	hack
back	back	back
instruments	instrument	instrument
,	,	,
but	but	but
they	they	they
are	are	are
below	below	below
the	the	the
threshold	threshold	threshold
of	of	of
destroying	destroy	destroying
or	or	or
incapacitating	incapacit	incapacitating
a	a	a
foreign	foreign	foreign
server	server	server
,	,	,
Maassen	maassen	Maassen
said	said	said
.	.	.

German	german	German
officials	offici	official
have	have	have
blamed	blame	blamed
APT28	apt28	APT28
,	,	,
a	a	a
Russian	russian	Russian
hacker	hacker	hacker
group	group	group
said	said	said
linked	link	linked
to	to	to
Moscow	moscow	Moscow
,	,	,
for	for	for
the	the	the
May	may	May
2015	2015	2015
hack	hack	hack
of	of	of
the	the	the
German	german	German
lower	lower	lower
house	hous	house
of	of	of
parliament	parliament	parliament
,	,	,
the	the	the
Bundestag	bundestag	Bundestag
,	,	,
and	and	and
other	other	other
cyber	cyber	cyber
attacks	attack	attack
aimed	aim	aimed
at	at	at
political	polit	political
groups	group	group
,	,	,
individuals	individu	individual
or	or	or
institutions	institut	institution
.	.	.

They	they	They
issued	issu	issued
repeated	repeat	repeated
warnings	warn	warning
about	about	about
the	the	the
possibility	possibl	possibility
that	that	that
Moscow	moscow	Moscow
could	could	could
seek	seek	seek
to	to	to
influence	influenc	influence
or	or	or
disrupt	disrupt	disrupt
the	the	the
Sept	sept	Sept
.	.	.

24	24	24
German	german	German
election	elect	election
,	,	,
although	although	although
officials	offici	official
have	have	have
since	sinc	since
said	said	said
they	they	they
did	did	did
not	not	not
see	see	see
any	ani	any
major	major	major
push	push	push
by	by	by
Russia	russia	Russia
to	to	to
do	do	do
so	so	so
.	.	.

Maassen	maassen	Maassen
said	said	said
it	it	it
was	was	wa
possible	possibl	possible
Russia	russia	Russia
decided	decid	decided
the	the	the
political	polit	political
cost	cost	cost
was	was	wa
too	too	too
great	great	great
after	after	after
the	the	the
backlash	backlash	backlash
that	that	that
ensued	ensu	ensued
in	in	in
the	the	the
United	unit	United
States	state	States
after	after	after
a	a	a
similar	similar	similar
effort	effort	effort
there	there	there
.	.	.

Russia	russia	Russia
denies	deni	denies
seeking	seek	seeking
to	to	to
influence	influenc	influence
any	ani	any
foreign	foreign	foreign
elections	elect	election
.	.	.

Germany	germani	Germany
s	s	s
BND	bnd	BND
foreign	foreign	foreign
intelligence	intellig	intelligence
agency	agenc	agency
already	alreadi	already
has	has	ha
the	the	the
expertise	expertis	expertise
,	,	,
but	but	but
not	not	not
the	the	the
legal	legal	legal
authority	author	authority
,	,	,
to	to	to
destroy	destroy	destroy
foreign	foreign	foreign
servers	server	server
,	,	,
its	it	it
chief	chief	chief
Bruno	bruno	Bruno
Kahl	kahl	Kahl
told	told	told
the	the	the
committee	committe	committee
.	.	.

Once	onc	Once
the	the	the
source	sourc	source
of	of	of
attack	attack	attack
had	had	had
been	been	been
carefully	care	carefully
investigated	investig	investigated
and	and	and
identified	identifi	identified
,	,	,
it	it	it
could	could	could
make	make	make
sense	sens	sense
to	to	to
shut	shut	shut
down	down	down
the	the	the
source	sourc	source
of	of	of
such	such	such
an	an	an
attack	attack	attack
and	and	and
not	not	not
have	have	have
to	to	to
retreat	retreat	retreat
and	and	and
give	give	give
the	the	the
job	job	job
of	of	of
going	go	going
back	back	back
in	in	in
and	and	and
taking	take	taking
care	care	care
of	of	of
business	busi	business
,	,	,
Kahl	kahl	Kahl
said	said	said
.	.	.

In	in	In
the	the	the
end	end	end
,	,	,
however	howev	however
,	,	,
such	such	such
decisions	decis	decision
had	had	had
to	to	to
be	be	be
made	made	made
by	by	by
politicians	politician	politician
,	,	,
Kahl	kahl	Kahl
said	said	said
.	.	.

Christof	christof	Christof
Gramm	gramm	Gramm
,	,	,
head	head	head
of	of	of
Germany	germani	Germany
s	s	s
MAD	mad	MAD
military	militari	military
counter	counter	counter
-espionage	-espionag	-espionage
agency	agenc	agency
,	,	,
said	said	said
there	there	there
were	were	were
questions	question	question
of	of	of
domestic	domest	domestic
and	and	and
international	intern	international
law	law	law
to	to	to
address	address	address
before	befor	before
empowering	empow	empowering
the	the	the
agencies	agenc	agency
to	to	to
take	take	take
such	such	such
actions	action	action
.	.	.

This	this	This
all	all	all
has	has	ha
to	to	to
be	be	be
worked	work	worked
out	out	out
.	.	.

There	there	There
are	are	are
international	intern	international
boundaries	boundari	boundary
.	.	.

We	we	We
re	re	re
not	not	not
just	just	just
talking	talk	talking
about	about	about
national	nation	national
law	law	law
,	,	,
Gramm	gramm	Gramm
told	told	told
the	the	the
committee	committe	committee
near	near	near
the	the	the
end	end	end
of	of	of
a	a	a
three	three	three
-hour	-hour	-hour
session	session	session
.	.	.

He	he	He
said	said	said
if	if	if
such	such	such
powers	power	power
were	were	were
granted	grant	granted
,	,	,
it	it	it
would	would	would
be	be	be
up	up	up
to	to	to
the	the	the
military	militari	military
s	s	s
cyber	cyber	cyber
command	command	command
to	to	to
carry	carri	carry
out	out	out
such	such	such
actions	action	action
,	,	,
not	not	not
the	the	the
MAD	mad	MAD
.	.	.

Maassen	maassen	Maassen
said	said	said
authorities	author	authority
needed	need	needed
access	access	access
to	to	to
streaming	stream	streaming
data	data	data
from	from	from
foreign	foreign	foreign
servers	server	server
-	-	-
for	for	for
instance	instanc	instance
of	of	of
videos	video	video
showing	show	showing
beheadings	behead	beheading
-	-	-
to	to	to
track	track	track
radicalization	radic	radicalization
of	of	of
possible	possibl	possible
Islamist	islamist	Islamist
attackers	attack	attacker
.	.	.

He	he	He
also	also	also
called	call	called
for	for	for
broader	broader	broader
powers	power	power
to	to	to
track	track	track
communications	communic	communication
between	between	between
Germany	germani	Germany
and	and	and
Raqqa	raqqa	Raqqa
,	,	,
the	the	the
Syrian	syrian	Syrian
city	citi	city
still	still	still
under	under	under
Islamic	islam	Islamic
State	state	State
control	control	control
,	,	,
noting	note	noting
that	that	that
current	current	current
law	law	law
only	onli	only
allowed	allow	allowed
the	the	the
tracking	track	tracking
of	of	of
individual	individu	individual
communications	communic	communication
,	,	,
not	not	not
broader	broader	broader
flows	flow	flow
.	.	.

