AUSTIN	austin	AUSTIN
,	,	,
Texas	texa	Texas
Reuters	reuter	Reuters
-	-	-
A	a	A
Texas	texa	Texas
bill	bill	bill
that	that	that
would	would	would
restrict	restrict	restrict
insurance	insur	insurance
coverage	coverag	coverage
for	for	for
abortions	abort	abortion
was	was	wa
approved	approv	approved
by	by	by
the	the	the
state	state	state
s	s	s
Republican	republican	Republican
-controlled	-control	-controlled
House	hous	House
of	of	of
Representatives	repres	Representatives
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
a	a	a
move	move	move
critics	critic	critic
called	call	called
cruel	cruel	cruel
and	and	and
damaging	damag	damaging
to	to	to
women	women	woman
s	s	s
health	health	health
.	.	.
The	the	The
House	hous	House
measure	measur	measure
would	would	would
ban	ban	ban
insurance	insur	insurance
coverage	coverag	coverage
for	for	for
abortions	abort	abortion
and	and	and
require	requir	require
women	women	woman
who	who	who
wanted	want	wanted
coverage	coverag	coverage
to	to	to
purchase	purchas	purchase
a	a	a
supplemental	supplement	supplemental
plan	plan	plan
for	for	for
an	an	an
abortion	abort	abortion
,	,	,
the	the	the
latest	latest	latest
effort	effort	effort
by	by	by
the	the	the
most	most	most
-populous	-popul	-populous
Republican	republican	Republican
-controlled	-control	-controlled
state	state	state
to	to	to
place	place	place
restrictions	restrict	restriction
on	on	on
the	the	the
procedure	procedur	procedure
.	.	.
If	if	If
enacted	enact	enacted
,	,	,
the	the	the
bill	bill	bill
would	would	would
take	take	take
effect	effect	effect
on	on	on
Dec	dec	Dec
.	.	.
1	1	1
and	and	and
make	make	make
Texas	texa	Texas
the	the	the
11th	11th	11th
state	state	state
to	to	to
restrict	restrict	restrict
abortion	abort	abortion
coverage	coverag	coverage
in	in	in
private	privat	private
insurance	insur	insurance
plans	plan	plan
written	written	written
in	in	in
the	the	the
state	state	state
.	.	.
The	the	The
Republican	republican	Republican
-dominated	-domin	-dominated
Senate	senat	Senate
has	has	ha
passed	pass	passed
a	a	a
similar	similar	similar
bill	bill	bill
,	,	,
and	and	and
Republican	republican	Republican
Governor	governor	Governor
Greg	greg	Greg
Abbott	abbott	Abbott
has	has	ha
shown	shown	shown
support	support	support
for	for	for
the	the	the
measures	measur	measure
.	.	.
The	the	The
bill	bill	bill
s	s	s
backers	backer	backer
say	say	say
it	it	it
would	would	would
protect	protect	protect
abortion	abort	abortion
opponents	oppon	opponent
from	from	from
subsidizing	subsid	subsidizing
the	the	the
procedure	procedur	procedure
.	.	.
A	a	A
Democratic	democrat	Democratic
critic	critic	critic
decried	decri	decried
it	it	it
as	as	a
forcing	forc	forcing
people	peopl	people
to	to	to
buy	buy	buy
rape	rape	rape
insurance	insur	insurance
.	.	.
It	it	It
s	s	s
a	a	a
question	question	question
of	of	of
economic	econom	economic
freedom	freedom	freedom
and	and	and
freedom	freedom	freedom
in	in	in
general	general	general
,	,	,
Republican	republican	Republican
Representative	repres	Representative
John	john	John
Smithee	smithe	Smithee
,	,	,
the	the	the
bill	bill	bill
s	s	s
sponsor	sponsor	sponsor
,	,	,
said	said	said
in	in	in
House	hous	House
debate	debat	debate
on	on	on
Tuesday	tuesday	Tuesday
ahead	ahead	ahead
of	of	of
the	the	the
bill	bill	bill
receiving	receiv	receiving
preliminary	preliminari	preliminary
approval	approv	approval
.	.	.
The	the	The
Republican	republican	Republican
sponsor	sponsor	sponsor
of	of	of
the	the	the
Senate	senat	Senate
bill	bill	bill
,	,	,
Brandon	brandon	Brandon
Creighton	creighton	Creighton
,	,	,
has	has	ha
told	told	told
local	local	local
media	media	medium
supplemental	supplement	supplemental
coverage	coverag	coverage
would	would	would
cost	cost	cost
12	12	12
to	to	to
80	80	80
a	a	a
year	year	year
House	hous	House
Bill	bill	Bill
214	214	214
,	,	,
which	which	which
passed	pass	passed
mostly	most	mostly
on	on	on
a	a	a
party	parti	party
-line	-line	-line
vote	vote	vote
,	,	,
does	doe	doe
not	not	not
offer	offer	offer
exceptions	except	exception
for	for	for
cases	case	case
of	of	of
rape	rape	rape
or	or	or
incest	incest	incest
.	.	.
Abortion	abort	Abortion
rights	right	right
groups	group	group
are	are	are
likely	like	likely
fight	fight	fight
the	the	the
measure	measur	measure
in	in	in
court	court	court
if	if	if
enacted	enact	enacted
.	.	.
Women	women	Women
and	and	and
parents	parent	parent
will	will	will
be	be	be
faced	face	faced
with	with	with
the	the	the
horrific	horrif	horrific
decision	decis	decision
of	of	of
having	have	having
to	to	to
purchase	purchas	purchase
rape	rape	rape
insurance	insur	insurance
to	to	to
cover	cover	cover
them	them	them
if	if	if
they	they	they
are	are	are
victimized	victim	victimized
,	,	,
Democratic	democrat	Democratic
Representative	repres	Representative
Chris	chris	Chris
Turner	turner	Turner
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
This	this	This
is	is	is
not	not	not
only	onli	only
ridiculous	ridicul	ridiculous
,	,	,
but	but	but
it	it	it
is	is	is
cruel	cruel	cruel
.	.	.
Idaho	idaho	Idaho
,	,	,
Kansas	kansa	Kansas
and	and	and
Oklahoma	oklahoma	Oklahoma
are	are	are
among	among	among
the	the	the
10	10	10
other	other	other
states	state	state
that	that	that
make	make	make
abortion	abort	abortion
coverage	coverag	coverage
a	a	a
supplement	supplement	supplement
on	on	on
private	privat	private
plans	plan	plan
.	.	.
There	there	There
are	are	are
25	25	25
states	state	state
with	with	with
restrictions	restrict	restriction
on	on	on
abortion	abort	abortion
coverage	coverag	coverage
in	in	in
plans	plan	plan
set	set	set
up	up	up
by	by	by
state	state	state
exchanges	exchang	exchange
as	as	a
part	part	part
of	of	of
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
under	under	under
former	former	former
Democratic	democrat	Democratic
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
,	,	,
according	accord	according
to	to	to
the	the	the
Guttmacher	guttmach	Guttmacher
Institute	institut	Institute
,	,	,
which	which	which
tracks	track	track
such	such	such
legislation	legisl	legislation
.	.	.
It	it	It
is	is	is
surprising	surpris	surprising
that	that	that
Texas	texa	Texas
has	has	ha
not	not	not
done	done	done
this	this	this
before	befor	before
,	,	,
said	said	said
Elizabeth	elizabeth	Elizabeth
Nash	nash	Nash
,	,	,
senior	senior	senior
state	state	state
issues	issu	issue
manager	manag	manager
for	for	for
Guttmacher	guttmach	Guttmacher
.	.	.
The	the	The
insurance	insur	insurance
measure	measur	measure
is	is	is
one	one	one
of	of	of
several	sever	several
bills	bill	bill
concerning	concern	concerning
abortion	abort	abortion
before	befor	before
Texas	texa	Texas
lawmakers	lawmak	lawmaker
in	in	in
a	a	a
special	special	special
session	session	session
that	that	that
runs	run	run
through	through	through
next	next	next
week	week	week
.	.	.
The	the	The
Senate	senat	Senate
has	has	ha
already	alreadi	already
approved	approv	approved
bills	bill	bill
that	that	that
include	includ	include
requiring	requir	requiring
physicians	physician	physician
to	to	to
improve	improv	improve
notification	notif	notification
of	of	of
complications	complic	complication
that	that	that
occur	occur	occur
during	dure	during
abortions	abort	abortion
and	and	and
another	anoth	another
that	that	that
prohibits	prohibit	prohibits
local	local	local
governments	govern	government
from	from	from
having	have	having
contracts	contract	contract
with	with	with
abortion	abort	abortion
providers	provid	provider
and	and	and
their	their	their
