JERUSALEM	jerusalem	JERUSALEM
Reuters	reuter	Reuters
-	-	-
Israel	israel	Israel
s	s	s
Supreme	suprem	Supreme
Court	court	Court
ruled	rule	ruled
on	on	on
Thursday	thursday	Thursday
that	that	that
the	the	the
state	state	state
could	could	could
not	not	not
keep	keep	keep
the	the	the
bodies	bodi	body
of	of	of
Palestinian	palestinian	Palestinian
gunmen	gunmen	gunman
for	for	for
use	use	use
as	as	a
bargaining	bargain	bargaining
chips	chip	chip
to	to	to
get	get	get
back	back	back
its	it	it
own	own	own
dead	dead	dead
unless	unless	unless
it	it	it
enacted	enact	enacted
legislation	legisl	legislation
permitting	permit	permitting
it	it	it
to	to	to
do	do	do
so	so	so
.	.	.

A	a	A
three	three	three
-justice	-justic	-justice
panel	panel	panel
ruled	rule	ruled
in	in	in
favor	favor	favor
of	of	of
militants	milit	militant
families	famili	family
who	who	who
petitioned	petit	petitioned
to	to	to
force	forc	force
Israeli	isra	Israeli
authorities	author	authority
to	to	to
return	return	return
to	to	to
them	them	them
for	for	for
burial	burial	burial
the	the	the
bodies	bodi	body
of	of	of
militant	milit	militant
relatives	relat	relative
killed	kill	killed
in	in	in
attacks	attack	attack
on	on	on
Israelis	isra	Israelis
.	.	.

The	the	The
court	court	court
gave	gave	gave
the	the	the
state	state	state
six	six	six
months	month	month
to	to	to
enact	enact	enact
legislation	legisl	legislation
if	if	if
it	it	it
wanted	want	wanted
to	to	to
keep	keep	keep
the	the	the
bodies	bodi	body
.	.	.

Israel	israel	Israel
has	has	ha
said	said	said
it	it	it
was	was	wa
holding	hold	holding
the	the	the
bodies	bodi	body
to	to	to
help	help	help
it	it	it
effect	effect	effect
the	the	the
return	return	return
the	the	the
remains	remain	remains
of	of	of
the	the	the
two	two	two
Israeli	isra	Israeli
soldiers	soldier	soldier
killed	kill	killed
in	in	in
the	the	the
Gaza	gaza	Gaza
Strip	strip	Strip
in	in	in
2014	2014	2014
and	and	and
two	two	two
Israeli	isra	Israeli
civilians	civilian	civilian
,	,	,
whose	whose	whose
whereabouts	whereabout	whereabouts
are	are	are
unknown	unknown	unknown
and	and	and
whom	whom	whom
Israel	israel	Israel
believes	believ	belief
are	are	are
alive	aliv	alive
and	and	and
being	be	being
held	held	held
in	in	in
the	the	the
enclave	enclav	enclave
by	by	by
Palestinian	palestinian	Palestinian
Islamist	islamist	Islamist
group	group	group
Hamas	hama	Hamas
.	.	.

But	but	But
in	in	in
a	a	a
majority	major	majority
ruling	rule	ruling
,	,	,
the	the	the
court	court	court
said	said	said
the	the	the
bodies	bodi	body
were	were	were
being	be	being
held	held	held
without	without	without
authorization	author	authorization
because	becaus	because
there	there	there
was	was	wa
no	no	no
law	law	law
on	on	on
the	the	the
Israeli	isra	Israeli
statute	statut	statute
books	book	book
to	to	to
regulate	regul	regulate
their	their	their
being	be	being
kept	kept	kept
.	.	.

It	it	It
should	should	should
be	be	be
emphasized	emphas	emphasized
that	that	that
Israel	israel	Israel
,	,	,
a	a	a
state	state	state
governed	govern	governed
by	by	by
the	the	the
rule	rule	rule
of	of	of
law	law	law
,	,	,
cannot	cannot	cannot
hold	hold	hold
bodies	bodi	body
for	for	for
the	the	the
purposes	purpos	purpose
of	of	of
negotiations	negoti	negotiation
while	while	while
there	there	there
is	is	is
no	no	no
specific	specif	specific
,	,	,
clear	clear	clear
law	law	law
in	in	in
place	place	place
permitting	permit	permitting
it	it	it
to	to	to
do	do	do
so	so	so
,	,	,
part	part	part
of	of	of
the	the	the
ruling	rule	ruling
s	s	s
summary	summari	summary
said	said	said
.	.	.

Israel	israel	Israel
has	has	ha
in	in	in
the	the	the
past	past	past
carried	carri	carried
out	out	out
swaps	swap	swap
of	of	of
prisoners	prison	prisoner
and	and	and
of	of	of
militants	milit	militant
remains	remain	remains
with	with	with
Hamas	hama	Hamas
and	and	and
with	with	with
the	the	the
Iranian	iranian	Iranian
-backed	-back	-backed
Lebanese	lebanes	Lebanese
group	group	group
Hezbollah	hezbollah	Hezbollah
in	in	in
exchange	exchang	exchange
for	for	for
Israeli	isra	Israeli
soldiers	soldier	soldier
and	and	and
their	their	their
remains	remain	remains
.	.	.

