BELGRADE	belgrad	BELGRADE
Reuters	reuter	Reuters
-	-	-
Catalonia	catalonia	Catalonia
s	s	s
president	presid	president
has	has	ha
no	no	no
choice	choic	choice
but	but	but
to	to	to
suspend	suspend	suspend
secession	secess	secession
since	sinc	since
it	it	it
is	is	is
unlikely	unlik	unlikely
anyone	anyon	anyone
will	will	will
recognize	recogn	recognize
the	the	the
Spanish	spanish	Spanish
region	region	region
on	on	on
the	the	the
basis	basi	basis
of	of	of
a	a	a
disputed	disput	disputed
referendum	referendum	referendum
,	,	,
a	a	a
former	former	former
British	british	British
diplomat	diplomat	diplomat
who	who	who
has	has	ha
advised	advis	advised
the	the	the
Catalans	catalan	Catalans
and	and	and
other	other	other
secessionist	secessionist	secessionist
movements	movement	movement
said	said	said
.	.	.

Carne	carn	Carne
Ross	ross	Ross
,	,	,
who	who	who
as	as	a
founder	founder	founder
of	of	of
the	the	the
diplomatic	diplomat	diplomatic
consultancy	consult	consultancy
Independent	independ	Independent
Diplomat	diplomat	Diplomat
has	has	ha
worked	work	worked
with	with	with
Kosovo	kosovo	Kosovo
,	,	,
South	south	South
Sudan	sudan	Sudan
,	,	,
Western	western	Western
Sahara	sahara	Sahara
and	and	and
Catalonia	catalonia	Catalonia
on	on	on
their	their	their
respective	respect	respective
bids	bid	bid
for	for	for
sovereignty	sovereignti	sovereignty
,	,	,
said	said	said
there	there	there
would	would	would
be	be	be
no	no	no
solution	solut	solution
to	to	to
the	the	the
crisis	crisi	crisis
without	without	without
a	a	a
legal	legal	legal
plebiscite	plebiscit	plebiscite
agreed	agre	agreed
to	to	to
by	by	by
Madrid	madrid	Madrid
.	.	.

To	to	To
get	get	get
there	there	there
would	would	would
require	requir	require
pressure	pressur	pressure
from	from	from
Spain	spain	Spain
s	s	s
European	european	European
Union	union	Union
partners	partner	partner
,	,	,
Ross	ross	Ross
told	told	told
Reuters	reuter	Reuters
in	in	in
a	a	a
telephone	telephon	telephone
interview	interview	interview
.	.	.

A	a	A
full	full	full
declaration	declar	declaration
of	of	of
independence	independ	independence
would	would	would
have	have	have
been	been	been
very	veri	very
problematic	problemat	problematic
,	,	,
would	would	would
have	have	have
led	led	led
to	to	to
obvious	obvious	obvious
confrontation	confront	confrontation
with	with	with
Madrid	madrid	Madrid
and	and	and
he	he	he
Catalan	catalan	Catalan
President	presid	President
Carles	carl	Carles
Puigdemont	puigdemont	Puigdemont
was	was	wa
under	under	under
enormous	enorm	enormous
pressure	pressur	pressure
not	not	not
to	to	to
declare	declar	declare
independence	independ	independence
,	,	,
including	includ	including
I	i	I
assume	assum	assume
from	from	from
the	the	the
countries	countri	country
that	that	that
Catalonia	catalonia	Catalonia
would	would	would
look	look	look
to	to	to
for	for	for
recognition	recognit	recognition
,	,	,
said	said	said
Ross	ross	Ross
.	.	.

At	at	At
the	the	the
end	end	end
of	of	of
the	the	the
day	day	day
,	,	,
if	if	if
you	you	you
re	re	re
to	to	to
be	be	be
independent	independ	independent
,	,	,
you	you	you
need	need	need
to	to	to
be	be	be
recognized	recogn	recognized
as	as	a
such	such	such
.	.	.

I	i	I
think	think	think
they	they	they
are	are	are
only	onli	only
likely	like	likely
to	to	to
get	get	get
international	intern	international
recognition	recognit	recognition
if	if	if
there	there	there
is	is	is
a	a	a
legal	legal	legal
referendum	referendum	referendum
that	that	that
Madrid	madrid	Madrid
accepts	accept	accepts
.	.	.

Puigdemont	puigdemont	Puigdemont
declared	declar	declared
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
Catalonia	catalonia	Catalonia
had	had	had
the	the	the
mandate	mandat	mandate
for	for	for
independence	independ	independence
but	but	but
proposed	propos	proposed
suspending	suspend	suspending
sovereignty	sovereignti	sovereignty
to	to	to
allow	allow	allow
for	for	for
talks	talk	talk
with	with	with
Madrid	madrid	Madrid
on	on	on
an	an	an
agreed	agre	agreed
solution	solut	solution
.	.	.

On	on	On
Wednesday	wednesday	Wednesday
,	,	,
Spanish	spanish	Spanish
Prime	prime	Prime
Minister	minist	Minister
Mariano	mariano	Mariano
Rajoy	rajoy	Rajoy
called	call	called
for	for	for
clarity	clariti	clarity
as	as	a
to	to	to
whether	whether	whether
or	or	or
not	not	not
Catalonia	catalonia	Catalonia
had	had	had
declared	declar	declared
independence	independ	independence
and	and	and
raised	rais	raised
the	the	the
specter	specter	specter
of	of	of
Madrid	madrid	Madrid
suspending	suspend	suspending
the	the	the
region	region	region
s	s	s
autonomy	autonomi	autonomy
.	.	.

Catalonia	catalonia	Catalonia
s	s	s
Oct	oct	Oct
.	.	.

1	1	1
referendum	referendum	referendum
was	was	wa
declared	declar	declared
illegal	illeg	illegal
by	by	by
a	a	a
Spanish	spanish	Spanish
high	high	high
court	court	court
and	and	and
mustered	muster	mustered
only	onli	only
43	43	43
percent	percent	percent
turnout	turnout	turnout
as	as	a
many	mani	many
independence	independ	independence
opponents	oppon	opponent
stayed	stay	stayed
at	at	at
home	home	home
.	.	.

Hundreds	hundr	Hundreds
of	of	of
people	peopl	people
were	were	were
injured	injur	injured
by	by	by
baton	baton	baton
-wielding	-wield	-wielding
police	polic	police
as	as	a
they	they	they
intervened	interven	intervened
to	to	to
close	close	close
polling	poll	polling
stations	station	station
.	.	.

Ross	ross	Ross
said	said	said
many	mani	many
Catalans	catalan	Catalans
had	had	had
been	been	been
radicalized	radic	radicalized
by	by	by
Madrid	madrid	Madrid
s	s	s
resistance	resist	resistance
and	and	and
police	polic	police
behavior	behavior	behavior
.	.	.

Fuel	fuel	Fuel
has	has	ha
been	been	been
added	ad	added
to	to	to
the	the	the
fire	fire	fire
,	,	,
he	he	he
said	said	said
.	.	.

In	in	In
my	my	my
view	view	view
,	,	,
legitimate	legitim	legitimate
independence	independ	independence
can	can	can
only	onli	only
be	be	be
legitimately	legitim	legitimately
declared	declar	declared
when	when	when
it	it	it
has	has	ha
a	a	a
clear	clear	clear
majority	major	majority
of	of	of
the	the	the
population	popul	population
.	.	.

I	i	I
don	don	don
t	t	t
think	think	think
it	it	it
is	is	is
right	right	right
to	to	to
declare	declar	declare
independence	independ	independence
when	when	when
you	you	you
don	don	don
t	t	t
have	have	have
that	that	that
clear	clear	clear
majority	major	majority
.	.	.

And	and	And
as	as	a
things	thing	thing
currently	current	currently
stand	stand	stand
,	,	,
Catalonia	catalonia	Catalonia
does	doe	doe
not	not	not
have	have	have
that	that	that
clear	clear	clear
majority	major	majority
.	.	.

Ross	ross	Ross
formerly	former	formerly
headed	head	headed
the	the	the
Middle	middl	Middle
East	east	East
section	section	section
of	of	of
the	the	the
British	british	British
mission	mission	mission
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
but	but	but
resigned	resign	resigned
from	from	from
the	the	the
civil	civil	civil
service	servic	service
in	in	in
2004	2004	2004
over	over	over
the	the	the
invasion	invas	invasion
of	of	of
Iraq	iraq	Iraq
.	.	.

His	his	His
work	work	work
with	with	with
Independent	independ	Independent
Diplomat	diplomat	Diplomat
was	was	wa
the	the	the
subject	subject	subject
of	of	of
the	the	the
documentary	documentari	documentary
Accidental	accident	Accidental
Anarchist	anarchist	Anarchist
that	that	that
was	was	wa
broadcast	broadcast	broadcast
in	in	in
July	juli	July
on	on	on
the	the	the
BBC	bbc	BBC
.	.	.

Ross	ross	Ross
,	,	,
who	who	who
advised	advis	advised
the	the	the
Catalan	catalan	Catalan
government	govern	government
between	between	between
July	juli	July
2013	2013	2013
and	and	and
September	septemb	September
2015	2015	2015
and	and	and
is	is	is
a	a	a
committed	commit	committed
advocate	advoc	advocate
of	of	of
self	self	self
-determination	-determin	-determination
,	,	,
said	said	said
it	it	it
was	was	wa
unrealistic	unrealist	unrealistic
to	to	to
expect	expect	expect
a	a	a
mediated	mediat	mediated
solution	solut	solution
resulting	result	resulting
in	in	in
,	,	,
for	for	for
instance	instanc	instance
,	,	,
greater	greater	greater
autonomy	autonomi	autonomy
for	for	for
Catalonia	catalonia	Catalonia
.	.	.

He	he	He
cited	cite	cited
the	the	the
examples	exampl	example
of	of	of
Montenegro	montenegro	Montenegro
and	and	and
Scotland	scotland	Scotland
,	,	,
in	in	in
which	which	which
referendums	referendum	referendum
were	were	were
held	held	held
on	on	on
the	the	the
basis	basi	basis
of	of	of
negotiated	negoti	negotiated
terms	term	term
in	in	in
2006	2006	2006
and	and	and
2014	2014	2014
respectively	respect	respectively
.	.	.

Montenegro	montenegro	Montenegro
narrowly	narrowli	narrowly
voted	vote	voted
to	to	to
leave	leav	leave
a	a	a
state	state	state
union	union	union
with	with	with
Serbia	serbia	Serbia
,	,	,
while	while	while
a	a	a
majority	major	majority
of	of	of
Scots	scot	Scots
opted	opt	opted
to	to	to
remain	remain	remain
with	with	with
Britain	britain	Britain
.	.	.

I	i	I
think	think	think
that	that	that
the	the	the
international	intern	international
community	communiti	community
should	should	should
be	be	be
calling	call	calling
for	for	for
Madrid	madrid	Madrid
to	to	to
do	do	do
what	what	what
Britain	britain	Britain
did	did	did
with	with	with
Scotland	scotland	Scotland
,	,	,
which	which	which
is	is	is
to	to	to
allow	allow	allow
a	a	a
legal	legal	legal
referendum	referendum	referendum
to	to	to
resolve	resolv	resolve
this	this	this
once	onc	once
and	and	and
for	for	for
all	all	all
.	.	.

French	french	French
President	presid	President
Emmanuel	emmanuel	Emmanuel
Macron	macron	Macron
has	has	ha
rejected	reject	rejected
a	a	a
call	call	call
by	by	by
Puigdemont	puigdemont	Puigdemont
for	for	for
EU	eu	EU
mediation	mediat	mediation
,	,	,
but	but	but
Ross	ross	Ross
said	said	said
the	the	the
bloc	bloc	bloc
should	should	should
state	state	state
clearly	clear	clearly
to	to	to
Madrid	madrid	Madrid
that	that	that
it	it	it
needs	need	need
to	to	to
find	find	find
a	a	a
more	more	more
consensual	consensu	consensual
solution	solut	solution
.	.	.

Asked	ask	Asked
if	if	if
the	the	the
Catalans	catalan	Catalans
had	had	had
erred	er	erred
in	in	in
holding	hold	holding
a	a	a
referendum	referendum	referendum
that	that	that
Madrid	madrid	Madrid
did	did	did
not	not	not
agree	agre	agree
to	to	to
,	,	,
Ross	ross	Ross
replied	repli	replied
They	they	They
had	had	had
no	no	no
other	other	other
option	option	option
to	to	to
build	build	build
up	up	up
the	the	the
pressure	pressur	pressure
for	for	for
that	that	that
dialogue	dialogu	dialogue
.	.	.

