OTTAWA	ottawa	OTTAWA
Reuters	reuter	Reuters
-	-	-
The	the	The
Canadian	canadian	Canadian
government	govern	government
s	s	s
plan	plan	plan
to	to	to
legalize	legal	legalize
recreational	recreat	recreational
marijuana	marijuana	marijuana
by	by	by
next	next	next
July	juli	July
could	could	could
be	be	be
in	in	in
jeopardy	jeopardi	jeopardy
,	,	,
with	with	with
opposition	opposit	opposition
brewing	brew	brewing
among	among	among
some	some	some
in	in	in
the	the	the
Senate	senat	Senate
and	and	and
concerns	concern	concern
that	that	that
the	the	the
deadline	deadlin	deadline
to	to	to
pass	pass	pas
the	the	the
bill	bill	bill
is	is	is
rapidly	rapid	rapidly
approaching	approach	approaching
.	.	.

The	the	The
Senate	senat	Senate
s	s	s
approval	approv	approval
is	is	is
needed	need	needed
to	to	to
pass	pass	pas
laws	law	law
though	though	though
it	it	it
does	doe	doe
not	not	not
often	often	often
block	block	block
bills	bill	bill
passed	pass	passed
by	by	by
the	the	the
elected	elect	elected
House	hous	House
of	of	of
Commons	common	Commons
.	.	.

Some	some	Some
senators	senat	senator
say	say	say
police	polic	police
need	need	need
more	more	more
time	time	time
to	to	to
prepare	prepar	prepare
and	and	and
also	also	also
oppose	oppos	oppose
setting	set	setting
the	the	the
federal	feder	federal
age	age	age
of	of	of
legal	legal	legal
use	use	use
at	at	at
18	18	18
.	.	.

Legalizing	legal	Legalizing
marijuana	marijuana	marijuana
for	for	for
recreational	recreat	recreational
use	use	use
was	was	wa
part	part	part
of	of	of
Liberal	liber	Liberal
Prime	prime	Prime
Minister	minist	Minister
Justin	justin	Justin
Trudeau	trudeau	Trudeau
s	s	s
2015	2015	2015
election	elect	election
campaign	campaign	campaign
and	and	and
the	the	the
government	govern	government
has	has	ha
set	set	set
a	a	a
relatively	relat	relatively
quick	quick	quick
deadline	deadlin	deadline
to	to	to
put	put	put
it	it	it
in	in	in
place	place	place
.	.	.

Canada	canada	Canada
would	would	would
be	be	be
the	the	the
first	first	first
Group	group	Group
of	of	of
Seven	seven	Seven
country	countri	country
to	to	to
allow	allow	allow
the	the	the
drug	drug	drug
nationally	nation	nationally
.	.	.

The	the	The
legislation	legisl	legislation
is	is	is
not	not	not
expected	expect	expected
to	to	to
reach	reach	reach
the	the	the
upper	upper	upper
house	hous	house
until	until	until
December	decemb	December
and	and	and
some	some	some
senators	senat	senator
have	have	have
said	said	said
they	they	they
will	will	will
take	take	take
as	as	a
long	long	long
as	as	a
they	they	they
need	need	need
to	to	to
review	review	review
it	it	it
.	.	.

That	that	That
could	could	could
put	put	put
Trudeau	trudeau	Trudeau
and	and	and
the	the	the
upper	upper	upper
house	hous	house
of	of	of
parliament	parliament	parliament
at	at	at
loggerheads	loggerhead	loggerhead
again	again	again
.	.	.

Senators	senat	Senators
,	,	,
who	who	who
are	are	are
not	not	not
elected	elect	elected
,	,	,
recently	recent	recently
delayed	delay	delayed
the	the	the
government	govern	government
s	s	s
budget	budget	budget
bill	bill	bill
before	befor	before
ultimately	ultim	ultimately
passing	pass	passing
it	it	it
.	.	.

Conservative	conserv	Conservative
Senator	senat	Senator
Pierre	pierr	Pierre
-Hugues	-hugu	-Hugues
Boisvenu	boisvenu	Boisvenu
said	said	said
he	he	he
expects	expect	expects
implementation	implement	implementation
will	will	will
need	need	need
to	to	to
be	be	be
delayed	delay	delayed
until	until	until
December	decemb	December
2018	2018	2018
or	or	or
early	earli	early
2019	2019	2019
to	to	to
give	give	give
police	polic	police
forces	forc	force
enough	enough	enough
time	time	time
to	to	to
prepare	prepar	prepare
for	for	for
widespread	widespread	widespread
use	use	use
of	of	of
the	the	the
drug	drug	drug
.	.	.

I	i	I
think	think	think
it	it	it
s	s	s
too	too	too
early	earli	early
,	,	,
Boisvenu	boisvenu	Boisvenu
said	said	said
on	on	on
Friday	friday	Friday
by	by	by
phone	phone	phone
.	.	.

What	what	What
they	they	they
ve	ve	ve
the	the	the
police	polic	police
told	told	told
us	us	u
until	until	until
today	today	today
is	is	is
they	they	they
will	will	will
not	not	not
be	be	be
prepared	prepar	prepared
next	next	next
July	juli	July
.	.	.

Boisvenu	boisvenu	Boisvenu
said	said	said
Conservative	conserv	Conservative
senators	senat	senator
will	will	will
meet	meet	meet
to	to	to
discuss	discuss	discus
strategy	strategi	strategy
about	about	about
delaying	delay	delaying
the	the	the
bill	bill	bill
if	if	if
necessary	necessari	necessary
.	.	.

Member	member	Member
of	of	of
Parliament	parliament	Parliament
Bill	bill	Bill
Blair	blair	Blair
,	,	,
a	a	a
former	former	former
police	polic	police
chief	chief	chief
and	and	and
the	the	the
government	govern	government
s	s	s
point	point	point
person	person	person
on	on	on
the	the	the
legislation	legisl	legislation
,	,	,
said	said	said
added	ad	added
delays	delay	delay
in	in	in
regulation	regul	regulation
will	will	will
put	put	put
more	more	more
underage	underag	underage
users	user	user
at	at	at
risk	risk	risk
.	.	.

By	by	By
all	all	all
means	mean	mean
,	,	,
take	take	take
the	the	the
time	time	time
to	to	to
do	do	do
it	it	it
right	right	right
,	,	,
but	but	but
unnecessary	unnecessari	unnecessary
delay	delay	delay
is	is	is
unacceptable	unaccept	unacceptable
,	,	,
Blair	blair	Blair
said	said	said
by	by	by
phone	phone	phone
.	.	.

The	the	The
potential	potenti	potential
clash	clash	clash
highlights	highlight	highlight
a	a	a
hurdle	hurdl	hurdle
Trudeau	trudeau	Trudeau
has	has	ha
partly	part	partly
set	set	set
up	up	up
for	for	for
himself	himself	himself
after	after	after
he	he	he
expelled	expel	expelled
all	all	all
Liberal	liber	Liberal
senators	senat	senator
from	from	from
the	the	the
party	parti	party
s	s	s
caucus	caucus	caucus
in	in	in
2014	2014	2014
amid	amid	amid
an	an	an
expenses	expens	expense
scandal	scandal	scandal
and	and	and
to	to	to
curb	curb	curb
partisanship	partisanship	partisanship
.	.	.

Although	although	Although
Trudeau	trudeau	Trudeau
has	has	ha
appointed	appoint	appointed
independent	independ	independent
senators	senat	senator
since	sinc	since
then	then	then
,	,	,
he	he	he
has	has	ha
no	no	no
formal	formal	formal
leverage	leverag	leverage
to	to	to
get	get	get
the	the	the
government	govern	government
s	s	s
legislation	legisl	legislation
passed	pass	passed
.	.	.

The	the	The
government	govern	government
,	,	,
if	if	if
it	it	it
had	had	had
a	a	a
clear	clear	clear
majority	major	majority
in	in	in
the	the	the
Senate	senat	Senate
,	,	,
could	could	could
at	at	at
one	one	one
point	point	point
impose	impos	impose
party	parti	party
discipline	disciplin	discipline
and	and	and
have	have	have
its	it	it
bill	bill	bill
voted	vote	voted
on	on	on
.	.	.

It	it	It
s	s	s
not	not	not
in	in	in
that	that	that
situation	situat	situation
now	now	now
,	,	,
said	said	said
Senator	senat	Senator
Andre	andr	Andre
Pratte	pratt	Pratte
,	,	,
an	an	an
independent	independ	independent
who	who	who
was	was	wa
appointed	appoint	appointed
by	by	by
Trudeau	trudeau	Trudeau
in	in	in
2016	2016	2016
.	.	.

