JAKARTA	jakarta	JAKARTA
Reuters	reuter	Reuters
-	-	-
Indonesia	indonesia	Indonesia
has	has	ha
issued	issu	issued
new	new	new
regulations	regul	regulation
aimed	aim	aimed
at	at	at
curbing	curb	curbing
money	money	money
laundering	launder	laundering
and	and	and
terror	terror	terror
-related	-relat	-related
financing	financ	financing
across	across	across
a	a	a
broader	broader	broader
range	rang	range
of	of	of
financial	financi	financial
service	servic	service
providers	provid	provider
,	,	,
including	includ	including
money	money	money
changers	changer	changer
,	,	,
credit	credit	credit
card	card	card
issuers	issuer	issuer
and	and	and
electronic	electron	electronic
money	money	money
providers	provid	provider
.	.	.
The	the	The
move	move	move
is	is	is
part	part	part
of	of	of
efforts	effort	effort
by	by	by
Indonesia	indonesia	Indonesia
to	to	to
bring	bring	bring
rules	rule	rule
up	up	up
to	to	to
international	intern	international
standards	standard	standard
and	and	and
join	join	join
the	the	the
Financial	financi	Financial
Action	action	Action
Task	task	Task
Force	forc	Force
FATF	fatf	FATF
,	,	,
an	an	an
inter	inter	inter
-governmental	-government	-governmental
body	bodi	body
fighting	fight	fighting
money	money	money
laundering	launder	laundering
.	.	.
Indonesia	indonesia	Indonesia
was	was	wa
taken	taken	taken
off	off	off
an	an	an
FATF	fatf	FATF
blacklist	blacklist	blacklist
two	two	two
years	year	year
ago	ago	ago
.	.	.
The	the	The
new	new	new
regulations	regul	regulation
,	,	,
issued	issu	issued
by	by	by
Bank	bank	Bank
Indonesia	indonesia	Indonesia
BI	bi	BI
,	,	,
cover	cover	cover
transactions	transact	transaction
handled	handl	handled
by	by	by
non	non	non
-bank	-bank	-bank
financial	financi	financial
institutions	institut	institution
and	and	and
were	were	were
made	made	made
public	public	public
on	on	on
its	it	it
website	websit	website
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
BI	bi	BI
said	said	said
the	the	the
new	new	new
rules	rule	rule
balanced	balanc	balanced
a	a	a
need	need	need
to	to	to
contain	contain	contain
the	the	the
risks	risk	risk
of	of	of
money	money	money
laundering	launder	laundering
and	and	and
terrorism	terror	terrorism
-related	-relat	-related
financial	financi	financial
crimes	crime	crime
and	and	and
promoting	promot	promoting
economic	econom	economic
growth	growth	growth
.	.	.
Eny	eni	Eny
V	v	V
.	.	.
Panggabean	panggabean	Panggabean
,	,	,
BI	bi	BI
s	s	s
executive	execut	executive
director	director	director
of	of	of
payment	payment	payment
system	system	system
regulation	regul	regulation
,	,	,
said	said	said
the	the	the
rules	rule	rule
also	also	also
addressed	address	addressed
developments	develop	development
in	in	in
the	the	the
industry	industri	industry
,	,	,
digital	digit	digital
economy	economi	economy
and	and	and
innovations	innov	innovation
in	in	in
payments	payment	payment
that	that	that
include	includ	include
a	a	a
more	more	more
complex	complex	complex
money	money	money
changer	changer	changer
business	busi	business
.	.	.
The	the	The
new	new	new
BI	bi	BI
regulations	regul	regulation
cover	cover	cover
credit	credit	credit
card	card	card
issuers	issuer	issuer
,	,	,
electronic	electron	electronic
money	money	money
providers	provid	provider
,	,	,
remittance	remitt	remittance
and	and	and
money	money	money
transfer	transfer	transfer
companies	compani	company
as	as	a
well	well	well
as	as	a
fintech	fintech	fintech
startups	startup	startup
.	.	.
Service	servic	Service
providers	provid	provider
now	now	now
have	have	have
to	to	to
have	have	have
an	an	an
up	up	up
-to-date	-to-dat	-to-date
list	list	list
on	on	on
alleged	alleg	alleged
militants	milit	militant
,	,	,
radical	radic	radical
organizations	organ	organization
and	and	and
individuals	individu	individual
linked	link	linked
to	to	to
the	the	the
proliferation	prolifer	proliferation
of	of	of
weapons	weapon	weapon
of	of	of
mass	mass	mass
destruction	destruct	destruction
in	in	in
order	order	order
to	to	to
cross	cross	cross
check	check	check
with	with	with
customers	custom	customer
.	.	.
They	they	They
must	must	must
also	also	also
assess	assess	ass
customer	custom	customer
risks	risk	risk
depending	depend	depending
on	on	on
the	the	the
country	countri	country
origin	origin	origin
of	of	of
an	an	an
incoming	incom	incoming
transfer	transfer	transfer
or	or	or
the	the	the
destination	destin	destination
of	of	of
outgoing	outgo	outgoing
transfers	transfer	transfer
,	,	,
and	and	and
must	must	must
not	not	not
engage	engag	engage
with	with	with
so	so	so
-called	-call	-called
shell	shell	shell
banks	bank	bank
,	,	,
which	which	which
don	don	don
t	t	t
have	have	have
a	a	a
physical	physic	physical
presence	presenc	presence
in	in	in
a	a	a
country	countri	country
where	where	where
they	they	they
are	are	are
incorporated	incorpor	incorporated
.	.	.
Companies	compani	Companies
should	should	should
report	report	report
anything	anyth	anything
suspicious	suspici	suspicious
to	to	to
the	the	the
financial	financi	financial
transactions	transact	transaction
watchdog	watchdog	watchdog
.	.	.
A	a	A
financial	financi	financial
service	servic	service
provider	provid	provider
that	that	that
fails	fail	fails
to	to	to
follow	follow	follow
the	the	the
rules	rule	rule
could	could	could
have	have	have
its	it	it
license	licens	license
revoked	revok	revoked
and	and	and
directors	director	director
,	,	,
commissioners	commission	commissioner
or	or	or
shareholders	sharehold	shareholder
banned	ban	banned
from	from	from
the	the	the
financial	financi	financial
services	servic	service
business	busi	business
for	for	for
five	five	five
years	year	year
.	.	.
A	a	A
similar	similar	similar
regulation	regul	regulation
was	was	wa
introduced	introduc	introduced
a	a	a
few	few	few
months	month	month
ago	ago	ago
by	by	by
the	the	the
Financial	financi	Financial
Services	servic	Services
Authority	author	Authority
OJK	ojk	OJK
for	for	for
financial	financi	financial
conglomerates	conglomer	conglomerate
,	,	,
banks	bank	bank
,	,	,
insurance	insur	insurance
companies	compani	company
and	and	and
other	other	other
bigger	bigger	bigger
players	player	player
in	in	in
the	the	the
industry	industri	industry
.	.	.
The	the	The
OJK	ojk	OJK
rules	rule	rule
also	also	also
elaborated	elabor	elaborated
on	on	on
procedures	procedur	procedure
to	to	to
handle	handl	handle
suspicious	suspici	suspicious
transactions	transact	transaction
.	.	.
Indonesia	indonesia	Indonesia
was	was	wa
put	put	put
on	on	on
an	an	an
FATF	fatf	FATF
list	list	list
of	of	of
jurisdictions	jurisdict	jurisdiction
with	with	with
weak	weak	weak
measures	measur	measure
to	to	to
combat	combat	combat
money	money	money
laundering	launder	laundering
and	and	and
terrorism	terror	terrorism
financing	financ	financing
in	in	in
2012	2012	2012
.	.	.
In	in	In
2015	2015	2015
,	,	,
the	the	the
FATF	fatf	FATF
declared	declar	declared
Indonesia	indonesia	Indonesia
off	off	off
the	the	the
blacklist	blacklist	blacklist
due	due	due
to	to	to
progress	progress	progress
in	in	in
improving	improv	improving
regulations	regul	regulation
.	.	.
