SHANGHAI	shanghai	SHANGHAI
Reuters	reuter	Reuters
-	-	-
China	china	China
s	s	s
Big	big	Big
Four	four	Four
state	state	state
-owned	-own	-owned
banks	bank	bank
have	have	have
stopped	stop	stopped
providing	provid	providing
financial	financi	financial
services	servic	service
to	to	to
new	new	new
North	north	North
Korean	korean	Korean
clients	client	client
,	,	,
according	accord	according
to	to	to
branch	branch	branch
staff	staff	staff
,	,	,
amid	amid	amid
U	u	U
.	.	.
S	s	S
.	.	.
concerns	concern	concern
that	that	that
Beijing	beij	Beijing
has	has	ha
not	not	not
been	been	been
tough	tough	tough
enough	enough	enough
over	over	over
Pyongyang	pyongyang	Pyongyang
s	s	s
repeated	repeat	repeated
nuclear	nuclear	nuclear
tests	test	test
.	.	.

Tensions	tension	Tensions
between	between	between
the	the	the
United	unit	United
States	state	States
and	and	and
North	north	North
Korea	korea	Korea
have	have	have
ratcheted	ratchet	ratcheted
up	up	up
after	after	after
the	the	the
sixth	sixth	sixth
and	and	and
most	most	most
powerful	power	powerful
nuclear	nuclear	nuclear
test	test	test
conducted	conduct	conducted
by	by	by
Pyongyang	pyongyang	Pyongyang
on	on	on
Sept	sept	Sept
.	.	.

3	3	3
prompted	prompt	prompted
the	the	the
United	unit	United
Nations	nation	Nations
Security	secur	Security
Council	council	Council
to	to	to
impose	impos	impose
further	further	further
sanctions	sanction	sanction
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

Chinese	chines	Chinese
banks	bank	bank
have	have	have
come	come	come
under	under	under
scrutiny	scrutini	scrutiny
for	for	for
their	their	their
role	role	role
as	as	a
a	a	a
conduit	conduit	conduit
for	for	for
funds	fund	fund
flowing	flow	flowing
to	to	to
and	and	and
from	from	from
China	china	China
s	s	s
increasingly	increas	increasingly
isolated	isol	isolated
neighbor	neighbor	neighbor
.	.	.

China	china	China
Construction	construct	Construction
Bank	bank	Bank
CCB	ccb	CCB
601939	601939	601939
.	.	.
SS	ss	SS
has	has	ha
completely	complet	completely
prohibited	prohibit	prohibited
business	busi	business
with	with	with
North	north	North
Korea	korea	Korea
,	,	,
said	said	said
a	a	a
bank	bank	bank
teller	teller	teller
at	at	at
a	a	a
branch	branch	branch
in	in	in
the	the	the
northeastern	northeastern	northeastern
province	provinc	province
of	of	of
Liaoning	liaon	Liaoning
.	.	.

The	the	The
ban	ban	ban
started	start	started
on	on	on
Aug	aug	Aug
.	.	.

28	28	28
,	,	,
the	the	the
teller	teller	teller
said	said	said
.	.	.

Frustrated	frustrat	Frustrated
that	that	that
China	china	China
had	had	had
not	not	not
done	done	done
more	more	more
to	to	to
rein	rein	rein
in	in	in
North	north	North
Korea	korea	Korea
,	,	,
the	the	the
Trump	trump	Trump
administration	administr	administration
was	was	wa
mulling	mull	mulling
new	new	new
sanctions	sanction	sanction
in	in	in
July	juli	July
on	on	on
small	small	small
Chinese	chines	Chinese
banks	bank	bank
and	and	and
other	other	other
firms	firm	firm
doing	do	doing
business	busi	business
with	with	with
Pyongyang	pyongyang	Pyongyang
,	,	,
two	two	two
senior	senior	senior
U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
told	told	told
Reuters	reuter	Reuters
.	.	.

A	a	A
person	person	person
answering	answer	answering
the	the	the
customer	custom	customer
hotline	hotlin	hotline
at	at	at
the	the	the
world	world	world
s	s	s
largest	largest	largest
lender	lender	lender
,	,	,
Industrial	industri	Industrial
and	and	and
Commercial	commerci	Commercial
Bank	bank	Bank
of	of	of
China	china	China
Ltd	ltd	Ltd
ICBC	icbc	ICBC
601398	601398	601398
.	.	.
SS	ss	SS
,	,	,
said	said	said
the	the	the
bank	bank	bank
had	had	had
stopped	stop	stopped
opening	open	opening
accounts	account	account
for	for	for
North	north	North
Koreans	korean	Koreans
and	and	and
Iranians	iranian	Iranians
since	sinc	since
July	juli	July
16	16	16
.	.	.

The	the	The
person	person	person
did	did	did
not	not	not
explain	explain	explain
why	whi	why
or	or	or
answer	answer	answer
further	further	further
questions	question	question
.	.	.

The	the	The
measures	measur	measure
taken	taken	taken
by	by	by
the	the	the
largest	largest	largest
Chinese	chines	Chinese
banks	bank	bank
began	began	began
as	as	a
early	earli	early
as	as	a
the	the	the
end	end	end
of	of	of
last	last	last
year	year	year
,	,	,
when	when	when
the	the	the
Dandong	dandong	Dandong
city	citi	city
branch	branch	branch
of	of	of
China	china	China
s	s	s
most	most	most
international	intern	international
lender	lender	lender
,	,	,
Bank	bank	Bank
of	of	of
China	china	China
Ltd	ltd	Ltd
BoC	boc	BoC
601988	601988	601988
.	.	.
SS	ss	SS
,	,	,
stopped	stop	stopped
allowing	allow	allowing
North	north	North
Koreans	korean	Koreans
to	to	to
open	open	open
individual	individu	individual
or	or	or
business	busi	business
accounts	account	account
,	,	,
said	said	said
a	a	a
BoC	boc	BoC
bank	bank	bank
teller	teller	teller
who	who	who
declined	declin	declined
to	to	to
be	be	be
identified	identifi	identified
.	.	.

Existing	exist	Existing
North	north	North
Korean	korean	Korean
account	account	account
holders	holder	holder
could	could	could
not	not	not
deposit	deposit	deposit
or	or	or
remove	remov	remove
money	money	money
from	from	from
their	their	their
accounts	account	account
,	,	,
the	the	the
BoC	boc	BoC
bank	bank	bank
teller	teller	teller
said	said	said
.	.	.

At	at	At
Agricultural	agricultur	Agricultural
Bank	bank	Bank
of	of	of
China	china	China
Ltd	ltd	Ltd
AgBank	agbank	AgBank
601288	601288	601288
.	.	.
SS	ss	SS
,	,	,
a	a	a
teller	teller	teller
at	at	at
a	a	a
branch	branch	branch
in	in	in
Dandong	dandong	Dandong
,	,	,
a	a	a
northeastern	northeastern	northeastern
Chinese	chines	Chinese
city	citi	city
that	that	that
borders	border	border
North	north	North
Korea	korea	Korea
,	,	,
said	said	said
North	north	North
Koreans	korean	Koreans
could	could	could
not	not	not
open	open	open
accounts	account	account
.	.	.

The	the	The
teller	teller	teller
did	did	did
not	not	not
provide	provid	provide
further	further	further
details	detail	detail
.	.	.

Official	offici	Official
representatives	repres	representative
for	for	for
BoC	boc	BoC
,	,	,
ICBC	icbc	ICBC
,	,	,
CCB	ccb	CCB
and	and	and
AgBank	agbank	AgBank
could	could	could
not	not	not
be	be	be
reached	reach	reached
for	for	for
comment	comment	comment
.	.	.

Banks	bank	Banks
in	in	in
Dandong	dandong	Dandong
have	have	have
been	been	been
under	under	under
the	the	the
microscope	microscop	microscope
as	as	a
tensions	tension	tension
have	have	have
risen	risen	risen
,	,	,
given	given	given
their	their	their
proximity	proxim	proximity
to	to	to
North	north	North
Korea	korea	Korea
.	.	.

In	in	In
June	june	June
,	,	,
the	the	the
United	unit	United
States	state	States
accused	accus	accused
the	the	the
Bank	bank	Bank
of	of	of
Dandong	dandong	Dandong
,	,	,
a	a	a
small	small	small
lender	lender	lender
,	,	,
of	of	of
laundering	launder	laundering
money	money	money
for	for	for
Pyongyang	pyongyang	Pyongyang
.	.	.

Attempts	attempt	Attempts
to	to	to
slowly	slowli	slowly
choke	choke	choke
off	off	off
the	the	the
flow	flow	flow
of	of	of
funds	fund	fund
to	to	to
and	and	and
from	from	from
North	north	North
Korea	korea	Korea
come	come	come
after	after	after
the	the	the
United	unit	United
States	state	States
sanctioned	sanction	sanctioned
a	a	a
Chinese	chines	Chinese
industrial	industri	industrial
machinery	machineri	machinery
wholesaler	wholesal	wholesaler
that	that	that
it	it	it
said	said	said
was	was	wa
acting	act	acting
on	on	on
behalf	behalf	behalf
of	of	of
a	a	a
Pyongyang	pyongyang	Pyongyang
bank	bank	bank
already	alreadi	already
sanctioned	sanction	sanctioned
by	by	by
the	the	the
United	unit	United
Nations	nation	Nations
for	for	for
supporting	support	supporting
the	the	the
proliferation	prolifer	proliferation
of	of	of
weapons	weapon	weapon
of	of	of
mass	mass	mass
destruction	destruct	destruction
.	.	.

The	the	The
Chinese	chines	Chinese
wholesaler	wholesal	wholesaler
was	was	wa
found	found	found
to	to	to
be	be	be
operating	oper	operating
through	through	through
25	25	25
accounts	account	account
at	at	at
banks	bank	bank
in	in	in
China	china	China
.	.	.

Although	although	Although
measures	measur	measure
are	are	are
in	in	in
place	place	place
,	,	,
some	some	some
bankers	banker	banker
questioned	question	questioned
how	how	how
well	well	well
the	the	the
rules	rule	rule
would	would	would
be	be	be
enforced	enforc	enforced
.	.	.

Chinese	chines	Chinese
lenders	lender	lender
have	have	have
experienced	experienc	experienced
high	high	high
-profile	-profil	-profile
failures	failur	failure
to	to	to
police	polic	police
money	money	money
-laundering	-launder	-laundering
in	in	in
recent	recent	recent
years	year	year
,	,	,
with	with	with
some	some	some
facing	face	facing
allegations	alleg	allegation
that	that	that
bankers	banker	banker
were	were	were
complicit	complicit	complicit
in	in	in
the	the	the
movement	movement	movement
of	of	of
illicit	illicit	illicit
funds	fund	fund
.	.	.

Asking	ask	Asking
whether	whether	whether
we	we	we
will	will	will
be	be	be
able	abl	able
to	to	to
enforce	enforc	enforce
the	the	the
new	new	new
rules	rule	rule
is	is	is
the	the	the
same	same	same
question	question	question
as	as	a
asking	ask	asking
how	how	how
tight	tight	tight
our	our	our
know	know	know
-your-client	-your-client	-your-client
checks	check	check
are	are	are
,	,	,
said	said	said
a	a	a
senior	senior	senior
corporate	corpor	corporate
banker	banker	banker
at	at	at
the	the	the
Bank	bank	Bank
of	of	of
China	china	China
who	who	who
declined	declin	declined
to	to	to
be	be	be
identified	identifi	identified
because	becaus	because
of	of	of
the	the	the
sensitivity	sensit	sensitivity
of	of	of
the	the	the
matter	matter	matter
.	.	.

There	there	There
will	will	will
always	alway	always
be	be	be
holes	hole	hole
,	,	,
she	she	she
said	said	said
.	.	.

