PARIS	pari	PARIS
NANTERRE	nanterr	NANTERRE
Reuters	reuter	Reuters
-	-	-
French	french	French
far	far	far
-right	-right	-right
leader	leader	leader
Marine	marin	Marine
Le	le	Le
Pen	pen	Pen
accused	accus	accused
two	two	two
banks	bank	bank
on	on	on
Wednesday	wednesday	Wednesday
of	of	of
launching	launch	launching
a	a	a
banking	bank	banking
fatwa	fatwa	fatwa
to	to	to
silence	silenc	silence
her	her	her
National	nation	National
Front	front	Front
party	parti	party
by	by	by
closing	close	closing
bank	bank	bank
accounts	account	account
of	of	of
hers	her	hers
and	and	and
her	her	her
party	parti	party
s	s	s
.	.	.

The	the	The
banks	bank	bank
said	said	said
they	they	they
had	had	had
acted	act	acted
within	within	within
regulatory	regulatori	regulatory
requirements	requir	requirement
but	but	but
declined	declin	declined
to	to	to
offer	offer	offer
fuller	fuller	fuller
explanations	explan	explanation
.	.	.

Le	le	Le
Pen	pen	Pen
is	is	is
smarting	smart	smarting
from	from	from
defeat	defeat	defeat
in	in	in
this	this	this
year	year	year
s	s	s
presidential	presidenti	presidential
and	and	and
parliamentary	parliamentari	parliamentary
elections	elect	election
,	,	,
during	dure	during
which	which	which
she	she	she
accused	accus	accused
French	french	French
banks	bank	bank
of	of	of
being	be	being
politically	polit	politically
biased	bias	biased
for	for	for
not	not	not
lending	lend	lending
to	to	to
her	her	her
campaigns	campaign	campaign
.	.	.

This	this	This
is	is	is
an	an	an
attempt	attempt	attempt
to	to	to
suffocate	suffoc	suffocate
an	an	an
opposition	opposit	opposition
party	parti	party
,	,	,
and	and	and
no	no	no
democrat	democrat	democrat
should	should	should
accept	accept	accept
that	that	that
,	,	,
Le	le	Le
Pen	pen	Pen
told	told	told
a	a	a
news	news	news
conference	confer	conference
,	,	,
calling	call	calling
on	on	on
President	presid	President
Emmanuel	emmanuel	Emmanuel
Macron	macron	Macron
and	and	and
other	other	other
political	polit	political
parties	parti	party
to	to	to
back	back	back
her	her	her
National	nation	National
Front	front	Front
FN	fn	FN
.	.	.

Le	le	Le
Pen	pen	Pen
said	said	said
the	the	the
FN	fn	FN
would	would	would
file	file	file
a	a	a
complaint	complaint	complaint
against	against	against
Societe	societ	Societe
Generale	general	Generale
and	and	and
its	it	it
subsidiary	subsidiari	subsidiary
,	,	,
Credit	credit	Credit
du	du	du
Nord	nord	Nord
.	.	.

She	she	She
also	also	also
plans	plan	plan
a	a	a
complaint	complaint	complaint
against	against	against
HSBC	hsbc	HSBC
for	for	for
closing	close	closing
a	a	a
personal	person	personal
account	account	account
of	of	of
hers	her	hers
.	.	.

The	the	The
FN	fn	FN
says	say	say
Societe	societ	Societe
Generale	general	Generale
closed	close	closed
its	it	it
accounts	account	account
earlier	earlier	earlier
this	this	this
month	month	month
,	,	,
and	and	and
when	when	when
the	the	the
central	central	central
bank	bank	bank
ordered	order	ordered
a	a	a
subsidiary	subsidiari	subsidiary
,	,	,
Credit	credit	Credit
du	du	du
Nord	nord	Nord
,	,	,
to	to	to
manage	manag	manage
an	an	an
account	account	account
for	for	for
the	the	the
party	parti	party
,	,	,
the	the	the
bank	bank	bank
refused	refus	refused
to	to	to
process	process	process
cheque	chequ	cheque
and	and	and
credit	credit	credit
card	card	card
payments	payment	payment
.	.	.

Societe	societ	Societe
Generale	general	Generale
rejected	reject	rejected
the	the	the
accusations	accus	accusation
.	.	.

Decisions	decis	Decisions
to	to	to
open	open	open
or	or	or
close	close	close
a	a	a
bank	bank	bank
account	account	account
depend	depend	depend
purely	pure	purely
on	on	on
banking	bank	banking
reasons	reason	reason
.	.	.
.	.	.
.	.	.

without	without	without
taking	take	taking
into	into	into
account	account	account
any	ani	any
political	polit	political
consideration	consider	consideration
,	,	,
it	it	it
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

It	it	It
added	ad	added
that	that	that
Credit	credit	Credit
du	du	du
Nord	nord	Nord
offered	offer	offered
an	an	an
FN	fn	FN
representative	repres	representative
banking	bank	banking
services	servic	service
required	requir	required
by	by	by
law	law	law
but	but	but
gave	gave	gave
no	no	no
more	more	more
details	detail	detail
.	.	.

HSBC	hsbc	HSBC
said	said	said
it	it	it
complied	compli	complied
with	with	with
all	all	all
necessary	necessari	necessary
regulations	regul	regulation
and	and	and
could	could	could
not	not	not
publicly	public	publicly
discuss	discuss	discus
client	client	client
relationships	relationship	relationship
.	.	.

In	in	In
France	franc	France
,	,	,
banks	bank	bank
are	are	are
allowed	allow	allowed
to	to	to
close	close	close
accounts	account	account
with	with	with
advance	advanc	advance
notice	notic	notice
and	and	and
do	do	do
not	not	not
have	have	have
to	to	to
say	say	say
why	whi	why
.	.	.

Holding	hold	Holding
an	an	an
account	account	account
is	is	is
a	a	a
right	right	right
,	,	,
however	howev	however
,	,	,
and	and	and
a	a	a
customer	custom	customer
can	can	can
ask	ask	ask
the	the	the
Bank	bank	Bank
of	of	of
France	franc	France
to	to	to
designate	design	designate
a	a	a
bank	bank	bank
that	that	that
would	would	would
be	be	be
forced	forc	forced
to	to	to
open	open	open
one	one	one
.	.	.

But	but	But
the	the	the
designated	design	designated
bank	bank	bank
can	can	can
choose	choos	choose
to	to	to
limit	limit	limit
the	the	the
use	use	use
of	of	of
the	the	the
account	account	account
to	to	to
basic	basic	basic
banking	bank	banking
services	servic	service
.	.	.

The	the	The
Bank	bank	Bank
of	of	of
France	franc	France
would	would	would
not	not	not
comment	comment	comment
.	.	.

The	the	The
FN	fn	FN
has	has	ha
long	long	long
said	said	said
it	it	it
struggled	struggl	struggled
with	with	with
financing	financ	financing
.	.	.

It	it	It
came	came	came
under	under	under
scrutiny	scrutini	scrutiny
for	for	for
a	a	a
9	9	9
million	million	million
-euro	-euro	-euro
loan	loan	loan
it	it	it
got	got	got
in	in	in
2014	2014	2014
from	from	from
a	a	a
now	now	now
-defunct	-defunct	-defunct
Russian	russian	Russian
bank	bank	bank
.	.	.

It	it	It
spent	spent	spent
12	12	12
.	.	.
5	5	5
million	million	million
euros	euro	euro
14	14	14
.	.	.
70	70	70
million	million	million
on	on	on
the	the	the
presidential	presidenti	presidential
election	elect	election
alone	alon	alone
this	this	this
year	year	year
.	.	.

Party	parti	Party
supporters	support	supporter
have	have	have
since	sinc	since
been	been	been
asked	ask	asked
to	to	to
lend	lend	lend
it	it	it
money	money	money
directly	direct	directly
.	.	.

At	at	At
her	her	her
news	news	news
conference	confer	conference
,	,	,
Le	le	Le
Pen	pen	Pen
asked	ask	asked
party	parti	party
supporters	support	supporter
to	to	to
