WELLINGTON	wellington	WELLINGTON
Reuters	reuter	Reuters
-	-	-
A	a	A
final	final	final
tally	talli	tally
in	in	in
New	new	New
Zealand	zealand	Zealand
s	s	s
inconclusive	inconclus	inconclusive
election	elect	election
due	due	due
to	to	to
be	be	be
released	releas	released
on	on	on
Saturday	saturday	Saturday
could	could	could
see	see	see
opposition	opposit	opposition
Labour	labour	Labour
and	and	and
the	the	the
Greens	green	Greens
gain	gain	gain
a	a	a
few	few	few
seats	seat	seat
,	,	,
but	but	but
will	will	will
still	still	still
leave	leav	leave
nationalist	nationalist	nationalist
New	new	New
Zealand	zealand	Zealand
First	first	First
holding	hold	holding
the	the	the
balance	balanc	balance
of	of	of
power	power	power
.	.	.

New	new	New
Zealand	zealand	Zealand
First	first	First
leader	leader	leader
Winston	winston	Winston
Peters	peter	Peters
has	has	ha
said	said	said
he	he	he
will	will	will
not	not	not
make	make	make
a	a	a
decision	decis	decision
on	on	on
which	which	which
party	parti	party
to	to	to
back	back	back
to	to	to
form	form	form
a	a	a
coalition	coalit	coalition
government	govern	government
until	until	until
after	after	after
the	the	the
final	final	final
count	count	count
.	.	.

Peters	peter	Peters
has	has	ha
held	held	held
initial	initi	initial
talks	talk	talk
with	with	with
Prime	prime	Prime
Minister	minist	Minister
Bill	bill	Bill
English	english	English
and	and	and
his	his	his
ruling	rule	ruling
National	nation	National
Party	parti	Party
and	and	and
Labour	labour	Labour
leader	leader	leader
Jacinda	jacinda	Jacinda
Ardern	ardern	Ardern
,	,	,
but	but	but
more	more	more
formal	formal	formal
talks	talk	talk
will	will	will
take	take	take
place	place	place
next	next	next
week	week	week
.	.	.

Peters	peter	Peters
has	has	ha
said	said	said
he	he	he
will	will	will
make	make	make
a	a	a
decision	decis	decision
by	by	by
Oct	oct	Oct
.	.	.

12	12	12
.	.	.

The	the	The
National	nation	National
Party	parti	Party
has	has	ha
won	won	won
58	58	58
seats	seat	seat
in	in	in
the	the	the
120	120	120
-seat	-seat	-seat
parliament	parliament	parliament
,	,	,
ahead	ahead	ahead
of	of	of
a	a	a
possible	possibl	possible
coalition	coalit	coalition
of	of	of
52	52	52
seats	seat	seat
between	between	between
Labour	labour	Labour
and	and	and
the	the	the
Greens	green	Greens
.	.	.

New	new	New
Zealand	zealand	Zealand
First	first	First
holds	hold	hold
the	the	the
balance	balanc	balance
of	of	of
power	power	power
with	with	with
nine	nine	nine
seats	seat	seat
.	.	.

Judging	judg	Judging
by	by	by
past	past	past
elections	elect	election
the	the	the
National	nation	National
Party	parti	Party
could	could	could
lose	lose	lose
one	one	one
or	or	or
two	two	two
seats	seat	seat
in	in	in
the	the	the
final	final	final
tally	talli	tally
,	,	,
which	which	which
will	will	will
count	count	count
special	special	special
votes	vote	vote
which	which	which
make	make	make
up	up	up
15	15	15
percent	percent	percent
of	of	of
ballots	ballot	ballot
and	and	and
include	includ	include
overseas	oversea	overseas
votes	vote	vote
,	,	,
said	said	said
Oliver	oliv	Oliver
Hartwich	hartwich	Hartwich
,	,	,
executive	execut	executive
director	director	director
of	of	of
think	think	think
-tank	-tank	-tank
New	new	New
Zealand	zealand	Zealand
Initiative	initi	Initiative
.	.	.

Labour	labour	Labour
or	or	or
the	the	the
Greens	green	Greens
or	or	or
both	both	both
of	of	of
them	them	them
are	are	are
going	go	going
to	to	to
pick	pick	pick
up	up	up
the	the	the
seats	seat	seat
from	from	from
National	nation	National
.	.	.

It	it	It
would	would	would
be	be	be
quite	quit	quite
surprising	surpris	surprising
if	if	if
they	they	they
didn	didn	didn
t	t	t
because	becaus	because
.	.	.
.	.	.
.	.	.

the	the	the
special	special	special
votes	vote	vote
usually	usual	usually
favor	favor	favor
the	the	the
left	left	left
,	,	,
Hartwich	hartwich	Hartwich
said	said	said
.	.	.

Peters	peter	Peters
has	has	ha
in	in	in
past	past	past
elections	elect	election
formed	form	formed
coalition	coalit	coalition
governments	govern	government
with	with	with
both	both	both
the	the	the
National	nation	National
Party	parti	Party
and	and	and
Labour	labour	Labour
,	,	,
and	and	and
some	some	some
analysts	analyst	analyst
believe	believ	believe
if	if	if
Labour	labour	Labour
and	and	and
the	the	the
Greens	green	Greens
gain	gain	gain
more	more	more
seats	seat	seat
in	in	in
the	the	the
final	final	final
tally	talli	tally
it	it	it
could	could	could
make	make	make
Peters	peter	Peters
more	more	more
comfortable	comfort	comfortable
to	to	to
again	again	again
join	join	join
them	them	them
.	.	.

Peters	peter	Peters
policies	polici	policy
are	are	are
thought	thought	thought
to	to	to
have	have	have
more	more	more
in	in	in
common	common	common
with	with	with
those	those	those
of	of	of
Labour	labour	Labour
-	-	-
both	both	both
want	want	want
to	to	to
curb	curb	curb
immigration	immigr	immigration
,	,	,
renegotiate	renegoti	renegotiate
certain	certain	certain
trade	trade	trade
deals	deal	deal
and	and	and
adjust	adjust	adjust
the	the	the
role	role	role
of	of	of
the	the	the
central	central	central
bank	bank	bank
albeit	albeit	albeit
in	in	in
different	differ	different
ways	way	way
.	.	.

Nobody	nobodi	Nobody
can	can	can
really	realli	really
tell	tell	tell
at	at	at
the	the	the
moment	moment	moment
.	.	.

He	he	He
Peters	peter	Peters
has	has	ha
completely	complet	completely
kept	kept	kept
the	the	the
cards	card	card
close	close	close
to	to	to
his	his	his
chest	chest	chest
,	,	,
nobody	nobodi	nobody
can	can	can
read	read	read
what	what	what
he	he	he
is	is	is
going	go	going
to	to	to
do	do	do
,	,	,
Hartwich	hartwich	Hartwich
said	said	said
.	.	.

While	while	While
National	nation	National
and	and	and
the	the	the
Greens	green	Greens
have	have	have
enough	enough	enough
seats	seat	seat
to	to	to
form	form	form
a	a	a
coalition	coalit	coalition
government	govern	government
,	,	,
Green	green	Green
Party	parti	Party
leader	leader	leader
James	jame	James
Shaw	shaw	Shaw
played	play	played
down	down	down
recent	recent	recent
speculation	specul	speculation
that	that	that
they	they	they
may	may	may
enter	enter	enter
talks	talk	talk
.	.	.

The	the	The
Greens	green	Greens
have	have	have
a	a	a
working	work	working
agreement	agreement	agreement
with	with	with
Labour	labour	Labour
.	.	.

