WINSTON	winston	WINSTON
-SALEM	-salem	-SALEM
,	,	,
N	n	N
.	.	.
C	c	C
.	.	.
Reuters	reuter	Reuters
-	-	-
A	a	A
North	north	North
Carolina	carolina	Carolina
sheriff	sheriff	sheriff
s	s	s
office	offic	office
said	said	said
on	on	on
Monday	monday	Monday
it	it	it
would	would	would
not	not	not
charge	charg	charge
Republican	republican	Republican
presidential	presidenti	presidential
front	front	front
-runner	-runner	-runner
Donald	donald	Donald
Trump	trump	Trump
or	or	or
his	his	his
campaign	campaign	campaign
with	with	with
inciting	incit	inciting
a	a	a
riot	riot	riot
at	at	at
a	a	a
rally	ralli	rally
in	in	in
the	the	the
state	state	state
last	last	last
week	week	week
.	.	.
North	north	North
Carolina	carolina	Carolina
is	is	is
one	one	one
of	of	of
five	five	five
states	state	state
holding	hold	holding
Republican	republican	Republican
and	and	and
Democratic	democrat	Democratic
primary	primari	primary
elections	elect	election
on	on	on
Tuesday	tuesday	Tuesday
in	in	in
the	the	the
race	race	race
to	to	to
select	select	select
candidates	candid	candidate
for	for	for
November	novemb	November
s	s	s
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
.	.	.
The	the	The
Cumberland	cumberland	Cumberland
County	counti	County
Sheriff	sheriff	Sheriff
s	s	s
Office	offic	Office
,	,	,
based	base	based
in	in	in
Fayetteville	fayettevill	Fayetteville
,	,	,
earlier	earlier	earlier
had	had	had
said	said	said
it	it	it
was	was	wa
reviewing	review	reviewing
whether	whether	whether
Trump	trump	Trump
or	or	or
his	his	his
campaign	campaign	campaign
incited	incit	incited
a	a	a
disturbance	disturb	disturbance
at	at	at
a	a	a
rally	ralli	rally
last	last	last
Wednesday	wednesday	Wednesday
.	.	.
At	at	At
the	the	the
rally	ralli	rally
in	in	in
Fayettsville	fayettsvill	Fayettsville
,	,	,
John	john	John
McGraw	mcgraw	McGraw
,	,	,
a	a	a
78	78	78
-year-old	-year-old	-year-old
white	white	white
Trump	trump	Trump
supporter	support	supporter
,	,	,
was	was	wa
arrested	arrest	arrested
on	on	on
a	a	a
misdemeanor	misdemeanor	misdemeanor
assault	assault	assault
charge	charg	charge
after	after	after
he	he	he
was	was	wa
seen	seen	seen
on	on	on
video	video	video
punching	punch	punching
a	a	a
26	26	26
-year-old	-year-old	-year-old
black	black	black
protester	protest	protester
in	in	in
the	the	the
face	face	face
.	.	.
On	on	On
Monday	monday	Monday
evening	even	evening
,	,	,
the	the	the
Sheriff	sheriff	Sheriff
s	s	s
Office	offic	Office
said	said	said
in	in	in
a	a	a
statement	statement	statement
it	it	it
would	would	would
not	not	not
seek	seek	seek
a	a	a
warrant	warrant	warrant
or	or	or
indictment	indict	indictment
for	for	for
Trump	trump	Trump
or	or	or
his	his	his
campaign	campaign	campaign
over	over	over
the	the	the
incident	incid	incident
.	.	.
The	the	The
Sheriff	sheriff	Sheriff
s	s	s
Office	offic	Office
legal	legal	legal
counsel	counsel	counsel
advised	advis	advised
,	,	,
and	and	and
the	the	the
Sheriff	sheriff	Sheriff
concurred	concur	concurred
,	,	,
that	that	that
the	the	the
evidence	evid	evidence
does	doe	doe
not	not	not
meet	meet	meet
the	the	the
requisites	requisit	requisite
of	of	of
the	the	the
law	law	law
as	as	a
established	establish	established
under	under	under
the	the	the
relevant	relev	relevant
North	north	North
Carolina	carolina	Carolina
statute	statut	statute
and	and	and
case	case	case
law	law	law
to	to	to
support	support	support
a	a	a
conviction	convict	conviction
of	of	of
the	the	the
crime	crime	crime
of	of	of
inciting	incit	inciting
a	a	a
riot	riot	riot
,	,	,
the	the	the
office	offic	office
said	said	said
.	.	.
In	in	In
North	north	North
Carolina	carolina	Carolina
,	,	,
inciting	incit	inciting
to	to	to
riot	riot	riot
is	is	is
a	a	a
legal	legal	legal
charge	charg	charge
that	that	that
can	can	can
apply	appli	apply
to	to	to
a	a	a
public	public	public
disturbance	disturb	disturbance
and	and	and
does	doe	doe
not	not	not
necessarily	necessarili	necessarily
involve	involv	involve
a	a	a
full	full	full
-scale	-scale	-scale
riot	riot	riot
.	.	.
The	the	The
offense	offens	offense
can	can	can
be	be	be
classified	classifi	classified
as	as	a
a	a	a
misdemeanor	misdemeanor	misdemeanor
or	or	or
a	a	a
more	more	more
serious	serious	serious
felony	feloni	felony
.	.	.
During	dure	During
a	a	a
trip	trip	trip
on	on	on
Monday	monday	Monday
to	to	to
North	north	North
Carolina	carolina	Carolina
,	,	,
Trump	trump	Trump
rejected	reject	rejected
suggestions	suggest	suggestion
that	that	that
his	his	his
language	languag	language
was	was	wa
to	to	to
blame	blame	blame
for	for	for
recent	recent	recent
clashes	clash	clash
at	at	at
his	his	his
rallies	ralli	rally
.	.	.
The	the	The
69	69	69
-year-old	-year-old	-year-old
New	new	New
Yorker	yorker	Yorker
leads	lead	lead
a	a	a
field	field	field
of	of	of
four	four	four
Republican	republican	Republican
candidates	candid	candidate
vying	vy	vying
for	for	for
the	the	the
party	parti	party
s	s	s
presidential	presidenti	presidential
nomination	nomin	nomination
.	.	.
