EDINBURGH	edinburgh	EDINBURGH
LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
Scotland	scotland	Scotland
,	,	,
Wales	wale	Wales
and	and	and
London	london	London
should	should	should
all	all	all
benefit	benefit	benefit
from	from	from
any	ani	any
special	special	special
deal	deal	deal
given	given	given
to	to	to
Northern	northern	Northern
Ireland	ireland	Ireland
to	to	to
smooth	smooth	smooth
access	access	access
to	to	to
European	european	European
Union	union	Union
markets	market	market
after	after	after
Brexit	brexit	Brexit
,	,	,
the	the	the
three	three	three
regions	region	region
most	most	most
senior	senior	senior
politicians	politician	politician
said	said	said
on	on	on
Monday	monday	Monday
.	.	.

Most	most	Most
Scots	scot	Scots
and	and	and
Londoners	london	Londoners
voted	vote	voted
to	to	to
stay	stay	stay
in	in	in
the	the	the
EU	eu	EU
in	in	in
June	june	June
2016	2016	2016
s	s	s
referendum	referendum	referendum
,	,	,
unlike	unlik	unlike
their	their	their
compatriots	compatriot	compatriot
in	in	in
the	the	the
rest	rest	rest
of	of	of
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
.	.	.

Politicians	politician	Politicians
in	in	in
Scotland	scotland	Scotland
,	,	,
Wales	wale	Wales
and	and	and
the	the	the
British	british	British
capital	capit	capital
have	have	have
campaigned	campaign	campaigned
for	for	for
Britain	britain	Britain
as	as	a
a	a	a
whole	whole	whole
to	to	to
stay	stay	stay
in	in	in
the	the	the
EU	eu	EU
s	s	s
single	singl	single
market	market	market
to	to	to
smooth	smooth	smooth
trade	trade	trade
relations	relat	relation
.	.	.

Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
has	has	ha
ruled	rule	ruled
that	that	that
out	out	out
so	so	so
far	far	far
,	,	,
saying	say	saying
Britain	britain	Britain
needed	need	needed
the	the	the
freedom	freedom	freedom
to	to	to
make	make	make
its	it	it
own	own	own
rules	rule	rule
and	and	and
trade	trade	trade
deals	deal	deal
.	.	.

But	but	But
the	the	the
three	three	three
regions	region	region
rallied	ralli	rallied
to	to	to
the	the	the
cause	caus	cause
again	again	again
after	after	after
Irish	irish	Irish
government	govern	government
sources	sourc	source
said	said	said
on	on	on
Monday	monday	Monday
that	that	that
the	the	the
British	british	British
government	govern	government
had	had	had
agreed	agre	agreed
to	to	to
maintain	maintain	maintain
EU	eu	EU
regulatory	regulatori	regulatory
alignment	align	alignment
for	for	for
Northern	northern	Northern
Ireland	ireland	Ireland
,	,	,
which	which	which
is	is	is
part	part	part
of	of	of
the	the	the
UK	uk	UK
but	but	but
shares	share	share
a	a	a
land	land	land
border	border	border
with	with	with
the	the	the
Republic	republ	Republic
of	of	of
Ireland	ireland	Ireland
,	,	,
an	an	an
EU	eu	EU
member	member	member
state	state	state
.	.	.

May	may	May
said	said	said
there	there	there
had	had	had
been	been	been
no	no	no
overall	overal	overall
agreement	agreement	agreement
on	on	on
Monday	monday	Monday
.	.	.

Keeping	keep	Keeping
regulations	regul	regulation
in	in	in
Northern	northern	Northern
Ireland	ireland	Ireland
