BRASILIA	brasilia	BRASILIA
Reuters	reuter	Reuters
-	-	-
A	a	A
Brazilian	brazilian	Brazilian
prosecutor	prosecutor	prosecutor
investigating	investig	investigating
potentially	potenti	potentially
corrupt	corrupt	corrupt
investments	invest	investment
made	made	made
by	by	by
state	state	state
pension	pension	pension
funds	fund	fund
said	said	said
the	the	the
real	real	real
estate	estat	estate
company	compani	company
run	run	run
by	by	by
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
appears	appear	appears
to	to	to
have	have	have
benefited	benefit	benefited
suspiciously	suspici	suspiciously
from	from	from
a	a	a
massive	massiv	massive
redevelopment	redevelop	redevelopment
of	of	of
Rio	rio	Rio
de	de	de
Janeiro	janeiro	Janeiro
s	s	s
port	port	port
ahead	ahead	ahead
of	of	of
the	the	the
Olympics	olymp	Olympics
.	.	.
The	the	The
development	develop	development
,	,	,
known	known	known
as	as	a
Porto	porto	Porto
Maravilha	maravilha	Maravilha
,	,	,
or	or	or
Marvelous	marvel	Marvelous
Port	port	Port
in	in	in
Portuguese	portugues	Portuguese
,	,	,
cost	cost	cost
8	8	8
billion	billion	billion
reais	reai	reais
2	2	2
.	.	.
5	5	5
billion	billion	billion
and	and	and
developed	develop	developed
run	run	run
-down	-down	-down
docklands	dockland	docklands
into	into	into
a	a	a
plaza	plaza	plaza
,	,	,
museums	museum	museum
,	,	,
corporate	corpor	corporate
and	and	and
residential	residenti	residential
real	real	real
estate	estat	estate
.	.	.
As	as	As
part	part	part
of	of	of
the	the	the
project	project	project
,	,	,
five	five	five
38	38	38
-story	-stori	-story
buildings	build	building
were	were	were
meant	meant	meant
to	to	to
be	be	be
erected	erect	erected
under	under	under
the	the	the
Trump	trump	Trump
brand	brand	brand
.	.	.
Public	public	Public
prosecutor	prosecutor	prosecutor
Alselmo	alselmo	Alselmo
Lopes	lope	Lopes
said	said	said
in	in	in
a	a	a
court	court	court
filing	file	filing
made	made	made
public	public	public
on	on	on
Thursday	thursday	Thursday
that	that	that
he	he	he
is	is	is
investigating	investig	investigating
the	the	the
Porto	porto	Porto
Maravilha	maravilha	Maravilha
deal	deal	deal
,	,	,
in	in	in
which	which	which
the	the	the
national	nation	national
employee	employe	employee
severance	sever	severance
fund	fund	fund
FGTS	fgts	FGTS
,	,	,
managed	manag	managed
by	by	by
state	state	state
-bank	-bank	-bank
Caixa	caixa	Caixa
Economica	economica	Economica
Federal	feder	Federal
CEF	cef	CEF
.	.	.
UL	ul	UL
,	,	,
paid	paid	paid
up	up	up
-front	-front	-front
for	for	for
building	build	building
rights	right	right
which	which	which
it	it	it
then	then	then
sold	sold	sold
on	on	on
.	.	.
The	the	The
structuring	structur	structuring
of	of	of
the	the	the
Porto	porto	Porto
Maravilha	maravilha	Maravilha
deal	deal	deal
favored	favor	favored
,	,	,
in	in	in
a	a	a
suspicious	suspici	suspicious
way	way	way
,	,	,
the	the	the
Trump	trump	Trump
Organization	organ	Organization
economic	econom	economic
group	group	group
,	,	,
among	among	among
others	other	others
,	,	,
Lopes	lope	Lopes
said	said	said
.	.	.
The	the	The
prosecutor	prosecutor	prosecutor
gave	gave	gave
no	no	no
further	further	further
details	detail	detail
and	and	and
was	was	wa
not	not	not
immediately	immedi	immediately
reachable	reachabl	reachable
for	for	for
comment	comment	comment
.	.	.
His	his	His
spokeswoman	spokeswoman	spokeswoman
,	,	,
Dionne	dionn	Dionne
Tiago	tiago	Tiago
,	,	,
said	said	said
Lopes	lope	Lopes
would	would	would
not	not	not
explain	explain	explain
the	the	the
basis	basi	basis
for	for	for
his	his	his
suspicions	suspicion	suspicion
until	until	until
next	next	next
week	week	week
.	.	.
None	none	None
of	of	of
the	the	the
five	five	five
people	peopl	people
Lopes	lope	Lopes
sought	sought	sought
to	to	to
charge	charg	charge
in	in	in
the	the	the
court	court	court
filing	file	filing
for	for	for
siphoning	siphon	siphoning
off	off	off
8	8	8
billion	billion	billion
reais	reai	reais
from	from	from
the	the	the
Caixa	caixa	Caixa
s	s	s
pension	pension	pension
fund	fund	fund
were	were	were
related	relat	related
to	to	to
the	the	the
Trump	trump	Trump
Organization	organ	Organization
.	.	.
The	the	The
Trump	trump	Trump
Organization	organ	Organization
,	,	,
which	which	which
sold	sold	sold
naming	name	naming
rights	right	right
for	for	for
the	the	the
Rio	rio	Rio
towers	tower	tower
but	but	but
did	did	did
not	not	not
provide	provid	provide
any	ani	any
funding	fund	funding
for	for	for
the	the	the
project	project	project
,	,	,
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
.	.	.
A	a	A
senior	senior	senior
executive	execut	executive
involved	involv	involved
in	in	in
the	the	the
Trump	trump	Trump
Towers	tower	Towers
Rio	rio	Rio
dismissed	dismiss	dismissed
the	the	the
prosecutor	prosecutor	prosecutor
s	s	s
charge	charg	charge
as	as	a
baseless	baseless	baseless
.	.	.
Any	ani	Any
allegations	alleg	allegation
that	that	that
the	the	the
Porto	porto	Porto
Maravilha	maravilha	Maravilha
Investment	invest	Investment
Fund	fund	Fund
of	of	of
Caixa	caixa	Caixa
Econômica	econômica	Econômica
Federal	feder	Federal
has	has	ha
favored	favor	favored
in	in	in
a	a	a
suspicious	suspici	suspicious
way	way	way
the	the	the
Trump	trump	Trump
Organization	organ	Organization
economic	econom	economic
group	group	group
are	are	are
completely	complet	completely
unfounded	unfound	unfounded
,	,	,
the	the	the
executive	execut	executive
,	,	,
who	who	who
asked	ask	asked
not	not	not
to	to	to
be	be	be
named	name	named
,	,	,
said	said	said
by	by	by
email	email	email
.	.	.
Not	not	Not
long	long	long
after	after	after
plans	plan	plan
for	for	for
the	the	the
towers	tower	tower
were	were	were
first	first	first
announced	announc	announced
,	,	,
Donald	donald	Donald
Trump	trump	Trump
tweeted	tweet	tweeted
in	in	in
January	januari	January
2013	2013	2013
The	the	The
Trump	trump	Trump
Organization	organ	Organization
is	is	is
going	go	going
revolutionize	revolution	revolutionize
Rio	rio	Rio
de	de	de
Janeiro	janeiro	Janeiro
s	s	s
downtown	downtown	downtown
port	port	port
area	area	area
with	with	with
Trump	trump	Trump
Towers	tower	Towers
.	.	.
Construction	construct	Construction
begins	begin	begin
soon	soon	soon
!	!	!
Two	two	Two
of	of	of
the	the	the
five	five	five
Trump	trump	Trump
Towers	tower	Towers
were	were	were
supposed	suppos	supposed
to	to	to
be	be	be
ready	readi	ready
by	by	by
the	the	the
Olympics	olymp	Olympics
,	,	,
but	but	but
ground	ground	ground
has	has	ha
yet	yet	yet
to	to	to
be	be	be
broken	broken	broken
.	.	.
Developers	develop	Developers
say	say	say
the	the	the
project	project	project
is	is	is
still	still	still
going	go	going
ahead	ahead	ahead
and	and	and
has	has	ha
not	not	not
been	been	been
scrapped	scrap	scrapped
.	.	.
Trump	trump	Trump
Towers	tower	Towers
Rio	rio	Rio
on	on	on
its	it	it
website	websit	website
claims	claim	claim
it	it	it
is	is	is
the	the	the
first	first	first
project	project	project
in	in	in
Brazil	brazil	Brazil
to	to	to
bear	bear	bear
the	the	the
name	name	name
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
real	real	real
estate	estat	estate
magnate	magnat	magnate
and	and	and
the	the	the
largest	largest	largest
urban	urban	urban
office	offic	office
development	develop	development
in	in	in
the	the	the
BRICS	bric	BRICS
group	group	group
of	of	of
leading	lead	leading
emerging	emerg	emerging
market	market	market
countries	countri	country
.	.	.
