SACRAMENTO	sacramento	SACRAMENTO
,	,	,
Calif	calif	Calif
.	.	.
LOS	los	LOS
ANGELES	angel	ANGELES
Reuters	reuter	Reuters
-	-	-
A	a	A
ballot	ballot	ballot
measure	measur	measure
to	to	to
make	make	make
recreational	recreat	recreational
marijuana	marijuana	marijuana
legal	legal	legal
for	for	for
adults	adult	adult
was	was	wa
approved	approv	approved
in	in	in
California	california	California
,	,	,
opening	open	opening
the	the	the
most	most	most
populous	popul	populous
U	u	U
.	.	.
S	s	S
.	.	.
state	state	state
to	to	to
a	a	a
burgeoning	burgeon	burgeoning
commercial	commerci	commercial
cannabis	cannabi	cannabis
market	market	market
in	in	in
a	a	a
major	major	major
victory	victori	victory
for	for	for
supporters	support	supporter
of	of	of
liberalized	liber	liberalized
drug	drug	drug
laws	law	law
.	.	.

Proposition	proposit	Proposition
64	64	64
passed	pass	passed
easily	easili	easily
as	as	a
statewide	statewid	statewide
returns	return	return
from	from	from
the	the	the
election	elect	election
showed	show	showed
nearly	near	nearly
56	56	56
percent	percent	percent
of	of	of
voters	voter	voter
favoring	favor	favoring
the	the	the
measure	measur	measure
and	and	and
44	44	44
percent	percent	percent
opposed	oppos	opposed
,	,	,
according	accord	according
to	to	to
results	result	result
on	on	on
Wednesday	wednesday	Wednesday
morning	morn	morning
reported	report	reported
from	from	from
more	more	more
than	than	than
90	90	90
percent	percent	percent
of	of	of
precincts	precinct	precinct
.	.	.

California	california	California
was	was	wa
by	by	by
far	far	far
the	the	the
largest	largest	largest
of	of	of
five	five	five
states	state	state
with	with	with
ballot	ballot	ballot
measures	measur	measure
seeking	seek	seeking
to	to	to
legalize	legal	legalize
the	the	the
use	use	use
of	of	of
marijuana	marijuana	marijuana
for	for	for
the	the	the
sheer	sheer	sheer
pleasure	pleasur	pleasure
of	of	of
its	it	it
intoxicating	intox	intoxicating
effects	effect	effect
,	,	,
and	and	and
approval	approv	approval
there	there	there
extends	extend	extends
legalization	legal	legalization
to	to	to
the	the	the
entire	entir	entire
U	u	U
.	.	.
S	s	S
.	.	.
Pacific	pacif	Pacific
Coast	coast	Coast
.	.	.

Recreational	recreat	Recreational
marijuana	marijuana	marijuana
was	was	wa
first	first	first
approved	approv	approved
in	in	in
2012	2012	2012
by	by	by
Washington	washington	Washington
state	state	state
and	and	and
Colorado	colorado	Colorado
,	,	,
and	and	and
later	later	later
by	by	by
voters	voter	voter
in	in	in
Oregon	oregon	Oregon
,	,	,
Alaska	alaska	Alaska
and	and	and
the	the	the
District	district	District
of	of	of
Columbia	columbia	Columbia
.	.	.

Victory	victori	Victory
also	also	also
was	was	wa
declared	declar	declared
on	on	on
Tuesday	tuesday	Tuesday
by	by	by
supporters	support	supporter
of	of	of
a	a	a
similar	similar	similar
measure	measur	measure
in	in	in
Massachusetts	massachusett	Massachusetts
,	,	,
giving	give	giving
legalized	legal	legalized
recreational	recreat	recreational
pot	pot	pot
its	it	it
first	first	first
toehold	toehold	toehold
in	in	in
New	new	New
England	england	England
.	.	.

Nevada	nevada	Nevada
voters	voter	voter
also	also	also
backed	back	backed
legalization	legal	legalization
for	for	for
recreational	recreat	recreational
purposes	purpos	purpose
,	,	,
but	but	but
neighboring	neighbor	neighboring
Arizona	arizona	Arizona
rejected	reject	rejected
a	a	a
similar	similar	similar
proposal	propos	proposal
.	.	.

In	in	In
the	the	the
fifth	fifth	fifth
state	state	state
,	,	,
Maine	main	Maine
,	,	,
the	the	the
result	result	result
was	was	wa
too	too	too
close	close	close
to	to	to
call	call	call
on	on	on
Wednesday	wednesday	Wednesday
morning	morn	morning
.	.	.

The	the	The
Marijuana	marijuana	Marijuana
Policy	polici	Policy
Project	project	Project
,	,	,
the	the	the
nation	nation	nation
s	s	s
leading	lead	leading
organization	organ	organization
supporting	support	supporting
liberalization	liber	liberalization
of	of	of
cannabis	cannabi	cannabis
laws	law	law
,	,	,
likewise	likewis	likewise
projected	project	projected
passage	passag	passage
of	of	of
measures	measur	measure
permitting	permit	permitting
medical	medic	medical
use	use	use
of	of	of
marijuana	marijuana	marijuana
in	in	in
Florida	florida	Florida
,	,	,
Arkansas	arkansa	Arkansas
,	,	,
North	north	North
Dakota	dakota	Dakota
and	and	and
Montana	montana	Montana
.	.	.

Before	befor	Before
Tuesday	tuesday	Tuesday
,	,	,
25	25	25
states	state	state
had	had	had
already	alreadi	already
legalized	legal	legalized
cannabis	cannabi	cannabis
in	in	in
some	some	some
way	way	way
,	,	,
whether	whether	whether
for	for	for
medical	medic	medical
or	or	or
recreational	recreat	recreational
uses	use	us
,	,	,
or	or	or
both	both	both
.	.	.

here	here	here
Approval	approv	Approval
in	in	in
California	california	California
alone	alon	alone
,	,	,
home	home	home
to	to	to
39	39	39
million	million	million
people	peopl	people
,	,	,
means	mean	mean
that	that	that
almost	almost	almost
a	a	a
fifth	fifth	fifth
of	of	of
all	all	all
Americans	american	Americans
live	live	live
in	in	in
states	state	state
where	where	where
recreational	recreat	recreational
marijuana	marijuana	marijuana
is	is	is
legal	legal	legal
,	,	,
according	accord	according
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
Census	census	Census
figures	figur	figure
.	.	.

California	california	California
was	was	wa
the	the	the
first	first	first
U	u	U
.	.	.
S	s	S
.	.	.
state	state	state
to	to	to
legalize	legal	legalize
medical	medic	medical
marijuana	marijuana	marijuana
,	,	,
doing	do	doing
so	so	so
in	in	in
1996	1996	1996
.	.	.

The	the	The
new	new	new
measure	measur	measure
,	,	,
spearheaded	spearhead	spearheaded
by	by	by
a	a	a
coalition	coalit	coalition
of	of	of
supporters	support	supporter
that	that	that
included	includ	included
Democratic	democrat	Democratic
Lieutenant	lieuten	Lieutenant
Governor	governor	Governor
Gavin	gavin	Gavin
Newsom	newsom	Newsom
and	and	and
billionaire	billionair	billionaire
high	high	high
-tech	-tech	-tech
entrepreneur	entrepreneur	entrepreneur
Sean	sean	Sean
Parker	parker	Parker
,	,	,
allows	allow	allows
adults	adult	adult
to	to	to
possess	possess	posse
and	and	and
use	use	use
up	up	up
to	to	to
an	an	an
ounce	ounc	ounce
of	of	of
pot	pot	pot
for	for	for
private	privat	private
,	,	,
recreational	recreat	recreational
use	use	use
.	.	.

It	it	It
also	also	also
permits	permit	permit
