HARARE	harar	HARARE
Reuters	reuter	Reuters
-	-	-
Zimbabwean	zimbabwean	Zimbabwean
President	presid	President
Robert	robert	Robert
Mugabe	mugab	Mugabe
is	is	is
set	set	set
to	to	to
appoint	appoint	appoint
a	a	a
woman	woman	woman
deputy	deputi	deputy
after	after	after
a	a	a
special	special	special
ruling	rule	ruling
party	parti	party
congress	congress	congress
next	next	next
month	month	month
,	,	,
the	the	the
first	first	first
lady	ladi	lady
said	said	said
on	on	on
Saturday	saturday	Saturday
and	and	and
added	ad	added
that	that	that
there	there	there
was	was	wa
nothing	noth	nothing
wrong	wrong	wrong
if	if	if
her	her	her
husband	husband	husband
appointed	appoint	appointed
her	her	her
.	.	.

The	the	The
93	93	93
-year-old	-year-old	-year-old
Mugabe	mugab	Mugabe
has	has	ha
held	held	held
power	power	power
in	in	in
the	the	the
southern	southern	southern
African	african	African
nation	nation	nation
since	sinc	since
independence	independ	independence
from	from	from
Britain	britain	Britain
in	in	in
1980	1980	1980
and	and	and
consistently	consist	consistently
refused	refus	refused
to	to	to
anoint	anoint	anoint
a	a	a
successor	successor	successor
.	.	.

He	he	He
argues	argu	argues
that	that	that
the	the	the
ruling	rule	ruling
ZANU	zanu	ZANU
-PF	-pf	-PF
party	parti	party
would	would	would
choose	choos	choose
his	his	his
replacement	replac	replacement
if	if	if
and	and	and
when	when	when
he	he	he
decides	decid	decides
to	to	to
retire	retir	retire
.	.	.

Grace	grace	Grace
Mugabe	mugab	Mugabe
told	told	told
a	a	a
ZANU	zanu	ZANU
-PF	-pf	-PF
rally	ralli	rally
in	in	in
the	the	the
second	second	second
city	citi	city
of	of	of
Bulawayo	bulawayo	Bulawayo
that	that	that
the	the	the
party	parti	party
would	would	would
amend	amend	amend
its	it	it
constitution	constitut	constitution
this	this	this
month	month	month
and	and	and
the	the	the
changes	chang	change
would	would	would
be	be	be
adopted	adopt	adopted
at	at	at
a	a	a
special	special	special
December	decemb	December
congress	congress	congress
to	to	to
ensure	ensur	ensure
that	that	that
one	one	one
of	of	of
Mugabe	mugab	Mugabe
s	s	s
two	two	two
deputies	deputi	deputy
would	would	would
be	be	be
a	a	a
woman	woman	woman
.	.	.

Allowing	allow	Allowing
Mugabe	mugab	Mugabe
to	to	to
appoint	appoint	appoint
a	a	a
woman	woman	woman
deputy	deputi	deputy
could	could	could
scuttle	scuttl	scuttle
the	the	the
presidential	presidenti	presidential
ambitions	ambit	ambition
of	of	of
Vice	vice	Vice
President	presid	President
Emmerson	emmerson	Emmerson
Mnangagwa	mnangagwa	Mnangagwa
,	,	,
who	who	who
had	had	had
been	been	been
seen	seen	seen
as	as	a
a	a	a
shoe	shoe	shoe
-in	-in	-in
to	to	to
succeed	succeed	succeed
Mugabe	mugab	Mugabe
.	.	.

Phelekezela	phelekezela	Phelekezela
Mphoko	mphoko	Mphoko
is	is	is
the	the	the
second	second	second
Mugabe	mugab	Mugabe
deputy	deputi	deputy
,	,	,
but	but	but
lacks	lack	lack
any	ani	any
political	polit	political
base	base	base
.	.	.

Mnangagwa	mnangagwa	Mnangagwa
,	,	,
nicknamed	nicknam	nicknamed
Ngwena	ngwena	Ngwena
Crocodile	crocodil	Crocodile
,	,	,
has	has	ha
seen	seen	seen
his	his	his
political	polit	political
stock	stock	stock
plummet	plummet	plummet
in	in	in
the	the	the
last	last	last
few	few	few
months	month	month
,	,	,
on	on	on
accusations	accus	accusation
by	by	by
party	parti	party
rivals	rival	rival
that	that	that
he	he	he
was	was	wa
plotting	plot	plotting
to	to	to
get	get	get
Mugabe	mugab	Mugabe
to	to	to
step	step	step
down	down	down
in	in	in
his	his	his
favor	favor	favor
.	.	.

He	he	He
denies	deni	denies
the	the	the
accusation	accus	accusation
.	.	.

On	on	On
Saturday	saturday	Saturday
Grace	grace	Grace
cranked	crank	cranked
up	up	up
the	the	the
pressure	pressur	pressure
against	against	against
Mnangagwa	mnangagwa	Mnangagwa
,	,	,
calling	call	calling
him	him	him
the	the	the
root	root	root
cause	caus	cause
of	of	of
factionalism	faction	factionalism
that	that	that
was	was	wa
gnawing	gnaw	gnawing
at	at	at
the	the	the
ruling	rule	ruling
party	parti	party
.	.	.

She	she	She
also	also	also
accused	accus	accused
the	the	the
vice	vice	vice
president	presid	president
s	s	s
supporters	support	supporter
of	of	of
booing	boo	booing
her	her	her
while	while	while
she	she	she
gave	gave	gave
her	her	her
speech	speech	speech
.	.	.

Before	befor	Before
that	that	that
special	special	special
congress	congress	congress
,	,	,
this	this	this
November	novemb	November
we	we	we
need	need	need
the	the	the
constitution	constitut	constitution
to	to	to
be	be	be
changed	chang	changed
accordingly	accord	accordingly
so	so	so
that	that	that
when	when	when
we	we	we
are	are	are
going	go	going
we	we	we
will	will	will
adopt	adopt	adopt
the	the	the
proposal	propos	proposal
that	that	that
one	one	one
of	of	of
the	the	the
vice	vice	vice
presidents	presid	president
should	should	should
be	be	be
a	a	a
woman	woman	woman
,	,	,
Grace	grace	Grace
said	said	said
in	in	in
a	a	a
speech	speech	speech
broadcast	broadcast	broadcast
on	on	on
state	state	state
TV	tv	TV
.	.	.

What	what	What
if	if	if
I	i	I
get	get	get
in	in	in
as	as	a
vice	vice	vice
president	presid	president
?	?	?

What	what	What
s	s	s
wrong	wrong	wrong
with	with	with
that	that	that
?	?	?

Am	am	Am
I	i	I
not	not	not
in	in	in
the	the	the
party	parti	party
?	?	?

If	if	If
people	peopl	people
know	know	know
that	that	that
I	i	I
work	work	work
hard	hard	hard
and	and	and
they	they	they
want	want	want
to	to	to
work	work	work
with	with	with
me	me	me
what	what	what
is	is	is
wrong	wrong	wrong
with	with	with
that	that	that
?	?	?

Grace	grace	Grace
said	said	said
.	.	.

A	a	A
visibly	visibl	visibly
angry	angri	angry
Mugabe	mugab	Mugabe
told	told	told
the	the	the
same	same	same
rally	ralli	rally
that	that	that
he	he	he
and	and	and
his	his	his
wife	wife	wife
were	were	were
tired	tire	tired
of	of	of
constant	constant	constant
insults	insult	insult
from	from	from
people	peopl	people
who	who	who
identified	identifi	identified
themselves	themselv	themselves
as	as	a
Mnangagwa	mnangagwa	Mnangagwa
s	s	s
supporters	support	supporter
.	.	.

