LJUBLJANA	ljubljana	LJUBLJANA
Reuters	reuter	Reuters
-	-	-
Slovenia	slovenia	Slovenia
,	,	,
birth	birth	birth
country	countri	country
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
First	first	First
Lady	ladi	Lady
Melania	melania	Melania
Trump	trump	Trump
,	,	,
expects	expect	expects
revenues	revenu	revenue
from	from	from
foreign	foreign	foreign
tourists	tourist	tourist
to	to	to
jump	jump	jump
by	by	by
about	about	about
9	9	9
percent	percent	percent
this	this	this
year	year	year
and	and	and
by	by	by
at	at	at
least	least	least
5	5	5
percent	percent	percent
in	in	in
2018	2018	2018
,	,	,
Economy	economi	Economy
Minister	minist	Minister
Zdravko	zdravko	Zdravko
Pocivalsek	pocivalsek	Pocivalsek
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

2017	2017	2017
will	will	will
be	be	be
the	the	the
fourth	fourth	fourth
record	record	record
year	year	year
in	in	in
a	a	a
row	row	row
for	for	for
Slovenian	slovenian	Slovenian
tourism	tourism	tourism
after	after	after
revenues	revenu	revenue
from	from	from
foreign	foreign	foreign
tourists	tourist	tourist
reached	reach	reached
some	some	some
2	2	2
.	.	.
3	3	3
billion	billion	billion
euros	euro	euro
2	2	2
.	.	.
71	71	71
billion	billion	billion
last	last	last
year	year	year
,	,	,
Pocivalsek	pocivalsek	Pocivalsek
told	told	told
a	a	a
news	news	news
conference	confer	conference
.	.	.

Tourism	tourism	Tourism
in	in	in
Slovenia	slovenia	Slovenia
rose	rose	rose
strongly	strong	strongly
because	becaus	because
of	of	of
a	a	a
general	general	general
increase	increas	increase
of	of	of
tourism	tourism	tourism
in	in	in
Europe	europ	Europe
and	and	and
a	a	a
successful	success	successful
promotion	promot	promotion
of	of	of
Slovenia	slovenia	Slovenia
as	as	a
a	a	a
safe	safe	safe
country	countri	country
.	.	.

Officials	offici	Officials
say	say	say
it	it	it
also	also	also
got	got	got
something	someth	something
of	of	of
a	a	a
boost	boost	boost
from	from	from
Melania	melania	Melania
Trump	trump	Trump
having	have	having
been	been	been
born	born	born
in	in	in
the	the	the
city	citi	city
of	of	of
Sevnica	sevnica	Sevnica
in	in	in
southeastern	southeastern	southeastern
Slovenia	slovenia	Slovenia
before	befor	before
becoming	becom	becoming
a	a	a
fashion	fashion	fashion
model	model	model
and	and	and
moving	move	moving
to	to	to
the	the	the
United	unit	United
States	state	States
.	.	.

We	we	We
received	receiv	received
a	a	a
lot	lot	lot
of	of	of
attention	attent	attention
from	from	from
international	intern	international
journalists	journalist	journalist
because	becaus	because
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
First	first	First
Lady	ladi	Lady
and	and	and
we	we	we
managed	manag	managed
to	to	to
present	present	present
Slovenia	slovenia	Slovenia
as	as	a
an	an	an
attractive	attract	attractive
,	,	,
green	green	green
country	countri	country
,	,	,
Maja	maja	Maja
Pak	pak	Pak
,	,	,
head	head	head
of	of	of
the	the	the
Slovenian	slovenian	Slovenian
Tourist	tourist	Tourist
Organisation	organis	Organisation
,	,	,
told	told	told
the	the	the
same	same	same
news	news	news
conference	confer	conference
.	.	.

About	about	About
60	60	60
percent	percent	percent
of	of	of
Slovenia	slovenia	Slovenia
is	is	is
covered	cover	covered
by	by	by
forests	forest	forest
while	while	while
the	the	the
country	countri	country
has	has	ha
some	some	some
resorts	resort	resort
on	on	on
the	the	the
Adriatic	adriat	Adriatic
sea	sea	sea
as	as	a
well	well	well
as	as	a
a	a	a
number	number	number
of	of	of
Alpine	alpin	Alpine
and	and	and
spa	spa	spa
tourist	tourist	tourist
resorts	resort	resort
.	.	.

Pocivalsek	pocivalsek	Pocivalsek
also	also	also
said	said	said
Slovenia	slovenia	Slovenia
plans	plan	plan
to	to	to
gradually	gradual	gradually
privative	privat	privative
all	all	all
tourist	tourist	tourist
accommodation	accommod	accommodation
infrastructure	infrastructur	infrastructure
which	which	which
should	should	should
further	further	further
improve	improv	improve
tourism	tourism	tourism
business	busi	business
.	.	.

At	at	At
present	present	present
about	about	about
40	40	40
percent	percent	percent
of	of	of
hotels	hotel	hotel
in	in	in
Slovenia	slovenia	Slovenia
are	are	are
in	in	in
state	state	state
hands	hand	hand
.	.	.

I	i	I
want	want	want
a	a	a
well	well	well
-considered	-consid	-considered
privatization	privat	privatization
.	.	.
.	.	.
.	.	.

which	which	which
will	will	will
be	be	be
in	in	in
favor	favor	favor
of	of	of
the	the	the
state	state	state
and	and	and
the	the	the
companies	compani	company
that	that	that
are	are	are
being	be	being
sold	sold	sold
,	,	,
Pocivalsek	pocivalsek	Pocivalsek
said	said	said
.	.	.

In	in	In
the	the	the
first	first	first
10	10	10
months	month	month
of	of	of
2017	2017	2017
the	the	the
number	number	number
of	of	of
foreign	foreign	foreign
tourists	tourist	tourist
jumped	jump	jumped
by	by	by
almost	almost	almost
17	17	17
percent	percent	percent
year	year	year
-on-year	-on-year	-on-year
,	,	,
the	the	the
statistics	statist	statistic
office	offic	office
said	said	said
last	last	last
month	month	month
.	.	.

In	in	In
the	the	the
first	first	first
nine	nine	nine
months	month	month
of	of	of
the	the	the
year	year	year
,	,	,
the	the	the
latest	latest	latest
data	data	data
available	avail	available
,	,	,
the	the	the
number	number	number
of	of	of
tourists	tourist	tourist
from	from	from
the	the	the
United	unit	United
States	state	States
rose	rose	rose
by	by	by
23	23	23
.	.	.
4	4	4
percent	percent	percent
,	,	,
it	it	it
added	ad	added
.	.	.

According	accord	According
to	to	to
the	the	the
government	govern	government
s	s	s
tourism	tourism	tourism
strategy	strategi	strategy
the	the	the
revenues	revenu	revenue
from	from	from
foreign	foreign	foreign
tourists	tourist	tourist
should	should	should
rise	rise	rise
to	to	to
at	at	at
least	least	least
3	3	3
.	.	.
7	7	7
billion	billion	billion
euros	euro	euro
per	per	per
year	year	year
by	by	by
the	the	the
end	end	end
of	of	of
2021	2021	2021
.	.	.

1	1	1
0	0	0
.	.	.
8472	8472	8472
euros	euro	euro

