BRUSSELS	brussel	BRUSSELS
Reuters	reuter	Reuters
-	-	-
The	the	The
European	european	European
Union	union	Union
wants	want	want
a	a	a
transition	transit	transition
period	period	period
after	after	after
Brexit	brexit	Brexit
to	to	to
end	end	end
no	no	no
later	later	later
than	than	than
the	the	the
last	last	last
day	day	day
of	of	of
2020	2020	2020
,	,	,
according	accord	according
to	to	to
the	the	the
European	european	European
Commission	commiss	Commission
s	s	s
negotiating	negoti	negotiating
directives	direct	directive
agreed	agre	agreed
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

That	that	That
date	date	date
,	,	,
coinciding	coincid	coinciding
with	with	with
the	the	the
end	end	end
of	of	of
the	the	the
EU	eu	EU
s	s	s
seven	seven	seven
-year	-year	-year
budget	budget	budget
period	period	period
and	and	and
21	21	21
months	month	month
after	after	after
Britain	britain	Britain
departs	depart	departs
the	the	the
EU	eu	EU
,	,	,
had	had	had
long	long	long
been	been	been
expected	expect	expected
as	as	a
the	the	the
target	target	target
end	end	end
point	point	point
of	of	of
the	the	the
transition	transit	transition
.	.	.

But	but	But
this	this	this
was	was	wa
the	the	the
first	first	first
official	offici	official
confirmation	confirm	confirmation
that	that	that
it	it	it
is	is	is
the	the	the
goal	goal	goal
of	of	of
the	the	the
Union	union	Union
s	s	s
negotiators	negoti	negotiator
.	.	.

British	british	British
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
had	had	had
sought	sought	sought
a	a	a
transition	transit	transition
lasting	last	lasting
around	around	around
two	two	two
years	year	year
.	.	.

EU	eu	EU
chief	chief	chief
negotiator	negoti	negotiator
Michel	michel	Michel
Barnier	barnier	Barnier
,	,	,
speaking	speak	speaking
at	at	at
a	a	a
news	news	news
conference	confer	conference
after	after	after
the	the	the
EU	eu	EU
executive	execut	executive
had	had	had
agreed	agre	agreed
the	the	the
terms	term	term
,	,	,
said	said	said
the	the	the
2020	2020	2020
deadline	deadlin	deadline
was	was	wa
logical	logic	logical
and	and	and
would	would	would
avoid	avoid	avoid
complications	complic	complication
in	in	in
the	the	the
next	next	next
2021	2021	2021
-2027	-2027	-2027
EU	eu	EU
budget	budget	budget
period	period	period
.	.	.

The	the	The
four	four	four
pages	page	page
of	of	of
new	new	new
directives	direct	directive
for	for	for
Barnier	barnier	Barnier
were	were	were
in	in	in
line	line	line
with	with	with
guidelines	guidelin	guideline
issued	issu	issued
by	by	by
EU	eu	EU
leaders	leader	leader
at	at	at
a	a	a
summit	summit	summit
on	on	on
Friday	friday	Friday
and	and	and
will	will	will
form	form	form
the	the	the
basis	basi	basis
of	of	of
talks	talk	talk
on	on	on
the	the	the
transition	transit	transition
that	that	that
he	he	he
hopes	hope	hope
to	to	to
start	start	start
next	next	next
month	month	month
.	.	.

He	he	He
has	has	ha
said	said	said
in	in	in
the	the	the
past	past	past
he	he	he
hopes	hope	hope
a	a	a
free	free	free
trade	trade	trade
pact	pact	pact
could	could	could
be	be	be
ready	readi	ready
to	to	to
take	take	take
effect	effect	effect
in	in	in
January	januari	January
2021	2021	2021
.	.	.

The	the	The
directives	direct	directive
spell	spell	spell
out	out	out
that	that	that
Britain	britain	Britain
will	will	will
effectively	effect	effectively
remain	remain	remain
in	in	in
EU	eu	EU
institutions	institut	institution
,	,	,
bound	bound	bound
by	by	by
all	all	all
their	their	their
rules	rule	rule
including	includ	including
new	new	new
ones	one	one
,	,	,
while	while	while
not	not	not
having	have	having
a	a	a
say	say	say
in	in	in
their	their	their
making	make	making
.	.	.

The	the	The
EU	eu	EU
will	will	will
also	also	also
offer	offer	offer
Britain	britain	Britain
a	a	a
non	non	non
-voting	-vote	-voting
place	place	place
at	at	at
some	some	some
meetings	meet	meeting
where	where	where
decisions	decis	decision
may	may	may
affect	affect	affect
specific	specif	specific
issues	issu	issue
and	and	and
will	will	will
set	set	set
up	up	up
special	special	special
arrangements	arrang	arrangement
for	for	for
a	a	a
UK	uk	UK
role	role	role
in	in	in
setting	set	setting
annual	annual	annual
EU	eu	EU
fishing	fish	fishing
quotas	quota	quota
.	.	.

The	the	The
directives	direct	directive
also	also	also
spell	spell	spell
out	out	out
more	more	more
clearly	clear	clearly
that	that	that
EU	eu	EU
treaties	treati	treaty
with	with	with
other	other	other
countries	countri	country
and	and	and
international	intern	international
organizations	organ	organization
will	will	will
no	no	no
longer	longer	longer
apply	appli	apply
to	to	to
Britain	britain	Britain
during	dure	during
the	the	the
transition	transit	transition
period	period	period
.	.	.

However	howev	However
,	,	,
the	the	the
document	document	document
adds	add	add
Where	where	Where
it	it	it
is	is	is
in	in	in
the	the	the
interest	interest	interest
of	of	of
the	the	the
Union	union	Union
,	,	,
the	the	the
Union	union	Union
may	may	may
consider	consid	consider
whether	whether	whether
and	and	and
how	how	how
arrangements	arrang	arrangement
can	can	can
be	be	be
agreed	agre	agreed
that	that	that
would	would	would
maintain	maintain	maintain
the	the	the
effects	effect	effect
of	of	of
the	the	the
agreements	agreement	agreement
as	as	a
regards	regard	regard
the	the	the
United	unit	United
Kingdom	kingdom	Kingdom
during	dure	during
the	the	the
transition	transit	transition
period	period	period
.	.	.

This	this	This
has	has	ha
been	been	been
important	import	important
to	to	to
Britain	britain	Britain
since	sinc	since
it	it	it
could	could	could
mean	mean	mean
that	that	that
it	it	it
no	no	no
longer	longer	longer
benefits	benefit	benefit
automatically	automat	automatically
from	from	from
free	free	free
trade	trade	trade
agreements	agreement	agreement
which	which	which
the	the	the
EU	eu	EU
has	has	ha
with	with	with
,	,	,
say	say	say
,	,	,
Canada	canada	Canada
or	or	or
South	south	South
Korea	korea	Korea
,	,	,
while	while	while
it	it	it
would	would	would
still	still	still
have	have	have
to	to	to
apply	appli	apply
EU	eu	EU
trade	trade	trade
policy	polici	policy
for	for	for
example	exampl	example
collecting	collect	collecting
EU	eu	EU
customs	custom	custom
duty	duti	duty
at	at	at
UK	uk	UK
ports	port	port
.	.	.

Barnier	barnier	Barnier
said	said	said
he	he	he
understood	understood	understood
that	that	that
Britain	britain	Britain
was	was	wa
working	work	working
with	with	with
other	other	other
countries	countri	country
to	to	to
try	tri	try
to	to	to
retain	retain	retain
the	the	the
advantages	advantag	advantage
of	of	of
some	some	some
of	of	of
the	the	the
nearly	near	nearly
750	750	750
international	intern	international
agreements	agreement	agreement
to	to	to
which	which	which
London	london	London
is	is	is
currently	current	currently
party	parti	party
as	as	a
an	an	an
EU	eu	EU
member	member	member
.	.	.

Among	among	Among
elements	element	element
spelled	spell	spelled
out	out	out
more	more	more
in	in	in
the	the	the
directives	direct	directive
than	than	than
in	in	in
the	the	the
leaders	leader	leader
guidelines	guidelin	guideline
last	last	last
week	week	week
was	was	wa
a	a	a
repetition	repetit	repetition
of	of	of
a	a	a
previously	previous	previously
agreed	agre	agreed
EU	eu	EU
position	posit	position
that	that	that
everything	everyth	everything
applying	appli	applying
to	to	to
Brexit	brexit	Brexit
for	for	for
Britain	britain	Britain
would	would	would
also	also	also
apply	appli	apply
to	to	to
other	other	other
British	british	British
territories	territori	territory
.	.	.

Brussels	brussel	Brussels
has	has	ha
said	said	said
the	the	the
Spanish	spanish	Spanish
government	govern	government
must	must	must
agree	agre	agree
any	ani	any
future	futur	future
arrangements	arrang	arrangement
with	with	with
Britain	britain	Britain
that	that	that
affect	affect	affect
the	the	the
British	british	British
territory	territori	territory
of	of	of
Gibraltar	gibraltar	Gibraltar
on	on	on
Spain	spain	Spain
s	s	s
southern	southern	southern
coast	coast	coast
.	.	.

Asked	ask	Asked
about	about	about
his	his	his
previously	previous	previously
expressed	express	expressed
view	view	view
that	that	that
a	a	a
future	futur	future
trade	trade	trade
deal	deal	deal
may	may	may
offer	offer	offer
little	littl	little
automatic	automat	automatic
access	access	access
for	for	for
the	the	the
City	citi	City
of	of	of
London	london	London
s	s	s
financial	financi	financial
services	servic	service
firms	firm	firm
to	to	to
the	the	the
EU	eu	EU
market	market	market
,	,	,
Barnier	barnier	Barnier
repeated	repeat	repeated
that	that	that
free	free	free
access	access	access
would	would	would
be	be	be
unprecedented	unpreced	unprecedented
as	as	a
far	far	far
as	as	a
he	he	he
was	was	wa
aware	awar	aware
.	.	.

I	i	I
remind	remind	remind
you	you	you
that	that	that
I	i	I
m	m	m
not	not	not
aware	awar	aware
of	of	of
any	ani	any
free	free	free
-trade	-trade	-trade
deal	deal	deal
in	in	in
the	the	the
past	past	past
between	between	between
the	the	the
European	european	European
Union	union	Union
and	and	and
third	third	third
countries	countri	country
that	that	that
would	would	would
have	have	have
allowed	allow	allowed
privileged	privileg	privileged
access	access	access
for	for	for
financial	financi	financial
services	servic	service
,	,	,
he	he	he
told	told	told
a	a	a
news	news	news
conference	confer	conference
.	.	.

British	british	British
negotiators	negoti	negotiator
have	have	have
said	said	said
Britain	britain	Britain
s	s	s
size	size	size
and	and	and
proximity	proxim	proximity
give	give	give
it	it	it
the	the	the
leverage	leverag	leverage
to	to	to
negotiate	negoti	negotiate
a	a	a
more	more	more
ambitious	ambiti	ambitious
relationship	relationship	relationship
with	with	with
the	the	the
EU	eu	EU
than	than	than
any	ani	any
other	other	other
state	state	state
.	.	.

During	dure	During
the	the	the
transition	transit	transition
,	,	,
Britain	britain	Britain
will	will	will
maintain	maintain	maintain
access	access	access
to	to	to
the	the	the
European	european	European
single	singl	single
market	market	market
,	,	,
Barnier	barnier	Barnier
added	ad	added
.	.	.

Britain	britain	Britain
will	will	will
keep	keep	keep
all	all	all
the	the	the
benefits	benefit	benefit
,	,	,
but	but	but
also	also	also
all	all	all
the	the	the
obligations	oblig	obligation
of	of	of
the	the	the
single	singl	single
market	market	market
,	,	,
the	the	the
customs	custom	custom
union	union	union
and	and	and
the	the	the
common	common	common
policies	polici	policy
,	,	,
he	he	he
said	said	said
,	,	,
ruling	rule	ruling
out	out	out
a	a	a
la	la	la
carte	cart	carte
terms	term	term
.	.	.

Barnier	barnier	Barnier
welcomed	welcom	welcomed
agreements	agreement	agreement
made	made	made
earlier	earlier	earlier
this	this	this
month	month	month
on	on	on
issues	issu	issue
such	such	such
as	as	a
the	the	the
Irish	irish	Irish
border	border	border
,	,	,
citizens	citizen	citizen
rights	right	right
and	and	and
the	the	the
divorce	divorc	divorce
settlement	settlement	settlement
.	.	.

We	we	We
are	are	are
not	not	not
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
road	road	road
,	,	,
he	he	he
said	said	said
.	.	.

But	but	But
it	it	it
is	is	is
an	an	an
important	import	important
stage	stage	stage
of	of	of
this	this	this
road	road	road
towards	toward	towards
an	an	an
orderly	order	orderly
withdrawal	withdraw	withdrawal
rather	rather	rather
than	than	than
a	a	a
disorderly	disord	disorderly
one	one	one
.	.	.

