WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
said	said	said
on	on	on
Thursday	thursday	Thursday
things	thing	thing
will	will	will
work	work	work
out	out	out
fine	fine	fine
between	between	between
the	the	the
United	unit	United
States	state	States
and	and	and
Russia	russia	Russia
,	,	,
a	a	a
day	day	day
after	after	after
he	he	he
said	said	said
U	u	U
.	.	.
S	s	S
.	.	.
-Russian	-russian	-Russian
relations	relat	relation
may	may	may
be	be	be
at	at	at
an	an	an
all	all	all
-time	-time	-time
low	low	low
.	.	.
Things	thing	Things
will	will	will
work	work	work
out	out	out
fine	fine	fine
between	between	between
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
A	a	A
.	.	.
and	and	and
Russia	russia	Russia
.	.	.
At	at	At
the	the	the
right	right	right
time	time	time
everyone	everyon	everyone
will	will	will
come	come	come
to	to	to
their	their	their
senses	sens	sens
there	there	there
will	will	will
be	be	be
lasting	last	lasting
peace	peac	peace
!	!	!
Trump	trump	Trump
said	said	said
in	in	in
a	a	a
note	note	note
on	on	on
Twitter	twitter	Twitter
.	.	.
