CHICAGO	chicago	CHICAGO
Reuters	reuter	Reuters
-	-	-
Democrats	democrat	Democrats
from	from	from
Pennsylvania	pennsylvania	Pennsylvania
s	s	s
congressional	congression	congressional
delegation	deleg	delegation
sent	sent	sent
a	a	a
letter	letter	letter
to	to	to
a	a	a
federal	feder	federal
rail	rail	rail
regulator	regul	regulator
on	on	on
Monday	monday	Monday
raising	rais	raising
concerns	concern	concern
over	over	over
the	the	the
possible	possibl	possible
negative	negat	negative
impacts	impact	impact
of	of	of
a	a	a
merger	merger	merger
between	between	between
Canadian	canadian	Canadian
Pacific	pacif	Pacific
and	and	and
Norfolk	norfolk	Norfolk
Southern	southern	Southern
Corp	corp	Corp
.	.	.

The	the	The
letter	letter	letter
sent	sent	sent
to	to	to
the	the	the
Surface	surfac	Surface
Transportation	transport	Transportation
Board	board	Board
raised	rais	raised
concerns	concern	concern
over	over	over
the	the	the
impact	impact	impact
it	it	it
could	could	could
have	have	have
on	on	on
railroad	railroad	railroad
jobs	job	job
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
and	and	and
said	said	said
the	the	the
merger	merger	merger
could	could	could
lead	lead	lead
to	to	to
disinvestment	disinvest	disinvestment
in	in	in
rail	rail	rail
infrastructure	infrastructur	infrastructure
in	in	in
the	the	the
state	state	state
.	.	.

Senator	senat	Senator
Bob	bob	Bob
Casey	casey	Casey
and	and	and
five	five	five
members	member	member
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
,	,	,
all	all	all
Democrats	democrat	Democrats
,	,	,
also	also	also
wrote	wrote	wrote
that	that	that
they	they	they
were	were	were
deeply	deepli	deeply
concerned	concern	concerned
about	about	about
the	the	the
voting	vote	voting
trust	trust	trust
structure	structur	structure
Canadian	canadian	Canadian
Pacific	pacif	Pacific
has	has	ha
proposed	propos	proposed
in	in	in
its	it	it
bid	bid	bid
for	for	for
the	the	the
No	no	No
.	.	.
4	4	4
U	u	U
.	.	.
S	s	S
.	.	.
railroad	railroad	railroad
.	.	.

The	the	The
Canadian	canadian	Canadian
company	compani	company
in	in	in
mid	mid	mid
-November	-novemb	-November
disclosed	disclos	disclosed
its	it	it
28	28	28
billion	billion	billion
offer	offer	offer
to	to	to
buy	buy	buy
the	the	the
Norfolk	norfolk	Norfolk
,	,	,
Virginia	virginia	Virginia
-based	-base	-based
railroad	railroad	railroad
.	.	.

Norfolk	norfolk	Norfolk
Southern	southern	Southern
has	has	ha
rejected	reject	rejected
Canadian	canadian	Canadian
Pacific	pacif	Pacific
s	s	s
advances	advanc	advance
,	,	,
setting	set	setting
the	the	the
stage	stage	stage
for	for	for
a	a	a
possible	possibl	possible
proxy	proxi	proxy
battle	battl	battle
.	.	.

The	the	The
Surface	surfac	Surface
Transportation	transport	Transportation
Board	board	Board
would	would	would
have	have	have
to	to	to
review	review	review
a	a	a
merger	merger	merger
of	of	of
the	the	the
two	two	two
railroads	railroad	railroad
,	,	,
which	which	which
would	would	would
be	be	be
a	a	a
test	test	test
case	case	case
since	sinc	since
the	the	the
regulator	regul	regulator
rewrote	rewrot	rewrote
the	the	the
rules	rule	rule
for	for	for
approving	approv	approving
takeovers	takeov	takeover
in	in	in
2001	2001	2001
.	.	.

The	the	The
review	review	review
process	process	process
would	would	would
include	includ	include
public	public	public
hearings	hear	hearing
where	where	where
rail	rail	rail
customers	custom	customer
,	,	,
labor	labor	labor
groups	group	group
and	and	and
elected	elect	elected
officials	offici	official
would	would	would
be	be	be
allowed	allow	allowed
to	to	to
weigh	weigh	weigh
in	in	in
.	.	.

In	in	In
their	their	their
letter	letter	letter
,	,	,
the	the	the
Pennsylvania	pennsylvania	Pennsylvania
Democrats	democrat	Democrats
wrote	wrote	wrote
that	that	that
they	they	they
believe	believ	believe
the	the	the
acquisition	acquisit	acquisition
could	could	could
hurt	hurt	hurt
thousands	thousand	thousand
of	of	of
rail	rail	rail
shippers	shipper	shipper
,	,	,
manufacturers	manufactur	manufacturer
and	and	and
local	local	local
communities	communiti	community
,	,	,
as	as	a
well	well	well
as	as	a
rail	rail	rail
workers	worker	worker
,	,	,
in	in	in
the	the	the
state	state	state
,	,	,
and	and	and
urged	urg	urged
a	a	a
thorough	thorough	thorough
review	review	review
of	of	of
any	ani	any
proposed	propos	proposed
merger	merger	merger
.	.	.

Canadian	canadian	Canadian
Pacific	pacif	Pacific
has	has	ha
said	said	said
that	that	that
a	a	a
takeover	takeov	takeover
of	of	of
Norfolk	norfolk	Norfolk
Southern	southern	Southern
would	would	would
lead	lead	lead
to	to	to
1	1	1
.	.	.
8	8	8
billion	billion	billion
in	in	in
annual	annual	annual
savings	save	saving
.	.	.

In	in	In
early	earli	early
January	januari	January
,	,	,
two	two	two
senior	senior	senior
Democrats	democrat	Democrats
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
urged	urg	urged
the	the	the
board	board	board
to	to	to
reject	reject	reject
any	ani	any
merger	merger	merger
of	of	of
Canadian	canadian	Canadian
Pacific	pacif	Pacific
and	and	and
Norfolk	norfolk	Norfolk
Southern	southern	Southern
.	.	.

A	a	A
number	number	number
of	of	of
industry	industri	industry
groups	group	group
and	and	and
rail	rail	rail
customers	custom	customer
,	,	,
plus	plus	plus
a	a	a
couple	coupl	couple
of	of	of
the	the	the
unions	union	union
representing	repres	representing
workers	worker	worker
at	at	at
Norfolk	norfolk	Norfolk
Southern	southern	Southern
have	have	have
also	also	also
come	come	come
out	out	out
against	against	against
any	ani	any
merger	merger	merger
.	.	.

Last	last	Last
week	week	week
,	,	,
the	the	the
board	board	board
posted	post	posted
letters	letter	letter
from	from	from
some	some	some
rail	rail	rail
customers	custom	customer
who	who	who
argue	argu	argue
that	that	that
,	,	,
on	on	on
the	the	the
contrary	contrari	contrary
,	,	,
a	a	a
merger	merger	merger
of	of	of
Canadian	canadian	Canadian
Pacific	pacif	Pacific
and	and	and
Norfolk	norfolk	Norfolk
Southern	southern	Southern
would	would	would
create	creat	create
a	a	a
transcontinental	transcontinent	transcontinental
railroad	railroad	railroad
that	that	that
would	would	would
result	result	result
in	in	in
better	better	better
service	servic	service
.	.	.

